date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,1.479,2.458,0.979,3.125,5.584
2011-01-02,1.625,2.958,1.334,3.333,4.292
2011-01-03,1.083,1.98,0.896,3.0,2.708
2011-01-04,1.062,2.021,0.958,2.875,2.979
2011-01-05,1.396,2.708,1.312,2.875,4.083
2011-01-06,1.188,2.208,1.021,3.104,4.938
2011-01-07,2.958,5.666,2.708,3.188,5.042
2011-01-08,2.396,4.021,1.625,3.0,4.312
2011-01-09,2.23,3.625,1.396,3.021,3.542
2011-01-10,1.792,3.104,1.312,3.062,6.354
2011-01-11,1.688,3.021,1.334,2.584,5.166
2011-01-12,2.652,5.522,2.87,2.87,4.196
2011-01-13,3.084,5.062,1.979,3.73,7.333
2011-01-14,1.0,1.958,0.958,2.875,4.312
2011-01-15,0.834,1.562,0.729,2.75,4.688
2011-01-16,3.021,4.708,1.688,3.062,9.625
2011-01-17,2.208,3.77,1.562,3.062,5.25
2011-01-18,3.271,5.312,2.042,3.23,6.542
2011-01-19,3.375,5.334,1.958,3.396,4.896
2011-01-20,3.521,5.23,1.708,3.792,7.625
2011-01-21,2.292,5.916,3.625,2.958,5.458
2011-01-22,3.312,6.125,2.812,2.938,5.354
2011-01-23,1.0,2.104,1.104,3.23,7.208
2011-01-24,1.542,3.166,1.625,3.062,6.708
2011-01-25,1.208,2.354,1.146,2.98,6.208
2011-01-26,1.892,3.826,1.934,3.066,6.74
2011-01-27,2.125,3.77,1.646,3.27,6.771
2011-01-28,2.396,3.854,1.458,2.938,6.375
2011-01-29,2.042,3.229,1.188,2.896,4.375
2011-01-30,3.521,6.188,2.667,3.104,5.584
2011-01-31,1.354,2.438,1.083,2.896,4.913
2011-02-01,2.938,4.834,1.896,2.562,4.292
2011-02-02,3.166,5.334,2.167,2.896,5.062
2011-02-03,1.792,3.146,1.354,2.834,5.146
2011-02-04,2.292,4.125,1.834,3.542,5.458
2011-02-05,1.854,3.062,1.208,3.312,9.417
2011-02-06,6.208,9.771,3.562,3.438,4.729
2011-02-07,3.666,6.354,2.688,4.416,11.48
2011-02-08,1.854,3.688,1.834,3.52,7.854
2011-02-09,1.478,2.935,1.456,3.152,5.174
2011-02-10,1.521,2.604,1.083,3.396,7.458
2011-02-11,1.667,3.354,1.688,3.292,7.562
2011-02-12,1.042,2.0,0.958,3.271,8.271
2011-02-13,2.416,3.938,1.521,3.271,5.771
2011-02-14,4.167,6.438,2.271,5.5,15.188
2011-02-15,1.125,2.166,1.042,5.167,16.416
2011-02-16,1.8,2.975,1.175,3.4,5.43
2011-02-17,1.875,3.166,1.292,3.042,7.125
2011-02-18,2.062,4.084,2.021,3.167,5.104
2011-02-19,1.354,2.5,1.146,3.083,5.542
2011-02-20,1.542,2.708,1.166,3.854,7.625
2011-02-21,1.062,2.021,0.958,3.896,11.375
2011-02-22,2.5,3.98,1.479,3.625,5.434
2011-02-23,3.13,5.87,2.739,4.348,6.166
2011-02-24,2.021,3.25,1.23,4.146,12.792
2011-02-25,1.958,2.646,0.688,3.083,4.604
2011-02-26,1.834,2.854,1.021,2.979,4.521
2011-02-27,1.521,2.479,0.958,3.125,4.125
2011-02-28,2.146,3.354,1.208,3.271,6.479
2011-03-01,2.208,3.667,1.458,4.583,13.812
2011-03-02,3.042,4.604,1.562,4.812,16.812
2011-03-03,1.396,2.667,1.27,3.312,8.812
2011-03-04,1.52,2.688,1.166,3.312,8.979
2011-03-05,2.818,4.344,1.526,2.973,5.754
2011-03-06,2.142,3.455,1.312,2.782,3.416
2011-03-07,0.604,1.604,1.0,2.896,5.333
2011-03-08,1.892,3.304,1.413,3.522,10.696
2011-03-09,2.834,4.208,1.375,3.833,8.417
2011-03-10,1.458,2.334,0.875,3.0,8.27
2011-03-11,1.042,1.666,0.625,2.792,5.562
2011-03-12,2.458,3.625,1.166,2.77,4.416
2011-03-13,1.708,2.584,0.875,3.25,6.604
2011-03-14,1.958,2.834,0.875,4.021,10.5
2011-03-15,1.688,2.584,0.896,5.75,19.708
2011-03-16,2.104,3.167,1.062,4.104,8.042
2011-03-17,3.916,5.479,1.562,3.458,8.73
2011-03-18,1.166,2.062,0.896,3.396,6.5
2011-03-19,0.875,1.77,0.896,3.271,9.25
2011-03-20,0.979,1.854,0.875,3.396,11.834
2011-03-21,1.021,1.958,0.938,3.625,13.542
2011-03-22,1.914,4.37,2.456,4.478,23.24
2011-03-23,2.583,3.916,1.334,4.146,12.48
2011-03-24,2.708,4.021,1.312,3.104,8.52
2011-03-25,1.73,2.896,1.166,3.438,5.062
2011-03-26,1.583,2.458,0.875,3.604,12.562
2011-03-27,1.438,2.23,0.792,4.521,18.25
2011-03-28,2.854,4.104,1.25,3.562,9.804
2011-03-29,1.375,2.146,0.771,4.146,19.896
2011-03-30,1.438,2.416,0.979,4.146,24.25
2011-03-31,1.688,2.73,1.042,3.083,12.042
2011-04-01,1.396,1.708,0.312,4.021,16.979
2011-04-02,1.021,1.125,0.104,3.854,8.792
2011-04-03,1.375,1.604,0.229,3.334,5.604
2011-04-04,1.812,2.292,0.48,3.646,4.77
2011-04-05,1.458,1.729,0.271,4.354,16.958
2011-04-06,1.646,1.958,0.312,4.688,16.271
2011-04-07,1.75,2.104,0.354,4.625,15.48
2011-04-08,2.0,3.062,1.062,4.188,8.739
2011-04-09,2.334,3.042,0.708,3.98,16.854
2011-04-10,1.271,1.562,0.292,4.166,19.083
2011-04-11,1.708,2.334,0.625,4.542,29.708
2011-04-12,1.23,1.771,0.542,3.979,16.979
2011-04-13,1.312,1.958,0.646,5.062,33.312
2011-04-14,1.13,2.174,1.043,5.478,55.022
2011-04-15,1.5,2.292,0.792,9.0,41.146
2011-04-16,1.5,1.896,0.396,3.812,14.167
2011-04-17,1.042,1.125,0.084,3.854,6.729
2011-04-18,1.896,2.521,0.625,4.479,10.146
2011-04-19,1.104,1.375,0.27,3.0,5.0
2011-04-20,1.48,2.125,0.646,2.917,4.688
2011-04-21,1.208,1.917,0.708,3.104,5.584
2011-04-22,2.625,3.625,1.0,3.114,5.568
2011-04-23,2.458,3.292,0.834,3.021,5.625
2011-04-24,1.125,2.771,1.646,3.208,9.062
2011-04-25,1.166,1.979,0.812,3.542,19.042
2011-04-26,1.271,2.104,0.834,3.834,27.708
2011-04-27,3.37,5.304,1.935,4.044,21.392
2011-04-28,1.584,2.521,0.938,3.083,4.438
2011-04-29,1.0,1.666,0.666,3.021,8.0
2011-04-30,1.688,2.458,0.771,4.5,21.146
2011-05-01,2.229,2.896,0.667,3.188,10.334
2011-05-02,1.104,1.542,0.438,3.0,7.062
2011-05-03,1.584,2.458,0.875,4.25,10.062
2011-05-04,2.208,3.125,0.916,3.312,7.562
2011-05-05,1.375,2.229,0.854,4.042,8.458
2011-05-06,2.104,3.25,1.146,4.5,10.062
2011-05-07,2.458,3.604,1.146,4.208,14.625
2011-05-08,1.0,1.729,0.729,3.021,3.438
2011-05-09,1.25,2.042,0.792,4.229,12.375
2011-05-10,1.396,2.27,0.875,3.979,6.688
2011-05-11,1.729,2.688,0.958,3.792,10.375
2011-05-12,2.26,4.652,2.392,3.934,9.478
2011-05-13,0.958,1.646,0.688,2.0,4.458
2011-05-14,0.729,1.25,0.521,2.458,16.354
2011-05-15,0.854,1.542,0.688,2.73,5.75
2011-05-16,2.562,3.604,1.042,3.167,13.958
2011-05-17,1.084,1.688,0.604,2.458,8.5
2011-05-18,1.166,1.792,0.625,3.771,14.239
2011-05-19,1.546,2.409,0.863,4.25,28.729
2011-05-20,1.312,2.021,0.708,3.792,34.584
2011-05-21,1.562,2.375,0.812,3.292,9.042
2011-05-22,1.062,1.792,0.729,3.271,11.042
2011-05-23,1.125,1.958,0.833,3.188,11.396
2011-05-24,1.896,2.896,1.0,3.271,15.167
2011-05-25,1.292,2.25,0.958,3.521,12.958
2011-05-26,1.913,4.26,2.348,3.935,11.13
2011-05-27,2.458,3.584,1.125,3.542,15.562
2011-05-28,5.834,7.292,1.458,3.917,20.375
2011-05-29,3.75,4.854,1.104,2.812,8.375
2011-05-30,1.271,2.166,0.896,2.521,8.084
2011-05-31,1.562,2.5,0.938,3.188,24.104
2011-06-01,2.0,3.042,1.042,3.646,28.416
2011-06-02,2.625,3.666,1.042,3.104,23.708
2011-06-03,2.271,3.292,1.02,3.166,11.396
2011-06-04,2.0,2.896,0.896,3.312,24.771
2011-06-05,1.312,2.084,0.77,3.5,23.812
2011-06-06,1.229,1.958,0.729,3.542,18.104
2011-06-07,1.708,2.542,0.834,6.688,25.5
2011-06-08,4.125,5.375,1.25,4.73,22.125
2011-06-09,3.456,5.413,1.956,4.935,21.87
