date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,1.396,2.4165,1.021,3.271,5.4165,197.625,96.0,82.458,59.0,8.083,15.0,-43.875,-146.0,205.708
2011-01-02,2.708,4.2915,1.5835,4.3125,3.6665,191.417,96.0,77.708,64.0,7.833,-4.0,-24.708,-77.0,199.25
2011-01-03,2.104,3.3545,1.25,3.4165,2.4585,190.458,89.0,78.458,69.0,7.417,-41.0,-66.167,-92.0,197.875
2011-01-04,5.7925,8.157,2.364,3.5415,7.8335,193.875,90.0,72.375,36.0,8.75,-30.0,-103.417,-187.0,202.625
2011-01-05,4.542,6.125,1.5830000000000002,3.75,4.521,192.75,96.0,84.958,55.0,9.042,-2.0,-49.208,-124.0,201.792
2011-01-06,6.125,10.2705,4.146,4.375,5.479,193.042,96.0,81.25,42.0,7.083,17.0,-24.5,-106.0,200.125
2011-01-07,7.375,9.083,1.7085,4.6665,7.333,195.5,92.0,75.0,44.0,9.917,-4.0,-64.958,-161.0,205.417
2011-01-08,4.125,5.4165,1.2919999999999998,3.8125,6.4585,202.708,96.0,81.583,43.0,22.958,-7.0,-113.458,-203.0,225.667
2011-01-09,5.9925,7.942,1.949,3.8955,9.729,200.083,91.0,76.875,41.0,10.5,-11.0,-93.083,-152.0,210.583
2011-01-10,5.25,7.646,2.396,3.761,6.415,203.208,93.0,73.625,31.0,10.708,-29.0,-97.125,-164.0,213.917
2011-01-11,3.6665,5.6665,2.0,2.9505,5.154,197.667,89.0,67.833,31.0,6.917,-59.0,-124.042,-190.0,204.583
2011-01-12,5.1875,7.5415,2.354,3.0415,6.0835,196.333,89.0,75.5,46.0,8.458,-49.0,-142.292,-242.0,204.792
2011-01-13,6.0075,8.4775,2.47,3.396,10.833,197.125,91.0,78.625,33.0,9.375,-37.0,-149.5,-224.0,206.5
2011-01-14,5.2915,7.354,2.0625,4.083,6.7085,193.125,91.0,63.25,38.0,6.542,-74.0,-144.375,-249.0,199.667
2011-01-15,4.2915,5.917,1.625,3.229,5.583,194.0,89.0,73.625,41.0,6.958,-49.0,-160.458,-247.0,200.958
2011-01-16,5.362,7.663,2.301,3.271,8.208,198.417,93.0,77.708,34.0,10.083,-52.0,-152.042,-241.0,208.5
2011-01-17,4.479,5.74,1.2605000000000002,3.466,4.8335,199.818,91.0,76.333,38.0,9.864,-34.0,-125.458,-190.0,209.682
2011-01-18,5.458,8.1455,2.6875,4.4585,9.8335,198.625,92.0,73.125,32.0,10.0,-11.0,-106.0,-161.0,208.625
2011-01-19,8.0625,10.521,2.4585,4.3125,8.104,201.042,93.0,75.958,37.0,10.25,-11.0,-117.667,-206.0,211.292
2011-01-20,11.4585,15.4585,4.0,5.604,10.6875,202.0,92.0,80.0,55.0,11.875,-71.0,-141.458,-198.0,213.875
2011-01-21,4.354,6.2085,1.854,4.3125,6.729,199.042,91.0,77.167,46.0,9.375,-11.0,-61.583,-174.0,208.417
2011-01-22,0.6455,1.625,0.979,3.375,4.917,189.792,95.0,90.292,82.0,10.167,17.0,0.583,-32.0,199.958
2011-01-23,2.585,3.9175,1.3325,3.786,7.568,191.125,96.0,75.417,57.0,11.667,1.0,-28.25,-80.0,202.792
2011-01-24,6.146,8.271,2.125,3.6784999999999997,10.844999999999999,196.375,84.0,68.125,43.0,10.333,-50.0,-128.5,-204.0,206.708
2011-01-25,5.917,8.083,2.167,4.229,8.771,195.583,86.0,68.292,36.0,9.625,-50.0,-139.542,-223.0,205.208
2011-01-26,7.0,9.229,2.229,4.0625,11.707999999999998,195.417,87.0,68.875,30.0,9.5,-54.0,-161.375,-233.0,204.917
2011-01-27,5.792,8.146,2.354,3.6665,7.042,196.208,90.0,72.25,33.0,8.5,-61.0,-167.25,-242.0,204.708
2011-01-28,6.1665,8.354,2.1875,4.0835,7.1875,197.667,91.0,82.208,45.0,9.583,-64.0,-132.875,-229.0,207.25
2011-01-29,7.5415,11.583,4.0415,3.9375,7.583,196.083,93.0,79.458,40.0,8.875,-34.0,-103.833,-172.0,204.958
2011-01-30,8.634,11.5835,2.9490000000000003,4.854,12.5415,200.167,90.0,74.333,46.0,8.958,-56.0,-109.833,-161.0,209.125
2011-01-31,5.708,7.042,1.3330000000000002,4.5,11.271,195.458,93.0,67.458,32.0,9.375,-39.0,-116.958,-218.0,204.833
2011-02-01,9.479,12.2915,2.8125,4.8335,8.333,199.5,87.0,75.792,62.0,10.625,-74.0,-141.833,-245.0,210.125
2011-02-02,5.75,7.1875,1.4375,5.0625,3.7705,191.458,90.0,65.708,39.0,8.083,-68.0,-118.0,-209.0,199.542
2011-02-03,5.75,7.625,1.875,3.8125,8.25,197.667,90.0,76.5,32.0,7.958,-46.0,-162.542,-251.0,205.625
2011-02-04,4.8125,6.5625,1.75,3.75,6.0835,194.792,91.0,81.125,57.0,8.375,-29.0,-115.167,-205.0,203.167
2011-02-05,2.729,3.792,1.0625,4.6045,11.5625,193.042,87.0,68.792,33.0,8.75,-9.0,-71.417,-191.0,201.792
2011-02-06,3.8885,5.9735,2.085,4.0184999999999995,7.4245,191.667,92.0,84.167,64.0,8.375,14.0,-25.333,-141.0,200.042
2011-02-07,5.4165,7.354,1.9375,4.242,17.956,191.083,97.0,91.375,81.0,12.333,17.0,-6.833,-42.0,203.417
2011-02-08,3.5,4.9375,1.4375,6.1475,10.789,188.0,73.0,50.917,36.0,9.292,-31.0,-63.042,-127.0,197.292
2011-02-09,4.2915,6.354,2.0625,4.676,5.7615,192.174,84.0,60.292,35.0,8.043,-32.0,-125.708,-208.0,200.217
2011-02-10,4.1665,6.021,1.8544999999999998,4.2085,5.292,192.083,86.0,68.583,41.0,8.0,-55.0,-140.958,-210.0,200.083
