date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CO_mean,SO2_mean
2011-01-01,15.23975,27.906,12.66675,,10.0415,6.625,0.333
2011-01-02,8.41875,14.916250000000002,6.49725,,6.20825,4.0,0.273
2011-01-03,8.90625,13.6875,4.781499999999999,,4.6875,3.208,0.0
2011-01-04,12.02175,20.05975,8.037749999999999,,6.55225,4.0,0.333
2011-01-05,4.66675,9.10425,4.4375,,4.729,2.5,0.0
2011-01-06,16.09975,28.916249999999998,12.8165,,7.307,4.875,0.217
2011-01-07,7.08325,12.0105,4.927,,5.27075,2.833,0.0
2011-01-08,10.14575,15.70825,5.5625,,5.1045,3.25,0.0
2011-01-09,17.05325,33.137,16.083750000000002,,7.073,7.125,0.045
2011-01-10,16.78925,28.22325,11.43375,,8.448,4.333,0.458
2011-01-11,11.0715,20.06475,8.993,,8.0365,3.636,0.25
2011-01-12,17.2775,33.50475,16.227249999999998,,6.5607500000000005,5.083,0.125
2011-01-13,17.03275,32.6965,15.664,,9.7555,5.261,0.348
2011-01-14,7.8645,16.25025,8.3855,,8.03125,4.25,0.833
2011-01-15,4.53125,7.96875,3.4375,,7.3855,2.667,1.083
2011-01-16,14.037749999999999,27.295749999999998,13.257749999999998,,8.08325,4.958,0.091
2011-01-17,20.77075,36.7085,15.937249999999999,,8.67725,5.958,0.083
2011-01-18,22.352249999999998,42.91125,20.55875,,9.8335,6.826,0.875
2011-01-19,19.518,35.73225,16.21425,,13.363249999999999,6.478,1.13
2011-01-20,12.485,21.4735,8.9885,,8.994250000000001,4.25,0.375
2011-01-21,15.2085,25.9375,10.72925,,8.302,4.417,0.083
2011-01-22,13.29175,24.78125,11.4895,,4.44775,4.542,0.0
2011-01-23,11.39025,21.1575,9.76725,,6.625249999999999,4.542,0.045
2011-01-24,12.32325,22.177,9.85425,,6.09375,3.833,0.0
2011-01-25,15.911999999999999,25.29175,9.379750000000001,,9.02075,4.696,0.583
2011-01-26,15.21875,26.8125,11.59375,,7.250249999999999,4.417,1.0
2011-01-27,15.60875,26.03275,10.424,,10.674,4.609,1.0
2011-01-28,8.9585,14.781500000000001,5.823,,7.29175,3.958,0.5
2011-01-29,12.656500000000001,21.51025,8.85425,,5.85425,5.167,0.0
2011-01-30,17.01075,29.630499999999998,12.6195,,7.08325,4.958,0.545
2011-01-31,14.45475,23.01025,8.555499999999999,,7.38525,4.125,0.583
2011-02-01,16.12125,29.4745,13.3535,,9.39575,4.652,1.0
2011-02-02,11.924,21.209,9.285,,5.46875,4.083,0.875
2011-02-03,19.552,35.97925,16.42725,,6.375,6.0,0.875
2011-02-04,15.948,25.177,9.22925,,7.69775,4.708,0.625
2011-02-05,14.468499999999999,25.40625,10.9375,,8.5625,4.625,1.458
2011-02-06,24.110500000000002,45.735,21.6245,,15.68775,6.913,1.0
2011-02-07,23.1285,43.81925,20.691000000000003,,14.812750000000001,6.625,0.667
2011-02-08,7.5280000000000005,14.0505,6.52275,,6.89375,3.565,0.792
2011-02-09,10.11375,18.33075,8.217,,5.701499999999999,3.435,0.292
2011-02-10,15.895499999999998,26.6355,10.7395,,8.71875,4.25,0.294
2011-02-11,12.625,21.72925,9.104,,7.95825,4.833,0.083
2011-02-12,5.15625,8.46875,3.3125,,7.6145,2.958,0.0
2011-02-13,18.4585,30.146749999999997,11.6885,,9.19875,4.783,1.0
2011-02-14,23.37525,37.84375,14.469000000000001,,12.91925,5.917,1.417
2011-02-15,12.9465,30.369999999999997,17.42375,,12.06275,5.087,1.792
2011-02-16,10.3645,17.3855,7.02075,,6.9975000000000005,3.708,0.5
2011-02-17,13.628250000000001,21.905,8.27675,,8.76225,4.043,0.917
2011-02-18,9.7395,15.8645,6.125249999999999,,6.78125,3.542,0.917
2011-02-19,12.812750000000001,19.86475,7.05225,,9.51025,4.667,1.125
2011-02-20,19.32675,31.884,12.55725,,12.094249999999999,6.542,0.636
2011-02-21,17.15625,28.55225,11.39575,,16.302,5.333,1.833
2011-02-22,17.32725,27.37725,10.049999999999999,,11.82075,4.909,1.167
2011-02-23,19.048,31.328,12.280000000000001,,12.36575,4.875,0.739
2011-02-24,8.519,13.11525,4.5965,,21.03125,4.125,2.583
2011-02-25,14.812750000000001,24.00025,9.1875,,9.26025,4.375,0.375
2011-02-26,11.46875,18.896,7.427,,8.83325,4.042,0.125
2011-02-27,8.94775,14.87175,5.9239999999999995,,7.499750000000001,3.913,0.0
2011-02-28,20.646,31.0625,10.41675,,9.99975,5.25,1.167
