date,PM25_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,,13.6875,17.146,3.4585,16.479,54.0,17.25,-17.0
2011-01-02,,5.413,6.022,0.609,13.479,77.0,29.792,0.0
2011-01-03,,6.75,7.771,1.021,11.4165,47.0,17.583,-8.0
2011-01-04,,13.0415,16.292,3.25,13.6665,28.0,-3.167,-17.0
2011-01-05,,3.146,3.3545,0.2085,11.042,15.0,-1.042,-15.0
2011-01-06,,12.2175,15.891000000000002,3.6735,12.0215,34.0,11.167,-2.0
2011-01-07,,8.2085,9.6665,1.4585,10.875,35.0,9.75,-12.0
2011-01-08,,8.9375,10.2295,1.2915,10.7085,28.0,8.375,-5.0
2011-01-09,,17.435000000000002,22.8915,5.4565,12.1045,48.0,10.708,-22.0
2011-01-10,,16.1665,21.5835,5.417,14.917000000000002,39.0,16.083,3.0
2011-01-11,,10.2915,13.3335,3.0415,13.8335,5.0,-22.0,-47.0
2011-01-12,,15.0835,27.5,12.4165,13.229,6.0,-24.042,-49.0
2011-01-13,,19.604,27.7705,8.1665,12.708,15.0,-14.333,-45.0
2011-01-14,,6.3955,8.75,2.354,13.1875,1.0,-17.833,-34.0
2011-01-15,,3.229,3.396,0.16699999999999998,15.375,19.0,-7.083,-34.0
2011-01-16,,14.9565,24.239,9.282499999999999,14.082999999999998,16.0,-6.958,-27.0
2011-01-17,,27.604,54.542,26.9375,17.5,27.0,0.5,-15.0
2011-01-18,,24.2085,40.125,15.9165,15.8125,65.0,26.25,-10.0
2011-01-19,,17.479,28.4585,10.979,18.0625,51.0,21.333,-8.0
2011-01-20,,8.8065,9.496500000000001,0.69,14.2045,27.0,11.083,-2.0
2011-01-21,,18.417,23.75,5.3335,14.832999999999998,13.0,-2.333,-18.0
2011-01-22,,13.771,18.1875,4.4165,11.271,45.0,21.667,0.0
2011-01-23,,7.676,9.4695,1.7935,11.6,53.0,24.5,-13.0
2011-01-24,,3.4109999999999996,4.1665,0.7555,11.368,24.0,-8.083,-25.0
2011-01-25,,14.2,15.672,1.472,12.75,2.0,-23.417,-49.0
2011-01-26,,11.4375,13.9375,2.5,12.146,-10.0,-33.792,-51.0
2011-01-27,,16.978,19.304499999999997,2.3265000000000002,13.9785,-26.0,-37.217,-48.0
2011-01-28,,6.625,7.0625,0.4375,12.1665,-14.0,-41.5,-62.0
2011-01-29,,10.042,10.854,0.8125,12.354,-3.0,-37.5,-66.0
2011-01-30,,17.0215,23.3045,6.283,12.3335,9.0,-25.292,-57.0
2011-01-31,,19.8795,27.0755,7.196,13.2295,-16.0,-29.625,-47.0
