date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,22.90625,35.625,12.718499999999999,,6.646,19.9375,192.792,5.917,24.333,217.125
2011-01-02,16.1625,28.023,11.860249999999999,,5.9955,14.052,190.909,4.708,20.955,211.864
2011-01-03,13.0,18.72925,5.729,,4.625,5.04175,186.667,2.833,11.5,198.167
2011-01-04,20.07275,32.13525,12.062249999999999,,5.875,13.375,189.708,4.522,22.333,212.042
2011-01-05,13.3435,19.16675,5.823,,4.375,7.04175,188.458,2.917,12.5,200.958
2011-01-06,19.604,30.93725,11.33325,,5.771,10.344,190.292,4.667,18.958,209.25
2011-01-07,15.873,25.0985,9.225249999999999,,5.0889999999999995,8.03125,190.333,3.958,17.208,207.542
2011-01-08,14.32275,19.91675,5.593999999999999,,5.0,5.92725,190.958,3.875,18.083,209.042
2011-01-09,25.961,47.28425,21.32325,,7.140499999999999,16.1875,193.0,6.25,29.591,222.591
2011-01-10,22.86475,37.3855,14.521,,7.2915,14.02075,190.042,4.958,22.042,212.083
2011-01-11,15.54175,24.698,9.15625,,4.7915,12.03125,189.583,4.125,15.083,204.667
2011-01-12,18.85425,30.08325,11.229,,5.1875,6.500249999999999,187.538,4.167,16.615,204.154
2011-01-13,20.271,33.6875,13.4165,,5.6955,12.95475,189.75,4.458,19.375,209.125
2011-01-14,8.35425,12.09375,3.7395,,4.875,9.0415,189.238,2.864,11.619,200.857
2011-01-15,9.71875,13.552249999999999,3.83325,,5.125,12.1875,189.083,3.125,11.833,200.917
2011-01-16,23.603250000000003,40.548,16.945,,5.6419999999999995,14.8125,190.545,4.478,13.955,204.5
2011-01-17,27.0315,51.338499999999996,24.30725,,7.281499999999999,18.320999999999998,191.708,5.542,21.208,212.917
2011-01-18,32.573,60.052,27.47925,,7.271,19.3855,191.375,6.708,24.75,216.125
2011-01-19,33.656,67.86449999999999,34.2085,,8.125,33.354,194.917,7.167,33.208,228.125
2011-01-20,15.24775,23.3065,8.059000000000001,,4.2989999999999995,12.94775,190.875,2.75,10.083,200.958
2011-01-21,20.6145,34.58325,13.96875,,6.875,11.6455,188.542,5.083,14.292,202.833
2011-01-22,27.39575,51.7915,24.396,,7.583,14.77075,190.75,6.458,24.792,215.542
2011-01-23,17.69925,29.96925,12.27,,5.375500000000001,11.76025,189.818,4.217,15.273,205.091
2011-01-24,14.67725,21.875,7.1979999999999995,,4.5835,7.198,188.375,3.458,12.0,200.375
2011-01-25,16.177,26.39575,10.218499999999999,,5.0205,13.22925,189.875,4.208,16.167,206.042
2011-01-26,13.79175,21.448,7.65625,,4.3125,9.0105,191.083,3.208,12.042,203.125
2011-01-27,16.19275,27.81075,11.61825,,5.4795,13.53125,192.458,3.957,13.125,205.583
2011-01-28,11.21325,13.795,2.58175,,4.5835,10.15625,190.958,3.083,10.167,201.125
2011-01-29,9.4585,13.19775,3.7395,,4.042,5.7705,191.458,2.875,11.292,202.75
2011-01-30,17.5445,27.7375,10.193,,4.6605,8.1875,189.455,3.208,14.0,203.455
2011-01-31,13.948,21.2085,7.2605,,4.5835,9.61475,190.542,3.583,12.417,202.958
2011-02-01,18.125,30.29175,12.167,,4.792,13.2395,189.333,3.542,22.333,211.667
2011-02-02,15.65625,23.83325,8.17725,,4.6875,7.552,188.25,3.625,23.958,212.208
2011-02-03,17.7915,29.10425,11.3125,,4.7705,8.15625,190.208,4.167,15.042,205.25
2011-02-04,17.20825,25.43775,8.2295,,5.5625,14.64575,190.708,4.25,15.083,205.792
2011-02-05,19.8645,31.833,11.96875,,5.5835,14.23975,191.375,4.625,17.708,209.083
2011-02-06,42.7935,97.78275000000001,54.98925,,8.674,37.64575,197.182,8.625,35.636,232.818
2011-02-07,42.5625,102.86449999999999,60.302,,7.875,42.271,193.375,9.458,45.167,238.542
2011-02-08,10.8125,15.46875,4.65625,,3.9585,9.78125,185.958,2.917,17.292,203.25
2011-02-09,9.573,13.479,3.906,,4.0625,7.46875,188.208,2.5,5.292,193.5
