date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,100.0,82.375,65.0,11.292,16.333,5.042,,25.708,8.0,2.679,-1.4
2011-01-02,100.0,66.542,34.0,5.5,6.5,1.0,,18.042,10.7,3.912,-1.3
2011-01-03,83.0,47.917,23.0,7.042,8.833,1.792,,15.083,9.9,4.338,-1.9
2011-01-04,89.0,60.0,35.0,8.667,9.958,1.292,,17.958,10.2,3.608,-1.9
2011-01-05,71.0,51.708,31.0,4.792,5.208,0.417,,13.208,7.8,3.65,0.2
2011-01-06,93.0,61.333,29.0,19.455,30.5,11.045,,23.348,10.0,3.192,-3.3
2011-01-07,84.0,56.833,33.0,8.913,9.913,1.0,,16.417,8.5,3.567,0.0
2011-01-08,98.0,62.083,35.0,12.958,16.167,3.208,,19.333,8.4,2.329,-4.4
2011-01-09,99.0,74.208,47.0,15.042,17.542,2.5,,24.0,9.5,3.471,-2.1
2011-01-10,100.0,69.333,39.0,19.542,27.75,8.208,,26.625,9.5,3.954,-2.2
2011-01-11,88.0,63.958,43.0,11.958,15.792,3.833,,19.625,10.1,4.079,0.8
2011-01-12,70.0,49.375,33.0,15.833,20.625,4.792,,20.0,5.9,1.175,-3.0
2011-01-13,91.0,60.583,32.0,25.625,51.0,25.375,,24.875,10.8,2.521,-4.5
2011-01-14,87.0,52.708,31.0,13.043,18.435,5.391,,19.208,7.5,2.762,-1.7
2011-01-15,82.0,60.667,40.0,11.958,15.75,3.792,,23.875,7.2,2.246,-3.1
2011-01-16,79.0,60.333,43.0,15.542,21.083,5.542,,29.75,5.6,2.667,-0.8
2011-01-17,90.0,64.5,42.0,13.708,19.333,5.625,,26.167,7.6,3.104,-0.9
2011-01-18,92.0,71.833,45.0,25.083,52.625,27.542,,36.583,8.5,2.362,-3.5
2011-01-19,99.0,78.333,53.0,15.727,23.727,8.0,,31.087,10.1,4.171,-2.0
2011-01-20,100.0,96.917,82.0,8.667,8.917,0.25,,25.0,4.0,2.388,1.7
2011-01-21,100.0,92.5,80.0,8.348,9.0,0.652,,16.25,3.8,2.529,1.3
2011-01-22,100.0,93.625,81.0,7.875,9.375,1.5,,16.333,6.6,3.946,1.5
2011-01-23,100.0,92.417,72.0,15.333,34.792,19.458,,23.667,6.8,2.688,0.2
2011-01-24,100.0,73.833,36.0,16.5,22.833,6.333,,18.375,4.8,1.292,-2.9
2011-01-25,98.0,68.292,25.0,16.792,28.458,11.667,,20.25,8.4,2.3,-2.4
2011-01-26,100.0,57.542,24.0,12.708,16.25,3.542,,19.333,5.8,0.75,-2.7
2011-01-27,93.0,66.958,35.0,18.417,30.333,11.917,,23.5,6.5,-0.117,-5.8
2011-01-28,85.0,56.542,31.0,9.087,10.0,0.913,,25.25,5.2,0.542,-3.1
2011-01-29,86.0,52.125,29.0,5.167,5.958,0.792,,17.417,4.9,0.583,-5.7
2011-01-30,79.0,51.542,25.0,14.625,21.0,6.375,,18.375,5.7,0.888,-3.8
