date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,99.0,82.833,61.0,10.083,15.0,4.917,16.625,91.0,24.458,-34.0
2011-01-02,99.0,65.0,27.0,7.833,11.875,4.042,9.833,105.0,28.333,-26.0
2011-01-03,98.0,56.792,21.0,9.583,13.917,4.333,2.917,91.0,16.417,-58.0
2011-01-04,91.0,58.333,27.0,8.5,12.583,4.083,5.875,100.0,29.542,-28.0
2011-01-05,92.0,62.292,28.0,13.708,23.792,10.083,6.167,83.0,7.708,-44.0
2011-01-06,99.0,67.667,28.0,18.083,38.875,20.792,11.458,95.0,10.958,-67.0
2011-01-07,93.0,60.667,26.0,13.25,24.958,11.708,5.583,75.0,15.208,-36.0
2011-01-08,99.0,66.792,25.0,14.458,24.417,9.958,8.042,79.0,0.542,-71.0
2011-01-09,99.0,75.042,54.0,14.542,22.417,7.875,9.208,92.0,26.375,-27.0
2011-01-10,99.0,81.214,51.0,16.696,36.391,19.696,12.043,58.0,17.929,-17.0
2011-01-11,99.0,68.167,37.0,10.833,19.375,8.542,8.083,66.0,22.25,-28.0
2011-01-12,90.0,57.25,20.0,17.583,38.042,20.458,10.958,52.0,-11.708,-72.0
2011-01-13,99.0,63.042,24.0,21.458,50.375,28.917,17.417,102.0,11.333,-72.0
2011-01-14,99.0,54.417,18.0,14.667,25.333,10.667,8.125,72.0,7.542,-52.0
2011-01-15,93.0,64.292,34.0,10.125,14.417,4.292,15.125,66.0,4.167,-53.0
2011-01-16,89.0,57.458,35.0,12.292,18.458,6.167,12.833,54.0,17.875,-24.0
2011-01-17,89.0,61.833,43.0,11.75,19.667,7.917,7.958,64.0,22.958,-26.0
2011-01-18,98.0,72.292,33.0,21.833,49.917,28.083,22.0,87.0,12.625,-49.0
2011-01-19,99.0,74.375,58.0,12.5,25.25,12.75,16.875,87.0,39.208,-33.0
2011-01-20,99.0,91.458,68.0,4.417,6.208,1.792,10.542,46.0,34.625,28.0
2011-01-21,99.0,89.542,79.0,5.583,8.625,3.042,5.958,48.0,31.417,23.0
2011-01-22,99.0,97.0,86.0,5.667,7.833,2.167,1.542,58.0,36.0,5.0
2011-01-23,99.0,91.708,74.0,9.882,18.118,8.235,7.7,55.0,19.0,-12.0
2011-01-24,99.0,73.292,29.0,12.542,22.792,10.25,5.542,50.0,5.0,-34.0
2011-01-25,99.0,71.917,14.0,12.042,20.708,8.667,8.417,87.0,11.667,-41.0
2011-01-26,99.0,54.792,21.0,12.583,20.708,8.125,9.083,51.0,-3.042,-50.0
2011-01-27,98.0,60.667,29.0,15.5,26.333,10.833,10.833,59.0,-9.583,-75.0
2011-01-28,87.0,52.833,22.0,8.417,12.083,3.667,10.167,47.0,-3.083,-50.0
2011-01-29,97.0,56.542,18.0,10.292,14.458,4.167,10.333,57.0,-16.458,-74.0
2011-01-30,98.0,61.042,23.0,16.375,31.708,15.333,12.583,45.0,-19.333,-81.0
2011-01-31,93.0,57.375,21.0,15.5,28.458,12.958,9.375,79.0,-2.5,-79.0
2011-02-01,99.0,62.542,24.0,14.667,27.333,12.667,10.875,105.0,12.25,-67.0
2011-02-02,67.0,35.417,18.0,6.208,8.542,2.333,10.417,49.0,9.417,-37.0
2011-02-03,97.0,56.542,19.0,17.875,37.625,19.75,9.917,65.0,-11.667,-77.0
2011-02-04,99.0,52.917,20.0,14.958,34.125,19.167,13.792,105.0,17.208,-77.0
2011-02-05,99.0,73.75,39.0,8.167,10.5,2.333,10.875,67.0,24.375,-48.0
2011-02-06,99.0,92.5,65.0,14.565,27.348,12.783,22.261,85.0,40.0,-9.0
2011-02-07,99.0,96.375,92.0,20.292,32.5,12.208,19.375,81.0,64.75,47.0
2011-02-08,96.0,55.917,32.0,7.167,12.5,5.333,6.083,65.0,41.0,-13.0
2011-02-09,81.0,46.75,16.0,10.583,17.417,6.833,4.875,69.0,14.833,-29.0
2011-02-10,93.0,62.375,16.0,11.25,22.208,10.958,9.75,93.0,22.417,-44.0
2011-02-11,99.0,53.5,19.0,5.667,8.75,3.083,8.375,84.0,24.667,-38.0
2011-02-12,91.0,52.167,23.0,6.167,9.0,2.833,7.458,80.0,14.042,-37.0
2011-02-13,84.0,67.875,42.0,13.792,21.208,7.417,13.208,71.0,24.958,-43.0
2011-02-14,99.0,89.25,78.0,13.417,17.958,4.542,17.333,62.0,46.042,23.0
2011-02-15,99.0,71.125,44.0,10.625,17.125,6.5,27.917,100.0,51.292,15.0
2011-02-16,93.0,55.083,34.0,9.583,13.417,3.833,15.167,37.0,14.5,-4.0
2011-02-17,99.0,76.0,50.0,8.417,12.083,3.667,11.542,59.0,14.167,-13.0
2011-02-18,89.0,48.792,20.0,6.708,9.958,3.25,8.792,44.0,-0.083,-52.0
2011-02-19,88.0,51.958,16.0,9.542,13.167,3.625,11.167,64.0,-9.083,-81.0
2011-02-20,94.0,55.333,19.0,15.522,34.0,18.478,16.522,97.0,19.375,-60.0
2011-02-21,94.0,59.167,25.0,15.583,34.375,18.792,20.958,128.0,47.708,-40.0
2011-02-22,76.0,62.333,44.0,12.792,23.583,10.792,26.125,87.0,51.625,21.0
2011-02-23,98.0,93.792,68.0,13.75,23.5,9.75,22.833,96.0,60.792,37.0
2011-02-24,86.0,57.167,27.0,9.333,19.417,10.083,19.917,128.0,75.25,22.0
2011-02-25,99.0,87.708,62.0,6.25,11.792,5.542,8.958,66.0,38.125,26.0
2011-02-26,89.0,58.208,41.0,4.125,7.792,3.667,5.75,70.0,37.042,6.0
2011-02-27,83.0,42.917,19.0,6.167,10.792,4.625,12.292,84.0,22.75,-18.0
2011-02-28,79.0,58.458,28.0,10.917,15.875,4.958,10.792,55.0,9.417,-44.0
2011-03-01,97.0,80.75,58.0,11.958,17.208,5.25,10.0,123.0,68.333,15.0
2011-03-02,98.0,86.417,45.0,11.0,15.542,4.542,11.958,86.0,56.792,31.0
2011-03-03,98.0,66.25,45.0,5.125,7.125,2.0,9.708,91.0,46.417,10.0
2011-03-04,98.0,65.125,50.0,4.125,5.375,1.25,17.0,58.0,33.5,11.0
2011-03-05,98.0,97.833,97.0,11.458,15.375,3.917,7.083,117.0,60.375,16.0
2011-03-06,97.0,92.333,75.0,9.583,13.792,4.208,6.667,125.0,93.583,65.0
2011-03-07,98.0,61.792,26.0,6.292,8.708,2.417,14.75,148.0,108.542,85.0
2011-03-08,86.0,71.25,52.0,7.652,9.739,2.087,13.087,100.0,80.083,64.0
2011-03-09,98.0,95.667,88.0,9.167,11.875,2.708,12.042,77.0,62.292,45.0
2011-03-10,98.0,91.208,79.0,4.708,5.958,1.25,2.458,56.0,37.417,9.0
2011-03-11,98.0,80.667,51.0,3.792,4.667,0.875,4.708,77.0,39.292,-3.0
2011-03-12,99.0,55.25,17.0,5.292,6.875,1.583,2.792,108.0,44.25,-13.0
2011-03-13,89.0,55.667,16.0,7.25,9.583,2.333,4.917,95.0,42.25,-18.0
2011-03-14,95.0,64.667,32.0,11.375,15.542,4.167,8.375,90.0,34.917,-17.0
2011-03-15,98.0,52.417,14.0,10.792,16.792,6.0,10.75,118.0,44.375,-24.0
2011-03-16,85.0,60.417,36.0,14.042,19.083,5.042,17.542,81.0,34.25,-29.0
2011-03-17,98.0,92.417,77.0,17.583,23.083,5.5,18.125,95.0,72.375,41.0
2011-03-18,98.0,90.542,71.0,7.208,8.833,1.625,15.625,99.0,82.542,66.0
2011-03-19,97.0,44.958,17.0,4.25,5.958,1.708,6.0,106.0,70.875,32.0
2011-03-20,92.0,50.75,32.0,4.375,5.75,1.375,13.75,119.0,63.25,20.0
2011-03-21,83.0,41.125,15.0,7.583,10.208,2.625,9.375,112.0,50.417,-4.0
2011-03-22,96.0,63.625,27.0,18.609,29.957,11.348,28.913,130.0,50.833,-25.0
2011-03-23,98.0,83.833,50.0,11.25,20.75,9.5,28.125,114.0,69.667,26.0
2011-03-24,98.0,91.667,81.0,9.333,11.833,2.5,7.917,91.0,57.708,18.0
2011-03-25,97.0,56.792,18.0,6.458,7.917,1.458,6.25,129.0,58.208,0.0
2011-03-26,96.0,53.292,19.0,12.0,16.875,4.875,6.583,102.0,38.75,-20.0
2011-03-27,91.0,54.042,14.0,11.583,17.667,6.083,12.292,142.0,57.875,-30.0
