date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,18.208,20.917,2.708,,1.0,16.875
2011-01-02,11.739,13.304,1.565,,0.652,12.167
2011-01-03,6.375,6.542,0.167,,0.458,2.792
2011-01-04,12.042,13.792,1.75,,1.25,7.417
2011-01-05,12.167,13.75,1.583,,0.833,3.833
2011-01-06,25.0,37.292,12.292,,1.625,11.792
2011-01-07,8.792,9.458,0.667,,0.5,3.167
2011-01-08,8.25,8.667,0.417,,0.542,2.458
2011-01-09,24.304,29.957,5.652,,1.652,20.583
2011-01-10,32.292,42.417,10.125,,1.25,18.833
2011-01-11,19.458,28.208,8.75,,1.458,18.542
2011-01-12,18.826,25.478,6.652,,0.773,7.773
2011-01-13,33.292,52.083,18.792,,1.458,14.625
2011-01-14,13.583,16.917,3.333,,1.125,8.208
2011-01-15,21.417,25.0,3.583,,1.458,14.292
2011-01-16,23.609,32.217,8.609,,1.174,20.625
2011-01-17,30.833,44.583,13.75,,1.167,19.25
2011-01-18,37.75,56.167,18.417,,2.083,25.917
2011-01-19,23.917,35.625,11.708,,1.625,24.208
2011-01-20,19.292,21.417,2.125,,0.417,15.542
2011-01-21,17.125,18.25,1.125,,0.0,11.917
2011-01-22,16.625,24.458,7.833,,0.042,6.375
2011-01-23,24.87,65.783,40.913,,0.609,16.0
2011-01-24,22.333,32.292,9.958,,0.75,10.125
2011-01-25,27.625,45.333,17.708,,1.0,16.5
2011-01-26,22.333,29.25,6.917,,1.042,10.5
2011-01-27,27.348,45.826,18.478,,1.478,14.292
2011-01-28,18.917,28.375,9.458,,1.625,12.708
2011-01-29,7.917,8.167,0.25,,1.0,5.875
2011-01-30,23.652,36.217,12.565,,1.087,6.708
2011-01-31,23.167,28.958,5.792,,1.292,9.583
2011-02-01,24.917,40.25,15.333,,1.917,11.958
2011-02-02,11.208,12.042,0.833,,1.333,2.222
2011-02-03,30.167,48.458,18.292,,1.667,12.25
2011-02-04,26.0,38.625,12.625,,1.542,16.417
2011-02-05,16.5,17.917,1.417,,2.042,15.292
2011-02-06,35.13,43.826,8.696,,1.565,44.0
2011-02-07,33.375,50.0,16.625,,1.0,39.167
2011-02-08,11.542,13.0,1.458,,0.958,4.0
2011-02-09,16.957,21.0,4.043,,0.913,3.391
2011-02-10,34.958,56.875,21.917,,1.542,15.75
2011-02-11,12.583,13.458,0.875,,1.042,8.958
2011-02-12,9.292,10.0,0.708,,0.917,11.5
2011-02-13,28.957,36.783,7.826,,1.739,17.208
2011-02-14,31.292,38.667,7.375,,1.167,34.833
2011-02-15,25.667,41.375,15.708,,1.458,29.5
2011-02-16,19.25,21.292,2.042,,0.958,12.375
2011-02-17,21.375,27.125,5.75,,0.875,20.0
2011-02-18,9.042,9.375,0.333,,1.0,7.75
2011-02-19,20.292,25.667,5.375,,1.292,11.458
2011-02-20,30.652,38.913,8.261,,1.565,15.875
2011-02-21,34.583,43.833,9.25,,1.583,17.542
2011-02-22,19.917,21.667,1.75,,2.542,21.5
2011-02-23,28.0,36.25,8.25,,1.042,29.458
2011-02-24,15.417,15.667,0.25,,3.375,24.917
2011-02-25,17.5,18.25,0.75,,0.792,13.917
2011-02-26,11.333,11.75,0.417,,0.833,8.167
2011-02-27,5.957,6.13,0.174,,0.87,8.458
2011-02-28,19.792,21.5,1.708,,1.0,9.0
2011-03-01,36.167,57.833,21.667,,0.792,18.583
2011-03-02,31.625,58.75,27.125,,0.792,20.75
2011-03-03,12.833,13.25,0.417,,1.0,11.375
2011-03-04,9.542,9.708,0.167,,0.833,17.458
2011-03-05,29.087,39.261,10.174,,0.304,8.792
2011-03-06,31.708,55.708,24.0,,1.125,20.583
2011-03-07,21.957,26.13,4.174,,1.304,32.0
2011-03-08,18.458,19.5,1.042,,1.0,18.75
2011-03-09,21.0,21.917,0.917,,0.292,15.5
2011-03-10,10.708,11.042,0.333,,0.0,3.042
2011-03-11,13.792,14.75,0.958,,1.0,9.042
2011-03-12,11.0,12.087,1.087,,0.87,3.333
2011-03-13,11.5,11.958,0.458,,0.792,3.042
2011-03-14,22.417,24.083,1.667,,1.292,12.75
2011-03-15,18.375,23.417,5.042,,1.0,15.375
2011-03-16,21.333,23.583,2.25,,1.333,18.167
2011-03-17,36.042,40.917,4.875,,1.25,35.792
2011-03-18,25.0,37.333,12.333,,0.958,36.292
2011-03-19,8.913,9.304,0.391,,0.609,6.042
2011-03-20,14.417,15.25,0.833,,1.125,13.625
2011-03-21,6.625,6.958,0.333,,0.708,8.458
2011-03-22,42.042,55.292,13.25,,1.583,29.333
2011-03-23,38.792,47.042,8.25,,1.417,41.958
2011-03-24,20.25,23.0,2.75,,0.667,13.25
2011-03-25,12.125,13.417,1.292,,0.833,5.875
2011-03-26,11.739,12.217,0.478,,1.13,7.333
2011-03-27,21.625,22.917,1.292,,1.417,15.708
2011-03-28,22.208,25.458,3.25,,1.667,24.333
2011-03-29,16.833,18.125,1.292,,1.208,13.667
2011-03-30,30.417,43.792,13.375,,1.625,27.167
2011-03-31,6.125,6.208,0.083,,0.625,14.333
2011-04-01,21.125,22.792,1.667,,1.25,19.375
2011-04-02,21.542,24.0,2.458,,1.542,31.375
2011-04-03,11.583,12.375,0.792,,0.5,13.083
2011-04-04,7.609,7.783,0.174,,0.435,9.417
2011-04-05,23.583,26.25,2.667,,1.292,14.792
2011-04-06,31.739,36.174,4.435,,1.727,20.591
2011-04-07,26.917,29.667,2.75,,1.5,22.333
2011-04-08,10.792,11.333,0.542,,0.875,15.167
2011-04-09,15.417,16.792,1.375,,0.417,18.458
2011-04-10,10.667,11.125,0.458,,1.125,16.167
2011-04-11,19.913,21.435,1.522,,1.391,30.583
2011-04-12,8.542,8.75,0.208,,0.5,19.667
2011-04-13,27.417,30.125,2.708,,1.292,21.917
2011-04-14,33.458,35.542,2.083,,2.542,33.542
2011-04-15,25.25,28.708,3.458,,2.625,36.417
2011-04-16,9.542,10.125,0.583,,1.083,24.125
2011-04-17,9.083,9.375,0.292,,0.917,15.25
2011-04-18,13.217,14.87,1.652,,0.957,15.75
2011-04-19,13.042,14.333,1.292,,0.0,12.583
2011-04-20,18.375,24.458,6.083,,0.375,13.083
2011-04-21,17.292,20.333,3.042,,0.792,14.0
2011-04-22,19.125,20.792,1.667,,0.917,28.375
2011-04-23,10.083,11.5,1.417,,0.375,15.0
2011-04-24,6.792,7.417,0.625,,0.625,9.875
2011-04-25,14.565,16.13,1.565,,0.739,15.458
2011-04-26,21.792,24.0,2.208,,1.292,15.625
2011-04-27,12.652,14.0,1.348,,1.043,33.0
2011-04-28,8.208,8.5,0.292,,0.5,13.5
2011-04-29,12.458,13.417,0.958,,1.167,13.417
2011-04-30,15.958,16.875,0.917,,1.5,24.667
2011-05-01,11.375,12.0,0.625,,0.708,20.875
2011-05-02,10.409,10.818,0.409,,0.727,82.217
2011-05-03,10.875,11.75,0.875,,0.542,51.917
2011-05-04,10.0,10.542,0.542,,0.75,30.625
2011-05-05,7.125,8.083,0.958,,0.208,21.042
2011-05-06,13.167,15.625,2.458,,0.542,19.958
2011-05-07,20.958,24.5,3.542,,0.292,37.542
2011-05-08,11.792,13.375,1.583,,1.0,29.333
2011-05-09,16.304,16.783,0.478,,1.348,23.083
2011-05-10,28.333,30.75,2.417,,1.083,35.125
2011-05-11,19.417,21.083,1.667,,0.0,23.333
2011-05-12,16.7,17.8,1.1,,0.0,19.25
2011-05-13,21.583,29.042,7.458,,0.333,22.125
2011-05-14,17.833,19.292,1.458,,1.0,47.667
2011-05-15,9.0,9.208,0.208,,1.0,16.667
2011-05-16,17.087,18.913,1.826,,1.174,26.083
2011-05-17,22.25,24.125,1.875,,1.125,41.542
2011-05-18,22.5,24.167,1.667,,1.458,48.167
2011-05-19,25.417,26.833,1.417,,1.292,43.708
2011-05-20,31.042,34.583,3.542,,2.0,41.333
2011-05-21,21.417,24.208,2.792,,1.292,43.875
2011-05-22,12.583,14.375,1.792,,0.583,31.042
2011-05-23,14.087,16.087,2.0,,0.217,17.458
2011-05-24,16.706,17.588,0.882,,0.042,13.0
2011-05-25,23.208,28.167,4.958,,1.0,17.208
2011-05-26,18.958,21.042,2.083,,1.083,23.75
2011-05-27,23.625,26.292,2.667,,0.583,28.292
2011-05-28,15.833,16.083,0.25,,0.0,29.333
2011-05-29,9.75,10.667,0.917,,0.0,14.083
2011-05-30,6.174,6.609,0.435,,0.0,7.125
2011-05-31,6.708,8.542,1.833,,0.083,10.333
2011-06-01,14.957,17.522,2.565,,0.565,34.0
2011-06-02,27.042,32.958,5.917,,0.0,46.833
2011-06-03,26.0,30.375,4.375,,1.125,30.542
2011-06-04,17.875,19.208,1.333,,1.083,43.792
2011-06-05,16.583,17.375,0.792,,1.25,58.708
2011-06-06,10.565,10.696,0.13,,0.826,36.0
2011-06-07,22.417,23.875,1.458,,2.833,47.208
2011-06-08,19.958,20.875,0.917,,0.917,13.917
2011-06-09,20.708,21.75,1.042,,1.292,25.875
2011-06-10,18.333,19.375,1.042,,1.667,31.833
2011-06-11,16.833,17.5,0.667,,0.708,37.792
2011-06-12,16.792,17.292,0.5,,1.792,42.417
2011-06-13,25.957,27.522,1.565,,1.87,36.5
2011-06-14,21.792,24.0,2.208,,1.958,25.292
2011-06-15,18.25,20.208,1.958,,1.292,10.167
2011-06-16,27.75,32.542,4.792,,1.167,24.333
2011-06-17,12.609,14.087,1.478,,0.0,14.739
2011-06-18,24.708,28.125,3.417,,1.25,24.083
2011-06-19,12.167,12.5,0.333,,0.958,31.917
2011-06-20,17.043,19.435,2.391,,0.652,25.083
2011-06-21,18.5,25.208,6.708,,0.208,11.875
2011-06-22,31.458,36.708,5.25,,2.417,30.417
2011-06-23,20.167,24.458,4.292,,0.958,36.292
2011-06-24,11.583,15.542,3.958,,0.292,22.833
2011-06-25,11.375,15.333,3.958,,0.417,17.417
2011-06-26,8.458,11.708,3.25,,0.208,27.708
2011-06-27,18.435,23.565,5.13,,0.087,31.333
2011-06-28,27.542,35.0,7.458,,1.667,48.292
2011-06-29,19.391,21.13,1.739,,2.652,26.435
2011-06-30,22.583,24.625,2.042,,1.292,31.167
2011-07-01,22.167,26.25,4.083,,1.583,40.333
2011-07-02,10.458,12.792,2.333,,1.208,56.75
2011-07-03,11.833,13.375,1.542,,1.083,27.5
2011-07-04,11.522,13.478,1.957,,0.696,40.542
2011-07-05,16.375,17.875,1.5,,0.833,24.625
2011-07-06,16.042,17.25,1.208,,1.792,29.833
2011-07-07,16.458,18.875,2.417,,0.708,25.333
2011-07-08,26.708,41.042,14.333,,1.417,41.167
2011-07-09,21.25,32.625,11.375,,2.417,37.042
2011-07-10,9.458,10.25,0.792,,0.625,17.375
2011-07-11,14.826,17.043,2.217,,1.0,17.25
2011-07-12,11.458,15.125,3.667,,0.375,13.083
2011-07-13,13.042,17.0,3.958,,0.542,16.708
2011-07-14,13.875,16.333,2.458,,0.583,14.958
2011-07-15,20.542,25.708,5.167,,1.75,21.542
2011-07-16,11.208,12.792,1.583,,3.125,22.5
2011-07-17,7.667,8.875,1.208,,2.125,21.667
2011-07-18,6.565,10.0,3.435,,1.478,18.042
2011-07-19,9.375,17.375,8.0,,1.0,31.917
2011-07-20,8.667,13.458,4.792,,0.333,27.042
2011-07-21,7.875,10.833,2.958,,0.0,9.417
2011-07-22,10.792,14.208,3.417,,0.375,11.708
2011-07-23,9.417,12.375,2.958,,0.125,7.625
2011-07-24,9.708,11.833,2.125,,0.833,15.542
2011-07-25,11.696,13.609,1.913,,0.783,23.333
2011-07-26,17.583,21.042,3.458,,0.625,16.208
2011-07-27,29.0,33.625,4.625,,1.0,27.292
2011-07-28,18.0,20.478,2.478,,0.65,27.35
2011-07-29,22.417,28.042,5.625,,0.583,27.292
2011-07-30,11.25,13.083,1.833,,0.5,14.0
2011-07-31,7.208,9.958,2.75,,0.0,18.458
2011-08-01,10.87,13.957,3.087,,0.87,21.875
2011-08-02,16.583,20.625,4.042,,1.583,30.458
2011-08-03,16.042,20.708,4.667,,1.292,18.5
2011-08-04,13.083,19.5,6.417,,0.583,18.333
2011-08-05,11.792,17.042,5.25,,0.474,12.25
2011-08-06,14.125,17.958,3.833,,0.875,19.667
2011-08-07,9.458,10.5,1.042,,1.0,16.625
2011-08-08,17.0,17.957,0.957,,1.826,26.458
2011-08-09,18.375,19.625,1.25,,1.458,29.583
2011-08-10,17.958,19.25,1.292,,1.542,38.125
2011-08-11,18.667,19.583,0.917,,2.167,44.833
2011-08-12,17.25,18.167,0.917,,1.917,41.417
2011-08-13,11.042,11.667,0.625,,2.083,51.083
2011-08-14,8.625,9.0,0.375,,1.625,54.917
2011-08-15,9.565,10.739,1.174,,0.826,27.25
2011-08-16,10.417,11.625,1.208,,1.208,33.292
2011-08-17,12.417,13.708,1.292,,1.5,30.75
