date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,205.89600000000002,79.0,61.396,47.0,27.125,19.708333333333332,38.55566666666667,18.847333333333335,,1.0,36.222,62.0,24.4375,-3.0,233.02100000000002,7.042
2011-01-02,199.04149999999998,86.5,59.0,31.5,14.75,12.305333333333332,19.458333333333332,7.153,,0.875,20.208333333333332,103.0,37.5205,-9.5,213.792,4.417
2011-01-03,192.8475,52.0,35.521,20.5,8.5655,9.205666666666668,13.839333333333334,4.633666666666667,,1.0,9.764000000000001,103.5,54.4375,23.0,201.413,3.435
2011-01-04,197.239,72.5,48.9165,28.0,15.087,16.166666666666668,29.472333333333335,13.305666666666667,,1.167,14.708333333333334,95.5,35.4165,-17.5,212.326,4.708
2011-01-05,194.7295,59.5,38.521,20.0,9.6665,17.413,36.12733333333333,18.714333333333332,,1.042,11.444333333333333,79.0,36.021,-6.0,204.39600000000002,3.625
2011-01-06,197.72899999999998,66.0,43.4585,23.5,18.6875,29.180666666666667,65.62466666666667,36.44433333333333,,1.708,20.221999999999998,100.0,41.3335,-3.0,216.41649999999998,5.167
2011-01-07,195.79149999999998,75.5,39.5415,22.0,9.5625,14.944333333333333,32.208,17.264,,1.0,12.735999999999999,83.5,41.146,-7.5,205.3545,3.292
2011-01-08,196.97899999999998,53.5,38.2085,23.5,10.375,11.889000000000001,18.958333333333332,7.069333333333333,,1.125,12.388666666666666,87.5,40.5,-2.5,207.35399999999998,4.125
2011-01-09,200.5625,81.0,56.9165,36.5,19.104,23.35433333333333,47.486,24.131666666666664,,1.708,26.843333333333334,98.5,37.7085,-13.5,219.66649999999998,5.583
2011-01-10,199.522,83.5,55.5205,31.0,22.5,29.923000000000002,79.05333333333334,49.13033333333334,,1.217,30.666666666666668,94.5,44.0415,-19.5,222.022,6.0
2011-01-11,196.75,70.0,56.4165,35.0,18.6665,23.805333333333333,55.44433333333333,31.638666666666666,,1.458,25.653000000000002,93.0,37.8955,8.0,215.41649999999998,4.333
2011-01-12,195.0,63.0,38.292,19.0,15.8335,23.916666666666668,64.06933333333333,40.15266666666667,,1.042,19.25,68.0,17.6875,-21.0,210.833,4.417
2011-01-13,199.5625,67.5,46.479,23.5,28.875,36.361,90.98633333333333,54.625,,1.917,23.430666666666667,105.5,30.4375,-39.0,228.4375,5.542
2011-01-14,198.6455,65.5,40.708,23.0,17.292,22.903000000000002,59.611,36.708,,1.0,15.958333333333334,75.0,28.5835,-11.0,215.9375,5.458
2011-01-15,202.8125,64.0,48.5,30.5,21.958,23.277666666666665,41.708333333333336,18.430666666666667,,1.583,28.444666666666667,69.0,20.708,-25.0,224.77100000000002,6.208
2011-01-16,198.543,63.0,47.542,33.0,19.6525,30.346999999999998,71.69433333333333,41.34733333333333,,1.25,35.67066666666667,48.5,25.2915,-4.0,218.19549999999998,5.5
2011-01-17,196.478,76.0,51.0,29.0,18.2605,27.656333333333333,75.06466666666667,47.40833333333334,,1.304,24.527666666666665,74.5,30.7915,-10.5,214.73950000000002,4.652
2011-01-18,202.2705,79.5,60.4165,36.5,38.8335,38.0,118.04133333333334,80.04166666666667,,2.125,41.65266666666667,89.0,22.0415,-34.5,241.10399999999998,7.583
2011-01-19,198.14600000000002,78.0,62.25,46.0,25.396,25.861,65.55566666666667,39.69466666666667,,2.292,36.389,100.5,42.729,-19.5,223.54149999999998,4.375
