date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CO_mean
2011-01-01,94.0,73.792,55.0,19.5,28.438,8.938,,1.167,33.0,8.8,3.592,0.3,7.333
2011-01-02,98.0,71.333,37.0,12.646,21.604,8.958,,1.083,25.75,10.4,4.433,-0.3,6.042
2011-01-03,68.0,44.75,28.0,7.592,9.034,1.442,,1.0,10.708,10.8,5.679,2.0,4.458
2011-01-04,88.0,62.125,40.0,17.292,25.208,7.916,,1.0,16.562,9.9,3.758,-1.9,6.13
2011-01-05,70.0,44.208,26.0,10.834,13.208,2.375,,1.0,10.438,9.9,4.442,0.0,4.375
2011-01-06,81.0,56.583,31.0,26.47,51.184,24.714,,1.625,22.062,11.1,4.379,0.7,7.75
2011-01-07,93.0,55.917,30.0,15.292,26.104,10.812,,1.0,15.666,9.3,3.221,-2.8,5.667
2011-01-08,68.0,50.625,31.0,12.375,14.938,2.562,,0.958,14.312,10.3,4.238,-0.5,5.292
2011-01-09,98.0,70.708,49.0,22.166,31.021,8.854,,1.667,30.896,11.8,4.592,-1.0,6.833
2011-01-10,98.0,71.958,41.0,26.019,48.398,22.379,,1.167,30.938,10.3,4.725,-1.9,6.875
2011-01-11,98.0,78.0,50.0,20.125,31.75,11.625,,1.739,22.445,11.7,4.088,-1.0,5.217
2011-01-12,85.0,53.708,32.0,18.98,38.584,19.604,,0.917,19.479,7.5,1.729,-2.8,6.667
2011-01-13,91.0,66.208,37.0,34.526,75.371,40.845,,1.917,27.0,11.7,3.308,-4.5,8.625
2011-01-14,95.0,59.0,31.0,20.167,34.084,13.916,,1.083,16.77,8.2,2.517,-2.8,6.875
2011-01-15,79.0,63.125,41.0,23.312,34.208,10.896,,1.208,28.438,7.2,2.062,-2.5,8.208
2011-01-16,89.0,65.25,49.0,24.729,48.854,24.125,,1.125,31.0,5.2,2.617,-1.0,7.292
2011-01-17,92.0,62.25,41.0,16.614,26.092,9.479,,1.0,15.125,8.7,3.725,-1.0,5.5
2011-01-18,99.0,76.75,48.0,32.521,74.333,41.812,,1.87,31.708,10.2,2.85,-3.7,7.522
2011-01-19,92.0,75.708,59.0,21.812,47.562,25.75,,2.375,33.771,11.9,4.9,-1.9,5.625
2011-01-20,100.0,97.042,75.0,12.598,14.689,2.091,,1.0,26.833,5.4,2.475,1.4,3.917
2011-01-21,99.0,95.917,89.0,11.666,13.666,2.0,,0.375,20.104,3.6,2.788,2.2,3.708
