date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,202.958,60.0,51.917,46.0,17.833,23.6045,28.1875,4.5835,18.8335,1.792,19.125,87.5,61.4795,34.0,220.792
2011-01-02,198.625,74.5,55.0415,36.0,15.375,18.396,23.3125,4.9165,13.6875,1.625,15.9375,105.5,63.2295,41.0,214.0
2011-01-03,193.708,48.5,38.7085,28.5,10.833,13.104,15.646,2.542,2.3955,1.083,5.5625,95.0,68.604,47.5,204.542
2011-01-04,197.391,57.5,48.521,41.5,14.609,22.8295,30.9755,8.146,8.703,1.667,10.464500000000001,90.0,58.604,32.5,212.0
2011-01-05,196.913,44.5,37.2085,27.0,11.043,20.896,27.7705,6.875,4.3125,1.087,6.875,85.5,58.7705,37.0,207.957
2011-01-06,201.826,65.0,47.021,34.0,15.696,38.538,61.7765,23.238500000000002,12.0425,3.478,15.183,82.5,63.5835,39.5,217.522
2011-01-07,198.042,58.5,43.5625,31.0,12.167,21.646,31.729,10.0835,4.8545,1.125,7.5625,83.0,57.9375,41.5,210.208
2011-01-08,198.417,47.0,39.4375,33.5,11.25,15.854,20.3125,4.4585,3.9585,1.042,7.5415,87.0,61.0415,36.0,209.667
2011-01-09,201.792,72.5,54.5415,46.5,17.458,29.875,41.083,11.207999999999998,17.2915,2.25,19.604,90.0,61.2085,33.0,219.25
2011-01-10,201.87,73.0,58.854,42.5,18.261,38.652,65.775,27.122999999999998,19.0835,3.25,22.4375,92.5,68.146,32.5,220.13
2011-01-11,198.739,75.0,58.833,40.5,22.304,31.2085,55.792,24.5835,17.646,2.174,20.5625,98.5,59.2705,25.5,221.043
2011-01-12,203.042,52.0,40.979,33.0,15.708,29.4265,46.4585,17.032,7.0835,1.5,10.6875,66.0,40.4585,12.0,218.75
2011-01-13,222.762,59.0,49.6385,40.5,27.0,44.0325,90.906,46.8735,18.1595,4.682,20.3915,91.0,57.708,17.0,249.762
2011-01-14,202.125,50.0,39.2295,32.0,16.042,24.1875,35.708,11.521,8.3125,2.083,11.4795,76.5,54.75,35.5,218.167
2011-01-15,206.5,48.5,44.0835,37.5,19.167,26.208,34.2295,8.0205,14.104,3.0,18.0205,64.5,47.1665,23.0,225.667
2011-01-16,199.261,47.0,42.354,39.5,17.957,30.3545,47.449,17.0955,17.3615,1.708,20.573999999999998,54.5,45.5,32.0,217.217
2011-01-17,195.348,58.5,47.1875,37.5,12.174,28.146,41.583,13.4375,11.75,1.739,14.8125,71.0,48.1455,31.5,207.522
2011-01-18,203.542,60.5,51.0835,44.5,26.417,45.920500000000004,85.312,39.3915,27.0625,3.542,29.3335,87.5,56.271,24.5,229.958
2011-01-19,199.522,69.0,57.8125,50.5,20.696,33.589,60.539,26.9505,26.937,2.696,29.514499999999998,98.0,64.542,32.5,220.217
2011-01-20,195.958,93.5,88.9165,75.0,15.167,27.5625,44.9585,17.396,20.2085,1.458,20.604,46.5,30.771,22.5,211.125
2011-01-21,195.292,93.5,86.2705,71.5,13.208,24.5625,40.604,16.042,11.1665,1.0,13.083,37.5,35.333,31.0,208.5
2011-01-22,195.565,95.0,84.771,72.5,13.478,22.222,34.614999999999995,12.3935,6.896,1.0,8.7705,79.5,57.3125,38.0,209.043
2011-01-23,226.783,95.5,84.5625,60.0,31.217,40.155,131.2235,91.068,17.8125,2.13,21.682000000000002,83.5,55.229,9.0,258.0
2011-01-24,206.083,92.5,58.2915,39.5,12.917,30.097,43.5535,13.4565,9.8125,2.292,11.271,47.5,32.0,10.5,219.0
2011-01-25,210.042,81.0,61.375,35.0,23.75,42.021,95.2915,53.2705,25.6665,3.958,25.979,75.0,44.229,13.0,233.792
2011-01-26,199.435,82.0,48.125,31.0,15.783,30.7065,49.5625,18.856,12.3125,1.783,14.631,57.5,32.3125,9.0,215.217
2011-01-27,205.375,62.0,50.375,38.0,24.125,37.3125,77.729,40.417,17.333,2.167,19.0625,73.5,36.75,8.0,229.5
2011-01-28,199.957,59.5,45.104,33.0,15.957,26.835,41.8975,15.0625,15.729500000000002,2.292,18.021,53.0,27.125,5.0,215.913
2011-01-29,195.87,45.5,37.896,28.0,8.391,13.229,16.271,3.042,6.9795,1.478,8.896,56.5,30.0205,14.0,204.261
2011-01-30,197.208,40.5,35.229,31.0,11.25,28.478,45.652499999999996,17.174,8.04,1.667,11.163,57.0,37.5835,19.5,208.458
2011-01-31,202.667,53.0,44.479,35.5,16.375,37.4585,62.375,24.917,14.875,2.542,16.2085,72.5,41.771,10.0,219.042
2011-02-01,198.458,58.0,44.8545,36.0,11.958,28.521,41.7085,13.1875,13.8125,3.125,16.4165,116.5,66.0205,27.5,210.417
2011-02-02,195.227,46.0,31.065,17.0,9.364,22.8425,34.8105,11.968,7.8375,1.696,10.3885,49.5,27.4165,11.0,204.591
2011-02-03,201.783,54.5,35.6045,24.5,12.391,36.4945,62.2085,25.714000000000002,13.396,4.042,14.7915,56.0,31.521,1.5,214.174
2011-02-04,205.87,57.0,41.083,26.5,22.87,39.6875,74.9375,35.25,17.229,3.826,19.9375,99.5,58.9795,13.0,228.739
2011-02-05,199.625,75.0,49.958,38.5,16.042,22.02,27.073999999999998,5.0545,15.707999999999998,2.917,18.6665,86.5,63.5415,38.5,215.667
2011-02-06,204.167,93.0,78.2085,61.0,23.375,38.179500000000004,63.7145,25.5355,36.042,1.875,37.729,61.5,53.0625,43.0,227.542
2011-02-07,202.875,95.5,91.167,82.0,27.75,39.25,87.5835,48.3335,33.4375,1.708,38.6875,101.0,78.5625,53.0,230.625
2011-02-08,195.083,81.5,44.5415,33.5,15.292,26.1875,38.4165,12.229,6.5,1.708,11.125,100.5,69.25,44.0,210.375
2011-02-09,195.739,41.0,33.1875,23.0,14.087,28.1975,43.188,14.991,6.7915,1.292,10.604,74.5,49.292,22.0,209.826
2011-02-10,205.818,78.5,45.771,36.0,16.727,38.4755,64.672,26.197000000000003,17.307000000000002,2.762,19.3715,82.0,57.1045,30.5,222.545
2011-02-11,202.417,78.0,47.8335,32.0,12.917,23.2265,33.323499999999996,10.097000000000001,12.8125,2.042,15.396,81.5,55.625,24.5,215.333
2011-02-12,196.292,45.0,37.3545,31.5,11.375,15.895499999999998,19.583,3.6875,9.3335,1.417,11.521,83.5,52.333,28.5,207.667
2011-02-13,198.125,61.0,45.5415,36.5,15.167,34.28,52.8595,18.5795,18.629,2.667,21.771,89.0,58.9585,22.0,213.292
2011-02-14,200.0,91.5,77.4375,45.5,23.292,38.051500000000004,67.951,29.8995,36.2915,1.958,40.875,67.5,54.854,39.5,223.292
2011-02-15,201.087,91.5,65.2915,40.5,23.783,36.6025,75.5135,38.911,49.6,2.333,36.208,117.5,78.521,55.5,224.87
2011-02-16,195.783,92.5,59.2295,39.0,13.739,27.6665,41.5,13.832999999999998,16.929,1.478,16.417,51.5,35.2295,24.0,209.522
2011-02-17,197.045,92.0,70.7915,37.5,18.455,30.2175,47.2705,17.0535,20.326999999999998,1.727,25.142,74.5,38.4585,13.0,215.5
2011-02-18,196.583,88.5,45.125,24.5,13.375,19.271,26.625,7.354,9.396,1.25,11.7085,52.0,25.4375,4.5,209.958
2011-02-19,201.458,54.0,41.3125,27.5,13.75,18.958,23.021,4.0625,13.021,2.417,13.4165,65.0,34.3955,-0.5,215.208
2011-02-20,212.792,72.0,46.958,23.5,20.083,39.5625,62.2085,22.6455,17.75,3.792,19.833,92.0,57.7915,11.5,232.875
2011-02-21,217.13,62.5,43.417,24.0,23.652,48.153,79.55449999999999,31.401500000000002,21.7085,5.0,25.1875,118.0,80.9375,36.0,240.783
2011-02-22,196.652,68.5,59.854,55.0,16.478,31.104,42.9795,11.875,22.6665,3.957,28.1665,95.0,80.0625,60.0,213.13
2011-02-23,210.318,94.0,84.521,46.0,25.773,40.7035,76.889,36.185500000000005,30.522,2.864,34.9755,114.0,79.333,53.5,236.091
2011-02-24,198.667,67.5,46.5,29.0,17.083,31.146,39.354,8.208,25.375,4.583,30.896,139.5,112.521,89.0,215.75
2011-02-25,196.292,94.0,86.4585,69.5,18.0,27.8125,39.8125,12.0,16.8125,1.417,17.875,90.0,59.3545,39.5,214.292
2011-02-26,195.042,67.0,51.5,36.5,14.292,13.9585,15.729500000000002,1.771,7.979,1.167,11.0415,89.0,61.229,43.0,209.333
2011-02-27,195.652,40.5,33.0625,27.0,13.261,20.0835,27.534,7.4505,10.8585,1.083,12.0825,77.5,47.604,21.0,208.913
2011-02-28,196.217,57.5,45.9375,35.0,13.478,25.229,35.4375,10.2085,11.854,1.609,12.9795,65.5,37.771,7.5,209.696
2011-03-01,205.25,89.0,78.7915,62.0,18.917,38.292,62.9375,24.646,19.4375,1.583,24.271,123.0,83.833,38.5,224.167
2011-03-02,194.591,94.5,86.5415,71.0,18.273,34.2655,54.1855,19.9205,16.5835,1.5,20.073999999999998,100.5,74.146,40.5,212.864
2011-03-03,194.917,93.5,67.2085,49.5,13.167,21.5415,28.167,6.625,12.8955,1.542,15.917000000000002,109.0,70.9585,39.5,208.083
2011-03-04,195.913,89.5,66.3125,56.0,13.348,15.098500000000001,17.8785,2.78,16.75,1.083,17.896,65.0,56.771,40.0,209.261
2011-03-05,198.87,95.0,92.958,89.0,22.913,36.3955,67.2085,30.8125,13.125,1.217,15.5835,100.0,59.375,28.5,221.783
2011-03-06,209.292,95.5,90.3955,81.0,34.417,43.038,114.98,71.94200000000001,26.0625,3.458,36.75,144.0,113.9585,86.5,243.708
2011-03-07,194.75,95.5,73.9585,51.5,19.917,31.951,49.9375,17.9865,29.7085,2.458,39.822500000000005,149.0,125.271,110.5,214.667
2011-03-08,193.542,82.5,68.5,56.0,17.583,27.75,37.6045,9.854,15.0835,1.708,19.3545,107.5,95.875,81.5,211.125
2011-03-09,195.522,94.0,91.875,82.0,21.13,31.762999999999998,52.0835,20.32,18.325499999999998,1.227,22.109499999999997,95.5,75.0415,54.5,216.652
2011-03-10,193.913,94.0,84.229,71.0,16.304,25.388,34.3825,8.9945,7.3955,1.0,8.771,74.0,53.3125,22.5,210.217
2011-03-11,199.739,80.0,70.5,54.0,13.043,18.9585,22.396,3.4375,15.292000000000002,1.957,14.8125,106.5,74.1045,42.5,212.783
2011-03-12,194.833,82.5,39.625,21.5,12.458,23.3485,29.485,6.1365,8.026499999999999,1.292,8.972,109.0,72.6665,43.0,207.292
2011-03-13,196.083,62.5,38.604,26.0,12.375,23.5205,30.6875,7.1665,6.1455,1.042,8.875,99.0,67.8125,37.0,208.458
2011-03-14,200.958,70.5,56.625,40.5,15.625,32.6875,45.083,12.396,13.229,2.667,16.479,98.5,72.25,36.5,216.583
2011-03-15,200.826,80.5,46.72,24.5,21.043,33.3335,55.894,22.561,19.4375,2.136,23.3705,118.0,81.125,51.5,221.87
2011-03-16,207.0,69.0,45.625,33.0,13.609,30.528,42.176500000000004,11.648499999999999,16.854,3.792,22.271,107.0,76.7085,37.5,220.609
2011-03-17,203.348,95.0,86.0415,61.0,27.174,46.542,79.125,32.5835,35.4585,1.826,40.375,101.5,73.4795,54.5,230.522
2011-03-18,212.208,95.0,87.75,79.0,21.125,33.9355,55.3185,21.383,30.8125,2.5,37.8335,118.5,100.8125,84.5,233.333
2011-03-19,195.833,92.5,41.8335,24.5,12.583,28.5285,40.339,11.811,8.6665,1.125,14.009,110.0,92.958,70.5,208.417
2011-03-20,198.083,55.0,42.271,30.0,12.208,26.667,33.0835,6.4165,12.979,2.708,18.2295,118.5,83.4375,48.5,210.292
2011-03-21,193.875,41.0,32.146,23.0,10.458,22.7295,29.104,6.375,8.3335,1.042,11.604,116.5,81.146,51.5,204.333
2011-03-22,218.696,46.5,41.1875,37.5,31.826,64.6195,134.644,70.0245,30.625,5.167,38.1665,141.5,103.9165,52.0,250.522
2011-03-23,200.409,94.5,72.396,46.5,19.591,47.4565,70.2425,22.786,32.5415,2.19,38.65,119.5,101.771,80.5,220.0
2011-03-24,197.0,94.0,80.3335,40.5,15.125,36.435,57.054500000000004,20.619500000000002,11.4585,3.25,16.2295,112.0,85.8545,67.0,212.125
2011-03-25,202.333,61.0,44.6875,30.5,14.417,25.4375,33.604,8.1665,7.8545,1.958,13.0625,130.0,96.7085,65.0,216.75
2011-03-26,197.875,44.5,35.2085,25.5,10.667,27.35,36.3635,9.0135,9.006,1.182,12.8165,107.5,84.1875,53.0,208.542
2011-03-27,209.708,69.0,45.271,27.5,12.625,31.708,40.4795,8.7705,13.7915,3.708,20.25,132.5,96.396,54.5,222.333
2011-03-28,210.182,71.5,52.833,33.0,21.318,44.935500000000005,67.9785,23.042499999999997,29.317999999999998,7.136,40.1315,168.0,113.75,72.5,231.5
2011-03-29,199.957,58.5,43.9585,29.0,19.304,30.5415,38.042,7.5,14.854,5.522,20.9075,158.5,116.5205,74.5,219.261
2011-03-30,192.583,66.0,57.729,49.0,11.042,18.939999999999998,20.4205,1.48,11.75,4.167,18.875,186.0,152.89600000000002,123.0,203.625
2011-03-31,189.708,92.5,64.0625,41.5,9.958,15.646,18.0415,2.396,8.9585,5.75,18.375,184.5,143.27100000000002,87.5,199.667
2011-04-01,196.0,72.0,54.875,41.0,13.917,31.521,39.354,7.833,19.104,3.167,24.1875,150.0,115.25,71.0,209.917
2011-04-02,200.042,76.0,58.917,41.0,20.542,42.0625,58.729,16.667,31.25,3.25,37.7915,180.0,137.625,100.0,220.583
2011-04-03,193.792,71.0,55.458,41.0,11.208,14.886,17.3565,2.471,12.5115,1.25,16.4795,96.0,82.583,77.0,205.0
2011-04-04,194.042,70.0,52.667,25.0,12.042,22.305,27.9695,5.664,11.8865,1.13,16.372500000000002,136.0,92.083,65.0,206.083
2011-04-05,200.25,65.0,45.708,32.0,13.5,32.942,41.2765,8.334,16.3125,3.333,22.2085,149.0,102.167,45.0,213.75
2011-04-06,200.333,69.0,51.875,35.0,21.083,48.5625,63.2705,14.7085,28.0835,6.333,34.771,186.0,141.75,90.0,221.417
2011-04-07,192.667,74.0,62.333,48.0,13.167,30.125,36.979,6.854,20.3545,6.833,26.4165,194.0,159.167,118.0,205.833
2011-04-08,189.095,69.0,62.174,54.0,8.81,16.4755,18.4715,1.996,13.1115,5.364,21.616,186.0,174.667,159.0,197.905
2011-04-09,190.667,99.0,86.25,62.0,13.0,21.924,25.6085,3.685,12.4375,4.375,20.875,178.0,164.667,129.0,203.667
2011-04-10,197.833,92.0,66.708,41.0,12.375,13.771,15.604500000000002,1.8335,14.917,3.087,21.4165,172.0,139.958,107.0,210.208
