date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,SO2_mean,THC_mean,CO_mean
2011-01-01,66.0,53.584,47.0,25.514,34.042,8.528,20.146,21.26,10.0,6.498,3.5,199.583,17.417,1.979,217.0,5.421
2011-01-02,76.5,56.5,40.0,17.68,22.103,4.423,14.395,15.198,11.65,6.562,4.2,194.5,13.75,1.282,208.25,3.903
2011-01-03,47.0,40.542,29.0,10.475,13.052,2.577,5.021,5.323,12.0,6.942,4.5,188.75,9.292,0.896,198.042,3.125
2011-01-04,62.0,50.688,39.0,20.403,27.847,7.444,9.75,10.573,12.15,6.235,2.5,192.917,12.708,1.354,205.625,4.5
2011-01-05,51.5,40.75,27.5,21.759,36.136,14.377,6.617,7.818,11.05,5.977,2.05,193.217,12.391,1.0,205.609,4.478
2011-01-06,65.0,46.552,32.5,38.311,67.904,29.594,14.575,14.654,10.15,6.1,2.9,198.35,17.5,3.474,215.85,6.084
2011-01-07,55.0,40.833,27.0,18.597,27.986,9.389,6.083,7.031,10.55,6.231,3.55,195.833,9.917,1.0,205.75,3.642
2011-01-08,44.5,36.896,28.0,13.462,17.263,3.801,5.625,7.073,11.25,6.479,3.1,196.833,10.042,0.914,206.875,3.248
2011-01-09,76.0,52.229,41.0,32.389,49.926,17.538,19.188,19.396,10.75,6.706,3.2,203.0,15.167,3.604,218.167,5.625
2011-01-10,78.5,60.646,37.0,42.695,80.93,38.236,23.0,24.136,10.2,7.148,3.6,210.833,17.792,5.042,228.625,6.188
2011-01-11,75.0,58.854,38.5,30.653,58.361,27.709,18.938,20.427,11.5,6.192,2.15,195.8,16.95,1.892,212.75,5.354
2011-01-12,55.0,42.875,33.0,28.842,50.871,22.029,9.006,9.613,7.65,3.912,0.7,192.0,12.261,1.542,204.261,4.608
2011-01-13,64.5,49.292,37.5,45.075,102.812,57.736,18.385,20.061,11.65,6.056,0.85,196.455,23.409,3.37,219.864,7.59
2011-01-14,52.0,41.417,32.5,26.142,44.976,18.835,12.354,11.688,9.05,5.412,3.1,194.833,13.167,1.93,208.0,5.587
2011-01-15,51.0,46.354,42.0,26.933,38.715,11.783,15.605,15.177,6.0,4.398,2.05,202.458,16.375,2.167,218.833,5.666
2011-01-16,48.0,43.834,41.0,27.528,44.444,16.917,17.104,17.406,5.25,4.438,2.95,192.667,13.375,1.583,206.042,4.375
2011-01-17,62.0,47.125,36.5,29.431,47.0,17.569,13.604,14.636,8.35,4.981,2.8,195.542,10.542,3.108,206.083,3.916
2011-01-18,67.0,53.146,42.0,48.569,99.333,50.764,28.25,27.771,9.25,5.904,1.7,201.87,23.174,4.612,225.043,7.167
2011-01-19,77.5,58.875,52.0,32.165,55.788,23.622,26.17,27.139,10.25,6.525,3.25,194.542,17.0,2.874,211.542,5.096
2011-01-20,99.0,94.5,78.5,23.913,38.278,14.365,17.308,16.607,4.65,2.983,2.2,191.045,11.318,1.216,202.364,3.843
2011-01-21,99.0,91.854,76.0,23.34,37.346,14.005,11.458,11.208,3.7,3.331,2.9,191.0,12.667,0.542,203.667,3.916
2011-01-22,98.5,90.146,67.0,21.82,39.736,17.917,8.375,9.615,8.4,5.304,3.55,194.417,14.667,0.625,209.083,5.396
2011-01-23,99.0,90.604,56.0,39.945,136.347,96.403,17.125,18.76,8.95,5.1,0.85,216.958,28.208,2.626,245.167,9.667
2011-01-24,99.0,58.896,36.5,30.555,54.222,23.667,10.125,10.437,5.55,2.973,0.85,193.522,12.522,1.766,206.043,4.917
2011-01-25,92.0,62.438,34.0,42.347,100.278,57.931,22.562,22.354,9.15,4.277,0.15,200.0,24.75,2.542,224.75,7.475
2011-01-26,90.5,48.75,29.0,30.092,53.642,23.55,13.167,14.047,7.8,3.673,0.75,194.708,14.0,1.392,208.708,5.435
2011-01-27,69.5,52.812,31.0,38.759,90.068,51.309,18.566,19.272,9.5,4.006,-0.5,201.045,23.636,2.057,224.682,7.687
2011-01-28,67.5,47.834,33.5,27.375,49.445,22.07,16.125,17.406,7.65,3.215,0.55,196.208,15.792,1.5,212.0,5.5
2011-01-29,44.0,37.146,27.0,11.195,14.264,3.069,7.542,8.948,7.65,3.396,1.45,192.125,9.25,1.085,201.375,3.166
2011-01-30,40.5,35.812,30.0,25.833,43.264,17.431,7.104,9.771,8.1,4.292,1.6,191.609,9.565,2.324,201.174,4.458
2011-01-31,56.0,45.688,39.0,37.556,68.958,31.403,10.333,15.375,9.15,4.438,0.1,196.0,17.167,2.875,213.167,6.098
2011-02-01,60.5,46.625,35.5,32.193,68.557,36.365,19.067,16.833,12.0,6.371,0.8,191.792,13.375,2.256,205.167,6.82
2011-02-02,48.5,36.604,23.0,18.226,28.78,10.553,9.166,9.423,6.2,2.91,0.6,190.0,9.833,1.239,199.833,3.95
2011-02-03,52.0,37.383,24.5,39.519,78.737,39.218,15.422,14.384,7.15,3.208,-0.75,202.476,15.905,4.419,218.381,7.572
2011-02-04,57.5,38.979,23.0,39.403,81.597,42.195,17.229,17.229,11.05,5.775,-0.1,198.083,20.542,2.837,218.625,7.73
2011-02-05,80.5,46.771,35.0,24.292,31.18,6.889,17.104,17.656,8.35,6.054,3.25,195.783,13.696,4.135,209.478,5.25
2011-02-06,99.0,84.562,62.5,38.403,66.486,28.083,36.666,34.958,5.55,4.969,4.4,199.0,22.542,1.667,221.542,6.751
2011-02-07,99.0,96.854,90.0,41.744,95.627,53.884,32.396,35.406,12.05,7.883,5.35,198.125,25.042,1.886,223.167,8.657
2011-02-08,95.0,44.542,32.0,24.348,38.666,14.318,9.062,10.417,9.15,6.642,3.85,190.667,14.375,1.521,205.042,4.854
2011-02-09,41.5,30.354,18.0,29.139,50.478,21.338,9.0,8.895,9.95,5.242,1.0,190.458,12.875,2.021,203.333,4.441
2011-02-10,80.0,42.896,30.5,38.97,71.578,32.609,17.479,16.683,9.4,5.862,2.3,196.565,16.043,4.25,212.609,6.008
2011-02-11,84.5,48.042,30.0,22.722,31.708,8.986,13.146,14.24,9.45,5.875,2.25,191.652,9.826,1.763,201.478,4.562
2011-02-12,50.5,36.75,27.5,15.708,20.028,4.32,10.125,11.99,10.9,5.752,1.55,192.458,9.25,1.042,201.708,4.32
2011-02-13,60.5,45.125,35.5,37.235,62.544,25.309,19.521,20.032,10.5,6.212,2.4,194.417,11.708,4.339,206.125,5.265
2011-02-14,99.0,82.52,47.5,38.16,68.488,30.328,37.584,35.5,6.75,5.365,4.3,196.417,18.75,1.375,215.167,6.02
2011-02-15,97.0,65.479,39.0,33.181,67.236,34.056,29.208,29.636,12.25,7.708,5.3,199.042,18.0,2.292,217.042,6.479
2011-02-16,98.0,62.562,39.0,24.013,37.027,13.014,16.034,14.487,5.0,3.242,1.85,195.292,7.958,2.195,203.25,3.958
2011-02-17,99.0,72.979,32.0,32.062,51.203,19.141,24.312,22.537,9.5,4.471,1.95,191.682,14.955,2.061,206.636,4.978
2011-02-18,95.0,44.334,20.0,16.569,24.847,8.278,10.479,11.26,7.55,3.223,0.5,190.625,8.417,1.146,199.042,3.564
2011-02-19,59.0,40.188,25.0,21.693,29.33,7.637,14.166,12.844,8.15,3.896,-0.05,192.917,9.792,1.831,202.708,4.7
2011-02-20,67.0,48.0,24.0,42.808,73.402,30.594,20.188,19.938,10.35,6.212,1.1,200.042,18.583,3.625,218.625,6.916
2011-02-21,63.5,43.688,22.0,48.403,80.792,32.389,22.458,23.219,12.8,8.408,2.95,198.167,22.042,3.562,220.208,6.875
2011-02-22,74.5,63.75,57.0,28.069,38.314,10.245,22.633,27.841,10.4,8.006,6.25,195.083,9.792,6.084,204.875,4.758
2011-02-23,99.0,89.312,46.0,38.49,71.21,32.72,29.843,30.253,11.05,7.744,5.35,194.045,22.227,1.218,216.273,6.958
2011-02-24,74.0,43.125,23.0,29.173,39.183,10.01,25.354,29.142,16.4,11.512,8.2,194.25,12.708,4.088,206.958,5.456
2011-02-25,98.5,91.292,69.5,27.634,40.081,12.447,16.355,18.74,8.9,6.006,4.15,191.375,13.125,1.688,204.5,4.991
2011-02-26,68.0,51.104,34.0,16.273,21.785,5.512,9.084,10.656,8.45,5.733,4.0,191.25,9.708,2.25,200.958,3.854
2011-02-27,39.5,31.166,24.0,16.801,24.931,8.13,11.625,11.354,9.65,5.01,2.05,189.625,8.833,0.666,198.458,3.417
2011-02-28,58.5,44.354,34.0,25.042,36.93,11.889,12.25,12.135,6.7,3.844,0.55,193.833,9.5,2.884,203.333,3.792
2011-03-01,96.5,81.167,57.0,39.047,70.519,31.472,20.772,20.214,12.35,8.258,3.25,199.417,13.667,2.458,213.083,5.964
2011-03-02,98.5,92.958,79.5,35.951,73.419,37.468,18.924,19.723,9.45,7.154,4.3,190.143,15.0,2.45,205.143,5.913
2011-03-03,98.5,67.5,40.0,21.067,29.424,8.357,12.271,15.666,12.5,7.329,3.95,189.833,8.833,2.542,198.667,4.166
2011-03-04,96.0,68.48,57.0,14.749,17.79,3.042,17.0,17.927,6.2,5.438,4.1,191.042,8.083,2.146,199.125,3.666
2011-03-05,98.5,98.166,96.0,34.695,63.111,28.416,12.646,13.177,9.05,5.592,3.0,195.208,17.125,0.608,212.333,6.604
2011-03-06,98.5,93.5,73.5,43.819,106.945,63.125,26.042,33.24,14.95,11.348,8.55,247.174,26.609,3.854,273.783,8.646
2011-03-07,98.0,74.792,51.5,34.917,59.639,24.722,29.375,36.844,14.75,12.173,10.7,193.792,13.125,5.792,206.917,6.012
2011-03-08,87.0,69.52,54.5,26.866,37.873,11.007,16.64,19.819,10.6,9.373,7.7,192.083,9.875,1.638,201.958,4.828
2011-03-09,98.5,97.188,87.5,30.044,48.565,18.521,16.562,19.551,9.1,7.481,5.35,194.19,13.381,0.637,207.571,5.302
2011-03-10,98.5,87.666,70.0,20.889,28.33,7.442,5.167,7.271,7.25,5.179,2.4,190.826,9.696,1.188,200.522,4.23
2011-03-11,83.0,69.084,49.5,20.667,26.167,5.5,12.458,15.312,10.95,7.477,3.95,191.833,11.375,3.102,203.208,4.542
2011-03-12,69.0,38.52,20.5,23.917,42.139,18.222,7.021,8.573,11.25,7.173,3.25,189.5,9.833,0.979,199.333,4.438
2011-03-13,63.0,38.104,23.0,20.834,29.042,8.208,7.562,8.219,12.4,7.273,3.15,190.875,9.792,1.125,200.667,3.752
2011-03-14,74.5,56.25,40.0,34.33,50.743,16.413,14.041,14.583,10.7,7.421,3.3,193.083,11.583,3.506,204.667,4.684
2011-03-15,86.5,50.062,27.0,30.184,53.154,22.97,20.938,21.125,14.05,8.246,3.9,196.542,18.042,1.25,214.583,5.208
2011-03-16,67.5,43.86,24.5,29.227,44.971,15.743,17.448,19.435,11.25,7.754,3.55,189.955,10.773,2.022,200.727,4.962
2011-03-17,98.5,89.854,60.5,46.736,76.805,30.069,36.979,37.646,9.25,7.327,5.65,198.5,25.583,1.122,224.083,7.271
