date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,193.542,19.854,18.153000000000002,32.27766666666667,14.125,,1.333,19.069333333333333,213.39600000000002,5.6455,63.0,45.917,33.0,97.0,57.25,35.0
2011-01-02,191.70850000000002,17.5415,16.319333333333333,31.888666666666666,15.569333333333333,,1.417,13.611333333333334,209.25,4.646,73.0,46.792,24.0,121.0,58.625,20.0
2011-01-03,190.875,17.479,18.972333333333335,41.528,22.555333333333333,,1.167,11.069333333333333,208.3545,4.9165,60.0,39.125,15.0,112.0,47.792,-9.0
2011-01-04,192.20850000000002,20.104,22.278000000000002,53.375,31.096999999999998,,1.917,15.055666666666667,212.3125,5.6455,65.0,47.417,21.0,124.0,46.625,-1.0
2011-01-05,193.958,23.958,33.208333333333336,102.16666666666667,68.95833333333333,,1.25,13.139000000000001,217.917,6.021,56.0,34.875,12.0,102.0,40.708,-6.0
2011-01-06,193.1875,26.0205,36.139,115.52766666666666,79.389,,1.208,16.097333333333335,219.20850000000002,5.729,66.0,46.958,30.0,108.0,45.125,-6.0
2011-01-07,192.39600000000002,21.4375,29.305666666666667,100.16666666666667,70.861,,1.375,13.597333333333333,213.83350000000002,5.4375,68.0,41.25,14.0,105.0,42.917,4.0
2011-01-08,191.91649999999998,18.0205,19.277666666666665,45.30566666666667,26.027666666666665,,1.208,11.527666666666667,209.9375,4.9375,54.0,34.292,19.0,107.0,50.958,0.0
2011-01-09,194.0625,24.3335,29.111,76.79166666666667,47.68066666666667,,1.542,19.861,218.3955,6.1045,62.0,44.75,30.0,96.0,51.958,8.0
2011-01-10,194.667,28.2085,39.225,129.07033333333334,89.84633333333333,,1.792,24.944333333333333,222.875,6.7915,69.0,53.458,31.0,111.0,55.167,6.0
2011-01-11,191.9985,21.0795,30.578000000000003,109.86133333333333,79.28366666666666,,1.652,21.063000000000002,213.078,5.411,71.0,46.167,27.0,107.0,54.292,20.0
2011-01-12,193.875,23.104,36.083,107.33366666666666,71.24966666666667,,1.917,15.069333333333333,216.97899999999998,5.396,62.0,35.958,19.0,75.0,28.458,-1.0
2011-01-13,194.82150000000001,32.176,36.910333333333334,131.216,94.30533333333334,,1.833,21.791666666666668,226.997,6.6419999999999995,74.0,52.25,29.0,105.0,41.375,-15.0
2011-01-14,197.02100000000002,27.896,32.083333333333336,94.13866666666667,62.05533333333333,,2.125,20.778000000000002,224.917,7.021,68.0,50.875,34.0,90.0,35.75,-3.0
2011-01-15,198.39600000000002,27.875,26.416666666666668,60.208333333333336,33.791666666666664,,1.958,23.666666666666668,226.27100000000002,6.7915,66.0,50.125,33.0,69.0,32.0,-4.0
2011-01-16,195.41649999999998,25.3955,35.388666666666666,103.23599999999999,67.847,,2.125,22.941666666666666,220.8125,5.75,56.0,40.333,32.0,55.0,40.625,20.0
2011-01-17,194.417,27.3125,35.403,109.33333333333333,73.93033333333334,,2.167,23.152666666666665,221.72899999999998,5.25,62.0,44.375,27.0,79.0,40.292,7.0
2011-01-18,195.55700000000002,34.6155,41.23166666666666,143.80233333333334,102.57066666666667,,1.773,29.377,230.172,6.959,67.0,53.458,31.0,105.0,42.375,-5.0
2011-01-19,193.3765,24.8295,34.23733333333333,105.616,71.37866666666666,,1.958,24.956999999999997,218.2065,5.0,85.0,56.0,35.0,104.0,62.875,26.0
2011-01-20,191.25,13.4585,19.111,58.69433333333333,39.583333333333336,,1.0,13.944333333333333,204.708,3.396,87.0,82.083,72.0,35.0,28.292,19.0
2011-01-21,190.0,14.479,17.944333333333333,49.125,31.180666666666667,,1.0,9.985999999999999,204.47899999999998,3.4375,89.0,81.875,69.0,45.0,37.708,30.0
2011-01-22,191.8125,20.479,17.944333333333333,43.888666666666666,25.944666666666667,,1.0,12.902666666666667,212.29149999999998,4.729,88.0,77.625,67.0,95.0,63.208,36.0
2011-01-23,194.6455,30.7915,33.236,141.90266666666665,108.66699999999999,,1.167,17.569333333333333,225.4375,7.25,92.0,81.625,62.0,89.0,49.417,7.0
2011-01-24,195.02100000000002,24.942,36.315666666666665,117.105,80.789,,1.091,16.087,219.9625,5.3335,91.0,72.75,47.0,40.0,16.333,-3.0
2011-01-25,194.292,28.854,33.106,118.16666666666667,85.06066666666668,,1.083,16.477333333333334,223.14600000000002,6.362,86.0,62.958,32.0,82.0,28.958,-11.0
2011-01-26,194.7295,23.146,31.388666666666666,99.40266666666666,68.01366666666667,,1.667,14.771,217.875,5.542,64.0,47.708,26.0,63.0,20.292,-11.0
2011-01-27,195.589,27.5505,35.81966666666667,133.58966666666666,97.77,,2.167,17.113,223.14,6.8675,73.0,52.083,27.0,87.0,22.417,-27.0
2011-01-28,194.862,21.043999999999997,27.917,88.875,60.958333333333336,,1.917,15.819333333333333,215.90699999999998,5.5415,73.0,47.167,28.0,61.0,18.958,-15.0
2011-01-29,193.54149999999998,16.917,19.944333333333333,45.56966666666667,25.625333333333334,,2.042,13.722,210.45850000000002,4.6665,57.0,33.25,14.0,80.0,30.667,-3.0
2011-01-30,194.47899999999998,21.771,32.611333333333334,99.86099999999999,67.24966666666667,,1.875,15.208333333333334,216.25,5.146,60.0,38.042,18.0,68.0,24.542,-20.0
2011-01-31,194.9375,26.208,34.47233333333333,123.25,88.77766666666666,,1.792,15.667000000000002,221.14600000000002,5.8335,69.0,47.083,25.0,97.0,32.292,-27.0
2011-02-01,193.4035,19.390500000000003,26.275333333333332,69.33633333333334,43.061,,3.045,16.467,212.7935,4.5344999999999995,58.0,33.125,20.0,127.0,66.583,0.0
2011-02-02,194.5,19.8955,28.916666666666668,103.55566666666668,74.63866666666667,,2.083,12.416666666666666,214.3955,5.25,52.0,26.5,12.0,54.0,22.958,-9.0
2011-02-03,195.3825,23.25,34.51666666666667,112.25099999999999,77.735,,1.917,13.930333333333332,218.6325,6.367,62.0,39.125,21.0,76.0,17.417,-26.0
2011-02-04,196.64600000000002,31.896,35.80566666666667,107.0,71.19466666666666,,1.917,17.208333333333332,228.54149999999998,7.208,66.0,42.208,15.0,127.0,42.0,-29.0
2011-02-05,196.72899999999998,26.1875,27.847333333333335,62.458333333333336,34.611333333333334,,2.417,21.069333333333333,222.91649999999998,7.0415,68.0,49.875,27.0,89.0,40.583,-10.0
