date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,7.458,8.611,1.153,,0.792,11.75,190.417,10.708,201.125
2011-01-02,3.239,3.647,0.408,,0.372,9.125,185.955,5.636,191.591
2011-01-03,4.097,4.722,0.625,,0.188,9.292,184.292,5.458,189.75
2011-01-04,6.153,7.403,1.25,,1.104,11.98,186.708,6.208,192.917
2011-01-05,2.42,3.031,0.611,,0.254,12.895,184.792,4.333,189.125
2011-01-06,3.958,5.056,1.097,,0.375,13.062,184.792,4.583,189.375
2011-01-07,2.389,3.014,0.625,,0.834,12.5,185.727,3.864,189.591
2011-01-08,4.014,4.555,0.542,,0.188,9.688,187.0,5.125,192.125
2011-01-09,9.082,10.366,1.284,,0.487,10.661,192.591,9.091,201.682
2011-01-10,9.569,11.722,2.153,,1.084,13.125,185.917,7.5,193.417
2011-01-11,4.236,5.181,0.944,,0.812,11.083,184.625,6.125,190.75
2011-01-12,6.936,8.384,1.448,,0.494,7.972,184.958,7.083,192.042
2011-01-13,8.875,11.083,2.208,,1.062,11.916,185.875,7.667,193.542
2011-01-14,2.375,3.07,0.694,,1.042,15.625,187.909,4.955,192.864
2011-01-15,3.222,4.056,0.833,,1.229,16.854,187.083,5.333,192.417
2011-01-16,17.75,22.509,4.76,,1.798,18.522,194.045,13.182,207.227
2011-01-17,20.25,25.833,5.583,,1.854,17.938,194.167,17.5,211.667
2011-01-18,20.57,27.139,6.569,,1.604,16.0,192.292,17.167,209.458
2011-01-19,15.77,20.468,4.697,,2.992,15.878,194.75,14.458,209.208
2011-01-20,11.708,13.625,1.917,,1.416,13.042,187.917,9.833,197.75
2011-01-21,10.986,12.403,1.417,,1.062,10.166,184.636,7.636,192.273
2011-01-22,12.264,14.695,2.43,,1.042,10.667,194.375,13.833,208.208
2011-01-23,2.559,3.406,0.847,,1.058,12.623,185.261,9.304,194.565
2011-01-24,5.319,7.014,1.695,,0.77,10.166,186.625,6.375,193.0
2011-01-25,8.736,11.486,2.75,,1.042,11.021,187.583,9.417,197.0
2011-01-26,3.245,4.793,1.548,,1.046,10.852,186.083,5.083,191.167
2011-01-27,4.403,6.181,1.778,,2.312,15.562,187.458,5.833,193.292
2011-01-28,1.431,2.625,1.195,,0.979,10.416,184.909,4.045,188.955
2011-01-29,1.222,2.333,1.111,,0.5,11.416,185.292,3.958,189.25
2011-01-30,4.476,5.45,0.975,,0.759,12.798,185.478,5.13,190.609
2011-01-31,5.5,6.875,1.375,,1.146,12.604,186.25,5.417,191.667
2011-02-01,6.375,7.986,1.611,,1.396,12.75,187.042,6.083,193.125
2011-02-02,4.161,5.408,1.246,,1.064,12.52,183.917,5.292,189.208
