date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,3.042,9.902666666666667,12.958333333333334,3.0556666666666668,,10.305666666666667,187.52100000000002,99.0,82.542,56.0,7.8125,2.0,0.5835,67.0,37.833,9.0,195.33350000000002
2011-01-02,2.348,5.399666666666666,7.325333333333333,1.9256666666666666,,7.953333333333333,183.2885,99.0,86.833,59.0,5.9375,21.0,0.923,68.0,39.25,17.0,189.2265
2011-01-03,2.75,7.194333333333333,9.514000000000001,2.3193333333333332,,6.902666666666666,182.83350000000002,93.0,75.083,61.0,4.7705,4.0,0.479,44.0,28.708,14.0,187.60399999999998
2011-01-04,2.792,9.606,12.241,2.6350000000000002,,9.468666666666666,184.1165,99.0,85.833,65.0,6.4415,12.0,1.388,39.0,17.375,4.0,190.55849999999998
2011-01-05,2.091,5.666666666666667,8.361333333333333,2.6943333333333332,,10.083333333333334,182.958,97.0,75.417,61.0,3.771,5.0,2.25,32.0,19.042,7.0,186.72899999999998
2011-01-06,2.667,10.917,16.41633333333333,5.500333333333333,,10.430666666666667,186.44,94.0,81.125,61.0,5.8505,6.0,1.4375,35.0,24.958,14.0,192.291
2011-01-07,2.417,6.208333333333333,9.875,3.6666666666666665,,10.027666666666667,184.8125,89.0,68.458,52.0,4.229,0.0,2.208,45.0,25.667,14.0,189.04149999999998
2011-01-08,2.458,5.833333333333333,8.180666666666667,2.3473333333333333,,7.611,185.833,90.0,73.625,55.0,4.625,0.0,1.146,53.0,26.083,12.0,190.458
2011-01-09,2.696,14.275333333333334,17.332666666666668,3.058,,9.360333333333335,189.1745,96.0,81.958,69.0,9.2725,2.0,0.9724999999999999,38.0,20.375,-3.0,198.447
2011-01-10,3.083,15.222333333333333,18.916666666666668,3.6943333333333332,,12.860999999999999,186.89600000000002,95.0,80.458,60.0,7.9165,1.0,1.1875,42.0,24.917,7.0,194.8125
2011-01-11,2.458,6.916333333333333,9.477666666666666,2.561666666666667,,7.898666666666666,183.42849999999999,99.0,90.042,68.0,6.342499999999999,7.0,1.25,19.0,0.542,-18.0,189.77100000000002
2011-01-12,2.792,11.375,15.333333333333334,3.9583333333333335,,6.583666666666666,183.66649999999998,91.0,73.208,54.0,5.833,2.0,1.7915,17.0,-1.042,-18.0,189.5
2011-01-13,3.792,14.708333333333334,21.291666666666668,6.583333333333333,,12.263666666666666,185.14749999999998,99.0,87.833,63.0,7.9565,16.0,1.9169999999999998,40.0,21.792,-3.0,193.10399999999998
2011-01-14,2.792,4.5696666666666665,7.527666666666666,2.9583333333333335,,10.735999999999999,185.667,91.0,70.125,55.0,4.9375,3.0,1.5415,21.0,10.708,0.0,190.60399999999998
2011-01-15,3.083,6.097333333333334,9.097,3.0,,15.417000000000002,186.20850000000002,99.0,73.917,56.0,5.4375,7.0,1.771,21.0,13.125,-6.0,191.6455
2011-01-16,4.227,24.145,33.91566666666667,9.770666666666667,,15.336333333333334,190.6345,89.0,74.583,52.0,13.282499999999999,0.0,1.25,28.0,12.917,-3.0,203.91649999999998
2011-01-17,4.25,26.166666666666668,38.458666666666666,12.291666666666666,,16.153000000000002,191.375,92.0,81.5,54.0,13.5715,1.0,1.3125,47.0,15.833,2.0,204.94650000000001
2011-01-18,3.75,23.86966666666667,31.552000000000003,7.6819999999999995,,12.816,188.59199999999998,96.0,74.833,46.0,13.761499999999998,0.0,1.1575,73.0,27.292,-14.0,202.3545
2011-01-19,3.708,23.069333333333333,34.958333333333336,11.889000000000001,,15.014000000000001,191.33350000000002,99.0,81.375,65.0,17.25,0.0,1.583,71.0,40.208,7.0,208.58350000000002
2011-01-20,3.042,18.388666666666666,23.777666666666665,5.3886666666666665,,12.625,187.083,76.0,68.917,57.0,10.7915,0.0,1.729,70.0,44.167,29.0,197.875
2011-01-21,1.75,7.639,9.041666666666666,1.4029999999999998,,5.375,181.16649999999998,98.0,80.875,67.0,5.75,7.0,0.8125,51.0,39.417,27.0,186.917
2011-01-22,3.292,17.444333333333333,24.361333333333334,6.916666666666667,,9.347,192.8545,99.0,88.5,69.0,12.8335,0.0,0.958,78.0,45.417,21.0,205.6875
2011-01-23,3.957,5.848333333333334,7.8823333333333325,2.034,,12.930666666666667,184.0925,99.0,86.375,71.0,10.415,9.0,1.1275,60.0,23.625,-7.0,194.5075
2011-01-24,3.0,11.735999999999999,15.875,4.1386666666666665,,9.360999999999999,183.4265,95.0,68.0,50.0,6.383,1.0,1.7915,20.0,0.5,-21.0,189.81
2011-01-25,3.625,12.118333333333334,16.51,4.391333333333333,,8.763,184.60399999999998,99.0,94.826,80.0,8.829,18.0,1.2825,9.0,-4.261,-15.0,193.43349999999998
2011-01-26,2.958,8.055333333333333,11.903,3.847,,8.569333333333333,184.83350000000002,97.0,70.417,52.0,5.6045,1.0,1.5205,8.0,-5.0,-22.0,190.4375
2011-01-27,3.5,9.791666666666666,13.791666666666666,4.0,,14.972333333333333,187.5,99.0,83.792,59.0,6.979,16.0,2.708,17.0,2.0,-23.0,194.47899999999998
2011-01-28,2.625,5.124666666666667,8.291666666666666,3.1666666666666665,,10.097333333333333,184.27100000000002,81.0,63.625,48.0,4.75,0.0,2.021,15.0,-2.208,-14.0,189.02100000000002
2011-01-29,2.542,3.139,4.652666666666667,1.514,,8.014000000000001,183.47899999999998,80.0,61.667,49.0,3.6665,0.0,1.5415,14.0,0.0,-14.0,187.1455
2011-01-30,2.652,7.824666666666666,11.437333333333333,3.6126666666666662,,9.604000000000001,183.939,99.0,78.292,59.0,4.93,8.0,1.068,12.0,-5.583,-22.0,188.86950000000002
2011-01-31,2.833,9.875,14.278,4.403,,10.264000000000001,185.644,92.0,74.083,54.0,5.3565000000000005,0.0,2.1875,14.0,-2.667,-29.0,191.0005
2011-02-01,2.833,9.011333333333333,11.988666666666667,2.9773333333333336,,9.825666666666665,183.61599999999999,99.0,76.458,57.0,5.851,21.0,1.2725,35.0,1.917,-49.0,189.4675
2011-02-02,2.667,7.9863333333333335,12.069333333333333,4.083333333333333,,9.985999999999999,182.5,99.0,76.583,57.0,5.479,7.0,1.3125,5.0,-6.208,-21.0,187.9795
