date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,NMHC_mean,SO2_mean,THC_mean
2011-01-01,6.104,16.104,19.771,3.667,17.292,18.903,200.875,23.417,2.625,224.292
2011-01-02,4.125,7.958,10.166,2.208,8.25,10.014,194.583,16.167,2.375,210.75
2011-01-03,4.022,9.696,11.13,1.435,3.167,4.472,189.826,11.609,1.87,201.435
2011-01-04,5.062,10.0,12.355,2.354,6.042,8.667,187.875,12.875,2.625,200.75
2011-01-05,4.292,7.73,9.396,1.666,3.458,5.222,191.583,9.917,1.583,201.5
2011-01-06,7.708,21.396,34.688,13.292,8.583,11.833,196.458,23.75,2.667,220.208
2011-01-07,5.208,14.438,22.0,7.562,7.542,9.486,196.333,16.75,2.458,213.083
2011-01-08,4.42,10.729,12.355,1.625,7.917,9.933,196.542,12.75,2.125,209.292
2011-01-09,4.562,12.438,15.479,3.042,9.583,13.597,194.125,12.167,2.833,206.292
2011-01-10,7.37,26.091,45.909,19.818,15.625,20.888,193.13,25.217,3.909,218.348
2011-01-11,5.583,14.5,30.896,16.396,12.25,16.069,189.0,18.625,3.083,207.625
2011-01-12,5.416,11.818,18.904,7.086,8.375,10.917,191.667,17.167,2.583,208.833
2011-01-13,6.166,18.667,34.917,16.25,10.042,13.292,189.083,18.042,3.333,207.125
2011-01-14,5.25,13.458,17.0,3.542,8.042,10.722,187.667,10.708,3.333,198.375
2011-01-15,6.27,16.75,23.042,6.292,12.667,16.5,190.542,17.542,2.833,208.083
2011-01-16,4.688,20.25,26.833,6.583,13.375,15.208,191.917,15.875,3.125,207.792
2011-01-17,4.152,16.955,20.909,3.955,14.417,16.597,188.773,12.136,2.318,200.909
2011-01-18,6.792,23.75,39.583,15.833,15.25,20.097,190.375,22.25,2.792,212.625
2011-01-19,6.104,21.875,40.458,18.583,18.458,21.51,190.5,20.833,3.333,211.333
2011-01-20,5.125,20.458,28.083,7.625,9.917,11.18,187.417,17.125,1.917,204.542
2011-01-21,4.667,16.167,19.375,3.208,7.458,12.555,185.042,12.208,1.708,197.25
2011-01-22,6.25,15.917,24.292,8.375,13.833,19.028,184.0,15.333,1.917,199.333
2011-01-23,5.875,13.75,30.0,16.25,9.208,14.417,184.667,18.833,2.625,203.5
2011-01-24,4.13,14.696,19.739,5.043,4.364,5.917,191.261,13.087,2.348,204.348
2011-01-25,5.271,17.417,28.167,10.75,6.708,9.375,191.708,16.5,2.542,208.208
2011-01-26,5.416,19.391,26.261,6.87,7.333,9.583,193.958,15.25,3.043,209.208
2011-01-27,6.375,20.625,35.083,14.458,9.375,11.07,195.875,18.667,2.917,214.542
2011-01-28,5.48,18.0,27.692,9.692,10.615,13.609,198.125,21.0,2.929,219.125
2011-01-29,3.688,11.125,12.917,1.792,9.375,10.139,,,2.542,
2011-01-30,5.854,20.25,27.958,7.708,8.958,10.847,193.0,17.083,2.75,210.083
2011-01-31,5.804,19.304,31.304,12.0,7.917,11.167,191.565,17.826,2.565,209.391
2011-02-01,5.812,18.5,28.208,9.708,11.25,14.486,187.458,15.917,3.75,203.375
2011-02-02,3.896,5.708,7.25,1.542,5.417,6.569,187.167,6.292,2.333,193.458
2011-02-03,6.354,20.958,32.375,11.417,8.833,11.194,193.0,18.333,3.292,211.333
2011-02-04,5.417,15.792,28.667,12.875,11.042,12.667,191.958,15.958,3.625,207.917
2011-02-05,5.458,14.208,17.375,3.167,15.542,18.833,193.833,14.167,4.167,208.0
2011-02-06,7.292,28.875,40.042,11.167,33.292,34.597,194.333,22.208,3.625,216.542
2011-02-07,12.848,36.043,93.348,57.304,38.208,45.694,194.261,46.478,3.391,240.739
2011-02-08,3.812,8.087,15.087,7.0,6.833,8.212,187.792,13.042,2.217,200.833
2011-02-09,3.917,8.208,10.917,2.708,3.333,5.014,191.208,9.375,1.958,200.583
2011-02-10,4.521,14.833,24.167,9.333,6.875,8.028,193.5,14.417,3.208,207.917
2011-02-11,4.188,14.0,17.0,3.0,7.083,9.0,193.417,13.042,2.958,206.458
2011-02-12,3.416,9.417,10.292,0.875,8.083,8.181,194.333,10.542,2.375,204.875
2011-02-13,5.084,16.208,20.542,4.333,12.5,16.389,196.542,16.458,3.167,213.0
2011-02-14,6.218,23.739,33.435,9.696,19.625,22.806,189.435,18.826,2.348,208.261
2011-02-15,6.146,21.958,35.333,13.375,17.167,19.305,188.667,19.75,3.0,208.417
2011-02-16,4.521,17.75,23.167,5.417,16.417,18.43,187.458,13.583,2.458,201.042
2011-02-17,5.084,17.304,32.826,15.522,13.083,13.972,192.0,17.81,2.391,209.81
2011-02-18,3.022,5.292,6.0,0.708,5.625,7.333,197.083,8.0,1.792,205.083
2011-02-19,4.166,11.333,13.208,1.875,9.958,11.278,200.667,12.542,2.708,213.208
2011-02-20,5.646,19.458,26.875,7.417,10.667,13.25,203.208,19.25,3.083,222.458
2011-02-21,5.304,21.696,33.348,11.652,12.833,17.153,191.739,18.391,3.696,210.13
2011-02-22,5.27,21.2,27.1,5.9,20.273,25.67,191.65,16.75,3.8,208.4
2011-02-23,6.646,21.375,29.25,7.875,17.25,25.556,186.542,18.75,2.792,205.292
2011-02-24,5.479,13.417,15.625,2.208,17.917,22.847,188.625,11.417,4.5,200.042
2011-02-25,4.708,13.125,14.375,1.25,10.375,14.153,186.708,12.625,2.625,199.333
2011-02-26,3.125,6.792,7.542,0.75,6.792,8.25,187.333,7.708,1.667,195.042
2011-02-27,2.958,5.043,6.087,1.043,7.708,7.917,189.292,6.708,1.522,196.0
2011-02-28,3.587,14.696,21.696,7.0,10.292,11.805,191.478,11.478,2.087,202.957
2011-03-01,6.161,25.25,48.042,22.792,10.333,14.292,190.417,24.25,3.75,214.667
2011-03-02,7.25,29.25,58.583,29.333,13.583,21.916,189.958,28.708,3.375,218.667
