date,SO2_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,3.778,13.342,12.389,15.153,2.764,
2011-01-02,3.083,7.601,7.75,9.875,2.125,
2011-01-03,3.403,9.819,9.764,12.139,2.375,
2011-01-04,5.406,18.981,9.874,12.29,2.416,
2011-01-05,3.111,8.147,12.208,15.5,3.291,
2011-01-06,3.903,8.784,16.861,25.167,8.305,
2011-01-07,3.167,5.223,12.334,16.971,4.638,
2011-01-08,3.306,7.551,10.444,14.208,3.764,
2011-01-09,5.0,8.7,12.667,16.778,4.111,
2011-01-10,4.25,15.398,18.417,27.597,9.181,
2011-01-11,4.875,11.479,12.542,16.875,4.333,
2011-01-12,3.68,5.802,11.833,16.305,4.472,
2011-01-13,5.5,9.823,16.417,25.861,9.445,
2011-01-14,5.528,10.781,9.694,12.32,2.625,
2011-01-15,4.403,6.235,8.623,10.957,2.333,
2011-01-16,4.847,9.952,18.333,25.0,6.667,
2011-01-17,5.181,9.533,15.194,20.708,5.514,
2011-01-18,4.926,14.806,20.628,30.964,10.336,
2011-01-19,5.406,16.03,25.554,40.949,15.395,
2011-01-20,3.736,9.285,19.625,27.625,8.0,
2011-01-21,3.445,9.271,17.195,24.542,7.347,
2011-01-22,4.611,6.896,10.806,13.5,2.695,
2011-01-23,5.138,6.159,10.783,13.927,3.145,
2011-01-24,5.07,5.528,10.849,13.184,2.335,
2011-01-25,5.361,9.612,10.472,16.222,5.75,
2011-01-26,3.945,6.452,11.708,17.222,5.514,
2011-01-27,5.764,11.073,11.906,17.173,5.266,
2011-01-28,5.917,13.469,12.25,16.861,4.611,
2011-01-29,4.514,7.417,10.167,13.764,3.597,
2011-01-30,4.278,7.078,10.153,13.833,3.681,
2011-01-31,5.525,7.579,12.276,17.189,4.913,
2011-02-01,5.603,8.759,11.889,17.875,5.986,
2011-02-02,4.861,8.0,10.861,15.764,4.903,
2011-02-03,6.819,17.292,24.861,44.917,20.056,
2011-02-04,7.042,18.604,14.944,23.334,8.389,
2011-02-05,5.805,20.396,11.945,15.264,3.319,
