date,NO2_mean,NOX_mean,NO_mean
2011-01-01,7.042,8.042,1.0
2011-01-02,3.75,4.75,1.0
2011-01-03,2.591,3.591,1.0
2011-01-04,4.708,5.708,1.0
2011-01-05,5.375,6.375,1.0
2011-01-06,12.375,13.792,1.417
2011-01-07,7.333,8.417,1.083
2011-01-08,11.458,12.458,1.0
2011-01-09,5.917,6.917,1.0
2011-01-10,14.818,17.727,2.909
2011-01-11,8.167,10.292,2.125
2011-01-12,12.625,15.833,3.208
2011-01-13,7.5,9.833,2.333
2011-01-14,5.75,7.833,2.083
2011-01-15,5.625,7.0,1.375
2011-01-16,15.458,18.375,2.917
2011-01-17,15.591,21.818,6.227
2011-01-18,18.042,25.625,7.583
2011-01-19,15.708,20.708,5.0
2011-01-20,6.667,7.667,1.0
2011-01-21,9.792,11.083,1.292
2011-01-22,8.583,10.0,1.417
2011-01-23,10.783,14.174,3.391
2011-01-24,9.818,11.5,1.682
2011-01-25,8.958,10.25,1.292
2011-01-26,6.75,7.792,1.042
2011-01-27,9.458,10.5,1.042
2011-01-28,7.458,8.458,1.0
2011-01-29,3.833,4.833,1.0
2011-01-30,8.875,10.083,1.208
2011-01-31,10.273,11.773,1.5
2011-02-01,14.667,18.25,3.583
2011-02-02,7.087,8.348,1.261
2011-02-03,7.909,9.227,1.318
2011-02-04,6.842,7.842,1.0
2011-02-05,8.417,9.458,1.042
2011-02-06,22.292,27.292,5.0
2011-02-07,7.875,10.625,2.75
2011-02-08,4.292,5.75,1.458
2011-02-09,5.125,6.375,1.25
2011-02-10,5.636,7.0,1.364
2011-02-11,3.667,4.708,1.042
2011-02-12,5.25,6.25,1.0
2011-02-13,16.55,21.45,4.9
2011-02-14,,,
2011-02-15,18.375,24.75,6.375
2011-02-16,18.875,27.5,8.625
2011-02-17,6.409,7.5,1.091
2011-02-18,4.833,5.833,1.0
2011-02-19,6.917,7.917,1.0
2011-02-20,11.25,12.25,1.0
2011-02-21,10.292,11.458,1.167
2011-02-22,12.833,13.833,1.0
2011-02-23,11.292,13.333,2.042
2011-02-24,16.182,17.909,1.727
2011-02-25,11.583,12.958,1.375
2011-02-26,7.875,9.125,1.25
2011-02-27,13.042,15.5,2.458
2011-02-28,15.333,16.833,1.5
2011-03-01,18.458,27.458,9.0
2011-03-02,27.364,38.727,11.364
2011-03-03,13.917,14.917,1.0
2011-03-04,9.292,10.333,1.042
2011-03-05,15.292,16.875,1.583
2011-03-06,13.375,15.833,2.458
2011-03-07,14.917,17.708,2.792
2011-03-08,13.667,16.208,2.542
2011-03-09,14.364,15.455,1.091
2011-03-10,14.042,15.958,1.917
2011-03-11,7.208,8.375,1.167
2011-03-12,5.458,6.458,1.0
2011-03-13,6.458,7.458,1.0
2011-03-14,12.917,14.0,1.083
2011-03-15,17.75,19.708,1.958
2011-03-16,18.727,24.091,5.364
2011-03-17,16.167,17.958,1.792
2011-03-18,7.042,8.167,1.125
2011-03-19,4.708,6.0,1.292
2011-03-20,8.0,9.167,1.167
2011-03-21,4.458,5.542,1.083
2011-03-22,6.042,7.292,1.25
2011-03-23,18.273,19.636,1.364
2011-03-24,7.0,8.292,1.292
2011-03-25,3.708,4.75,1.042
2011-03-26,5.583,6.583,1.0
2011-03-27,8.917,10.0,1.083
2011-03-28,17.625,19.458,1.833
2011-03-29,18.792,21.75,2.958
2011-03-30,11.727,15.682,3.955
2011-03-31,2.208,3.5,1.292
2011-04-01,21.542,29.042,7.5
2011-04-02,14.292,16.917,2.625
2011-04-03,9.917,11.333,1.417
2011-04-04,15.5,18.083,2.583
2011-04-05,18.526,23.579,5.053
2011-04-06,19.583,23.917,4.333
2011-04-07,18.208,26.75,8.542
2011-04-08,16.083,24.833,8.75
2011-04-09,7.417,10.375,2.958
2011-04-10,10.833,14.5,3.667
2011-04-11,12.917,18.625,5.708
2011-04-12,13.667,15.381,1.714
2011-04-13,14.625,16.125,1.5
2011-04-14,23.458,28.708,5.25
2011-04-15,19.417,27.292,7.875
2011-04-16,13.333,16.81,3.476
2011-04-17,8.417,10.458,2.042
2011-04-18,7.75,9.375,1.625
2011-04-19,8.524,9.619,1.095
2011-04-20,6.583,7.583,1.0
2011-04-21,20.25,29.417,9.167
2011-04-22,21.208,40.583,19.375
2011-04-23,10.292,12.5,2.208
2011-04-24,6.042,8.042,2.0
2011-04-25,16.708,19.0,2.292
2011-04-26,12.286,13.667,1.381
2011-04-27,5.208,6.25,1.042
2011-04-28,6.5,8.167,1.667
2011-04-29,6.333,7.792,1.458
2011-04-30,17.625,21.792,4.167
2011-05-01,13.75,21.958,8.208
2011-05-02,13.773,17.227,3.455
2011-05-03,14.143,17.952,3.81
2011-05-04,13.833,15.167,1.333
2011-05-05,17.583,22.625,5.042
2011-05-06,16.875,22.292,5.417
2011-05-07,12.708,13.917,1.208
2011-05-08,6.75,7.792,1.042
2011-05-09,17.833,20.667,2.833
2011-05-10,10.762,13.143,2.381
2011-05-11,12.958,14.375,1.417
2011-05-12,20.875,24.208,3.333
2011-05-13,6.083,7.167,1.083
2011-05-14,8.333,9.333,1.0
2011-05-15,11.208,12.5,1.292
2011-05-16,18.25,23.792,5.542
2011-05-17,16.762,21.857,5.095
2011-05-18,18.0,27.583,9.583
2011-05-19,17.375,21.208,3.833
2011-05-20,7.625,9.875,2.25
2011-05-21,5.0,7.25,2.25
2011-05-22,5.333,8.292,2.958
2011-05-23,7.75,10.542,2.792
2011-05-24,9.714,10.857,1.143
2011-05-25,18.583,26.792,8.208
2011-05-26,11.25,17.167,5.917
2011-05-27,8.75,9.75,1.0
2011-05-28,10.208,11.208,1.0
2011-05-29,6.0,7.0,1.0
2011-05-30,5.208,6.208,1.0
2011-05-31,13.143,15.714,2.571
2011-06-01,16.167,17.792,1.625
2011-06-02,13.125,14.583,1.458
2011-06-03,15.75,19.208,3.458
2011-06-04,10.167,17.875,7.708
2011-06-05,6.292,7.292,1.0
2011-06-06,16.75,21.083,4.333
2011-06-07,13.952,16.81,2.857
2011-06-08,7.917,8.917,1.0
2011-06-09,14.375,16.833,2.458
2011-06-10,10.292,15.5,5.208
2011-06-11,6.417,9.125,2.708
2011-06-12,11.083,13.792,2.708
2011-06-13,9.375,13.0,3.625
2011-06-14,14.048,16.714,2.667
2011-06-15,9.167,11.333,2.167
2011-06-16,14.417,20.708,6.292
2011-06-17,10.583,11.625,1.042
2011-06-18,9.625,10.625,1.0
2011-06-19,8.125,9.167,1.042
2011-06-20,11.708,12.875,1.167
2011-06-21,6.722,9.167,2.444
2011-06-22,12.048,14.857,2.81
2011-06-23,5.083,8.583,3.5
2011-06-24,2.958,6.375,3.417
2011-06-25,5.875,10.625,4.75
2011-06-26,6.167,9.875,3.708
2011-06-27,3.917,9.042,5.125
2011-06-28,4.167,9.792,5.625
2011-06-29,14.571,18.857,4.286
2011-06-30,15.792,22.292,6.5
2011-07-01,13.333,17.708,4.375
2011-07-02,8.042,15.833,7.792
2011-07-03,10.292,14.25,3.958
2011-07-04,5.333,7.583,2.25
2011-07-05,10.042,12.5,2.458
2011-07-06,13.762,20.952,7.19
2011-07-07,9.75,13.292,3.542
2011-07-08,5.625,7.833,2.208
2011-07-09,7.5,11.542,4.042
2011-07-10,6.625,21.5,14.875
2011-07-11,7.708,27.292,19.583
2011-07-12,8.458,31.0,22.542
2011-07-13,6.81,21.857,15.048
2011-07-14,8.0,21.304,13.304
2011-07-15,9.0,23.75,14.75
2011-07-16,9.0,17.583,8.583
2011-07-17,6.458,18.875,12.417
2011-07-18,4.333,12.25,7.917
2011-07-19,1.25,2.5,1.25
2011-07-20,2.714,3.714,1.0
2011-07-21,4.375,5.375,1.0
2011-07-22,9.083,10.167,1.083
2011-07-23,14.208,17.625,3.417
2011-07-24,13.958,18.0,4.042
2011-07-25,11.708,18.792,7.083
2011-07-26,12.292,24.375,12.083
2011-07-27,6.667,12.067,5.4
2011-07-28,12.478,16.174,3.696
2011-07-29,13.667,27.208,13.542
2011-07-30,13.208,20.75,7.542
2011-07-31,8.875,9.958,1.083
2011-08-01,5.875,6.958,1.083
2011-08-02,9.708,12.167,2.458
2011-08-03,8.227,16.182,7.955
2011-08-04,7.333,8.583,1.25
