date,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,23.354,36.521,13.167,
2011-01-02,11.478,17.348,5.87,
2011-01-03,11.354,15.75,4.396,
2011-01-04,9.23,12.708,3.479,
2011-01-05,14.124,21.512,7.388,
2011-01-06,23.896,41.688,17.792,
2011-01-07,11.479,15.979,4.5,
2011-01-08,12.084,16.021,3.938,
2011-01-09,14.283,19.913,5.63,
2011-01-10,28.416,51.333,22.916,
2011-01-11,19.51,32.766,13.256,
2011-01-12,17.724,26.882,9.159,
2011-01-13,22.584,45.292,22.708,
2011-01-14,9.584,13.625,4.042,
2011-01-15,8.938,11.875,2.938,
2011-01-16,20.087,27.739,7.652,
2011-01-17,22.77,33.438,10.666,
2011-01-18,37.202,68.84,31.639,
2011-01-19,38.438,73.0,34.562,
2011-01-20,28.834,44.958,16.125,
2011-01-21,24.625,32.416,7.792,
2011-01-22,12.062,14.771,2.708,
2011-01-23,16.37,25.782,9.413,
2011-01-24,13.438,19.062,5.625,
2011-01-25,17.004,25.733,8.729,
2011-01-26,13.138,19.752,6.614,
2011-01-27,23.375,50.542,27.166,
2011-01-28,16.271,21.25,4.979,
2011-01-29,10.521,11.646,1.125,
2011-01-30,18.782,33.044,14.261,
2011-01-31,19.812,26.958,7.146,
2011-02-01,22.708,48.312,25.604,
2011-02-02,13.278,19.013,5.734,
2011-02-03,29.062,51.792,22.729,
2011-02-04,24.084,53.188,29.104,
2011-02-05,14.672,17.188,2.516,
2011-02-06,33.0,52.935,19.935,
2011-02-07,19.958,30.958,11.0,
2011-02-08,7.16,9.06,1.899,
2011-02-09,12.28,15.976,3.697,
2011-02-10,15.77,25.854,10.083,
2011-02-11,7.938,8.875,0.938,
2011-02-12,7.584,7.958,0.375,
2011-02-13,24.181,33.876,9.696,
2011-02-14,35.75,78.583,42.833,
2011-02-15,22.886,48.744,25.858,
2011-02-16,13.646,18.042,4.396,
2011-02-17,11.396,16.208,4.812,
2011-02-18,8.458,9.896,1.438,
2011-02-19,10.479,12.188,1.708,
2011-02-20,21.13,28.348,7.217,
2011-02-21,25.167,35.604,10.438,
2011-02-22,30.062,37.842,7.78,
2011-02-23,21.875,31.454,9.58,
2011-02-24,24.48,31.375,6.896,
2011-02-25,18.875,22.604,3.73,
2011-02-26,6.271,6.77,0.5,
2011-02-27,12.065,14.652,2.587,
2011-02-28,23.854,28.458,4.604,
2011-03-01,35.688,53.938,18.25,
2011-03-02,33.77,65.062,31.292,
2011-03-03,9.084,9.938,0.854,
2011-03-04,21.812,24.521,2.708,
2011-03-05,38.63,62.326,23.696,
2011-03-06,34.583,57.334,22.75,
2011-03-07,14.08,15.81,1.729,
2011-03-08,26.576,32.443,5.868,
2011-03-09,17.688,20.25,2.562,
2011-03-10,7.958,9.02,1.062,
2011-03-11,5.542,6.02,0.479,
2011-03-12,9.544,11.522,1.978,
2011-03-13,10.542,12.354,1.812,
2011-03-14,23.962,31.924,7.962,
2011-03-15,20.042,25.625,5.584,
2011-03-16,23.812,30.604,6.792,
2011-03-17,31.312,41.334,10.021,
2011-03-18,20.146,25.938,5.792,
2011-03-19,7.174,8.913,1.739,
2011-03-20,8.354,9.5,1.146,
2011-03-21,9.125,10.625,1.5,
2011-03-22,23.471,30.855,7.384,
2011-03-23,34.542,44.834,10.292,
2011-03-24,17.864,24.972,7.108,
2011-03-25,5.167,5.542,0.375,
2011-03-26,8.718,11.044,2.326,
2011-03-27,21.604,27.25,5.646,
2011-03-28,23.449,32.432,8.982,
2011-03-29,23.938,28.416,4.479,
2011-03-30,34.271,46.042,11.771,
2011-03-31,13.375,14.458,1.084,
2011-04-01,30.0,37.688,7.688,
2011-04-02,20.875,24.812,3.938,
2011-04-03,5.77,6.125,0.354,
2011-04-04,10.152,12.978,2.826,
2011-04-05,21.73,25.542,3.812,
2011-04-06,32.879,39.846,6.968,
2011-04-07,30.108,41.165,11.057,
2011-04-08,27.166,31.52,4.354,
2011-04-09,12.875,15.542,2.666,
2011-04-10,10.562,11.312,0.75,
2011-04-11,20.108,26.761,6.652,
2011-04-12,11.312,13.354,2.042,
2011-04-13,40.672,49.88,9.208,
2011-04-14,34.604,42.48,7.875,
2011-04-15,35.5,45.292,9.792,
2011-04-16,13.23,16.084,2.854,
2011-04-17,8.708,9.666,0.958,
2011-04-18,21.87,28.565,6.696,
2011-04-19,12.708,16.042,3.333,
2011-04-20,7.875,10.098,2.224,
2011-04-21,25.28,31.72,6.44,
2011-04-22,37.021,50.146,13.125,
2011-04-23,13.604,14.604,1.0,
2011-04-24,11.458,12.396,0.938,
2011-04-25,23.108,31.218,8.108,
2011-04-26,29.208,34.854,5.646,
2011-04-27,20.116,22.79,2.674,
2011-04-28,13.458,16.458,3.0,
2011-04-29,12.23,13.646,1.416,
2011-04-30,25.604,30.188,4.584,
2011-05-01,12.708,13.438,0.73,
2011-05-02,9.391,11.282,1.892,
2011-05-03,18.0,20.292,2.292,
2011-05-04,12.604,14.416,1.812,
2011-05-05,12.23,13.521,1.292,
2011-05-06,18.562,22.292,3.729,
2011-05-07,17.479,19.375,1.896,
2011-05-08,11.188,11.875,0.688,
2011-05-09,24.956,28.782,3.826,
2011-05-10,29.875,48.354,18.479,
2011-05-11,24.988,30.089,5.1,
2011-05-12,28.526,42.244,13.718,
2011-05-13,10.646,12.583,1.938,
2011-05-14,16.02,19.729,3.708,
2011-05-15,14.438,15.875,1.438,
2011-05-16,23.609,29.913,6.304,
2011-05-17,21.708,26.312,4.604,
2011-05-18,27.474,32.062,4.589,
2011-05-19,29.125,36.25,7.125,
2011-05-20,23.604,27.792,4.188,
2011-05-21,19.042,21.646,2.604,
2011-05-22,10.958,13.458,2.5,
2011-05-23,22.087,30.456,8.37,
2011-05-24,21.166,26.021,4.854,
2011-05-25,23.532,27.826,4.294,
2011-05-26,20.512,22.792,2.28,
2011-05-27,21.208,24.771,3.562,
2011-05-28,21.458,26.458,5.0,
2011-05-29,11.084,13.771,2.688,
2011-05-30,8.0,9.978,1.978,
2011-05-31,11.646,14.555,2.908,
2011-06-01,18.645,21.403,2.758,
2011-06-02,27.354,34.396,7.042,
2011-06-03,33.062,43.666,10.604,
2011-06-04,23.958,29.666,5.708,
2011-06-05,19.084,21.25,2.166,
2011-06-06,21.5,24.544,3.044,
2011-06-07,25.834,32.229,6.396,
2011-06-08,19.488,22.35,2.862,
2011-06-09,20.916,23.334,2.416,
2011-06-10,28.38,34.811,6.43,
2011-06-11,15.042,17.625,2.584,
2011-06-12,12.625,13.562,0.938,
2011-06-13,13.174,17.587,4.413,
2011-06-14,8.75,10.479,1.729,
2011-06-15,19.826,24.367,4.542,
2011-06-16,22.584,25.0,2.416,
2011-06-17,23.312,29.25,5.938,
2011-06-18,20.896,23.125,2.229,
2011-06-19,18.875,21.688,2.812,
2011-06-20,29.282,38.348,9.065,
2011-06-21,32.062,45.5,13.438,
2011-06-22,34.384,46.029,11.645,
2011-06-23,25.581,45.738,20.158,
2011-06-24,18.438,30.021,11.583,
2011-06-25,11.834,14.979,3.146,
2011-06-26,5.625,7.771,2.146,
2011-06-27,10.174,16.522,6.348,
2011-06-28,19.17,27.472,8.301,
2011-06-29,11.38,15.577,4.196,
2011-06-30,15.166,20.312,5.146,
2011-07-01,16.375,22.125,5.75,
2011-07-02,15.333,19.25,3.917,
2011-07-03,14.334,16.354,2.021,
2011-07-04,18.608,25.348,6.74,
2011-07-05,13.875,16.77,2.896,
2011-07-06,18.488,23.25,4.762,
2011-07-07,18.916,27.811,8.894,
2011-07-08,22.25,34.708,12.458,
2011-07-09,20.021,28.916,8.896,
2011-07-10,9.271,10.542,1.271,
2011-07-11,11.478,21.022,9.544,
2011-07-12,12.708,20.354,7.646,
2011-07-13,12.526,20.552,8.026,
2011-07-14,15.292,24.188,8.896,
2011-07-15,17.812,21.584,3.771,
2011-07-16,12.416,16.105,3.688,
2011-07-17,8.271,10.708,2.438,
2011-07-18,6.696,9.348,2.652,
2011-07-19,6.542,9.542,3.0,
2011-07-20,10.259,12.525,2.266,
2011-07-21,19.62,29.72,10.1,
2011-07-22,21.354,26.646,5.292,
2011-07-23,17.312,19.75,2.438,
2011-07-24,12.75,14.771,2.021,
2011-07-25,22.739,30.456,7.717,
2011-07-26,21.083,29.104,8.02,
2011-07-27,21.918,30.886,8.968,
2011-07-28,15.5,27.438,11.938,
2011-07-29,8.312,13.792,5.48,
2011-07-30,8.27,10.166,1.896,
2011-07-31,11.188,12.125,0.938,
2011-08-01,17.456,22.783,5.326,
2011-08-02,22.688,29.792,7.104,
2011-08-03,18.133,25.482,7.348,
2011-08-04,16.142,21.55,5.408,
2011-08-05,11.396,15.292,3.896,
2011-08-06,14.77,19.5,4.729,
2011-08-07,11.583,13.25,1.666,
2011-08-08,24.0,29.804,5.804,
2011-08-09,26.083,31.75,5.667,
2011-08-10,21.307,24.738,3.432,
2011-08-11,7.084,9.312,2.229,
2011-08-12,8.688,10.73,2.042,
2011-08-13,8.542,9.854,1.312,
2011-08-14,9.208,10.042,0.833,
2011-08-15,12.587,15.348,2.761,
2011-08-16,16.271,19.375,3.104,
2011-08-17,23.406,28.436,5.03,
2011-08-18,20.731,26.278,5.547,
2011-08-19,15.688,20.584,4.896,
2011-08-20,15.854,17.896,2.042,
2011-08-21,19.479,23.084,3.604,
2011-08-22,17.044,20.108,3.066,
2011-08-23,14.834,18.312,3.479,
2011-08-24,13.204,20.772,7.568,
2011-08-25,13.084,22.292,9.208,
2011-08-26,19.708,30.104,10.396,
2011-08-27,12.916,19.625,6.708,
2011-08-28,13.25,14.792,1.542,
2011-08-29,22.108,26.608,4.5,
2011-08-30,21.208,25.688,4.479,
2011-08-31,16.76,20.984,4.224,
2011-09-01,8.267,11.756,3.488,
2011-09-02,7.312,12.312,5.0,
2011-09-03,3.958,5.375,1.417,
2011-09-04,6.583,7.812,1.229,
2011-09-05,11.718,15.348,3.63,
2011-09-06,9.125,10.979,1.854,
2011-09-07,23.666,29.25,5.585,
2011-09-08,24.542,33.021,8.479,
2011-09-09,23.792,27.521,3.729,
2011-09-10,15.542,21.625,6.084,
2011-09-11,8.375,10.75,2.375,
2011-09-12,17.326,26.804,9.478,
2011-09-13,18.438,25.646,7.208,
2011-09-14,19.077,26.554,7.476,
2011-09-15,13.158,18.066,4.909,
2011-09-16,8.583,12.125,3.542,
2011-09-17,7.375,12.062,4.688,
2011-09-18,8.562,11.042,2.479,
2011-09-19,13.0,19.522,6.522,
2011-09-20,15.125,37.417,22.292,
2011-09-21,7.817,10.337,2.52,
2011-09-22,7.5,10.646,3.146,
2011-09-23,7.75,9.438,1.688,
2011-09-24,16.23,19.333,3.104,
2011-09-25,15.438,17.062,1.625,
2011-09-26,35.414,54.935,19.522,
2011-09-27,26.486,46.64,20.154,
2011-09-28,28.769,36.328,7.56,
2011-09-29,27.994,34.546,6.551,
2011-09-30,22.334,28.146,5.812,
2011-10-01,6.729,8.0,1.271,
2011-10-02,7.958,9.5,1.542,
2011-10-03,10.13,12.826,2.696,
2011-10-04,20.25,24.416,4.167,
2011-10-05,26.918,33.832,6.914,
2011-10-06,12.521,15.438,2.917,
2011-10-07,12.938,14.979,2.042,
2011-10-08,23.688,27.25,3.562,
2011-10-09,17.292,18.708,1.416,
2011-10-10,21.152,23.913,2.761,
2011-10-11,33.706,45.021,11.314,
2011-10-12,28.271,37.979,9.708,
2011-10-13,39.044,61.454,22.411,
2011-10-14,27.896,49.834,21.938,
2011-10-15,25.25,39.042,13.792,
2011-10-16,13.917,17.062,3.146,
2011-10-17,19.435,31.392,11.956,
2011-10-18,16.396,21.104,4.708,
2011-10-19,23.799,30.344,6.546,
2011-10-20,30.354,40.792,10.438,
2011-10-21,35.792,53.188,17.396,
2011-10-22,16.188,19.98,3.792,
2011-10-23,10.354,11.875,1.521,
2011-10-24,28.978,42.674,13.696,
2011-10-25,18.084,29.542,11.458,
2011-10-26,9.0,10.964,1.964,
2011-10-27,27.462,35.128,7.666,
2011-10-28,40.542,63.917,23.375,
2011-10-29,31.292,40.104,8.812,
2011-10-30,21.75,25.27,3.521,
2011-10-31,14.804,19.87,5.065,
2011-11-01,31.979,43.021,11.042,
2011-11-02,37.574,60.812,23.238,
2011-11-03,35.438,59.0,23.562,
2011-11-04,39.979,69.042,29.062,
2011-11-05,36.0,52.458,16.458,
2011-11-06,16.25,20.646,4.396,
2011-11-07,8.565,11.022,2.456,
2011-11-08,12.375,16.354,3.979,
2011-11-09,17.792,23.666,5.875,
2011-11-10,30.04,43.39,13.35,
2011-11-11,28.771,43.729,14.958,
2011-11-12,21.812,38.75,16.938,
2011-11-13,15.604,26.375,10.771,
2011-11-14,20.87,32.044,11.174,
2011-11-15,13.312,17.729,4.417,
2011-11-16,16.683,22.036,5.352,
2011-11-17,22.75,31.062,8.312,
2011-11-18,39.166,78.396,39.229,
2011-11-19,29.521,65.354,35.834,
2011-11-20,9.646,17.896,8.25,
2011-11-21,9.456,12.804,3.348,
2011-11-22,23.833,40.02,16.188,
2011-11-23,26.917,51.292,24.375,
2011-11-24,15.392,26.522,11.13,
2011-11-25,12.938,17.0,4.062,
2011-11-26,24.271,43.708,19.438,
2011-11-27,22.708,36.875,14.166,
2011-11-28,36.478,109.217,72.739,
2011-11-29,36.375,94.75,58.375,
2011-11-30,31.328,82.471,51.144,
2011-12-01,16.452,21.561,5.108,
2011-12-02,25.896,41.646,15.75,
2011-12-03,22.458,42.542,20.083,
2011-12-04,5.604,6.792,1.188,
2011-12-05,16.152,24.391,8.239,
2011-12-06,31.604,53.688,22.084,
2011-12-07,31.415,66.481,35.067,
2011-12-08,33.962,72.774,38.812,
2011-12-09,14.396,26.312,11.916,
2011-12-10,25.5,37.812,12.312,
2011-12-11,10.104,11.916,1.812,
2011-12-12,22.174,43.022,20.848,
2011-12-13,23.292,36.812,13.521,
2011-12-14,29.165,50.15,20.986,
2011-12-15,29.438,98.562,69.125,
2011-12-16,7.557,9.882,2.326,
2011-12-17,10.604,14.75,4.146,
2011-12-18,14.125,20.104,5.979,
2011-12-19,15.326,20.608,5.283,
2011-12-20,20.334,30.208,9.875,
2011-12-21,31.966,61.104,29.136,
2011-12-22,28.042,73.584,45.542,
2011-12-23,10.542,12.771,2.23,
2011-12-24,17.375,26.042,8.667,
2011-12-25,6.125,8.104,1.979,
2011-12-26,16.934,28.63,11.696,
2011-12-27,22.188,35.938,13.75,
2011-12-28,25.23,34.312,9.083,
2011-12-29,24.5,45.438,20.938,
2011-12-30,6.834,8.875,2.042,
2011-12-31,12.188,14.916,2.73,
2012-01-01,10.104,11.334,1.229,12.75
2012-01-02,14.167,19.396,5.229,18.875
2012-01-03,3.708,4.312,0.604,5.708
2012-01-04,7.021,8.083,1.062,3.583
2012-01-05,22.625,32.562,9.938,9.125
2012-01-06,16.854,22.188,5.333,13.417
2012-01-07,26.63,41.5,14.87,14.292
2012-01-08,38.02,104.303,66.283,16.917
2012-01-09,,,,14.348
2012-01-10,10.25,11.625,1.375,7.292
2012-01-11,15.792,21.5,5.708,8.375
2012-01-12,36.458,67.667,31.208,24.708
2012-01-13,28.917,45.333,16.417,30.417
2012-01-14,15.391,18.87,3.478,13.792
2012-01-15,11.083,15.042,3.958,9.208
2012-01-16,32.0,56.13,24.13,17.043
2012-01-17,21.333,32.25,10.917,15.625
2012-01-18,12.0,14.792,2.792,4.5
2012-01-19,21.417,31.292,9.875,11.75
2012-01-20,10.208,10.625,0.417,21.375
2012-01-21,39.0,66.435,27.435,23.583
2012-01-22,22.958,34.875,11.917,8.417
2012-01-23,26.522,32.696,6.174,6.5
2012-01-24,32.625,68.667,36.042,
2012-01-25,15.417,19.125,3.708,7.4
2012-01-26,7.292,8.708,1.417,5.625
2012-01-27,11.667,13.125,1.458,8.0
2012-01-28,11.13,14.696,3.565,6.5
2012-01-29,17.75,25.083,7.333,10.792
2012-01-30,17.696,23.13,5.435,28.318
2012-01-31,40.625,80.708,40.083,27.75
