date,NO2_mean,NOX_mean,NO_mean,PM25_mean,CO_mean,SPM_mean
2011-01-01,19.99,30.596,10.606,,4.167,8.792
2011-01-02,11.0435,19.3445,8.301,,3.667,5.833
2011-01-03,8.479,9.2915,0.8125,,1.792,4.083
2011-01-04,10.417,11.8545,1.4375,,3.333,8.125
2011-01-05,13.375,14.896,1.521,,1.417,2.0
2011-01-06,20.333,26.0625,5.729,,1.667,4.125
2011-01-07,10.396,11.4165,1.0205,,1.583,2.208
2011-01-08,12.337499999999999,14.657499999999999,2.32,,1.75,3.167
2011-01-09,14.864999999999998,18.2285,3.3634999999999997,,2.25,2.875
2011-01-10,24.75,36.0835,11.3335,,4.042,7.042
2011-01-11,17.896,27.0835,9.1875,,4.042,6.958
2011-01-12,13.4375,16.9375,3.5,,2.083,3.292
2011-01-13,21.0415,38.375,17.3335,,2.348,3.833
2011-01-14,10.854,12.229,1.375,,1.708,4.875
2011-01-15,8.699,9.3715,0.6719999999999999,,0.792,2.833
2011-01-16,17.9285,21.628,3.6995,,0.542,3.417
2011-01-17,22.667,34.5415,11.875,,1.292,8.875
2011-01-18,34.021,66.0,31.979,,4.292,10.625
2011-01-19,37.021,86.4795,49.4585,,4.375,10.583
2011-01-20,25.6875,38.729,13.042,,1.917,5.5
2011-01-21,21.8125,27.125,5.3125,,2.542,3.333
2011-01-22,11.709,13.602500000000001,1.8935,,1.667,2.458
2011-01-23,17.487,22.2285,4.741,,2.292,3.625
2011-01-24,14.979,18.708,3.729,,1.333,2.625
2011-01-25,19.604,26.6875,7.0835,,1.25,6.708
2011-01-26,13.354,15.604500000000002,2.25,,0.917,2.875
2011-01-27,20.229,42.417,22.1875,,3.304,7.292
2011-01-28,13.5835,14.6875,1.104,,6.0,9.125
2011-01-29,6.598,7.108499999999999,0.511,,4.583,4.5
2011-01-30,14.901499999999999,19.5015,4.6005,,5.792,3.292
2011-01-31,16.792,19.5,2.7085,,5.875,4.0
2011-02-01,20.583,41.7915,21.2085,,7.375,8.667
2011-02-02,15.875,18.4375,2.5625,,5.5,4.625
2011-02-03,25.5625,42.146,16.5835,,6.042,5.75
2011-02-04,18.75,31.4165,12.6665,,7.042,8.875
2011-02-05,12.267,13.916,1.6484999999999999,,6.667,12.25
2011-02-06,26.39,44.14,17.75,,9.042,15.583
2011-02-07,20.271,38.229,17.9585,,9.0,7.833
2011-02-08,7.0625,7.875,0.8125,,5.167,5.25
2011-02-09,11.2085,14.729,3.5205,,5.333,4.167
2011-02-10,14.2085,17.646,3.4375,,2.739,3.958
2011-02-11,9.3125,9.9795,0.6665,,2.542,5.625
2011-02-12,6.2535,6.5875,0.334,,2.292,6.292
2011-02-13,20.3825,23.3215,2.9395,,2.708,9.167
2011-02-14,28.896,60.2705,31.375,,5.167,9.292
2011-02-15,22.8125,41.917,19.1045,,4.458,9.542
2011-02-16,13.6665,15.0835,1.4165,,1.792,5.292
2011-02-17,11.8335,13.25,1.4169999999999998,,1.917,5.792
2011-02-18,6.979,7.833,0.854,,1.875,4.792
2011-02-19,8.4855,9.1795,0.6935,,2.25,6.125
2011-02-20,18.5155,21.426000000000002,2.911,,3.167,5.125
2011-02-21,26.5625,40.4585,13.896,,3.625,9.458
2011-02-22,26.521,35.104,8.5835,,4.083,18.292
2011-02-23,21.896,28.667,6.771,,6.125,14.708
2011-02-24,25.292,34.771,9.479,,3.739,22.333
2011-02-25,20.479,24.0835,3.604,,4.0,16.792
2011-02-26,6.013,6.5265,0.5135000000000001,,1.125,5.708
2011-02-27,7.3975,8.18,0.7825,,0.583,7.792
2011-02-28,19.7915,26.0,6.208,,1.5,8.042
2011-03-01,33.604,51.125,17.521,,5.125,15.5
2011-03-02,25.0,49.5,24.5,,6.625,11.667
2011-03-03,8.542,8.896,0.354,,2.083,8.625
2011-03-04,19.0035,20.424,1.4204999999999999,,3.75,12.583
2011-03-05,34.9405,54.577,19.6365,,5.833,6.292
2011-03-06,31.3545,62.4165,31.0625,,8.333,13.208
2011-03-07,13.1875,14.104,0.917,,5.25,16.75
2011-03-08,25.604,30.792,5.1875,,5.458,20.708
2011-03-09,17.875,18.7295,0.854,,1.304,14.292
2011-03-10,7.8955,8.229,0.3335,,0.0,6.125
2011-03-11,6.1705000000000005,6.5280000000000005,0.358,,0.0,7.833
2011-03-12,10.229,11.07,0.841,,0.0,4.875
2011-03-13,10.5625,11.3335,0.771,,0.0,6.667
2011-03-14,17.146,18.5625,1.4169999999999998,,0.208,8.458
2011-03-15,18.8335,28.1665,9.333,,0.417,8.75
2011-03-16,21.8125,27.3125,5.5,,0.292,11.792
2011-03-17,31.9795,54.9375,22.9585,,2.667,10.625
2011-03-18,19.188,32.063,12.875,,2.0,7.917
2011-03-19,7.193,7.807,0.6135,,0.083,4.792
2011-03-20,7.3125,7.8335,0.521,,0.083,5.667
2011-03-21,6.604,7.104,0.5,,0.0,6.167
2011-03-22,21.6875,28.333,6.646,,0.333,9.0
2011-03-23,27.771,43.0415,15.271,,2.174,8.667
2011-03-24,17.9165,25.646,7.7295,,1.833,5.208
2011-03-25,7.0625,7.6195,0.5569999999999999,,1.042,4.167
2011-03-26,8.229,8.8375,0.6085,,0.25,6.583
2011-03-27,19.1875,24.125,4.9375,,1.25,10.208
2011-03-28,19.354,27.625,8.271,,1.958,15.458
2011-03-29,20.466,25.848,5.3825,,2.2,12.471
2011-03-30,25.852,34.734,8.8825,,9.944,10.118
2011-03-31,12.8125,15.082999999999998,2.2705,,15.375,5.625
2011-04-01,26.0,31.5,5.5,,,
2011-04-02,19.125,22.25,3.125,,,
2011-04-03,7.208,7.542,0.333,,,
2011-04-04,11.619,13.0,1.381,,,
2011-04-05,16.292,18.167,1.875,,,
2011-04-06,23.875,29.042,5.167,,,
2011-04-07,17.167,18.542,1.375,,,
2011-04-08,13.667,14.292,0.625,,,
2011-04-09,12.292,14.375,2.083,,,
2011-04-10,12.7875,13.801,1.0135,,3.826,14.13
2011-04-11,19.369500000000002,23.369500000000002,4.0,,4.091,13.87
2011-04-12,12.7655,13.568,0.8029999999999999,,2.087,12.391
2011-04-13,41.211,54.212,13.000499999999999,,4.435,12.87
2011-04-14,36.7425,44.415,7.672,,5.0,19.174
2011-04-15,23.541,26.538999999999998,2.998,,3.087,20.522
2011-04-16,16.0185,20.3825,4.364,,3.13,21.391
2011-04-17,10.8295,12.097999999999999,1.2685,,2.652,14.174
2011-04-18,20.576,24.286499999999997,3.7104999999999997,,2.522,16.043
2011-04-19,17.5245,19.786,2.2615,,3.0,4.217
2011-04-20,10.347999999999999,11.5625,1.2145000000000001,,1.957,5.652
2011-04-21,27.8325,35.356,7.5235,,2.957,10.652
2011-04-22,26.521,32.055,5.5344999999999995,,1.591,15.304
2011-04-23,14.472000000000001,16.337,1.865,,0.043,7.783
2011-04-24,11.337,12.6955,1.3585,,1.174,10.217
2011-04-25,29.9835,41.2615,11.277999999999999,,3.043,11.958
2011-04-26,24.747999999999998,30.138,5.3895,,2.375,16.708
2011-04-27,20.0835,25.125,5.042,,1.0,25.167
2011-04-28,20.2295,28.125,7.896,,1.917,14.0
2011-04-29,9.1045,14.2915,5.1875,,1.417,11.792
2011-04-30,13.729500000000002,21.271,7.5415,,2.125,15.083
2011-05-01,4.7085,4.854,0.146,,0.708,11.625
2011-05-02,8.131,10.1085,1.9775,,1.708,26.083
2011-05-03,10.25,11.0,0.75,,2.875,29.167
2011-05-04,6.479,7.0,0.521,,2.0,21.292
2011-05-05,5.896,6.271,0.375,,1.583,15.125
2011-05-06,4.4165,4.5835,0.1665,,1.542,18.333
2011-05-07,7.4585,7.9585,0.5,,1.792,15.5
2011-05-08,5.2915,5.5415,0.25,,1.917,25.667
2011-05-09,7.935,8.3915,0.4565,,2.696,32.083
2011-05-10,15.6665,19.729,4.0625,,3.208,33.292
2011-05-11,11.5835,12.625,1.0415,,1.583,10.708
2011-05-12,12.896,16.5835,3.6875,,2.5,13.083
2011-05-13,7.3125,7.8335,0.521,,1.417,21.458
2011-05-14,7.125,7.6665,0.5415,,2.125,17.792
2011-05-15,6.5625,7.125,0.5625,,2.375,19.25
2011-05-16,4.857,5.1665,0.3095,,1.667,20.125
2011-05-17,8.0415,8.5835,0.5415,,1.833,23.667
2011-05-18,12.3125,15.792000000000002,3.479,,2.0,20.125
2011-05-19,12.625,16.3125,3.6875,,2.0,30.375
2011-05-20,18.458,20.583,2.125,,2.083,
2011-05-21,16.708,17.875,1.167,,1.583,
2011-05-22,9.792,10.542,0.75,,0.833,
2011-05-23,26.957,32.957,6.0,,2.043,
2011-05-24,15.833,17.583,1.75,,2.042,
2011-05-25,20.958,22.542,1.583,,2.125,
2011-05-26,33.0985,38.5285,5.43,,1.833,12.182
2011-05-27,29.604,39.5835,9.979,,1.625,13.042
2011-05-28,27.896,33.479,5.583,,3.292,20.75
2011-05-29,11.9375,16.021,4.0835,,1.667,15.792
2011-05-30,10.827,12.9,2.0735,,0.542,5.609
2011-05-31,15.8125,18.917,3.1045,,0.917,4.958
