date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean
2011-01-01,19.958,25.042,5.083,27.083,
2011-01-02,10.609,12.957,2.348,14.5,
2011-01-03,5.5,5.667,0.167,9.833,
2011-01-04,5.0,5.25,0.25,20.333,
2011-01-05,6.125,6.792,0.667,4.792,
2011-01-06,16.375,18.625,2.25,14.375,
2011-01-07,8.833,9.125,0.292,3.292,
2011-01-08,7.667,8.25,0.583,6.667,
2011-01-09,11.261,13.391,2.13,15.083,
2011-01-10,16.391,18.783,2.391,20.652,
2011-01-11,14.542,17.292,2.75,22.042,
2011-01-12,11.083,13.167,2.083,3.667,
2011-01-13,18.792,28.5,9.708,17.417,
2011-01-14,9.417,10.458,1.042,16.333,
2011-01-15,6.625,7.042,0.417,8.792,
2011-01-16,19.043,22.826,3.783,15.625,
2011-01-17,17.458,21.792,4.333,16.5,
2011-01-18,31.667,54.875,23.208,35.208,
2011-01-19,36.833,69.917,33.083,40.875,
2011-01-20,26.0,32.0,6.0,23.167,
2011-01-21,22.625,27.417,4.792,24.125,
2011-01-22,10.417,12.125,1.708,14.417,
2011-01-23,10.783,13.435,2.652,7.875,
2011-01-24,7.667,8.542,0.875,5.083,
2011-01-25,6.417,7.25,0.833,9.375,
2011-01-26,9.167,10.083,0.917,7.708,
2011-01-27,9.333,10.542,1.208,16.333,
2011-01-28,12.833,13.875,1.042,19.708,
2011-01-29,7.292,7.667,0.375,9.792,
2011-01-30,13.091,16.636,3.545,9.792,
2011-01-31,9.042,10.458,1.417,6.125,
2011-02-01,18.417,35.75,17.333,19.125,
2011-02-02,4.783,5.652,0.87,5.773,
2011-02-03,10.583,12.625,2.042,8.458,
2011-02-04,14.125,21.625,7.5,22.25,
2011-02-05,11.0,12.458,1.458,32.25,
2011-02-06,30.261,55.565,25.304,53.583,
2011-02-07,15.667,26.083,10.417,23.875,
2011-02-08,3.792,5.042,1.25,6.333,
2011-02-09,7.333,9.292,1.958,9.75,
2011-02-10,7.833,10.083,2.25,8.125,
2011-02-11,5.167,6.375,1.208,9.792,
2011-02-12,3.75,4.792,1.042,9.625,
2011-02-13,26.783,33.478,6.696,26.375,
2011-02-14,30.182,41.227,11.045,22.333,
2011-02-15,19.833,26.542,6.708,21.333,
2011-02-16,12.875,14.833,1.958,10.042,
2011-02-17,5.917,6.583,0.667,7.083,
2011-02-18,4.292,4.583,0.292,5.625,
2011-02-19,8.167,9.542,1.375,14.125,
2011-02-20,13.522,15.217,1.696,11.25,
2011-02-21,20.458,24.542,4.083,22.417,
2011-02-22,18.583,21.958,3.375,34.792,
2011-02-23,17.0,21.261,4.261,42.167,
2011-02-24,15.833,17.667,1.833,35.5,
2011-02-25,19.958,22.75,2.792,42.417,
2011-02-26,4.625,4.75,0.125,5.292,
2011-02-27,8.783,9.826,1.043,10.042,
2011-02-28,19.375,22.333,2.958,19.542,
2011-03-01,25.833,32.125,6.292,34.625,
2011-03-02,26.583,51.417,24.833,48.0,
2011-03-03,6.875,7.375,0.5,12.875,
2011-03-04,19.208,21.292,2.083,33.625,
2011-03-05,23.591,26.818,3.227,19.522,
2011-03-06,21.125,31.583,10.458,28.625,
2011-03-07,10.542,10.708,0.167,32.708,
2011-03-08,21.0,23.958,2.958,35.917,
2011-03-09,15.167,15.875,0.708,27.083,
2011-03-10,5.667,5.792,0.125,14.208,
2011-03-11,3.708,3.792,0.083,11.792,
2011-03-12,4.696,5.087,0.391,11.375,
2011-03-13,5.5,5.792,0.292,10.542,
2011-03-14,16.417,19.042,2.625,19.875,
2011-03-15,16.333,23.042,6.708,20.708,
2011-03-16,13.875,16.417,2.542,19.042,
2011-03-17,20.125,27.0,6.875,35.667,
2011-03-18,15.417,16.792,1.375,26.708,
2011-03-19,4.13,4.217,0.087,10.958,
2011-03-20,5.583,5.917,0.333,11.167,
2011-03-21,6.583,6.75,0.167,7.333,
2011-03-22,17.792,23.0,5.208,22.833,
2011-03-23,23.167,26.417,3.25,26.667,
2011-03-24,11.292,11.625,0.333,14.417,
2011-03-25,4.375,4.375,0.0,10.583,
2011-03-26,7.478,7.565,0.087,10.958,
2011-03-27,11.333,11.667,0.333,19.875,
2011-03-28,17.696,22.739,5.043,35.75,
2011-03-29,13.667,14.917,1.25,22.333,
2011-03-30,23.417,28.625,5.208,27.333,
2011-03-31,4.542,4.542,0.0,14.167,
2011-04-01,20.458,25.875,5.417,24.5,
2011-04-02,16.208,19.167,2.958,33.208,
2011-04-03,5.292,5.375,0.083,10.25,
2011-04-04,8.957,10.087,1.13,9.292,
2011-04-05,13.083,15.25,2.167,18.583,
2011-04-06,21.174,24.87,3.696,32.348,
2011-04-07,16.125,19.208,3.083,28.042,
2011-04-08,11.542,13.25,1.708,22.75,
2011-04-09,9.25,10.833,1.583,24.167,
2011-04-10,8.0,8.167,0.167,35.083,
2011-04-11,10.826,12.261,1.435,38.25,
2011-04-12,6.708,7.417,0.708,25.25,
2011-04-13,19.708,23.042,3.333,33.75,
2011-04-14,23.273,28.182,4.909,41.792,
2011-04-15,16.167,18.667,2.5,44.792,
2011-04-16,6.833,8.167,1.333,50.125,
2011-04-17,5.625,7.0,1.375,22.708,
2011-04-18,10.522,12.217,1.696,26.292,
2011-04-19,8.042,9.083,1.042,12.5,
2011-04-20,4.739,5.522,0.783,3.375,
2011-04-21,14.75,18.333,3.583,20.792,
2011-04-22,13.833,15.708,1.875,31.042,
2011-04-23,5.458,6.042,0.583,24.083,
2011-04-24,7.958,8.5,0.542,21.542,
2011-04-25,13.217,16.261,3.043,24.083,
2011-04-26,18.125,21.917,3.792,38.958,
2011-04-27,8.625,10.292,1.667,55.875,
2011-04-28,6.25,6.792,0.542,19.875,
2011-04-29,8.0,8.417,0.417,17.292,
2011-04-30,15.667,19.833,4.167,35.042,
2011-05-01,7.833,8.208,0.375,34.708,
2011-05-02,5.391,6.043,0.652,126.542,
2011-05-03,15.5,17.25,1.75,108.625,
2011-05-04,12.333,14.458,2.125,55.0,
2011-05-05,10.917,12.458,1.542,30.25,
2011-05-06,8.792,9.917,1.125,46.792,
2011-05-07,6.083,6.583,0.5,31.625,
2011-05-08,5.708,6.083,0.375,52.167,
2011-05-09,11.818,13.227,1.409,44.826,
2011-05-10,12.0,14.708,2.708,54.75,
2011-05-11,11.625,12.667,1.042,14.208,
2011-05-12,11.5,13.75,2.25,13.375,
2011-05-13,5.75,5.917,0.167,63.167,
2011-05-14,6.5,6.875,0.375,37.792,
2011-05-15,9.625,10.833,1.208,38.292,
2011-05-16,11.087,13.0,1.913,45.542,
2011-05-17,10.833,11.833,1.0,50.75,
2011-05-18,14.667,16.875,2.208,35.458,
2011-05-19,17.792,19.958,2.167,45.0,
2011-05-20,14.625,16.583,1.958,56.667,
2011-05-21,12.0,13.708,1.708,44.125,
2011-05-22,6.958,7.958,1.0,17.833,
2011-05-23,13.818,14.909,1.091,19.292,
2011-05-24,9.917,11.042,1.125,14.667,
2011-05-25,9.167,9.917,0.75,24.417,
2011-05-26,10.25,11.625,1.375,23.333,
2011-05-27,8.958,9.875,0.917,23.083,
2011-05-28,18.083,19.583,1.5,40.0,
2011-05-29,8.292,9.917,1.625,33.083,
2011-05-30,3.913,4.609,0.696,8.625,
2011-05-31,5.609,7.043,1.435,11.958,
2011-06-01,8.125,10.375,2.25,36.583,
2011-06-02,10.208,12.458,2.25,22.292,
2011-06-03,20.583,26.375,5.792,56.375,
2011-06-04,12.167,14.333,2.167,74.0,
2011-06-05,11.542,13.292,1.75,57.458,
2011-06-06,10.5,11.182,0.682,44.45,
2011-06-07,10.875,12.25,1.375,37.792,
2011-06-08,7.333,8.042,0.708,28.792,
2011-06-09,8.833,9.708,0.875,27.417,
2011-06-10,11.25,12.792,1.542,38.958,
2011-06-11,7.292,8.25,0.958,21.667,
2011-06-12,12.417,13.25,0.833,34.167,
2011-06-13,9.0,10.13,1.13,20.292,
2011-06-14,7.125,7.75,0.625,23.5,
2011-06-15,11.0,13.417,2.417,18.087,
2011-06-16,13.0,14.792,1.792,28.375,
2011-06-17,9.833,10.917,1.083,19.167,
2011-06-18,10.417,11.625,1.208,21.917,
2011-06-19,8.458,9.458,1.0,32.917,
2011-06-20,11.435,13.739,2.304,22.167,
2011-06-21,9.958,13.167,3.208,17.542,
2011-06-22,16.304,22.13,5.826,39.083,
2011-06-23,12.0,18.958,6.958,32.042,
2011-06-24,8.0,12.75,4.75,28.0,
2011-06-25,8.25,11.333,3.083,30.375,
2011-06-26,4.958,9.958,5.0,30.875,
2011-06-27,3.826,7.348,3.522,29.583,
2011-06-28,7.208,10.792,3.583,33.708,
2011-06-29,11.083,14.375,3.292,32.333,
2011-06-30,15.174,20.435,5.261,43.542,
2011-07-01,10.75,14.417,3.667,27.958,
2011-07-02,9.458,12.208,2.75,28.458,
2011-07-03,9.125,11.0,1.875,46.167,
2011-07-04,7.261,10.391,3.13,43.167,
2011-07-05,6.375,7.542,1.167,22.333,
2011-07-06,10.958,13.167,2.208,32.875,
2011-07-07,11.087,17.0,5.913,21.455,
2011-07-08,9.542,18.167,8.625,33.25,
2011-07-09,10.333,14.458,4.125,31.208,
2011-07-10,4.5,6.583,2.083,19.958,
2011-07-11,5.391,11.261,5.87,13.125,
2011-07-12,6.625,12.042,5.417,14.917,
2011-07-13,5.042,8.458,3.417,14.708,
2011-07-14,6.833,10.375,3.542,14.167,
2011-07-15,10.5,14.792,4.292,23.833,
2011-07-16,5.542,7.583,2.042,17.167,
2011-07-17,6.042,8.458,2.417,22.208,
2011-07-18,4.174,7.609,3.435,33.5,
2011-07-19,3.0,6.542,3.542,46.958,
2011-07-20,5.417,7.875,2.458,24.0,
2011-07-21,9.083,13.208,4.125,22.792,
2011-07-22,8.478,10.826,2.348,24.25,
2011-07-23,10.125,12.083,1.958,39.333,
2011-07-24,9.375,11.083,1.708,45.208,
2011-07-25,7.391,11.783,4.391,23.958,
2011-07-26,6.917,9.542,2.625,22.25,
2011-07-27,6.25,10.167,3.917,18.958,
2011-07-28,7.667,11.542,3.875,22.667,
2011-07-29,5.913,9.217,3.304,20.083,
2011-07-30,4.625,6.125,1.5,26.917,
2011-07-31,4.833,6.042,1.208,25.542,
2011-08-01,8.174,11.0,2.826,25.417,
2011-08-02,9.25,11.667,2.417,32.042,
2011-08-03,8.542,13.042,4.5,30.583,
2011-08-04,10.13,13.957,3.826,20.957,
2011-08-05,5.958,9.292,3.333,12.917,
2011-08-06,5.667,9.125,3.458,15.625,
2011-08-07,9.333,11.542,2.208,32.292,
