date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,SO2_mean,CO_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,18.1332,22.8666,4.7332,,11.896,108.0,70.958,28.0,2.4026666666666667,3.292,194.25,17.0,211.25
2011-01-02,7.9542,9.958,2.0036,,11.031,89.0,64.875,44.0,3.1806666666666668,3.375,189.833,10.792,200.625
2011-01-03,13.4916,17.422,3.9302,,14.69775,76.0,61.75,39.0,3.764,3.375,190.292,13.667,203.958
2011-01-04,11.0694,14.8,3.7302,,19.280250000000002,77.0,49.792,26.0,6.208333333333333,4.0,190.364,12.636,203.0
2011-01-05,20.7416,30.7166,9.9752,,6.771,71.0,41.25,11.0,2.361,3.208,193.083,13.833,206.917
2011-01-06,35.1706,83.73400000000001,48.5634,,14.125,91.0,57.333,16.0,3.0556666666666668,6.125,201.458,28.167,229.625
2011-01-07,12.4164,17.575,5.1582,,5.82275,83.0,57.042,38.0,1.5,2.417,193.25,10.792,204.042
2011-01-08,19.975,28.2502,8.275,,6.854,75.0,50.708,30.0,1.875,3.792,196.478,15.522,212.0
2011-01-09,25.5836,40.9166,15.333400000000001,,17.531,102.0,63.417,30.0,3.5833333333333335,4.917,198.0,22.208,220.208
2011-01-10,41.482800000000005,89.52340000000001,48.041,,32.7915,107.0,71.583,30.0,5.319333333333334,8.125,207.2,37.65,244.85
2011-01-11,22.0582,35.7998,13.741800000000001,,23.08325,96.0,65.208,22.0,4.041666666666667,4.167,195.208,16.167,211.375
2011-01-12,29.3548,52.334799999999994,22.9798,,7.2085,60.0,40.125,14.0,2.7206666666666663,4.13,197.435,20.0,217.435
2011-01-13,33.3082,82.41659999999999,49.1082,,16.97925,94.0,63.583,29.0,3.5833333333333335,5.708,198.917,29.75,228.667
2011-01-14,25.9908,36.5168,10.526,,30.2605,83.0,65.208,50.0,5.791666666666667,4.875,194.0,17.208,211.208
2011-01-15,24.9584,37.4834,12.525200000000002,,13.875,81.0,64.042,41.0,3.0553333333333335,4.667,196.833,21.5,218.333
