date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean
2011-01-01,16.708,18.875,2.167,3.792,13.125,
2011-01-02,7.958,8.875,0.917,4.542,14.667,
2011-01-03,12.458,14.0,1.542,5.458,18.208,
2011-01-04,10.5,11.875,1.375,8.083,23.583,
2011-01-05,19.696,23.87,4.174,3.708,8.375,
2011-01-06,31.348,60.043,28.696,5.042,15.375,
2011-01-07,10.833,12.417,1.583,3.083,7.667,
2011-01-08,19.708,24.875,5.167,3.208,8.458,
2011-01-09,22.708,31.292,8.583,4.917,18.5,
2011-01-10,39.458,73.583,34.125,7.375,33.583,
2011-01-11,20.833,27.083,6.25,6.25,25.667,
2011-01-12,26.304,34.522,8.217,3.958,9.458,
2011-01-13,28.174,57.522,29.348,5.792,18.667,
2011-01-14,21.5,24.167,2.667,7.625,32.167,
2011-01-15,21.591,28.909,7.318,4.818,16.455,
2011-01-16,12.292,13.625,1.333,3.261,13.042,
2011-01-17,20.783,27.435,6.652,3.696,11.652,
2011-01-18,30.875,44.292,13.417,4.375,14.458,
2011-01-19,30.217,39.565,9.348,4.083,14.25,
2011-01-20,18.174,21.174,3.0,3.667,6.542,
2011-01-21,22.583,26.125,3.542,3.292,11.75,
2011-01-22,26.458,34.833,8.375,4.875,14.5,
2011-01-23,14.667,18.5,3.833,3.708,5.542,
2011-01-24,16.583,21.5,4.917,3.292,7.083,
2011-01-25,19.792,25.083,5.292,4.875,15.708,
2011-01-26,21.435,26.652,5.217,3.708,8.667,
2011-01-27,31.435,45.087,13.652,6.435,23.792,
2011-01-28,19.208,22.625,3.417,5.458,20.083,
2011-01-29,9.417,10.542,1.125,3.583,7.167,
2011-01-30,30.042,41.09,11.048,4.068,9.146,6.333
2011-01-31,24.75,39.084,14.334,4.25,11.084,4.583
2011-02-01,25.328,53.676,28.348,8.486,18.254,5.696
2011-02-02,12.342,16.174,3.832,4.577,7.34,3.542
2011-02-03,26.364,41.386,15.024,4.604,13.792,5.375
2011-02-04,22.19,30.322,8.132,6.562,21.958,5.167
2011-02-05,21.25,25.818,4.57,8.23,36.419,5.348
2011-02-06,23.958,28.084,4.125,5.708,27.729,4.708
2011-02-07,27.72,36.994,9.274,4.39,14.753,5.435
2011-02-08,16.042,20.542,4.5,4.521,13.792,3.458
2011-02-09,18.904,24.105,5.201,4.708,11.875,3.708
2011-02-10,26.124,40.734,14.61,5.002,14.402,4.25
2011-02-11,12.024,14.878,2.854,3.938,11.812,3.375
2011-02-12,12.17,14.742,2.572,3.688,13.0,3.522
2011-02-13,27.271,33.312,6.042,3.354,16.875,4.333
2011-02-14,32.77,52.458,19.688,3.584,18.792,5.875
2011-02-15,25.521,53.292,27.771,4.438,21.542,5.958
2011-02-16,30.276,45.461,15.185,5.312,17.271,4.417
2011-02-17,18.998,23.744,4.748,4.448,12.229,3.625
2011-02-18,10.218,11.618,1.4,3.5,7.5,3.167
2011-02-19,17.668,21.408,3.739,3.812,13.042,3.739
2011-02-20,35.292,60.708,25.416,4.833,16.958,6.625
2011-02-21,46.398,84.155,37.758,7.873,31.156,7.826
2011-02-22,20.78,24.013,3.233,6.458,23.479,4.083
2011-02-23,23.096,33.812,10.716,4.688,15.396,5.125
2011-02-24,13.044,14.152,1.107,5.79,30.554,3.875
2011-02-25,25.708,34.956,9.248,4.729,27.062,5.208
2011-02-26,9.69,10.864,1.174,3.334,11.408,3.174
2011-02-27,12.979,14.854,1.875,3.772,13.125,3.208
2011-02-28,18.646,21.542,2.896,3.375,14.104,3.458
2011-03-01,30.163,38.59,8.427,4.396,18.5,4.792
2011-03-02,23.678,37.278,13.6,4.593,18.004,4.958
2011-03-03,6.542,7.164,0.621,3.792,15.75,3.125
2011-03-04,11.009,12.046,1.038,3.292,16.935,3.522
2011-03-05,25.188,39.104,13.916,3.062,14.941,5.292
2011-03-06,31.438,53.312,21.875,5.646,18.084,6.583
2011-03-07,13.854,15.062,1.208,5.812,33.312,5.208
2011-03-08,16.48,18.98,2.5,5.708,29.478,5.833
2011-03-09,18.875,20.542,1.666,3.761,21.122,5.083
2011-03-10,12.8,14.7,1.9,3.375,14.592,4.0
2011-03-11,11.185,12.752,1.568,4.312,16.375,3.739
2011-03-12,13.97,16.532,2.563,4.032,14.021,3.583
2011-03-13,14.938,16.833,1.896,3.52,10.938,3.375
2011-03-14,31.375,40.146,8.771,5.292,16.458,4.708
2011-03-15,24.042,43.0,18.958,5.604,21.0,4.792
2011-03-16,29.278,37.996,8.718,4.511,17.145,4.333
2011-03-17,26.286,40.903,14.617,3.979,19.166,5.958
2011-03-18,32.419,55.536,23.117,6.625,37.5,8.478
2011-03-19,8.979,9.916,0.938,4.084,8.312,2.708
2011-03-20,14.458,16.5,2.042,4.729,14.208,3.375
2011-03-21,15.375,17.104,1.729,4.646,14.386,3.042
2011-03-22,33.479,42.542,9.062,7.416,24.896,4.708
2011-03-23,17.916,20.042,2.125,3.792,13.146,3.458
2011-03-24,18.606,21.049,2.443,5.438,18.97,5.083
2011-03-25,9.039,10.03,0.991,4.812,15.834,3.435
2011-03-26,18.664,21.078,2.414,4.187,14.297,3.75
2011-03-27,35.188,48.438,13.25,7.104,24.354,5.25
2011-03-28,29.208,54.27,25.062,7.438,34.708,6.292
2011-03-29,31.229,41.208,9.979,7.375,25.74,5.0
2011-03-30,26.852,42.054,15.202,6.3,20.464,4.783
2011-03-31,16.606,18.231,1.624,4.021,12.125,3.583
2011-04-01,31.228,35.016,3.788,8.625,27.479,4.75
2011-04-02,29.992,39.626,9.633,9.75,34.084,5.478
2011-04-03,4.095,4.158,0.062,3.979,9.292,2.0
2011-04-04,10.604,12.396,1.792,4.271,9.208,2.583
2011-04-05,22.375,27.208,4.833,5.854,15.771,3.792
2011-04-06,24.834,28.125,3.292,7.75,16.521,3.625
2011-04-07,29.63,36.827,7.196,8.041,16.958,4.0
2011-04-08,33.777,40.0,6.224,5.608,18.937,3.708
2011-04-09,13.136,15.309,2.172,4.562,13.75,3.217
2011-04-10,14.511,15.619,1.108,7.542,35.562,4.083
2011-04-11,24.104,29.938,5.834,8.125,30.6,4.542
2011-04-12,23.458,26.48,3.021,5.75,29.312,3.625
2011-04-13,30.271,37.48,7.208,10.292,29.75,4.542
2011-04-14,35.038,43.858,8.82,11.167,36.167,5.25
2011-04-15,32.922,40.024,7.102,10.667,40.042,4.818
2011-04-16,15.557,18.813,3.256,6.708,31.98,3.391
2011-04-17,7.228,8.013,0.784,4.916,14.084,2.5
2011-04-18,16.333,18.062,1.729,5.86,22.085,3.375
2011-04-19,14.771,16.896,2.125,5.584,12.083,3.417
2011-04-20,13.146,14.979,1.834,4.334,8.166,2.958
2011-04-21,25.55,29.968,4.418,6.208,18.646,4.292
2011-04-22,29.104,33.442,4.338,5.728,26.615,5.167
2011-04-23,17.438,21.144,3.706,4.062,13.25,3.652
2011-04-24,14.242,16.55,2.307,5.646,22.048,3.833
2011-04-25,18.312,23.25,4.938,5.292,18.72,3.875
2011-04-26,19.208,22.292,3.084,6.188,27.5,3.917
2011-04-27,18.396,20.834,2.438,5.812,26.396,3.208
2011-04-28,14.688,16.78,2.092,5.979,20.75,3.458
2011-04-29,20.272,23.527,3.256,6.521,17.979,3.958
2011-04-30,18.222,20.384,2.162,6.938,25.646,4.0
2011-05-01,16.315,21.595,5.28,5.396,24.916,4.917
2011-05-02,13.708,18.438,4.729,5.485,122.514,4.25
2011-05-03,16.083,17.584,1.5,5.584,127.166,4.333
2011-05-04,14.98,17.875,2.896,7.188,78.416,4.417
2011-05-05,9.89,10.854,0.964,5.708,19.916,3.208
2011-05-06,12.416,13.84,1.423,5.966,31.458,3.25
2011-05-07,6.609,7.217,0.609,4.771,13.562,2.391
2011-05-08,8.391,10.0,1.609,6.666,26.062,3.125
2011-05-09,17.208,19.667,2.458,7.178,37.414,3.625
2011-05-10,21.396,34.083,12.688,7.062,36.083,3.5
2011-05-11,20.125,29.062,8.938,4.354,13.062,3.25
2011-05-12,14.913,17.877,2.964,4.062,8.208,2.792
2011-05-13,18.487,21.572,3.084,6.729,38.833,3.292
2011-05-14,13.084,14.784,1.699,7.812,31.792,3.0
2011-05-15,15.555,17.895,2.34,7.23,30.979,3.5
2011-05-16,21.208,24.73,3.521,7.746,33.204,3.75
2011-05-17,20.458,22.854,2.396,8.125,34.812,3.458
2011-05-18,27.896,31.312,3.416,8.729,31.062,4.208
2011-05-19,25.954,28.89,2.936,9.229,36.48,3.958
2011-05-20,22.34,26.774,4.435,7.774,30.226,3.333
2011-05-21,17.562,21.302,3.74,7.292,17.646,3.087
2011-05-22,8.256,9.941,1.686,5.125,8.084,2.333
2011-05-23,12.312,13.938,1.625,3.722,9.142,2.625
2011-05-24,12.792,14.292,1.5,3.875,5.896,2.625
2011-05-25,17.854,19.521,1.666,6.104,14.73,2.958
2011-05-26,10.006,11.221,1.214,5.938,19.916,2.375
2011-05-27,6.371,7.182,0.811,3.324,7.936,2.083
2011-05-28,16.943,18.951,2.008,3.354,5.854,3.696
2011-05-29,9.7,11.032,1.332,3.021,3.729,2.708
2011-05-30,9.708,11.062,1.354,3.282,5.758,2.042
2011-05-31,13.125,14.52,1.396,3.834,8.416,2.458
2011-06-01,12.208,13.688,1.479,3.229,9.125,2.375
2011-06-02,19.411,22.922,3.511,4.416,15.542,3.417
2011-06-03,19.198,21.685,2.486,6.188,30.375,3.625
2011-06-04,20.377,25.38,5.002,8.125,42.792,4.217
2011-06-05,13.674,15.208,1.532,7.312,27.312,3.583
2011-06-06,27.5,31.312,3.812,9.008,31.355,4.292
2011-06-07,19.354,21.667,2.312,7.188,29.416,3.833
2011-06-08,14.188,15.458,1.271,6.208,16.416,2.458
