date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-01-01,8.75,10.25,1.5,,12.417
2011-01-02,4.417,4.833,0.417,,11.375
2011-01-03,6.042,6.833,0.792,,15.083
2011-01-04,5.435,6.391,0.957,,21.083
2011-01-05,9.565,11.826,2.261,,10.435
2011-01-06,7.292,9.542,2.25,,13.583
2011-01-07,7.708,9.25,1.542,,6.625
2011-01-08,11.083,12.875,1.792,,7.625
2011-01-09,12.917,15.917,3.0,,18.292
2011-01-10,16.542,23.458,6.917,,29.542
2011-01-11,6.13,7.565,1.435,,20.5
2011-01-12,12.217,16.609,4.391,,6.609
2011-01-13,10.542,13.917,3.375,,18.458
2011-01-14,9.083,11.75,2.667,,36.417
2011-01-15,9.792,11.667,1.875,,12.208
2011-01-16,13.875,16.708,2.833,,14.0
2011-01-17,13.167,20.167,7.0,,11.0
2011-01-18,26.682,39.773,13.091,,16.917
2011-01-19,24.958,38.583,13.625,,20.409
2011-01-20,18.25,22.417,4.167,,11.917
2011-01-21,15.708,19.042,3.333,,20.625
2011-01-22,12.417,16.208,3.792,,13.833
2011-01-23,6.917,10.0,3.083,,9.625
2011-01-24,4.583,7.458,2.875,,8.458
2011-01-25,5.571,8.429,2.857,,13.81
2011-01-26,5.565,7.652,2.087,,7.917
2011-01-27,10.875,13.5,2.625,,23.958
2011-01-28,12.292,15.25,2.958,,26.375
2011-01-29,8.958,10.292,1.333,,8.292
2011-01-30,12.333,16.667,4.333,,6.292
2011-01-31,6.944,8.556,1.611,,9.833
2011-02-01,6.217,7.13,0.913,,17.417
2011-02-02,4.318,5.045,0.727,,7.75
2011-02-03,9.435,10.87,1.435,,9.708
2011-02-04,8.609,9.522,0.913,,17.792
2011-02-05,13.391,15.087,1.696,,36.75
2011-02-06,26.478,40.478,14.0,,38.417
2011-02-07,19.391,29.826,10.435,,17.708
2011-02-08,4.478,5.696,1.217,,10.5
2011-02-09,6.565,7.913,1.348,,10.0
2011-02-10,11.182,14.227,3.045,,11.652
2011-02-11,7.75,10.625,2.875,,9.5
2011-02-12,8.125,9.708,1.583,,12.792
2011-02-13,25.333,34.042,8.708,,22.417
2011-02-14,32.167,54.833,22.667,,21.875
2011-02-15,21.458,35.125,13.667,,20.083
2011-02-16,14.0,18.913,4.913,,12.792
2011-02-17,4.826,6.783,1.957,,10.417
2011-02-18,8.292,10.25,1.958,,6.167
2011-02-19,7.333,8.25,0.917,,9.292
2011-02-20,13.917,17.667,3.75,,10.5
2011-02-21,25.875,33.917,8.042,,17.167
2011-02-22,29.417,35.458,6.042,,29.208
2011-02-23,24.348,32.435,8.087,,20.958
2011-02-24,15.0,17.304,2.304,,31.333
2011-02-25,23.375,27.875,4.5,,33.958
2011-02-26,6.208,6.208,0.0,,10.25
2011-02-27,13.333,16.25,2.917,,12.417
2011-02-28,19.083,23.875,4.792,,10.917
2011-03-01,33.783,46.826,13.043,,29.5
2011-03-02,28.043,46.652,18.609,,21.25
2011-03-03,9.625,10.417,0.792,,16.583
2011-03-04,13.417,14.583,1.167,,28.167
2011-03-05,32.708,45.417,12.708,,19.208
2011-03-06,20.667,29.875,9.208,,18.458
2011-03-07,21.708,24.792,3.083,,34.042
2011-03-08,21.917,26.0,4.083,,33.542
2011-03-09,15.5,16.818,1.318,19.375,19.0
2011-03-10,8.083,8.5,0.417,12.375,12.542
2011-03-11,6.25,6.917,0.667,15.792,14.917
2011-03-12,6.292,7.333,1.042,11.917,9.958
2011-03-13,11.739,14.478,2.739,12.792,10.125
2011-03-14,12.208,15.375,3.167,11.167,10.667
2011-03-15,13.458,16.542,3.083,19.208,20.0
2011-03-16,26.478,32.696,6.217,17.375,18.458
2011-03-17,31.042,41.292,10.25,17.25,28.917
2011-03-18,18.125,22.25,4.125,22.167,29.458
2011-03-19,9.042,10.167,1.125,6.333,7.458
2011-03-20,9.333,10.917,1.583,12.417,12.167
2011-03-21,6.375,7.792,1.417,12.167,11.958
2011-03-22,18.857,21.905,3.048,19.208,18.478
2011-03-23,27.565,34.043,6.478,14.208,18.917
2011-03-24,8.0,8.542,0.542,16.833,17.833
2011-03-25,4.083,4.417,0.333,14.542,14.542
2011-03-26,7.167,8.667,1.5,11.0,11.042
2011-03-27,12.167,13.542,1.375,17.375,17.125
2011-03-28,11.667,12.667,1.0,23.0,25.25
2011-03-29,10.652,12.652,2.0,16.917,16.292
2011-03-30,3.609,4.565,0.957,10.958,12.542
2011-03-31,5.292,5.875,0.583,7.5,11.625
2011-04-01,17.875,22.083,4.208,,30.875
2011-04-02,11.5,13.208,1.708,,29.708
2011-04-03,3.875,4.792,0.917,,8.875
2011-04-04,8.348,10.478,2.13,,8.217
2011-04-05,18.792,23.042,4.25,,15.042
2011-04-06,18.0,23.083,5.083,,17.167
2011-04-07,7.957,10.957,3.0,,9.583
2011-04-08,4.208,5.417,1.208,,10.333
2011-04-09,13.917,17.375,3.458,,13.708
2011-04-10,9.542,11.0,1.458,,29.542
2011-04-11,12.25,14.708,2.458,,28.25
2011-04-12,7.083,8.708,1.625,,25.708
2011-04-13,12.042,14.25,2.208,,26.333
2011-04-14,12.2,13.95,1.75,,33.091
2011-04-15,13.375,16.042,2.667,,29.0
2011-04-16,15.458,18.542,3.083,,39.542
2011-04-17,9.583,11.042,1.458,,14.75
2011-04-18,16.375,20.583,4.208,,23.25
2011-04-19,7.167,8.792,1.625,,10.833
2011-04-20,6.458,8.042,1.583,,5.5
2011-04-21,14.87,20.304,5.435,,14.458
2011-04-22,18.652,23.565,4.913,,17.333
2011-04-23,7.0,8.042,1.042,,7.375
2011-04-24,6.625,7.542,0.917,,18.458
2011-04-25,8.917,10.417,1.5,,20.458
2011-04-26,10.087,12.609,2.522,,30.833
2011-04-27,3.167,4.208,1.042,,25.458
2011-04-28,7.913,9.217,1.304,,19.167
2011-04-29,7.333,9.0,1.667,,13.167
2011-04-30,4.958,6.083,1.125,,20.542
2011-05-01,9.042,11.0,1.958,,26.0
2011-05-02,14.826,18.261,3.435,,122.478
2011-05-03,16.625,19.833,3.208,,165.667
2011-05-04,12.125,14.667,2.542,,94.0
2011-05-05,10.348,12.261,1.913,,26.958
2011-05-06,17.917,21.167,3.25,,37.792
2011-05-07,12.0,14.292,2.292,,17.333
2011-05-08,5.917,7.042,1.125,,22.375
2011-05-09,12.583,15.625,3.042,,39.833
2011-05-10,4.583,7.833,3.25,,24.5
2011-05-11,4.542,7.542,3.0,,11.875
2011-05-12,17.091,25.864,8.773,,10.478
2011-05-13,7.542,9.708,2.167,,47.75
2011-05-14,8.708,10.375,1.667,,32.25
2011-05-15,6.583,9.083,2.5,,31.75
2011-05-16,7.042,9.125,2.083,,32.667
2011-05-17,8.708,10.542,1.833,,39.917
2011-05-18,12.174,14.565,2.391,,24.708
2011-05-19,6.217,7.739,1.522,,34.333
