date,NO2_mean,NOX_mean,NO_mean,PM25_mean,CO_mean
2011-01-01,11.0,14.542000000000002,3.5415,,4.167
2011-01-02,6.25,8.3125,2.0625,,4.083
2011-01-03,7.3545,10.042,2.6875,,4.292
2011-01-04,9.695500000000001,15.348,5.652,,4.391
2011-01-05,22.0415,46.5415,24.5,,4.292
2011-01-06,24.771,60.5625,35.792,,3.833
2011-01-07,18.292,39.1665,20.875,,3.417
2011-01-08,15.25,26.3335,11.0835,,3.542
2011-01-09,16.6875,27.0835,10.395499999999998,,4.458
2011-01-10,24.2085,63.2915,39.083,,5.625
2011-01-11,24.369500000000002,73.0435,48.67400000000001,,4.957
2011-01-12,24.4165,72.375,47.9585,,4.458
2011-01-13,18.9585,55.792,36.8335,,4.583
2011-01-14,21.0205,42.271,21.25,,5.333
2011-01-15,16.7085,27.75,11.0415,,3.875
2011-01-16,25.4375,65.625,40.1875,,4.542
2011-01-17,24.3335,55.0415,30.708,,3.25
2011-01-18,23.412999999999997,64.826,41.413,,3.652
2011-01-19,26.0,80.0835,54.0835,,4.625
2011-01-20,25.1875,54.604,29.417,,4.292
2011-01-21,21.4165,50.5625,29.146,,3.833
2011-01-22,13.1875,24.792,11.604,,3.375
2011-01-23,15.625,32.125,16.5,,3.542
2011-01-24,18.2815,36.927,18.646,,3.042
2011-01-25,20.575499999999998,45.4105,24.835,,4.125
2011-01-26,21.4065,47.0835,25.677500000000002,,3.667
2011-01-27,32.909,81.3915,48.4825,,4.75
2011-01-28,24.2915,43.479,19.1875,,4.708
2011-01-29,16.146,33.3125,17.167,,3.667
2011-01-30,17.9375,43.021,25.0835,,3.583
2011-01-31,26.896,72.479,45.5835,,3.833
2011-02-01,22.2395,57.565,35.3265,,4.125
2011-02-02,16.3125,34.4585,18.146,,3.476
2011-02-03,22.0415,42.125,20.083,,4.0
2011-02-04,23.354,61.646,38.2915,,4.958
2011-02-05,17.3125,27.2085,9.896,,4.667
2011-02-06,28.542,58.2085,29.6665,,5.375
2011-02-07,22.2085,48.375,26.1665,,5.0
2011-02-08,13.9565,27.3915,13.435,,3.042
2011-02-09,21.7915,51.896,30.104,,3.917
2011-02-10,23.8125,51.9795,28.1665,,3.792
2011-02-11,15.792000000000002,27.6455,11.854500000000002,,3.792
2011-02-12,17.3955,28.583,11.1875,,3.958
