date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,CO_mean
2011-01-01,14.0,18.482,4.483,12.333,1.0,5.458
2011-01-02,5.542,6.125,0.584,11.875,1.348,4.043
2011-01-03,9.459,11.299,1.84,16.875,1.583,4.125
2011-01-04,6.522,7.565,1.044,22.917,3.167,4.174
2011-01-05,9.438,12.104,2.666,7.583,0.042,3.542
2011-01-06,15.479,24.292,8.812,11.875,0.208,4.583
2011-01-07,6.792,8.625,1.833,6.583,0.0,2.875
2011-01-08,9.557,13.422,3.865,7.583,0.042,4.042
2011-01-09,10.312,14.584,4.27,15.5,1.087,4.174
2011-01-10,21.294,38.114,16.82,26.667,1.333,5.652
2011-01-11,9.834,11.625,1.792,21.708,1.208,3.333
2011-01-12,15.325,22.884,7.558,9.625,0.0,4.417
2011-01-13,15.513,20.695,5.182,14.545,1.4,3.667
2011-01-14,15.292,20.896,5.604,30.25,2.458,5.333
2011-01-15,9.298,12.297,3.0,13.583,0.208,3.708
2011-01-16,8.854,12.375,3.521,10.833,0.0,2.739
2011-01-17,20.272,38.948,18.674,14.917,0.458,4.652
2011-01-18,24.125,42.062,17.938,13.292,0.417,5.333
2011-01-19,18.812,31.5,12.688,9.625,0.625,4.417
2011-01-20,8.73,10.167,1.438,6.167,0.0,2.583
2011-01-21,14.292,22.729,8.438,9.042,0.0,4.417
2011-01-22,17.948,29.094,11.146,8.542,0.625,5.333
2011-01-23,6.562,8.479,1.917,3.042,0.304,2.522
2011-01-24,7.33,9.06,1.73,5.083,0.125,1.783
2011-01-25,10.375,13.708,3.334,15.583,1.167,2.789
2011-01-26,11.688,16.52,4.834,7.958,0.167,2.667
2011-01-27,17.084,23.584,6.5,24.5,1.542,4.583
2011-01-28,12.292,15.917,3.625,20.25,1.042,3.375
2011-01-29,7.933,9.918,1.986,7.833,0.0,2.708
2011-01-30,20.416,35.604,15.188,10.292,0.348,4.696
2011-01-31,14.895,21.076,6.18,9.75,0.417,4.304
2011-02-01,12.0,19.625,7.625,14.375,1.75,4.375
2011-02-02,4.875,5.5,0.625,7.167,0.917,2.542
2011-02-03,17.271,25.23,7.958,11.667,0.625,5.167
2011-02-04,13.979,19.521,5.542,19.167,2.167,4.792
2011-02-05,17.791,23.774,5.983,31.958,3.042,6.542
2011-02-06,26.125,44.48,18.354,26.208,1.696,7.478
2011-02-07,15.522,26.187,10.664,11.833,0.667,4.565
2011-02-08,9.292,12.375,3.084,9.958,0.333,1.833
2011-02-09,12.208,17.562,5.354,11.958,0.375,3.042
2011-02-10,12.562,18.396,5.834,11.042,0.458,2.667
2011-02-11,12.562,18.208,5.646,11.042,0.542,3.5
2011-02-12,10.354,12.116,1.762,13.125,0.235,3.083
2011-02-13,20.25,31.688,11.438,16.583,0.783,4.652
2011-02-14,24.673,48.49,23.817,12.917,0.208,6.458
2011-02-15,13.565,24.761,11.196,11.167,0.292,4.435
2011-02-16,20.166,33.688,13.521,11.625,0.625,4.542
2011-02-17,9.438,12.792,3.354,9.208,0.458,3.042
2011-02-18,5.708,6.688,0.979,7.083,0.0,2.625
2011-02-19,10.22,14.441,4.221,10.75,0.292,3.833
2011-02-20,22.25,36.729,14.479,12.292,0.652,5.435
2011-02-21,24.499,39.286,14.786,19.792,1.5,6.609
2011-02-22,18.23,25.625,7.396,18.625,1.208,4.958
2011-02-23,17.125,33.25,16.125,11.833,0.542,5.375
2011-02-24,6.896,8.562,1.667,25.917,1.417,3.542
2011-02-25,14.375,19.25,4.875,20.208,0.583,4.542
2011-02-26,5.542,6.25,0.708,10.0,0.042,3.042
2011-02-27,11.125,15.208,4.084,12.75,0.0,3.696
2011-02-28,13.241,19.191,5.95,10.583,0.667,3.957
2011-03-01,29.188,47.938,18.75,15.792,0.833,6.083
2011-03-02,24.083,50.708,26.625,14.25,0.75,5.125
2011-03-03,8.084,10.146,2.062,16.542,0.667,3.042
2011-03-04,7.376,8.878,1.502,13.5,0.083,3.583
2011-03-05,23.562,48.0,24.438,7.583,0.435,5.913
2011-03-06,33.878,76.37,42.492,15.333,2.292,8.087
2011-03-07,12.5,16.083,3.584,28.375,1.042,4.792
2011-03-08,10.466,14.484,4.016,25.542,0.792,4.125
2011-03-09,14.202,19.372,5.17,18.625,0.375,4.125
2011-03-10,5.82,7.383,1.562,11.417,0.167,1.958
2011-03-11,8.239,10.58,2.34,14.0,0.708,2.583
2011-03-12,4.688,5.062,0.375,10.542,0.609,1.261
2011-03-13,7.364,9.834,2.47,11.0,0.167,3.174
2011-03-14,22.396,36.146,13.75,16.304,1.25,5.5
2011-03-15,10.896,15.146,4.25,16.75,0.875,4.333
2011-03-16,21.214,30.564,9.35,14.167,0.375,6.455
2011-03-17,26.0,46.334,20.334,14.667,0.292,9.75
2011-03-18,20.91,37.748,16.838,16.833,1.083,11.125
2011-03-19,6.218,7.696,1.478,6.125,0.043,4.955
2011-03-20,13.816,20.665,6.849,12.25,0.917,4.208
2011-03-21,12.542,18.396,5.854,12.833,0.875,3.625
2011-03-22,23.646,42.834,19.188,19.625,2.167,6.125
2011-03-23,16.854,25.598,8.744,10.875,0.208,4.583
2011-03-24,14.605,19.812,5.208,11.0,0.583,5.25
2011-03-25,4.85,5.454,0.604,13.417,0.25,2.958
2011-03-26,9.771,13.479,3.708,11.875,0.13,3.391
2011-03-27,23.271,35.305,12.034,19.5,1.667,5.87
2011-03-28,11.0,15.083,4.084,24.625,1.458,4.208
2011-03-29,20.294,30.756,10.462,17.042,0.958,5.5
2011-03-30,25.146,41.604,16.458,15.333,1.708,5.917
2011-03-31,14.25,20.084,5.834,8.542,0.458,3.792
2011-04-01,15.042,16.792,1.75,,1.417,6.042
2011-04-02,10.292,11.125,0.833,,1.583,4.875
2011-04-03,3.174,3.174,0.0,,0.0,3.125
2011-04-04,5.875,6.417,0.542,,0.0,3.0
2011-04-05,8.0,8.739,0.739,,0.708,3.435
2011-04-06,14.625,16.125,1.5,,0.875,5.25
2011-04-07,15.542,17.625,2.083,,1.542,5.292
2011-04-08,21.0,22.125,1.125,,1.292,6.667
2011-04-09,5.792,5.917,0.125,,0.25,3.5
2011-04-10,10.913,11.304,0.391,,1.625,5.667
2011-04-11,13.208,15.375,2.167,,1.957,4.696
2011-04-12,13.652,14.739,1.087,,0.958,4.348
2011-04-13,18.0,20.917,2.917,,1.792,5.042
2011-04-14,17.583,19.542,1.958,,3.625,5.417
2011-04-15,17.917,19.208,1.292,,2.875,5.292
2011-04-16,8.25,8.917,0.667,,0.5,3.333
2011-04-17,6.348,6.609,0.261,,0.333,2.917
2011-04-18,11.333,12.208,0.875,,0.739,3.522
2011-04-19,11.624,13.336,1.711,,0.458,2.304
2011-04-20,7.729,9.042,1.312,,0.0,1.708
2011-04-21,23.562,35.375,11.812,,1.292,4.375
2011-04-22,28.625,45.666,17.042,,0.292,5.375
2011-04-23,21.292,36.708,15.416,,0.0,4.708
2011-04-24,12.046,15.16,3.114,,0.625,3.875
2011-04-25,20.196,30.544,10.348,,0.696,4.591
2011-04-26,22.202,33.388,11.187,,1.5,4.75
