date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,98.0,89.167,65.0,8.708,10.833,2.125,25.083,0.458,17.083,90.0,57.583,40.0
2011-01-02,98.0,82.208,49.0,4.957,6.217,1.261,12.25,0.609,7.833,100.0,43.542,8.0
2011-01-03,98.0,76.875,37.0,5.625,6.833,1.208,29.292,2.125,21.0,117.0,54.333,35.0
2011-01-04,98.0,75.958,53.0,3.565,4.565,1.0,25.304,1.227,15.455,62.0,28.333,10.0
2011-01-05,98.0,74.625,31.0,9.667,13.083,3.417,15.208,0.458,12.458,118.0,27.5,-15.0
2011-01-06,96.0,73.333,33.0,11.208,13.917,2.708,12.0,0.875,6.542,121.0,42.583,4.0
2011-01-07,98.0,77.083,34.0,8.917,12.417,3.5,8.5,0.5,6.5,126.0,54.333,15.0
2011-01-08,98.0,72.292,32.0,7.458,9.708,2.25,6.625,0.625,1.75,143.0,61.208,1.0
2011-01-09,98.0,77.792,36.0,12.261,18.043,5.783,27.167,3.217,,126.0,51.917,7.0
2011-01-10,98.0,79.75,41.0,14.958,20.708,5.75,41.458,2.783,47.357,132.0,47.917,-10.0
2011-01-11,98.0,57.5,31.0,7.125,10.375,3.25,16.417,1.542,11.792,86.0,46.667,4.0
2011-01-12,98.0,85.167,58.0,17.217,21.478,4.261,11.75,0.625,8.458,80.0,22.208,-21.0
2011-01-13,98.0,75.75,39.0,12.75,15.333,2.583,25.0,3.0,23.375,91.0,41.042,4.0
2011-01-14,98.0,74.75,28.0,13.167,18.0,4.833,22.208,1.125,16.25,138.0,36.875,-19.0
2011-01-15,98.0,78.0,45.0,12.5,14.333,1.833,12.708,0.708,6.875,93.0,42.0,3.0
2011-01-16,98.0,84.875,51.0,13.391,19.217,5.826,12.75,0.217,8.542,78.0,42.042,-4.0
2011-01-17,98.0,78.167,28.0,13.667,19.792,6.125,8.042,0.667,3.875,153.0,38.0,-28.0
2011-01-18,98.0,83.625,50.0,17.625,26.042,8.417,11.917,0.708,8.125,111.0,49.417,-7.0
2011-01-19,98.0,97.292,94.0,15.583,18.917,3.333,9.958,0.304,9.565,97.0,79.542,64.0
2011-01-20,98.0,75.0,41.0,10.0,12.708,2.708,5.542,0.583,2.667,139.0,97.333,45.0
2011-01-21,98.0,86.3,34.0,13.053,16.895,3.842,10.737,0.3,5.75,148.0,58.5,21.0
2011-01-22,98.0,82.833,57.0,7.125,9.625,2.5,9.0,0.417,5.208,128.0,70.667,33.0
2011-01-23,98.0,62.125,31.0,7.667,8.222,0.556,7.417,0.222,9.571,103.0,40.375,1.0
2011-01-24,87.0,66.458,38.0,7.385,8.308,0.923,11.708,1.692,9.833,60.0,16.792,-10.0
2011-01-25,98.0,74.875,40.0,9.25,10.875,1.625,13.958,1.125,13.333,61.0,14.417,-13.0
2011-01-26,95.0,67.958,33.0,8.458,9.417,0.958,9.625,1.458,6.333,81.0,17.0,-23.0
2011-01-27,98.0,91.25,71.0,16.625,20.25,3.625,22.125,0.542,14.708,68.0,23.167,-23.0
2011-01-28,98.0,73.333,32.0,9.333,12.708,3.375,25.417,1.75,19.792,112.0,51.958,4.0
2011-01-29,98.0,79.625,50.0,8.292,9.417,1.125,13.042,1.208,9.542,109.0,37.042,-13.0
2011-01-30,98.0,72.833,27.0,11.087,12.739,1.652,10.792,0.652,7.625,121.0,38.417,-18.0
2011-01-31,98.0,68.292,21.0,14.375,17.5,3.125,18.583,3.25,13.25,120.0,23.958,-40.0
2011-02-01,98.0,74.792,39.0,9.917,11.042,1.125,24.783,1.522,18.435,83.0,33.083,2.0
2011-02-02,97.0,72.917,44.0,5.208,5.833,0.625,8.042,1.292,7.042,34.0,-4.458,-39.0
2011-02-03,98.0,88.833,50.0,15.792,18.083,2.292,11.375,0.792,5.708,45.0,-6.833,-63.0
2011-02-04,98.0,86.625,43.0,11.292,13.458,2.167,20.792,1.333,15.417,95.0,22.125,-12.0
2011-02-05,98.0,87.792,53.0,12.875,14.875,2.0,32.583,1.167,26.083,78.0,31.167,-13.0
2011-02-06,98.0,91.75,69.0,14.609,21.174,6.565,23.583,0.783,13.417,105.0,64.208,16.0
2011-02-07,98.0,72.833,50.0,7.739,8.609,0.87,14.167,1.792,14.708,117.0,74.958,34.0
2011-02-08,80.0,63.625,46.0,4.417,5.417,1.0,5.958,1.042,3.5,45.0,10.833,-17.0
2011-02-09,86.0,58.708,35.0,6.708,7.75,1.042,8.917,1.0,6.625,76.0,25.792,-10.0
2011-02-10,93.0,64.583,34.0,10.375,12.333,1.958,9.208,1.042,7.583,102.0,41.417,1.0
2011-02-11,98.0,65.708,23.0,9.125,10.833,1.708,8.417,1.042,5.542,134.0,41.0,-17.0
2011-02-12,99.0,69.667,26.0,11.125,12.458,1.333,13.042,1.792,10.083,142.0,38.958,-37.0
2011-02-13,98.0,95.208,79.0,15.522,18.217,2.696,11.542,0.739,9.0,81.0,58.25,39.0
2011-02-14,98.0,97.417,94.0,16.958,24.25,7.292,6.375,0.333,1.958,91.0,74.292,60.0
2011-02-15,98.0,88.042,64.0,11.875,19.792,7.917,13.125,0.435,8.304,114.0,76.583,19.0
