date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean
2011-01-01,9.833,11.097,1.264,,6.229,40.264,4.917
2011-01-02,12.111,15.791,3.68,,3.708,12.889,4.667
2011-01-03,10.5,12.82,2.32,,7.625,35.556,6.0
2011-01-04,11.083,16.556,5.472,,4.354,19.319,5.125
2011-01-05,15.292,20.236,4.945,,3.312,14.722,4.708
2011-01-06,23.639,31.791,8.153,,3.458,17.084,5.917
2011-01-07,25.611,45.722,20.111,,3.542,16.431,7.125
2011-01-08,17.736,25.597,7.861,,3.77,13.889,5.875
2011-01-09,20.93,28.82,7.889,,10.084,43.014,7.25
2011-01-10,27.208,38.722,11.514,,8.704,62.639,8.083
2011-01-11,16.783,27.058,10.275,,4.962,23.07,5.87
2011-01-12,17.236,23.555,6.32,,3.729,16.972,9.542
2011-01-13,15.875,22.139,6.264,,6.312,28.75,7.792
2011-01-14,25.361,39.069,13.708,,5.166,29.125,7.458
2011-01-15,23.167,36.82,13.653,,4.875,17.555,6.708
2011-01-16,29.097,58.653,29.556,,4.125,19.68,6.417
2011-01-17,28.653,61.917,33.264,,3.625,14.347,7.667
2011-01-18,31.305,66.778,35.472,,5.479,25.986,7.167
2011-01-19,30.153,67.694,37.542,,4.396,27.68,7.958
2011-01-20,22.097,44.347,22.25,,4.646,14.833,6.667
2011-01-21,27.57,55.431,27.861,,4.542,11.389,7.25
2011-01-22,17.361,26.069,8.708,,4.021,17.431,4.917
2011-01-23,13.347,21.472,8.125,,3.479,10.57,3.875
2011-01-24,13.514,22.222,8.709,,3.646,16.319,4.708
2011-01-25,14.884,24.058,9.174,,4.5,17.903,5.174
2011-01-26,15.583,24.833,9.25,,3.938,12.819,5.083
2011-01-27,20.944,30.389,9.444,,4.666,30.014,6.333
2011-01-28,21.871,37.681,15.809,,5.134,29.385,5.875
2011-01-29,17.195,23.222,6.028,,5.792,20.806,5.083
2011-01-30,20.0,30.5,10.5,,4.336,18.985,4.375
2011-01-31,24.208,34.528,10.319,,7.104,23.889,6.333
2011-02-01,15.889,23.917,8.028,,6.52,32.875,6.333
2011-02-02,15.292,24.361,9.069,,3.5,11.625,4.167
2011-02-03,16.5,23.194,6.695,,3.562,19.111,5.042
