date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean
2011-01-01,9.7915,10.3125,0.5205,41.1455,34.125
2011-01-02,14.739,16.978,2.239,16.4165,13.125
2011-01-03,8.3955,8.875,0.47950000000000004,31.5415,27.125
2011-01-04,6.875,8.1045,1.229,15.125,14.167
2011-01-05,12.354,14.1875,1.8335,10.25,11.292
2011-01-06,20.542,25.0835,4.5415,14.458,13.167
2011-01-07,25.5,33.0835,7.5835,16.5625,13.292
2011-01-08,14.4165,16.5625,2.146,12.521,9.792
2011-01-09,20.5435,27.022,6.4785,38.229,33.333
2011-01-10,26.0415,32.125,6.083,61.021,48.125
2011-01-11,14.3125,17.875,3.5625,23.958,20.333
2011-01-12,15.479,19.25,3.771,13.630500000000001,11.458
2011-01-13,16.083,18.604,2.521,27.354,25.167
2011-01-14,20.125,23.9165,3.7915,31.625,28.292
2011-01-15,19.521,24.146,4.625,14.167,12.13
2011-01-16,21.478,29.9565,8.478,13.1045,10.208
2011-01-17,17.4375,24.875,7.4375,5.646,6.125
2011-01-18,26.104,38.5625,12.4585,11.5205,10.417
2011-01-19,24.354,41.125,16.7705,22.146,14.917
2011-01-20,17.0415,25.0835,8.042,6.771,6.958
2011-01-21,20.042,28.771,8.729,4.8125,7.167
2011-01-22,15.833,20.2705,4.4375,11.8335,10.625
2011-01-23,8.261,10.369499999999999,2.1085,2.0835,2.292
2011-01-24,8.833,11.2085,2.375,10.0,9.417
2011-01-25,10.625,12.6875,2.0625,15.979500000000002,15.091
2011-01-26,10.6875,13.083,2.396,5.396,5.667
2011-01-27,20.6665,25.1665,4.5,19.8335,18.208
2011-01-28,22.1875,32.9585,10.771,32.375,28.167
2011-01-29,14.479,17.833,3.354,17.021,17.667
2011-01-30,18.9565,27.130499999999998,8.1735,14.375,14.875
2011-01-31,19.8545,28.604,8.75,19.6045,19.25
2011-02-01,8.5205,10.0415,1.521,26.917,24.043
2011-02-02,8.1665,10.8955,2.729,7.2295,7.583
2011-02-03,14.375,17.75,3.375,15.3125,11.875
2011-02-04,16.271,22.458,6.1875,26.1875,24.208
2011-02-05,15.7295,18.1045,2.375,37.8955,28.542
2011-02-06,25.0435,39.848,14.804499999999999,37.4585,27.917
2011-02-07,12.1045,14.8335,2.729,17.375,16.125
2011-02-08,6.375,9.146,2.7705,4.5625,6.417
2011-02-09,10.8125,14.0,3.1875,9.25,10.625
2011-02-10,18.5,24.4165,5.9165,10.782499999999999,10.261
2011-02-11,14.9375,18.333,3.3955,5.521,7.5
2011-02-12,14.6875,17.1875,2.5,11.4375,12.167
2011-02-13,29.238999999999997,57.195499999999996,27.9565,19.6875,13.208
2011-02-14,32.1455,77.3335,45.1875,18.271,13.042
2011-02-15,27.6665,39.1045,11.4375,26.4795,21.833
2011-02-16,19.104,26.5835,7.4795,13.75,11.833
2011-02-17,8.896,10.667,1.771,9.979,10.417
2011-02-18,10.6045,12.625,2.0205,10.271,12.292
2011-02-19,13.125,15.4165,2.292,20.9795,19.917
2011-02-20,17.739,21.739,4.0,13.5625,11.5
2011-02-21,24.1045,29.25,5.1455,16.875,16.458
2011-02-22,22.521,36.979,14.457999999999998,15.0625,10.75
2011-02-23,20.5205,29.375,8.854,18.3125,18.952
2011-02-24,17.9375,21.5205,3.5835,35.708,32.0
2011-02-25,20.2085,23.3335,3.125,28.6665,27.833
2011-02-26,11.5,13.4585,1.9580000000000002,6.375,9.792
2011-02-27,17.13,23.087,5.9565,7.5,7.625
2011-02-28,20.167,25.396,5.229,10.833,12.542
2011-03-01,32.6455,62.3125,29.6665,25.625,20.917
2011-03-02,23.104,29.1045,6.0,8.917,9.292
2011-03-03,15.729,19.6875,3.9585,13.1665,16.958
2011-03-04,16.0835,18.4375,2.354,10.521,12.75
2011-03-05,28.761000000000003,42.717,13.9565,6.858,8.391
2011-03-06,16.521,23.8545,7.3335,19.708,21.583
2011-03-07,21.5835,25.7295,4.146,44.9735,42.0
2011-03-08,28.375,36.0835,7.7085,53.4375,48.875
2011-03-09,17.5835,22.146,4.5625,25.021,23.458
2011-03-10,11.2705,13.9375,2.667,11.6875,13.042
2011-03-11,8.5625,8.896,0.3335,24.0835,22.583
2011-03-12,9.3475,11.369499999999999,2.0215,7.4375,7.125
2011-03-13,15.5,17.5625,2.0625,11.0165,13.458
2011-03-14,15.4165,17.4165,2.0,21.7915,19.917
2011-03-15,19.5,21.583,2.0835,37.5,32.75
2011-03-16,21.271,24.7085,3.4375,31.1875,30.083
2011-03-17,13.6875,16.979,3.292,18.292,21.375
2011-03-18,12.1875,12.896,0.708,18.25,22.833
2011-03-19,11.934999999999999,15.282499999999999,3.3480000000000003,11.9585,14.083
2011-03-20,11.854,13.542,1.6875,10.8955,14.0
2011-03-21,18.875,21.604,2.729,14.1875,13.826
2011-03-22,23.708,26.5,2.792,14.996500000000001,15.609
2011-03-23,19.604,27.1455,7.5415,17.2085,11.083
2011-03-24,4.5,5.2085,0.7085,29.708,29.458
2011-03-25,3.958,4.5415,0.5835,10.0,9.208
2011-03-26,7.913,9.065,1.1525,7.9585,8.083
2011-03-27,13.729,15.0415,1.3125,16.625,16.167
2011-03-28,15.770499999999998,16.771,1.0,31.5415,32.625
