date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-01-01,194.0,15.083,8.917,12.222,3.306,,2.292,,209.083,5.708
2011-01-02,189.333,9.333,6.82,9.347,2.528,,2.146,,198.667,4.583
2011-01-03,192.792,10.75,7.917,10.847,2.93,,4.308,,203.542,5.625
2011-01-04,191.217,8.13,7.382,10.639,3.257,,1.77,,199.348,3.727
2011-01-05,196.227,16.5,14.526,26.801,12.275,,1.304,,212.727,4.292
2011-01-06,193.0,12.542,16.405,28.896,12.491,,1.784,,205.542,4.0
2011-01-07,194.542,15.667,16.195,34.111,17.917,,1.5,,210.208,4.75
2011-01-08,194.25,13.792,11.917,19.222,7.305,,1.416,,208.042,4.042
2011-01-09,199.708,15.625,12.555,20.291,7.736,,5.834,,215.333,5.333
2011-01-10,200.5,16.625,17.847,30.486,12.639,,4.274,,217.125,6.792
2011-01-11,192.739,11.783,10.972,19.764,8.792,,3.042,,204.522,3.667
2011-01-12,191.375,12.5,15.583,29.292,13.708,,2.166,,203.875,3.591
2011-01-13,191.792,11.458,14.556,26.847,12.292,,3.991,,203.25,4.792
2011-01-14,192.333,14.208,15.875,31.528,15.653,,2.666,,206.542,4.875
2011-01-15,188.875,10.708,13.236,18.069,4.833,,2.084,,199.583,3.417
2011-01-16,185.333,6.917,9.82,15.75,5.931,,1.688,,192.25,3.25
2011-01-17,186.875,12.042,15.278,31.514,16.236,,1.13,,198.917,4.708
2011-01-18,189.364,19.727,20.275,43.16,22.884,,1.364,,209.091,5.304
2011-01-19,186.75,18.583,21.444,41.319,19.875,,1.021,,205.333,5.375
2011-01-20,183.75,9.208,10.472,16.861,6.389,,1.396,,192.958,2.917
2011-01-21,183.708,9.833,11.889,18.972,7.083,,1.25,,193.542,3.167
2011-01-22,187.25,11.25,9.306,13.597,4.292,,1.25,,198.5,3.333
2011-01-23,186.75,7.5,5.778,7.639,1.861,,1.166,,194.25,2.833
2011-01-24,189.25,7.167,6.042,8.875,2.833,,1.915,,196.417,3.174
2011-01-25,190.739,10.826,11.014,18.625,7.611,,2.375,,201.565,3.75
2011-01-26,191.458,11.208,12.597,23.5,10.903,,1.48,,202.667,3.458
2011-01-27,190.792,14.667,17.18,26.111,8.93,,2.213,,205.458,4.458
2011-01-28,189.833,11.583,12.361,19.583,7.222,,2.666,,201.417,4.375
2011-01-29,189.083,9.625,8.222,11.778,3.555,,3.25,,198.708,3.75
2011-01-30,191.333,14.583,12.542,20.194,7.653,,1.938,,205.917,3.792
