date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,192.958,8.75,4.042,4.083,0.042,,1.917,,201.708
2011-01-02,193.5,9.636,3.087,3.217,0.13,,1.792,,203.136
2011-01-03,197.0,10.417,3.292,3.292,0.0,,0.958,,207.417
2011-01-04,193.75,9.458,3.25,3.292,0.042,,1.625,,203.208
2011-01-05,195.042,9.708,4.208,4.75,0.542,,1.583,,204.75
2011-01-06,194.792,9.583,5.0,6.042,1.042,,2.458,,204.375
2011-01-07,196.208,10.625,5.417,6.208,0.792,,2.708,,206.833
2011-01-08,199.125,9.75,3.042,3.125,0.083,,2.75,,208.875
2011-01-09,195.273,9.273,5.75,6.25,0.5,,3.375,,204.545
2011-01-10,198.958,11.792,8.5,9.083,0.583,,8.458,,210.75
2011-01-11,193.167,9.0,6.708,6.958,0.25,,4.208,,202.167
2011-01-12,194.292,8.833,4.708,5.125,0.417,,1.833,,203.125
2011-01-13,193.75,8.167,5.417,5.917,0.5,,3.708,,201.917
2011-01-14,196.318,9.591,6.542,7.167,0.625,,3.652,,205.909
2011-01-15,193.292,8.958,4.708,4.792,0.083,,0.917,,202.25
2011-01-16,192.182,10.5,4.0,4.304,0.304,,0.458,,202.682
2011-01-17,193.125,10.75,4.0,4.708,0.708,,3.333,,203.875
2011-01-18,194.333,10.75,3.833,4.417,0.583,,2.542,,205.083
2011-01-19,188.5,10.625,3.875,4.208,0.333,,1.0,,199.125
2011-01-20,190.792,12.0,6.917,8.542,1.625,,2.042,,202.792
2011-01-21,193.25,10.917,3.875,4.417,0.542,,2.708,,204.167
2011-01-22,191.625,10.542,4.917,5.167,0.25,,2.542,,202.167
2011-01-23,192.455,10.227,3.167,3.208,0.042,,1.333,,202.682
2011-01-24,195.318,9.864,3.75,4.25,0.5,,2.0,,205.182
2011-01-25,197.583,11.125,4.625,5.333,0.708,,1.125,,208.708
2011-01-26,197.25,9.75,2.875,3.208,0.333,,1.25,,207.0
2011-01-27,197.542,10.375,4.292,5.333,1.042,,2.0,,207.917
2011-01-28,194.75,10.458,3.833,4.25,0.417,,0.875,,205.208
2011-01-29,196.458,11.208,4.0,4.292,0.292,,3.292,,207.667
2011-01-30,194.682,11.591,5.087,5.739,0.652,,4.292,,206.273
2011-01-31,196.625,11.958,5.583,6.125,0.542,,5.292,,208.583
2011-02-01,194.625,12.25,2.542,2.542,0.0,,1.917,,206.875
2011-02-02,192.792,10.708,1.792,1.833,0.042,,0.583,,203.5
2011-02-03,196.167,10.958,4.583,4.917,0.333,,1.667,,207.125
2011-02-04,195.167,11.75,4.333,4.833,0.5,,3.042,,206.917
2011-02-05,193.0,12.292,2.333,2.333,0.0,,3.792,,205.292
2011-02-06,192.227,10.5,2.833,3.333,0.5,,1.083,,202.727
2011-02-07,189.75,11.667,3.042,3.083,0.042,,0.708,,201.417
2011-02-08,193.136,9.364,3.417,3.708,0.292,,1.13,,202.5
2011-02-09,195.292,9.0,3.417,3.917,0.5,,1.0,,204.292
2011-02-10,194.5,9.625,4.333,4.833,0.5,,1.375,,204.125
2011-02-11,194.25,9.75,3.917,4.417,0.5,,1.75,,204.0
2011-02-12,193.958,10.292,3.125,3.167,0.042,,5.667,,204.25
2011-02-13,189.227,9.591,2.391,2.435,0.043,,0.875,,198.818
2011-02-14,192.682,10.727,3.25,3.625,0.375,,0.0,,203.409
2011-02-15,191.5,11.917,5.417,5.792,0.375,,0.375,,203.417
2011-02-16,191.792,11.042,5.5,5.958,0.458,,1.875,,202.833
2011-02-17,191.5,9.625,2.625,2.625,0.0,,2.0,,201.125
2011-02-18,195.125,10.167,3.167,3.333,0.167,,0.917,,205.292
2011-02-19,194.792,9.708,2.583,2.667,0.083,,0.875,,204.5
2011-02-20,192.273,9.364,2.708,3.083,0.375,,1.417,,201.636
2011-02-21,191.292,9.917,3.708,4.167,0.458,,2.625,,201.208
2011-02-22,184.913,9.652,2.542,2.667,0.125,,2.391,,194.565
2011-02-23,183.458,10.208,3.917,4.333,0.417,,0.708,,193.667
2011-02-24,190.708,11.917,4.583,5.083,0.5,,2.125,,202.625
2011-02-25,189.375,11.625,4.458,4.708,0.25,,1.458,,201.0
2011-02-26,189.292,10.708,2.875,3.0,0.125,,0.708,,200.0
2011-02-27,193.909,13.364,3.609,4.087,0.478,,0.625,,207.273
2011-02-28,190.375,13.375,2.875,3.042,0.167,,7.5,,203.75
2011-03-01,189.792,13.208,2.75,2.833,0.083,,6.5,,203.0
2011-03-02,191.75,14.0,3.667,4.0,0.333,,0.167,,205.75
2011-03-03,189.375,13.458,3.833,4.167,0.333,,2.25,,202.833
2011-03-04,188.292,13.333,2.25,2.292,0.042,,13.333,,201.625
2011-03-05,186.682,10.727,1.833,1.875,0.042,,0.042,,197.409
2011-03-06,194.292,13.083,2.667,2.667,0.0,,0.333,,207.375
2011-03-07,199.217,12.957,4.833,5.25,0.417,,2.043,,212.174
2011-03-08,201.125,13.125,4.208,4.583,0.375,,1.958,,214.25
2011-03-09,196.042,12.5,4.042,4.417,0.375,,3.0,,208.542
2011-03-10,195.458,11.958,3.667,3.792,0.125,,1.0,,207.417
2011-03-11,196.292,11.708,3.333,3.333,0.0,,4.25,,208.0
2011-03-12,192.273,9.545,2.609,2.696,0.087,,0.833,,201.818
2011-03-13,195.042,9.917,3.667,3.917,0.25,,1.042,,204.958
2011-03-14,194.708,9.875,4.5,4.958,0.458,,2.625,,204.583
2011-03-15,195.0,11.0,4.833,5.083,0.25,,4.458,,206.0
2011-03-16,189.958,9.833,3.0,3.083,0.083,,8.375,,199.792
2011-03-17,193.0,10.625,3.042,3.333,0.292,,0.167,,203.625
2011-03-18,193.0,10.75,2.792,2.792,0.0,,0.0,,203.75
2011-03-19,195.5,12.909,5.227,5.636,0.409,,1.364,,208.409
2011-03-20,194.05,12.9,5.333,5.619,0.286,,1.263,,206.95
2011-03-21,195.708,15.042,5.625,5.875,0.25,,1.708,,210.75
2011-03-22,192.0,12.333,3.667,3.875,0.208,,4.125,,204.333
2011-03-23,186.625,11.5,2.208,2.208,0.0,,0.417,,198.125
2011-03-24,192.583,13.042,3.083,3.083,0.0,,2.042,,205.625
2011-03-25,193.417,11.667,2.333,2.333,0.0,,1.583,,205.083
2011-03-26,192.727,12.091,2.609,2.609,0.0,,0.875,,204.818
2011-03-27,196.375,11.875,5.042,5.25,0.208,,1.292,,208.25
2011-03-28,196.458,12.083,2.917,2.958,0.042,,1.75,,208.542
2011-03-29,191.833,11.875,3.833,3.958,0.125,,2.5,,203.708
2011-03-30,186.667,10.917,3.0,3.083,0.083,,1.917,,197.583
2011-03-31,188.583,11.583,2.208,2.208,0.0,,1.0,,200.167
2011-04-01,184.083,13.292,4.792,4.917,0.125,,2.25,,197.375
2011-04-02,178.583,13.708,3.292,3.375,0.083,,1.208,,192.292
2011-04-03,177.292,14.292,4.25,4.333,0.083,,0.833,,191.583
2011-04-04,182.913,13.0,5.333,5.833,0.5,,3.261,,195.913
2011-04-05,180.583,12.625,3.958,4.042,0.083,,4.5,,193.208
2011-04-06,164.583,16.0,3.333,3.333,0.0,,3.375,,180.583
2011-04-07,160.125,18.083,2.958,3.0,0.042,,1.667,,178.208
2011-04-08,169.062,16.125,2.708,2.708,0.0,,0.292,,185.188
2011-04-09,193.0,13.0,3.0,3.042,0.042,,0.625,,206.0
2011-04-10,188.208,12.083,3.625,3.625,0.0,,1.542,,200.292
2011-04-11,189.0,13.091,4.174,4.348,0.174,,1.708,,202.091
2011-04-12,191.75,12.542,5.042,5.292,0.25,,0.75,,204.292
2011-04-13,192.792,12.583,3.333,3.5,0.167,,1.25,,205.375
2011-04-14,188.667,12.292,2.833,3.042,0.208,,0.792,,200.958
2011-04-15,183.476,14.952,3.125,3.25,0.125,,1.391,,198.429
2011-04-16,187.792,17.333,4.125,4.167,0.042,,1.417,,205.125
2011-04-17,178.958,18.875,4.583,4.708,0.125,,1.417,,197.833
2011-04-18,187.455,15.273,3.417,3.417,0.0,,0.833,,202.727
2011-04-19,195.833,13.125,3.125,3.125,0.0,,0.458,,208.958
2011-04-20,195.941,11.941,3.625,3.833,0.208,,0.773,,207.882
2011-04-21,187.875,9.333,3.5,3.667,0.167,,1.625,,197.208
2011-04-22,182.292,9.875,3.542,3.75,0.208,,1.792,,192.167
2011-04-23,185.0,9.417,2.792,2.792,0.0,,0.583,,194.417
2011-04-24,188.125,9.167,3.292,3.292,0.0,,1.208,,197.292
2011-04-25,190.182,10.045,4.174,5.087,0.913,,1.833,,200.227
2011-04-26,184.375,10.583,2.958,3.0,0.042,,4.583,,194.958
2011-04-27,183.0,13.542,3.208,3.375,0.167,,0.591,,196.542
