date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,201.102,5.494,76.19,59.905,45.751,20.15,18.748,25.524,6.776,18.485,1.064,17.346,8.163,4.106,0.978,221.252
2011-01-02,196.216,4.097,83.919,59.723,35.934,15.664,13.215,17.78,4.565,12.042,0.857,11.663,10.454,4.583,0.791,211.88
2011-01-03,193.15,3.553,61.994,45.433,26.202,12.337,10.481,13.531,3.05,3.527,0.667,4.924,9.785,4.517,0.081,205.487
2011-01-04,195.971,4.663,76.67,58.068,40.252,15.433,16.552,23.886,7.334,8.427,1.158,8.54,8.727,3.579,-0.547,211.404
2011-01-05,197.028,4.475,64.279,45.554,26.182,14.712,17.321,28.703,11.381,4.979,0.752,6.146,8.557,3.298,-1.028,211.74
2011-01-06,201.334,5.995,74.048,54.62,32.815,22.666,30.815,57.446,26.631,12.43,1.846,11.781,9.325,3.735,-0.909,224.0
2011-01-07,196.699,3.732,68.325,48.374,26.858,13.655,14.857,22.956,8.099,5.002,0.796,6.101,8.421,3.848,0.32,210.353
2011-01-08,197.203,3.594,60.858,45.888,29.298,13.111,12.08,16.409,4.328,4.84,0.729,5.913,8.846,3.992,-0.424,210.314
2011-01-09,201.425,5.666,77.684,59.424,43.86,21.209,24.136,39.675,15.539,18.083,1.423,16.036,8.879,4.059,0.161,222.633
2011-01-10,202.624,6.521,82.398,64.896,42.446,25.23,32.577,63.301,30.724,19.769,1.885,18.862,9.017,4.329,-0.352,227.854
2011-01-11,196.545,4.816,82.051,58.631,35.497,19.422,21.034,41.736,20.702,16.45,1.418,16.245,9.559,4.127,0.111,215.967
2011-01-12,196.819,4.311,59.611,42.45,28.706,17.03,21.775,37.238,15.462,8.038,1.088,8.175,6.158,2.13,-1.618,213.849
2011-01-13,201.245,6.726,72.199,53.41,33.503,27.568,33.494,75.362,41.868,16.955,1.948,15.72,10.143,3.752,-1.842,228.812
2011-01-14,199.425,5.618,68.438,49.565,33.651,18.565,20.093,35.641,15.548,10.55,1.27,10.448,7.1,3.208,-0.213,217.99
2011-01-15,203.847,5.992,66.656,55.717,44.09,20.896,21.804,33.596,11.792,15.133,1.601,14.988,5.619,2.551,-0.715,224.743
2011-01-16,198.114,5.093,61.822,51.297,41.808,17.76,24.122,38.561,14.438,17.638,1.282,18.231,4.455,2.953,1.157,215.874
2011-01-17,198.605,4.868,68.642,52.676,37.302,19.685,26.427,45.595,19.168,15.497,1.25,17.549,6.952,3.306,0.387,218.291
2011-01-18,204.289,7.249,73.802,60.712,45.204,32.621,39.246,82.529,43.283,26.863,2.212,25.699,7.824,2.999,-1.619,236.91
2011-01-19,198.42,5.156,85.301,65.649,48.513,22.155,25.523,48.896,23.373,23.59,1.524,22.338,9.122,4.708,0.177,220.576
2011-01-20,194.409,3.443,94.275,90.938,79.653,12.825,16.276,23.538,7.262,16.421,0.778,13.649,2.92,1.733,0.962,207.234
2011-01-21,192.992,3.39,94.669,90.592,82.414,12.326,15.308,21.685,6.378,8.828,0.479,7.826,3.151,2.421,1.664,205.318
2011-01-22,196.832,4.917,95.235,88.292,75.889,17.718,15.788,29.256,13.468,7.794,0.56,8.449,7.52,4.626,2.436,214.549
2011-01-23,207.912,7.893,95.278,88.381,69.268,32.185,27.803,85.69,57.887,15.43,1.038,14.474,7.079,3.91,0.259,240.097
2011-01-24,198.264,4.445,92.769,70.146,48.531,18.28,23.259,39.825,16.566,9.687,0.937,9.369,3.837,1.217,-1.173,216.544
2011-01-25,200.446,5.97,89.106,66.437,34.875,24.162,28.16,62.34,34.18,18.723,1.22,14.483,7.937,2.309,-1.919,224.608
2011-01-26,199.216,5.369,84.224,56.046,32.971,18.83,24.058,44.561,20.503,11.64,1.16,11.347,5.182,1.196,-1.894,218.047
