date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,189.673,5.009,10.535,7.849,9.221,1.372,9.98,0.924,7.791,200.208
2011-01-02,189.241,5.042,8.726,5.68,6.456,0.776,4.925,0.703,6.482,197.966
2011-01-03,189.351,5.057,9.488,7.42,8.848,1.428,6.529,0.785,6.107,198.839
2011-01-04,188.405,5.417,8.632,7.298,9.131,1.833,7.514,1.145,6.975,197.036
2011-01-05,190.32,5.398,10.33,10.661,14.297,3.636,7.515,0.773,7.507,200.651
2011-01-06,191.124,4.823,14.419,16.183,23.018,6.834,9.253,1.032,8.32,205.544
2011-01-07,191.364,3.56,10.012,8.81,11.377,2.567,9.279,1.005,8.529,201.375
2011-01-08,192.214,4.205,10.785,9.885,12.309,2.425,7.354,0.918,7.691,202.999
2011-01-09,189.949,3.523,8.648,7.54,9.178,1.638,10.33,1.485,8.684,198.597
2011-01-10,191.275,5.621,17.182,19.75,31.169,11.419,15.74,1.441,13.006,208.457
2011-01-11,189.984,4.192,9.232,9.866,15.0,5.134,10.483,1.368,10.101,199.216
2011-01-12,189.522,3.934,10.31,12.077,16.065,3.988,6.718,1.078,6.348,199.831
2011-01-13,188.22,4.201,9.984,10.957,14.342,3.385,8.26,1.14,7.489,198.203
2011-01-14,191.615,3.974,9.663,7.929,10.469,2.539,10.959,1.363,10.947,201.278
2011-01-15,192.415,4.382,10.424,7.933,9.924,1.99,10.089,1.111,9.982,202.839
2011-01-16,191.305,4.563,12.418,12.238,17.215,4.977,12.669,1.178,12.375,203.723
2011-01-17,189.963,4.573,12.187,14.211,20.166,5.954,11.696,1.056,9.077,202.15
2011-01-18,189.704,4.222,14.069,17.175,24.749,7.574,11.999,1.27,9.556,203.772
2011-01-19,189.919,4.958,15.888,18.535,27.205,8.67,12.254,1.281,9.706,205.807
2011-01-20,188.998,3.973,14.749,17.352,23.962,6.61,16.164,1.171,10.704,203.748
2011-01-21,189.076,3.771,13.585,14.532,19.399,4.867,12.448,1.081,10.218,202.661
2011-01-22,188.788,3.427,11.923,10.069,12.883,2.814,5.505,0.987,6.413,200.711
2011-01-23,188.907,2.595,7.156,5.683,7.546,1.863,6.46,0.997,7.56,196.064
2011-01-24,189.088,2.948,8.996,9.953,13.385,3.432,8.579,1.164,8.481,198.084
2011-01-25,189.03,3.212,7.965,8.083,11.204,3.122,4.461,1.296,6.046,196.995
2011-01-26,190.838,3.236,8.613,10.744,15.481,4.736,10.703,1.638,8.895,199.45
2011-01-27,191.09,4.299,10.86,13.108,19.055,5.947,12.83,1.956,10.561,201.95
2011-01-28,190.609,4.626,7.675,7.898,10.463,2.564,9.673,1.84,8.971,198.285
2011-01-29,192.143,4.11,7.982,7.557,9.119,1.562,8.302,1.359,9.008,200.126
2011-01-30,191.019,4.491,9.113,9.8,13.937,4.138,9.029,1.353,8.945,200.132
2011-01-31,191.71,5.823,13.542,15.525,22.946,7.421,9.892,1.179,9.234,205.252
2011-02-01,189.468,4.526,8.689,7.191,9.472,2.281,12.701,1.794,11.261,198.157
2011-02-02,190.719,4.725,9.205,8.516,11.686,3.17,9.614,1.709,10.394,199.925
2011-02-03,190.293,4.508,10.095,11.026,15.745,4.719,6.208,1.25,7.85,200.389
2011-02-04,189.691,4.607,8.316,6.986,8.793,1.807,9.923,1.821,11.982,198.007
2011-02-05,192.667,5.83,13.087,14.164,18.123,3.959,15.327,1.361,15.837,205.754
2011-02-06,195.122,9.254,26.108,29.155,50.077,20.922,33.689,1.72,25.7,221.23
2011-02-07,193.897,8.907,21.171,21.628,35.235,13.607,17.518,1.275,14.887,215.069
2011-02-08,189.04,3.995,7.267,6.513,9.213,2.701,4.842,1.07,8.008,196.307
