date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,192.792,4.761,24.333,14.944,21.369,6.425,,2.592,14.221,217.125
2011-01-02,190.909,3.819,20.955,10.074,15.163,5.089,,2.206,11.789,211.864
2011-01-03,186.667,2.51,11.5,7.776,10.188,2.411,,1.66,4.888,198.167
2011-01-04,189.708,3.906,22.333,11.468,16.457,4.989,,2.376,9.764,212.042
2011-01-05,188.458,2.646,12.5,6.866,9.584,2.718,,1.603,7.658,200.958
2011-01-06,190.292,3.88,18.958,10.426,15.28,4.855,,2.246,9.182,209.25
2011-01-07,190.333,3.38,17.208,8.703,12.847,4.144,,1.923,6.995,207.542
2011-01-08,190.958,3.322,18.083,9.305,12.32,3.015,,1.922,5.68,209.042
2011-01-09,193.0,5.24,29.591,18.012,27.859,9.848,,2.769,12.444,222.591
2011-01-10,190.042,4.188,22.042,14.344,21.143,6.799,,3.102,12.295,212.083
2011-01-11,189.583,3.444,15.083,8.821,12.633,3.812,,2.072,9.804,204.667
2011-01-12,187.538,3.579,16.615,12.896,18.693,5.797,,2.257,6.081,204.154
2011-01-13,189.75,3.912,19.375,14.088,21.216,7.128,,2.617,10.78,209.125
2011-01-14,189.238,2.609,11.619,5.652,8.043,2.391,,2.313,9.341,200.857
2011-01-15,189.083,2.934,11.833,6.195,8.209,2.014,,2.476,11.975,200.917
2011-01-16,190.545,3.76,13.955,14.381,21.783,7.402,,2.317,11.597,204.5
2011-01-17,191.708,4.561,21.208,17.668,28.359,10.691,,2.975,12.662,212.917
2011-01-18,191.375,5.691,24.75,23.793,37.781,13.988,,3.07,15.493,216.125
2011-01-19,194.917,6.233,33.208,23.778,40.985,17.207,,3.325,25.192,228.125
2011-01-20,190.875,2.541,10.083,9.933,13.829,3.896,,1.852,9.997,200.958
2011-01-21,188.542,4.212,14.292,12.597,18.341,5.743,,2.56,8.999,202.833
2011-01-22,190.75,5.309,24.792,19.013,31.801,12.788,,2.808,11.386,215.542
2011-01-23,189.818,3.691,15.273,9.95,14.66,4.709,,2.094,11.045,205.091
2011-01-24,188.375,3.04,12.0,8.582,11.715,3.134,,1.775,6.691,200.375
2011-01-25,189.875,3.877,16.167,12.645,18.136,5.491,,2.227,10.983,206.042
2011-01-26,191.083,2.852,12.042,8.233,11.659,3.426,,1.821,7.84,203.125
2011-01-27,192.458,3.546,13.125,9.222,13.79,4.568,,2.892,11.604,205.583
2011-01-28,190.958,2.763,10.167,6.549,8.086,1.537,,2.046,8.896,201.125
2011-01-29,191.458,2.578,11.292,6.176,8.314,2.138,,1.599,5.826,202.75
2011-01-30,189.455,2.711,14.0,11.461,16.84,5.378,,2.074,8.173,203.455
2011-01-31,190.542,3.116,12.417,8.826,12.401,3.575,,1.988,9.238,202.958
2011-02-01,189.333,3.113,22.333,11.708,18.265,6.557,,2.386,11.901,211.667
2011-02-02,188.25,3.338,23.958,10.817,16.255,5.438,,2.244,7.18,212.208
2011-02-03,190.208,3.605,15.042,12.8,18.71,5.91,,2.133,8.132,205.25
2011-02-04,190.708,3.676,15.083,11.771,16.292,4.521,,2.594,11.418,205.792
2011-02-05,191.375,3.927,17.708,13.459,19.673,6.213,,2.394,11.859,209.083
2011-02-06,197.182,6.953,35.636,29.248,56.142,26.894,,3.709,27.883,232.818
2011-02-07,193.375,7.989,45.167,26.082,52.147,26.065,,3.507,29.401,238.542
2011-02-08,185.958,2.646,17.292,6.332,9.2,2.868,,1.853,9.551,203.25
2011-02-09,188.208,2.352,5.292,6.082,8.335,2.253,,1.825,6.699,193.5
2011-02-10,188.292,2.777,6.458,8.262,11.638,3.377,,2.541,8.969,194.75
2011-02-11,190.125,2.696,10.042,9.359,12.37,3.012,,1.946,8.484,200.167
2011-02-12,190.87,2.646,8.913,6.501,8.13,1.628,,1.658,9.203,199.783
2011-02-13,190.5,4.651,21.5,19.655,30.855,11.201,,2.793,12.029,212.0
2011-02-14,192.708,5.924,30.667,28.596,49.438,20.843,,3.591,22.172,223.375
2011-02-15,189.75,4.021,20.208,12.971,20.112,7.141,,2.525,19.832,209.958
2011-02-16,187.042,2.929,13.208,10.271,13.621,3.35,,1.831,7.873,200.25
2011-02-17,189.0,3.848,18.167,12.2,16.885,4.685,,2.197,10.966,207.167
2011-02-18,192.9,3.852,25.7,9.496,13.203,3.707,,1.922,9.252,218.6
2011-02-19,192.75,3.419,27.958,9.846,12.494,2.648,,2.366,11.868,220.708
2011-02-20,194.5,4.31,24.091,15.976,22.627,6.652,,2.598,13.544,218.591
2011-02-21,190.333,3.909,16.208,12.643,16.763,4.12,,3.329,17.719,206.542
2011-02-22,193.75,4.627,24.625,19.896,28.358,8.462,,3.266,16.198,218.375
2011-02-23,192.042,6.564,44.0,23.366,36.749,13.382,,3.806,29.756,236.042
2011-02-24,190.042,3.808,17.167,10.176,13.098,2.922,,4.311,27.236,207.208
2011-02-25,193.25,4.201,23.708,15.815,20.671,4.855,,2.576,16.528,216.958
2011-02-26,192.458,3.276,20.833,8.237,10.812,2.575,,1.608,11.459,213.292
2011-02-27,193.773,3.129,19.045,8.56,11.493,2.933,,1.67,9.306,212.818
