date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,199.684,6.129,69.089,53.208,41.774,23.058,21.371,28.947,7.576,18.232,0.0,2.923,20.153,9.017,5.569,2.566,222.743
2011-01-02,194.757,4.6,72.097,51.63,32.394,16.011,14.414,19.427,5.013,10.895,0.0,2.33,13.776,11.301,5.846,2.353,210.768
2011-01-03,191.535,4.368,54.209,39.419,22.016,12.048,12.384,16.598,4.213,3.455,0.0,1.875,6.62,10.414,5.333,0.859,203.583
2011-01-04,194.629,5.699,65.471,49.353,31.328,17.383,17.824,26.397,8.574,9.251,0.0,2.861,11.591,10.993,4.911,0.512,212.011
2011-01-05,194.927,5.659,55.765,37.118,20.308,18.362,22.002,39.227,17.226,5.713,0.0,2.094,8.512,9.542,4.394,-0.085,213.289
2011-01-06,197.31,7.188,68.569,49.211,30.032,27.151,32.18,59.5,27.32,10.446,0.0,3.281,13.045,9.519,4.662,0.3,224.461
2011-01-07,193.636,4.698,61.147,41.612,21.772,15.541,16.998,26.663,9.664,4.709,0.0,2.115,8.117,9.056,4.715,1.456,209.177
2011-01-08,194.381,4.684,51.262,38.015,24.752,14.944,14.344,19.481,5.137,4.626,0.0,2.077,7.701,9.454,5.138,0.894,209.325
2011-01-09,200.315,7.076,64.928,51.232,38.314,27.986,27.797,46.616,18.82,16.175,0.0,3.673,18.706,9.31,5.12,1.402,228.301
2011-01-10,198.217,7.399,72.998,57.777,37.673,31.266,33.515,61.592,28.077,18.58,0.0,4.003,21.485,10.041,5.648,1.108,229.483
2011-01-11,194.208,5.362,75.468,53.043,30.953,22.612,23.747,45.349,21.602,15.561,0.0,3.074,19.087,10.113,5.071,1.379,216.82
2011-01-12,195.6,6.014,58.371,40.036,25.953,22.934,24.91,46.884,21.974,8.249,0.0,2.739,11.046,6.607,2.896,-0.402,218.533
2011-01-13,198.136,7.958,67.328,51.026,35.165,36.043,35.168,78.473,43.305,14.903,0.0,3.709,18.195,10.63,4.594,-1.128,234.179
2011-01-14,198.099,6.826,63.36,49.127,35.714,24.249,24.414,43.035,18.621,12.098,0.0,3.302,14.635,7.288,3.943,0.94,222.349
2011-01-15,200.547,6.769,64.58,51.945,40.72,24.149,24.041,37.211,13.17,13.67,0.0,4.046,16.49,6.089,3.446,0.554,224.696
2011-01-16,195.018,4.948,54.39,44.95,37.738,18.825,24.57,36.506,11.936,16.154,0.0,2.848,18.127,4.988,3.886,2.416,213.843
2011-01-17,195.209,5.811,65.566,49.316,33.82,24.113,28.768,47.89,19.123,18.916,0.0,3.386,19.585,7.2,4.076,1.559,219.322
2011-01-18,202.096,8.565,68.533,56.349,41.251,41.28,42.56,87.589,45.029,26.59,0.0,5.243,29.956,8.827,4.181,-0.432,243.376
2011-01-19,194.988,5.046,82.594,61.278,46.342,24.504,27.196,45.908,18.712,21.583,1.641,3.579,25.008,9.575,5.807,1.94,219.492
2011-01-20,190.666,3.925,92.315,87.796,77.825,14.036,16.399,23.404,7.005,15.54,10.396,1.894,14.974,3.603,2.362,1.35,204.702
2011-01-21,189.211,3.937,92.81,87.509,78.235,14.109,14.808,21.279,6.471,7.174,36.0,1.455,8.758,3.849,3.177,2.525,203.32
2011-01-22,193.629,5.172,92.964,84.838,71.809,21.178,16.259,27.919,11.661,8.038,1.0,1.629,9.496,8.617,5.541,3.42,214.807
2011-01-23,201.23,7.813,93.35,85.136,65.125,35.336,26.776,77.507,50.732,13.493,23.0,2.544,15.124,8.281,4.885,0.714,236.566
2011-01-24,194.365,5.611,91.832,69.515,45.47,20.234,24.367,44.264,19.898,9.749,1.094,2.222,10.963,4.106,1.871,-0.184,214.599
2011-01-25,196.126,6.961,85.916,62.462,31.774,28.402,28.849,63.577,34.728,16.032,0.0,2.599,16.266,8.688,3.253,-0.895,224.52
2011-01-26,196.459,6.144,74.652,50.582,30.736,22.154,26.413,45.067,18.654,10.805,0.0,2.687,12.781,6.231,2.342,-0.592,218.612
2011-01-27,199.18,7.203,71.768,52.501,31.248,27.297,29.236,62.713,33.477,13.256,0.0,3.0,15.44,8.047,2.596,-2.217,226.477
2011-01-28,195.993,5.317,72.071,49.311,33.034,17.943,20.635,34.133,13.498,13.622,0.0,2.724,15.306,5.486,1.856,-1.213,213.936
2011-01-29,193.075,4.102,51.542,35.803,20.539,10.326,10.505,14.048,3.543,6.345,0.0,2.126,9.667,6.851,2.657,-0.071,203.401
2011-01-30,195.633,5.674,53.76,38.18,24.689,18.634,24.283,42.041,17.758,8.504,0.0,2.73,11.497,6.193,2.56,-1.152,214.267
2011-01-31,196.584,6.26,63.565,46.949,32.199,23.46,28.115,54.63,26.516,10.658,0.0,3.121,13.118,8.781,3.251,-1.748,220.044
2011-02-01,193.548,5.255,63.933,44.04,29.708,16.893,19.155,33.756,14.602,14.398,0.0,3.726,17.5,11.776,5.743,-0.706,210.441
2011-02-02,193.877,5.406,53.621,32.992,16.731,14.917,19.381,33.161,13.78,7.581,0.0,2.416,9.515,5.132,1.805,-1.042,208.794
2011-02-03,199.432,7.32,66.679,42.498,22.121,26.145,29.166,59.305,30.139,10.389,0.0,3.507,12.902,6.12,1.842,-2.755,225.577
2011-02-04,199.45,7.154,66.566,44.356,24.152,28.558,29.399,58.901,29.502,13.541,0.0,3.162,15.765,11.162,4.591,-1.983,228.008
2011-02-05,200.983,7.82,71.163,51.486,34.179,26.276,27.939,42.848,14.909,19.699,0.0,4.754,21.468,8.311,4.557,0.464,227.259
2011-02-06,199.539,7.75,92.449,80.374,65.011,30.102,36.333,63.054,26.721,43.441,6.906,2.974,39.425,5.385,4.114,2.751,229.641
2011-02-07,197.498,7.294,95.413,91.86,87.162,32.95,31.793,60.797,29.004,28.795,45.736,2.303,36.028,12.745,8.278,4.407,230.448
2011-02-08,191.612,5.073,86.674,57.014,40.107,17.623,20.49,31.228,10.738,7.468,0.0,2.921,10.997,8.823,5.874,2.329,210.313
2011-02-09,193.6,5.284,69.635,40.247,21.366,18.7,23.716,41.375,17.659,7.078,0.0,2.448,9.466,8.34,4.328,-0.023,212.3
2011-02-10,196.577,6.623,73.756,51.245,36.077,26.36,31.968,59.758,27.789,14.476,0.0,3.944,16.256,9.109,4.784,0.436,222.938
2011-02-11,194.871,5.79,79.764,52.26,32.548,19.725,23.063,33.098,10.064,14.568,0.0,3.599,16.03,8.275,4.667,0.555,214.596
2011-02-12,194.197,4.747,65.587,42.48,26.504,14.467,14.717,20.555,5.838,9.793,0.0,2.573,12.583,9.405,4.326,-0.137,208.664
2011-02-13,197.259,6.376,60.369,46.904,34.796,22.68,34.011,53.977,19.966,19.058,0.0,4.659,21.157,9.395,5.038,0.783,219.939
2011-02-14,194.748,6.158,89.069,73.981,49.16,24.615,31.761,47.704,15.943,36.477,3.094,3.111,35.781,6.042,5.021,4.067,219.363
2011-02-15,195.161,6.471,89.2,65.786,41.202,24.979,26.29,47.855,21.564,28.215,0.453,3.441,29.432,11.098,6.963,4.481,220.141
2011-02-16,191.941,4.602,88.481,59.503,40.252,15.26,21.475,30.58,9.105,15.534,0.0,2.899,17.14,4.217,2.832,1.346,207.201
2011-02-17,194.503,5.476,90.589,69.205,33.342,21.777,27.367,43.339,15.971,22.666,1.547,3.123,22.794,7.799,3.507,1.08,216.28
2011-02-18,192.161,4.085,88.865,44.979,17.964,10.514,12.699,18.764,6.11,9.186,0.0,2.364,11.01,6.361,2.413,-0.544,202.676
2011-02-19,195.967,5.315,68.606,46.173,25.742,15.726,17.943,24.814,6.871,11.961,0.0,3.056,13.753,7.048,2.576,-1.3,211.694
2011-02-20,197.468,6.292,68.096,48.319,22.376,21.82,29.19,47.193,17.917,14.774,0.0,3.502,16.746,10.096,4.939,-0.691,219.287
2011-02-21,197.913,7.12,67.346,45.054,20.511,29.564,37.632,62.911,25.279,17.716,0.0,4.16,21.497,12.16,6.867,0.704,227.477
2011-02-22,194.255,5.501,79.21,59.285,48.581,17.82,24.411,32.84,8.428,23.334,0.0,5.397,27.364,9.485,7.553,5.632,212.075
2011-02-23,194.251,6.773,93.485,85.82,58.009,27.83,29.684,50.377,20.692,28.525,31.547,2.869,30.729,10.608,7.121,4.396,222.082
2011-02-24,193.957,6.135,81.171,50.812,28.666,19.119,22.209,31.015,8.807,24.479,0.0,5.599,28.128,14.784,10.711,6.785,213.076
2011-02-25,194.777,5.532,92.293,84.539,70.634,18.726,22.156,29.066,6.911,17.107,22.736,2.76,19.156,9.361,5.98,3.677,213.503
2011-02-26,193.926,4.605,73.681,56.65,39.75,13.568,14.661,18.756,4.096,8.372,0.0,2.784,11.536,7.404,5.439,3.157,207.494
2011-02-27,191.851,3.672,51.613,34.096,24.295,9.803,11.393,17.326,5.933,8.735,0.0,2.059,11.391,8.536,4.37,1.365,201.654
2011-02-28,194.243,4.065,58.653,43.269,30.858,13.313,20.121,28.794,8.673,9.934,0.0,3.205,13.292,6.442,3.44,0.3,207.556
2011-03-01,195.576,6.993,89.651,76.464,58.764,29.584,30.548,60.529,29.981,14.97,0.0,2.681,16.899,11.125,7.078,2.422,225.16
2011-03-02,196.468,6.762,93.274,89.078,81.478,31.56,30.497,64.366,33.869,18.044,15.359,2.624,21.603,7.756,6.124,4.312,228.027
2011-03-03,192.449,4.774,91.646,68.116,47.398,14.111,16.648,22.523,5.875,12.314,0.547,3.457,15.387,11.411,7.167,3.977,206.56
2011-03-04,194.862,4.827,90.874,68.093,56.062,13.012,14.279,17.71,3.431,19.14,3.189,3.483,21.313,6.322,5.177,2.77,207.874
2011-03-05,194.659,6.332,93.518,91.336,86.684,22.776,27.019,45.881,18.862,8.387,49.943,1.854,11.288,9.183,5.542,2.295,217.436
2011-03-06,202.091,8.401,94.052,85.704,66.606,43.1,36.625,81.733,45.108,21.025,4.359,4.197,30.303,16.84,11.663,8.076,245.192
2011-03-07,195.113,6.327,94.362,70.226,45.025,24.766,25.601,38.313,12.712,21.369,0.0,4.461,31.852,14.64,12.148,10.64,219.879
2011-03-08,194.048,5.29,82.144,68.891,58.673,19.536,24.573,34.571,9.958,20.295,1.359,3.387,23.183,10.367,9.2,7.838,213.562
2011-03-09,193.846,5.583,91.861,88.447,72.165,20.506,24.023,36.302,12.278,14.268,34.811,2.147,19.304,9.063,6.842,4.816,214.352
2011-03-10,191.525,4.527,91.215,82.993,72.352,12.469,14.289,19.79,5.501,4.055,20.453,1.692,6.561,7.014,5.163,3.007,203.994
2011-03-11,193.636,5.161,84.355,71.029,49.976,16.055,16.876,22.144,5.268,13.26,0.0,3.033,15.515,10.904,6.871,3.728,209.691
