date,CH4_mean,CO2_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,200.019,4244.167,4.537,88.125,64.464,41.748,82.096,12.824,20.128,7.305,15.717,1.276,16.332,6.689,1.598,-2.177,282.115
2011-01-02,192.759,4073.75,3.763,89.295,57.45,24.413,25.408,7.938,10.708,2.769,8.616,0.739,10.752,9.22,3.008,-1.632,218.167
2011-01-03,192.527,4134.167,4.204,66.538,44.476,21.627,23.308,10.153,13.486,3.333,2.744,0.997,7.16,7.816,2.331,-2.556,215.835
2011-01-04,194.115,4102.083,3.987,71.474,49.327,29.733,9.953,11.518,16.448,4.93,5.847,1.504,9.198,7.826,2.044,-2.238,204.068
2011-01-05,193.617,4291.5,4.498,71.475,52.985,31.6,11.562,14.987,24.859,9.872,3.747,1.047,9.186,4.803,0.781,-2.742,205.179
2011-01-06,197.071,4229.583,4.728,74.737,54.09,27.998,16.101,21.135,38.881,17.745,10.306,1.462,13.972,7.253,1.412,-4.052,213.172
2011-01-07,194.758,4368.333,4.624,72.677,51.476,26.374,14.819,15.992,32.095,16.103,4.338,1.124,9.08,5.883,1.436,-2.057,209.576
2011-01-08,196.328,4354.583,4.348,71.752,51.686,26.623,12.474,12.864,20.211,7.348,7.009,1.585,10.603,6.064,0.618,-4.013,208.801
2011-01-09,194.707,4267.917,4.098,73.219,55.56,33.229,11.289,15.829,25.247,9.418,13.034,2.189,14.971,7.451,1.792,-3.018,205.996
2011-01-10,196.096,4278.75,4.681,84.644,57.15,34.555,15.841,21.423,39.1,17.677,17.038,1.979,18.372,7.259,2.839,-1.475,211.937
2011-01-11,193.982,4111.667,3.76,75.374,50.832,28.724,10.891,15.76,29.646,13.886,11.968,1.793,13.978,6.957,2.183,-1.111,204.872
2011-01-12,194.253,4195.217,4.231,62.931,40.992,22.436,13.103,19.32,34.444,15.124,6.271,1.65,10.981,4.45,-0.424,-5.023,207.356
2011-01-13,196.225,4188.75,5.191,68.442,47.509,26.004,19.581,24.069,51.723,27.654,12.324,2.092,16.5,9.256,1.558,-5.59,215.805
