date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,186.208,4.038,,,,1.167,7.777,9.98,2.203,14.125,1.946,11.821,,,,187.375
2011-01-02,185.833,3.142,,,,0.875,3.247,3.661,0.414,10.75,1.03,7.132,,,,186.708
2011-01-03,184.958,4.073,,,,0.958,6.421,8.337,1.916,20.375,1.782,15.828,,,,185.917
2011-01-04,187.522,3.757,,,,4.348,4.908,5.824,0.915,17.5,2.757,12.333,,,,191.87
2011-01-05,187.391,4.856,,,,6.0,13.147,19.354,6.207,8.667,0.992,5.397,,,,193.391
2011-01-06,186.208,4.457,,,,7.333,12.159,17.37,5.21,12.625,0.965,7.389,,,,193.542
2011-01-07,187.292,3.957,,,,5.208,8.953,12.351,3.398,11.25,0.232,5.022,,,,192.5
2011-01-08,187.167,3.735,,,,4.583,6.781,9.839,3.057,8.208,0.22,4.691,,,,191.75
2011-01-09,187.917,4.943,,,,7.125,10.253,13.787,3.535,23.083,1.133,18.372,,,,195.042
2011-01-10,188.292,5.848,,,,8.667,9.97,16.076,6.105,34.5,3.11,28.758,,,,196.958
2011-01-11,187.87,3.608,,,,1.739,5.895,7.868,1.974,19.083,1.89,13.043,,,,189.609
2011-01-12,187.958,3.967,,,,2.667,9.926,17.114,7.187,11.5,0.722,4.696,,,,190.625
2011-01-13,187.792,4.247,,,,3.208,10.651,16.032,5.381,24.417,2.862,16.676,,,,191.0
2011-01-14,188.958,4.946,,,,3.25,10.227,15.178,4.951,24.167,1.558,20.42,,,,192.208
2011-01-15,188.375,3.865,,,,2.042,7.853,10.647,2.794,15.125,0.498,8.834,,,,190.417
2011-01-16,186.833,3.977,,,,3.917,10.183,16.51,6.327,15.5,0.494,9.34,,,,190.75
2011-01-17,187.0,3.571,,,,3.292,9.294,14.745,5.451,10.583,0.461,6.306,,,,190.292
2011-01-18,187.261,4.027,,,,9.0,10.38,18.445,8.065,8.083,0.902,4.97,,,,196.261
2011-01-19,185.5,3.583,,,,8.636,11.059,16.328,5.269,7.208,0.465,5.291,,,,194.136
2011-01-20,185.75,3.586,,,,10.458,9.077,13.956,4.88,10.25,0.301,6.826,,,,196.208
2011-01-21,185.458,3.564,,,,11.0,10.092,14.569,4.478,10.0,0.216,6.16,,,,196.458
2011-01-22,184.792,3.137,,,,8.125,6.403,8.977,2.574,6.208,0.288,3.413,,,,192.917
2011-01-23,187.083,3.686,,,,8.417,7.966,10.369,2.403,10.125,0.789,5.984,,,,195.5
2011-01-24,186.125,3.03,,,,7.958,8.071,10.582,2.512,9.0,1.951,4.738,,,,194.083
2011-01-25,187.696,3.553,,,,4.913,7.237,9.424,2.187,15.783,3.085,8.935,,,,192.609
2011-01-26,188.167,3.573,,,,5.5,10.136,13.794,3.658,11.833,2.779,6.132,,,,193.667
2011-01-27,189.917,4.927,,,,6.458,13.885,19.258,5.373,22.625,3.125,19.156,,,,196.375
2011-01-28,190.75,5.013,,,,6.958,15.03,20.2,5.17,18.333,1.379,15.625,,,,197.708
2011-01-29,189.833,3.423,,,,4.875,8.753,10.419,1.666,11.458,0.391,4.928,,,,194.708
2011-01-30,191.167,4.66,,,,8.167,15.003,22.827,7.824,8.783,1.073,4.713,,,,199.333
2011-01-31,188.25,4.376,,,,4.917,12.019,17.107,5.088,11.5,1.286,6.819,,,,193.167
2011-02-01,188.565,4.302,,,,4.87,6.204,7.059,0.854,19.958,3.413,15.021,,,,193.435
2011-02-02,188.833,3.462,,,,4.083,4.732,5.775,1.043,8.833,1.938,5.118,,,,192.917
2011-02-03,189.391,4.084,,,,5.565,10.106,14.202,4.096,10.75,2.598,4.857,,,,194.957
2011-02-04,190.167,5.173,,,,5.708,10.691,13.796,3.105,27.375,4.106,20.385,,,,195.875
2011-02-05,191.458,5.783,,,,6.125,9.955,12.786,2.831,39.75,3.029,30.505,,,,197.583
2011-02-06,191.125,7.999,,,,12.542,19.708,37.295,17.587,29.917,2.483,23.386,,,,203.667
2011-02-07,189.833,6.211,,,,9.667,12.901,20.744,7.843,21.292,2.129,16.301,,,,199.5
2011-02-08,187.348,4.322,,,,6.87,6.044,7.474,1.43,10.667,2.646,5.836,,,,194.217
2011-02-09,189.167,5.104,,,,8.208,9.161,11.629,2.468,12.542,3.848,6.626,,,,197.375
2011-02-10,189.542,5.841,,,,9.917,12.834,17.64,4.807,12.375,1.576,7.109,,,,199.458
2011-02-11,189.25,5.98,,,,8.542,11.337,14.442,3.105,12.667,0.896,8.135,,,,197.792
2011-02-12,191.083,6.104,,,,8.0,10.927,14.145,3.218,15.583,0.874,10.458,,,,199.083
2011-02-13,191.208,7.438,,,,10.208,17.288,25.071,7.784,18.25,1.226,12.709,,,,201.417
2011-02-14,191.375,8.188,,,,13.25,17.432,31.873,14.441,12.167,0.555,7.306,,,,204.625
2011-02-15,187.957,6.0,,,,4.565,9.946,15.549,5.603,17.083,0.893,12.495,,,,192.522
2011-02-16,186.333,5.334,,,,5.458,8.923,12.357,3.434,11.417,1.037,7.31,,,,191.792
2011-02-17,185.435,5.084,,,,4.783,7.65,9.494,1.845,11.417,1.486,7.787,,,,190.217
2011-02-18,187.542,5.334,,,,5.458,8.705,11.332,2.627,10.125,0.745,5.874,,,,193.0
2011-02-19,189.375,5.688,,,,5.333,9.14,11.624,2.484,12.667,0.812,6.705,,,,194.708
2011-02-20,188.75,6.062,,,,6.125,13.007,18.061,5.054,13.5,1.185,7.937,,,,194.875
2011-02-21,188.375,7.438,,,,8.917,17.36,24.377,7.016,23.458,1.923,16.901,,,,197.292
2011-02-22,187.783,6.96,,,,8.217,14.671,21.274,6.603,22.458,1.272,17.084,,,,196.0
2011-02-23,187.917,7.271,,,,11.375,12.328,19.754,7.426,20.542,1.394,16.769,,,,199.292
2011-02-24,188.292,5.862,,,,5.875,7.044,8.714,1.669,27.773,1.78,21.475,,,,194.167
2011-02-25,186.875,6.958,,,,8.458,12.18,16.804,4.624,19.375,0.512,16.682,,,,195.333
2011-02-26,187.167,4.542,,,,4.917,3.759,4.282,0.522,14.833,0.645,10.331,,,,192.083
2011-02-27,189.375,4.63,,,,5.542,7.446,9.212,1.767,14.333,0.356,8.446,,,,194.917
2011-02-28,191.0,4.125,,,,5.75,7.915,10.089,2.173,10.417,0.377,6.594,,,,196.75
2011-03-01,185.958,4.312,,,,2.583,9.19,13.738,4.548,10.625,0.389,8.825,,,,188.542
2011-03-02,185.591,4.75,,,,3.091,8.216,10.606,2.39,12.417,0.498,8.418,,,,188.682
2011-03-03,187.0,4.0,,,,1.333,4.61,5.382,0.772,23.167,0.673,16.492,,,,188.333
2011-03-04,188.542,4.438,,,,3.542,8.832,10.812,1.98,15.375,0.171,11.591,,,,192.083
2011-03-05,187.667,5.875,,,,6.583,14.762,21.571,6.809,4.875,0.409,3.89,,,,194.25
2011-03-06,186.5,5.104,,,,5.375,10.147,14.768,4.62,9.5,0.863,6.299,,,,191.875
2011-03-07,193.13,6.832,,,,8.739,12.034,15.914,3.88,35.167,1.839,36.26,,,,201.87
2011-03-08,191.958,6.562,,,,7.042,10.17,14.918,4.748,31.792,0.986,27.806,,,,199.0
2011-03-09,189.75,5.508,,,,6.875,7.485,9.281,1.796,25.136,0.714,22.33,,,,196.625
2011-03-10,187.292,3.354,,,,3.042,5.111,5.784,0.673,18.917,0.18,15.658,,,,190.333
2011-03-11,187.5,3.792,,,,4.458,5.363,6.524,1.161,20.375,0.922,13.591,,,,191.958
2011-03-12,189.417,3.666,,,,4.75,6.615,7.82,1.205,18.833,0.813,11.281,,,,194.167
2011-03-13,189.375,4.042,,,,5.667,10.415,13.186,2.771,12.375,0.466,8.614,,,,195.042
2011-03-14,186.913,4.521,,,,5.522,10.558,13.121,2.563,17.042,2.012,14.102,,,,192.435
2011-03-15,188.083,4.5,,,,3.792,8.325,9.841,1.516,23.333,1.864,20.795,,,,191.875
2011-03-16,186.5,3.367,,,,4.417,9.628,12.108,2.48,11.375,1.476,10.486,,,,190.917
2011-03-17,183.125,3.725,,,,3.875,6.64,7.493,0.853,10.667,0.31,11.751,,,,187.0
2011-03-18,183.5,4.096,,,,4.875,6.612,7.942,1.33,10.208,0.33,6.833,,,,188.375
2011-03-19,185.391,3.004,,,,3.565,5.728,7.004,1.275,10.5,0.351,6.095,,,,188.957
2011-03-20,185.542,2.956,,,,4.0,5.624,7.231,1.607,12.667,0.342,8.527,,,,189.542
2011-03-21,187.696,3.376,,,,6.13,7.512,9.1,1.588,15.333,1.177,11.175,,,,193.826
2011-03-22,186.917,4.215,,,,8.375,14.135,19.946,5.81,16.292,0.988,12.742,,,,195.292
2011-03-23,184.25,4.064,,,,8.792,11.817,14.316,2.499,11.833,0.305,7.679,,,,193.042
2011-03-24,185.292,3.855,,,,6.625,6.036,6.663,0.627,10.583,0.799,7.276,,,,191.917
2011-03-25,188.625,3.101,,,,5.833,5.766,6.55,0.784,16.75,0.866,12.187,,,,194.458
2011-03-26,190.167,4.066,,,,8.042,10.202,12.731,2.529,12.833,0.829,9.469,,,,198.208
2011-03-27,190.208,4.29,,,,7.5,10.701,12.506,1.805,24.826,1.663,21.433,,,,197.708
2011-03-28,188.87,4.117,,,,4.913,8.366,9.523,1.157,31.958,1.387,25.594,,,,193.783
2011-03-29,188.583,3.818,,,,4.75,8.769,11.137,2.368,18.292,0.734,15.027,,,,193.333
2011-03-30,185.5,3.406,,,,4.292,7.263,8.173,0.91,23.375,2.813,23.327,,,,189.792
2011-03-31,184.25,3.226,,,,3.833,5.718,6.874,1.157,13.208,0.315,9.721,,,,188.083
2011-04-01,185.909,4.667,,,,3.409,14.158,18.251,4.092,29.292,1.323,26.565,,,,189.318
2011-04-02,184.667,3.302,,,,1.917,7.04,8.868,1.827,22.0,0.499,16.915,,,,186.583
2011-04-03,185.0,2.531,,,,0.875,3.056,3.93,0.874,11.917,0.212,7.637,,,,185.875
2011-04-04,186.478,2.792,,,,1.348,6.003,7.914,1.912,16.739,0.331,7.801,,,,187.826
2011-04-05,188.583,3.445,,,,2.375,8.994,11.583,2.589,17.917,0.281,11.849,,,,190.958
2011-04-06,184.043,3.464,,,,6.609,11.433,16.229,4.796,16.208,0.698,10.747,,,,190.652
2011-04-07,183.042,2.835,,,,3.625,8.74,10.328,1.588,14.583,0.66,10.381,,,,186.667
2011-04-08,180.667,2.764,,,,3.208,7.314,8.826,1.512,12.458,0.192,17.066,,,,183.875
2011-04-09,182.542,3.08,,,,5.0,5.199,6.161,0.963,18.583,0.178,19.55,,,,187.542
2011-04-10,184.792,3.663,,,,4.25,7.64,8.838,1.198,29.792,0.906,25.341,,,,189.042
2011-04-11,183.708,3.392,,,,4.333,8.503,9.939,1.435,21.875,0.336,18.611,,,,188.042
2011-04-12,184.958,3.343,,,,5.125,9.097,12.052,2.955,23.696,0.247,18.037,,,,190.083
2011-04-13,185.87,3.85,,,,3.13,9.778,11.628,1.85,26.292,0.661,22.913,,,,189.0
2011-04-14,185.0,4.195,,,,5.0,11.761,14.928,3.167,32.542,1.381,29.481,,,,190.0
2011-04-15,183.913,3.923,,,,3.261,10.723,12.788,2.065,26.083,0.992,23.548,,,,187.174
2011-04-16,184.083,3.07,,,,1.542,5.433,7.256,1.823,26.625,0.381,27.474,,,,185.625
2011-04-17,185.625,2.559,,,,1.792,5.572,7.078,1.506,18.417,0.13,11.149,,,,187.417
2011-04-18,183.0,3.431,,,,8.042,10.464,13.411,2.946,14.958,0.263,14.357,,,,191.042
2011-04-19,183.833,2.875,,,,2.792,6.842,8.817,1.975,11.333,0.016,5.803,,,,186.625
2011-04-20,185.348,2.755,,,,8.783,5.439,7.079,1.64,10.875,0.277,8.608,,,,194.13
