date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,187.97,4.106,66.0,58.75,50.0,8.266,7.767,9.081,1.314,20.354,0.0,4.2,22.641,10.6,7.046,2.8,196.236
2011-01-02,187.539,4.029,72.0,53.292,41.0,6.289,6.522,7.995,1.473,14.218,1.0,3.377,14.692,8.4,5.342,2.0,193.828
2011-01-03,189.142,4.651,66.0,52.417,43.0,7.902,7.888,9.356,1.468,24.013,0.0,5.816,25.07,10.3,5.896,1.3,197.043
2011-01-04,188.939,4.3,68.0,51.167,39.0,7.37,7.218,8.813,1.595,24.922,0.0,6.18,22.246,6.2,4.733,3.4,196.31
2011-01-05,187.896,4.261,63.0,46.708,38.0,8.009,10.997,13.938,2.941,21.764,0.0,4.604,19.193,7.9,5.525,3.4,195.906
2011-01-06,188.435,4.681,55.0,47.708,37.0,9.72,14.463,19.713,5.25,13.822,0.0,3.214,12.991,9.2,6.3,3.4,198.155
2011-01-07,190.568,5.152,63.0,52.875,37.0,10.406,11.654,16.695,5.042,8.034,0.0,2.239,9.529,9.6,6.538,4.3,200.974
2011-01-08,189.965,4.374,64.0,50.333,34.0,9.82,11.467,14.127,2.66,8.199,0.0,2.315,9.913,8.9,5.304,1.6,199.785
2011-01-09,192.628,6.307,72.0,58.125,41.0,12.611,14.32,18.891,4.571,27.834,0.0,5.812,27.868,10.9,6.875,3.9,205.24
2011-01-10,191.477,6.207,72.0,57.042,43.0,12.648,16.931,23.85,6.919,34.796,0.0,5.116,35.708,10.7,6.292,1.6,204.125
2011-01-11,189.37,4.427,56.0,47.0,37.0,9.234,10.191,13.484,3.293,25.528,0.0,5.679,22.789,8.7,6.842,3.8,198.605
2011-01-12,190.721,5.166,65.0,53.125,38.0,11.687,14.459,21.382,6.922,9.488,0.0,2.758,10.907,8.3,4.742,0.3,202.407
2011-01-13,189.835,4.543,65.0,51.292,38.0,10.196,11.396,14.628,3.232,24.844,0.0,6.364,25.415,8.3,6.1,2.8,200.031
2011-01-14,191.76,5.821,63.0,49.833,37.0,11.935,14.748,19.547,4.798,34.301,0.0,5.131,35.201,10.1,6.504,2.9,203.695
2011-01-15,189.839,4.851,67.0,55.042,38.0,10.911,12.123,15.282,3.159,14.733,0.0,2.558,15.653,8.1,5.492,3.4,200.75
2011-01-16,190.176,4.242,84.0,70.708,60.0,12.092,13.842,17.54,3.698,14.002,3.0,2.36,15.63,6.3,4.646,2.9,202.268
2011-01-17,187.974,5.786,83.0,63.25,40.0,13.615,15.217,23.859,8.642,11.334,1.0,3.356,12.532,10.1,4.996,1.1,201.588
2011-01-18,188.036,5.725,76.0,65.75,53.0,14.791,19.705,31.124,11.419,14.793,0.0,4.312,15.865,8.9,4.983,0.6,202.827
2011-01-19,188.278,6.169,90.0,82.792,73.0,19.655,25.244,43.657,18.413,18.868,17.0,3.495,25.034,7.5,6.204,5.4,207.933
2011-01-20,186.249,4.404,91.0,80.609,67.0,11.511,14.219,19.441,5.222,7.706,2.0,3.122,13.133,9.7,7.722,6.0,197.76
2011-01-21,186.192,4.293,87.0,82.417,78.0,13.329,15.05,19.425,4.375,13.189,7.0,2.919,17.003,8.3,7.558,6.6,199.521
2011-01-22,185.853,4.129,87.0,71.667,46.0,10.704,10.713,14.245,3.531,10.871,0.0,3.672,12.747,12.1,8.4,5.1,196.557
2011-01-23,187.235,3.437,84.0,56.167,40.0,7.218,7.647,10.21,2.563,13.616,3.0,3.719,13.366,8.6,6.025,2.9,194.453
2011-01-24,188.079,3.429,52.0,44.125,37.0,6.409,7.816,10.856,3.041,15.634,0.0,4.376,11.782,4.8,2.546,1.1,194.487
2011-01-25,189.166,4.356,73.0,50.167,40.0,8.174,10.227,14.653,4.426,21.046,0.0,4.419,16.237,6.7,2.658,0.3,197.341
2011-01-26,190.749,3.836,58.0,45.583,32.0,6.684,8.761,12.109,3.349,13.948,0.0,4.503,10.426,6.0,2.858,0.4,197.432
2011-01-27,192.162,5.145,69.0,54.542,43.0,10.086,15.917,21.501,5.584,26.1,0.0,3.947,26.433,8.2,4.162,-0.5,202.248
2011-01-28,192.276,5.49,76.0,56.125,37.0,10.153,12.322,17.911,5.589,32.258,0.0,4.093,32.556,9.4,5.896,2.6,202.429
2011-01-29,190.164,3.844,72.0,59.792,43.0,7.09,9.199,12.098,2.899,12.003,0.0,3.128,12.378,9.4,5.112,1.5,197.254
2011-01-30,190.307,5.055,67.0,54.292,38.0,8.958,13.003,18.808,5.806,12.493,0.0,3.337,14.267,8.1,4.858,1.5,199.265
2011-01-31,189.596,4.458,56.0,43.167,32.0,8.456,14.046,18.925,4.879,12.03,0.0,3.563,12.914,7.6,3.908,-0.1,198.051
2011-02-01,190.144,3.961,71.0,51.667,38.0,6.852,8.418,10.349,1.931,25.413,1.0,5.74,25.209,8.9,5.367,0.0,196.996
2011-02-02,187.951,3.083,54.0,43.375,32.0,5.923,6.641,8.953,2.312,13.749,0.0,4.156,8.887,2.4,0.792,-0.8,193.874
2011-02-03,188.742,3.97,64.0,49.292,35.0,7.233,8.909,11.868,2.959,9.528,0.0,2.586,10.159,5.3,1.796,-2.8,195.975
2011-02-04,189.107,3.679,63.0,46.5,36.0,7.485,9.422,11.738,2.315,20.205,0.0,5.297,20.962,8.3,5.367,1.9,196.592
2011-02-05,191.196,5.381,87.0,64.25,50.0,11.01,13.08,15.354,2.274,37.808,3.0,4.586,42.309,7.0,4.142,1.1,202.206
2011-02-06,190.556,6.318,91.0,84.667,77.0,16.861,20.123,28.294,8.17,47.522,9.0,5.345,62.338,7.7,5.792,4.1,207.416
2011-02-07,190.585,5.724,92.0,75.25,47.0,15.082,16.806,23.506,6.7,16.29,21.0,4.314,19.823,10.0,7.425,4.8,205.667
2011-02-08,189.317,3.205,66.0,46.0,39.0,7.442,7.416,10.407,2.991,13.868,0.0,4.0,10.389,4.6,2.283,-0.5,196.759
2011-02-09,190.29,4.477,59.0,46.417,35.0,9.077,8.532,12.599,4.067,13.396,0.0,3.417,10.177,5.7,3.021,0.0,199.366
2011-02-10,189.361,4.407,70.0,56.75,45.0,8.661,11.917,16.468,4.551,12.391,0.0,3.246,14.173,7.2,3.812,-1.0,198.022
2011-02-11,189.641,3.92,71.0,48.5,33.0,8.098,9.765,12.977,3.212,8.631,0.0,2.762,10.257,8.3,4.896,0.5,197.738
2011-02-12,190.419,3.827,67.0,47.375,27.0,7.769,9.567,11.565,1.997,10.586,0.0,2.953,12.165,9.8,4.596,0.8,198.187
2011-02-13,191.26,5.944,88.0,72.333,51.0,14.696,21.276,28.252,6.975,20.322,7.0,3.133,24.296,5.3,4.438,3.4,205.957
2011-02-14,191.35,7.516,90.0,88.25,86.0,25.569,23.844,46.386,22.542,19.086,16.0,3.166,25.909,6.8,5.854,4.9,216.919
2011-02-15,190.865,6.424,91.0,83.208,63.0,19.774,21.258,34.761,13.503,16.829,9.0,3.463,21.8,8.4,6.696,4.7,210.639
2011-02-16,188.508,4.738,70.0,57.875,44.0,9.542,12.042,16.104,4.062,12.843,0.0,4.144,15.008,10.1,5.55,3.2,198.051
2011-02-17,188.156,3.493,64.0,48.292,33.0,7.551,9.189,11.902,2.713,17.511,0.0,4.919,12.624,5.8,4.033,1.8,195.707
2011-02-18,190.281,3.555,88.0,60.667,40.0,6.589,7.543,9.886,2.343,16.721,0.0,3.954,12.832,5.0,1.679,-0.5,196.87
2011-02-19,190.67,3.205,87.0,57.0,33.0,6.898,7.356,8.802,1.446,11.95,3.0,2.717,11.108,6.9,2.258,-3.2,197.568
2011-02-20,187.983,3.722,78.0,60.333,44.0,8.757,13.538,17.231,3.693,13.516,0.0,3.851,12.982,8.0,3.783,-0.9,196.74
2011-02-21,187.604,5.311,86.0,67.167,55.0,15.966,21.537,30.622,9.085,19.331,2.0,4.499,20.255,8.4,5.346,1.9,203.571
2011-02-22,187.999,5.712,88.0,81.75,75.0,16.368,21.582,29.983,8.401,31.028,5.0,5.983,37.293,7.3,5.908,4.4,204.367
2011-02-23,190.069,6.173,92.0,78.417,54.0,19.668,22.173,34.113,11.94,22.985,24.0,4.413,31.714,13.6,9.029,5.9,209.737
2011-02-24,191.961,5.664,77.0,61.958,41.0,11.14,13.795,17.404,3.609,35.633,0.0,5.35,39.908,10.6,7.567,4.4,203.101
2011-02-25,190.486,5.593,89.0,74.333,60.0,12.541,16.385,20.744,4.359,34.055,7.0,5.166,39.342,10.1,7.812,5.9,203.027
2011-02-26,189.496,3.958,73.0,57.792,42.0,7.171,8.301,10.007,1.707,8.747,0.0,2.291,10.073,7.3,5.462,1.5,196.667
2011-02-27,191.253,5.139,75.0,58.875,38.0,10.412,14.388,19.404,5.016,15.735,0.0,3.507,16.151,8.4,3.729,-0.6,201.665
2011-02-28,190.774,4.151,87.0,66.292,47.0,8.951,13.305,16.955,3.65,14.744,10.0,3.55,15.651,6.9,3.117,-0.6,199.725
2011-03-01,189.771,6.234,89.0,80.917,71.0,20.562,23.29,38.086,14.795,27.541,0.0,6.116,36.108,10.1,7.221,3.3,210.333
2011-03-02,188.812,4.84,89.0,82.917,70.0,18.123,23.826,36.959,13.133,22.168,2.0,5.102,30.802,12.9,9.996,7.8,206.935
2011-03-03,189.845,4.213,86.0,62.0,43.0,8.54,9.595,12.195,2.599,15.93,0.0,3.508,19.124,12.1,9.608,7.6,198.385
2011-03-04,191.348,3.878,88.0,77.375,60.0,8.843,9.498,10.916,1.418,21.423,7.0,3.423,23.282,7.8,6.508,5.8,200.19
2011-03-05,189.489,5.662,92.0,85.792,74.0,16.339,20.034,30.902,10.868,12.473,11.0,4.364,19.237,11.2,8.8,6.0,205.828
2011-03-06,191.256,5.779,92.0,71.625,55.0,17.255,17.572,32.554,14.982,15.4,7.0,4.357,23.29,17.8,12.85,8.9,208.51
