date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,6.271,10.308,17.528,7.22,23.375,1.243,13.393
2011-01-02,6.375,8.216,13.971,5.755,18.417,1.946,15.763
2011-01-03,5.646,10.508,17.633,7.126,9.0,0.928,4.821
2011-01-04,4.875,7.496,12.524,5.028,13.542,1.652,9.005
2011-01-05,6.416,12.511,21.503,8.992,5.25,3.11,4.991
2011-01-06,7.274,15.169,26.106,12.272,3.5,3.427,2.854
2011-01-07,5.75,11.491,19.811,8.32,9.125,3.571,4.834
2011-01-08,6.938,10.161,16.197,6.036,14.167,4.007,7.984
2011-01-09,6.188,11.68,19.465,7.785,8.958,4.896,4.873
2011-01-10,6.5,11.666,20.16,8.494,10.583,4.934,7.572
2011-01-11,6.812,10.495,16.359,5.863,32.625,5.155,26.772
2011-01-12,6.73,12.304,21.254,8.95,12.708,4.539,11.28
2011-01-13,7.604,15.237,25.912,10.676,9.417,4.455,8.02
2011-01-14,4.458,10.97,16.388,5.418,10.542,4.418,10.893
2011-01-15,3.208,5.669,8.348,2.679,10.917,3.812,12.74
2011-01-16,6.002,11.082,19.448,8.367,4.5,3.329,2.364
2011-01-17,6.104,10.906,19.121,8.216,6.083,1.791,5.226
2011-01-18,4.812,10.913,15.971,5.058,7.583,1.391,6.389
2011-01-19,3.812,10.461,16.463,6.003,8.625,0.903,5.239
2011-01-20,6.646,11.381,17.391,6.01,15.667,1.204,11.541
2011-01-21,7.562,11.924,17.824,5.9,12.375,1.179,12.091
2011-01-22,6.188,8.336,12.149,3.813,7.833,0.801,8.417
2011-01-23,5.896,9.812,16.218,6.405,18.167,1.009,11.625
2011-01-24,7.854,13.071,21.403,8.332,17.542,1.195,11.368
2011-01-25,5.729,9.055,14.029,4.974,14.917,1.439,9.953
2011-01-26,6.796,12.579,21.683,9.104,8.208,1.979,8.264
2011-01-27,3.02,9.554,13.324,3.77,6.833,0.89,7.523
2011-01-28,5.917,13.194,20.391,7.197,9.292,0.666,7.889
2011-01-29,7.125,9.363,14.48,5.117,5.833,0.893,6.57
2011-01-30,6.625,11.308,19.094,7.786,12.583,1.442,9.967
2011-01-31,6.666,13.027,21.365,8.338,13.875,1.84,14.49
