date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,6.958,8.625,1.667,,0.75,17.458
2011-01-02,2.833,3.542,0.708,,0.083,13.25
2011-01-03,5.792,6.667,0.875,,0.542,15.25
2011-01-04,12.208,15.292,3.083,,1.167,14.458
2011-01-05,4.125,4.958,0.833,,1.042,13.833
2011-01-06,12.792,18.708,5.917,,0.667,14.958
2011-01-07,4.364,5.318,0.955,,0.5,15.875
2011-01-08,8.833,11.292,2.458,,0.917,14.708
2011-01-09,8.208,11.083,2.875,,0.833,14.458
2011-01-10,7.917,9.708,1.792,,1.167,17.583
2011-01-11,6.0,7.208,1.208,,0.458,15.458
2011-01-12,12.875,16.583,3.708,,1.417,16.125
2011-01-13,9.792,11.917,2.125,,1.667,14.708
2011-01-14,11.333,13.458,2.125,,1.5,14.833
2011-01-15,10.542,12.667,2.125,,1.083,16.667
2011-01-16,12.458,16.208,3.75,,0.833,17.167
2011-01-17,14.542,20.458,5.917,,1.042,16.25
2011-01-18,12.261,20.261,8.0,,0.913,15.826
2011-01-19,6.458,8.458,2.0,,0.958,16.167
2011-01-20,7.083,9.458,2.375,,0.875,13.0
2011-01-21,10.917,14.917,4.0,,0.875,16.292
2011-01-22,3.333,5.042,1.708,,0.417,11.917
2011-01-23,3.125,5.833,2.708,,0.083,13.708
2011-01-24,12.0,16.875,4.875,,1.333,16.167
2011-01-25,17.083,26.333,9.25,,1.375,19.083
2011-01-26,14.667,20.5,5.833,,1.292,17.417
2011-01-27,11.208,15.25,4.042,,1.125,14.875
2011-01-28,15.583,21.958,6.375,,1.042,19.542
2011-01-29,8.125,10.333,2.208,,1.167,15.542
2011-01-30,8.167,11.292,3.125,,1.125,15.208
2011-01-31,6.75,9.333,2.583,,1.083,17.5
2011-02-01,7.591,10.045,2.455,,1.25,15.125
2011-02-02,3.042,3.375,0.333,,0.583,12.348
2011-02-03,12.208,16.542,4.333,,1.542,14.042
2011-02-04,13.25,18.167,4.917,,1.083,18.083
2011-02-05,9.042,11.292,2.25,,1.583,18.208
2011-02-06,11.292,16.125,4.833,,2.375,20.542
2011-02-07,17.0,21.833,4.833,,1.292,22.792
2011-02-08,8.25,11.042,2.792,,2.083,19.875
2011-02-09,8.875,11.708,2.833,,1.583,18.042
2011-02-10,9.542,12.625,3.083,,1.5,17.042
2011-02-11,7.583,9.25,1.667,,1.583,15.208
