date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,13.792,18.417,4.625,3.625,5.792
2011-01-02,4.375,5.583,1.208,3.208,5.5
2011-01-03,8.833,11.542,2.708,2.917,3.292
2011-01-04,17.25,25.417,8.167,3.217,4.739
2011-01-05,16.625,31.542,14.917,2.917,5.0
2011-01-06,19.083,43.958,24.875,3.208,6.625
2011-01-07,15.833,21.917,6.083,4.625,7.583
2011-01-08,25.0,42.042,17.042,6.375,7.75
2011-01-09,20.5,31.125,10.625,4.083,6.917
2011-01-10,20.375,38.917,18.542,4.042,7.667
2011-01-11,8.583,11.667,3.083,3.458,4.042
2011-01-12,22.667,44.833,22.167,3.708,3.875
2011-01-13,22.13,43.0,20.87,4.708,10.875
2011-01-14,12.917,17.25,4.333,3.917,7.25
2011-01-15,13.083,17.875,4.792,3.833,4.958
2011-01-16,22.5,47.167,24.667,3.875,9.625
2011-01-17,27.458,57.25,29.792,4.261,11.043
2011-01-18,26.875,55.333,28.458,3.75,8.958
2011-01-19,23.667,47.542,23.875,3.875,9.625
2011-01-20,15.208,20.208,5.0,6.5,5.667
2011-01-21,15.75,21.667,5.917,5.833,7.25
2011-01-22,7.292,8.833,1.542,4.167,7.708
2011-01-23,11.083,16.25,5.167,3.292,8.25
2011-01-24,19.667,33.333,13.667,3.708,6.583
2011-01-25,26.857,50.762,23.905,3.625,11.542
2011-01-26,22.708,44.708,22.0,5.542,9.917
2011-01-27,22.391,38.435,16.043,3.708,9.833
2011-01-28,19.708,33.625,13.917,3.708,7.042
2011-01-29,19.125,28.0,8.875,4.333,8.625
2011-01-30,16.875,22.125,5.25,5.958,4.958
2011-01-31,20.292,36.125,15.833,4.348,7.217
2011-02-01,16.417,25.292,8.875,4.042,5.0
2011-02-02,12.583,20.333,7.75,3.5,4.583
2011-02-03,23.125,39.75,16.625,3.667,8.458
2011-02-04,18.458,36.5,18.042,4.375,8.5
2011-02-05,11.0,14.042,3.042,4.125,7.167
2011-02-06,21.583,35.0,13.417,5.833,8.375
2011-02-07,20.708,28.5,7.792,5.625,14.458
2011-02-08,5.583,8.083,2.5,4.0,7.652
2011-02-09,13.0,18.042,5.042,3.875,5.667
2011-02-10,11.957,18.522,6.565,4.125,8.833
2011-02-11,12.417,18.708,6.292,3.958,8.375
2011-02-12,9.208,11.417,2.208,3.292,8.625
2011-02-13,19.0,25.583,6.583,4.5,7.458
2011-02-14,25.0,41.0,16.0,8.304,18.304
2011-02-15,7.917,9.75,1.833,5.667,13.667
2011-02-16,14.5,19.125,4.625,4.458,9.0
2011-02-17,20.375,34.792,14.417,4.25,9.333
2011-02-18,15.083,20.5,5.417,4.042,4.625
2011-02-19,20.167,28.333,8.167,4.833,6.417
2011-02-20,15.667,23.083,7.417,5.375,7.917
2011-02-21,10.913,13.522,2.609,4.75,10.5
2011-02-22,30.208,55.875,25.667,5.417,8.833
2011-02-23,25.833,39.5,13.667,6.292,13.958
2011-02-24,9.435,13.087,3.652,3.875,9.667
2011-02-25,17.208,22.583,5.375,5.875,6.25
2011-02-26,17.208,26.792,9.583,4.167,6.917
2011-02-27,22.958,40.625,17.667,3.458,6.25
2011-02-28,27.5,47.208,19.708,5.913,9.174
2011-03-01,16.625,19.333,2.708,4.75,12.167
2011-03-02,11.792,15.458,3.667,4.708,13.625
2011-03-03,9.5,12.167,2.667,3.917,7.917
2011-03-04,12.0,15.083,3.083,3.542,8.542
2011-03-05,15.875,19.75,3.875,4.75,6.25
2011-03-06,16.875,21.75,4.875,4.375,5.375
2011-03-07,11.042,13.25,2.208,3.792,8.75
2011-03-08,17.792,24.875,7.083,4.167,7.75
2011-03-09,16.739,22.304,5.565,4.875,7.333
2011-03-10,9.792,12.292,2.5,4.708,6.458
2011-03-11,5.625,6.542,0.917,3.667,6.375
2011-03-12,11.042,13.708,2.667,4.125,8.5
2011-03-13,14.125,17.875,3.75,4.217,5.783
2011-03-14,16.125,22.167,6.042,5.25,8.0
2011-03-15,9.667,11.708,2.042,5.417,10.5
2011-03-16,15.667,21.917,6.25,5.333,9.958
2011-03-17,12.708,14.208,1.5,5.208,10.875
2011-03-18,7.833,9.792,1.958,3.292,8.833
2011-03-19,6.958,8.958,2.0,3.708,7.458
2011-03-20,6.625,8.042,1.417,3.958,7.0
2011-03-21,16.708,21.708,5.0,4.25,10.083
2011-03-22,24.458,30.417,5.958,4.792,15.0
2011-03-23,20.783,25.174,4.391,4.5,14.75
2011-03-24,8.75,11.083,2.333,3.667,6.042
2011-03-25,11.042,13.833,2.792,4.083,5.875
2011-03-26,16.667,27.5,10.833,4.5,7.292
2011-03-27,17.792,22.208,4.417,4.391,9.913
2011-03-28,17.708,20.5,2.792,4.542,10.083
2011-03-29,13.25,14.708,1.458,4.625,13.625
2011-03-30,11.792,13.167,1.375,5.417,15.167
2011-03-31,8.708,10.958,2.25,3.333,12.875
2011-04-01,9.708,10.417,0.708,5.708,23.667
2011-04-02,5.833,6.875,1.042,4.083,9.917
2011-04-03,5.75,7.25,1.5,3.333,8.875
2011-04-04,11.542,14.083,2.542,4.167,10.042
2011-04-05,27.478,35.391,7.913,8.667,18.792
2011-04-06,17.458,21.375,3.917,5.833,24.833
2011-04-07,15.75,18.292,2.542,6.958,24.25
2011-04-08,14.083,16.625,2.542,4.75,16.792
2011-04-09,12.958,19.667,6.708,5.542,15.958
2011-04-10,9.0,10.0,1.0,6.708,23.917
2011-04-11,12.542,15.208,2.667,7.75,25.208
2011-04-12,6.792,8.208,1.417,5.217,18.0
2011-04-13,17.083,21.208,4.125,5.333,21.542
2011-04-14,19.333,23.25,3.917,7.75,44.75
2011-04-15,10.208,11.125,0.917,6.708,51.125
2011-04-16,13.75,15.417,1.667,6.333,23.792
2011-04-17,4.542,6.208,1.667,4.625,9.0
2011-04-18,6.167,8.125,1.958,4.042,8.458
2011-04-19,8.609,10.478,1.87,4.875,8.25
2011-04-20,8.143,10.095,1.952,5.083,10.875
2011-04-21,11.917,15.375,3.458,7.083,16.917
2011-04-22,9.458,11.5,2.042,5.667,15.708
2011-04-23,10.542,12.792,2.25,6.625,14.417
2011-04-24,8.125,10.0,1.875,4.375,13.75
2011-04-25,17.333,20.375,3.042,6.792,20.417
2011-04-26,12.333,14.417,2.083,5.783,25.826
2011-04-27,15.292,18.208,2.917,6.875,33.458
2011-04-28,9.417,11.875,2.458,4.042,12.333
2011-04-29,6.5,8.708,2.208,3.667,10.667
2011-04-30,6.875,8.375,1.5,5.208,25.75
2011-05-01,9.0,10.25,1.25,3.667,14.083
2011-05-02,4.958,7.292,2.333,3.375,10.708
2011-05-03,5.087,6.478,1.391,4.25,9.792
2011-05-04,4.958,5.375,0.417,3.417,5.75
2011-05-05,10.292,12.292,2.0,4.667,12.375
2011-05-06,11.333,14.833,3.5,6.417,16.542
2011-05-07,15.792,18.042,2.25,7.958,19.125
2011-05-08,7.083,8.208,1.125,4.958,8.708
2011-05-09,10.833,12.708,1.875,6.375,12.125
2011-05-10,10.333,12.125,1.792,4.435,14.13
2011-05-11,6.25,8.167,1.917,4.792,8.5
2011-05-12,6.75,7.75,1.0,4.625,10.0
2011-05-13,7.958,8.667,0.708,3.25,8.875
2011-05-14,9.458,11.458,2.0,3.667,8.042
2011-05-15,6.625,8.542,1.917,4.083,8.292
2011-05-16,9.625,10.708,1.083,4.5,14.375
2011-05-17,12.609,14.739,2.13,5.125,15.833
2011-05-18,13.125,16.125,3.0,7.0,19.043
2011-05-19,17.375,19.083,1.708,7.958,26.333
2011-05-20,15.625,17.5,1.875,9.125,45.0
2011-05-21,21.625,24.625,3.0,9.958,28.458
2011-05-22,7.833,9.583,1.75,7.083,18.708
2011-05-23,7.5,9.833,2.333,4.292,12.417
2011-05-24,7.435,8.478,1.043,5.609,16.217
2011-05-25,8.875,10.417,1.542,7.375,12.333
2011-05-26,9.75,11.333,1.583,5.875,14.5
2011-05-27,7.292,8.167,0.875,4.958,14.542
2011-05-28,10.0,10.917,0.917,6.5,19.625
2011-05-29,7.375,8.042,0.667,4.958,6.958
2011-05-30,7.375,9.083,1.708,5.5,8.583
2011-05-31,5.818,8.364,2.545,4.5,22.5
2011-06-01,3.667,4.25,0.583,5.25,27.958
2011-06-02,6.208,7.042,0.833,4.792,18.583
2011-06-03,12.583,16.792,4.208,7.083,15.292
2011-06-04,11.958,12.958,1.0,5.333,15.583
2011-06-05,15.75,17.667,1.917,10.5,29.875
2011-06-06,16.667,20.25,3.583,11.208,29.167
2011-06-07,11.958,13.25,1.292,8.043,30.304
2011-06-08,8.417,9.0,0.583,5.25,25.917
2011-06-09,7.333,8.0,0.667,5.792,14.042
2011-06-10,12.875,14.375,1.5,7.417,27.958
2011-06-11,11.333,12.375,1.042,8.625,40.583
2011-06-12,8.542,10.0,1.458,6.75,23.25
2011-06-13,8.625,9.833,1.208,6.75,15.5
2011-06-14,11.87,13.913,2.043,7.75,16.583
2011-06-15,6.792,9.083,2.292,4.875,6.542
2011-06-16,5.25,6.042,0.792,5.333,12.583
2011-06-17,6.208,6.875,0.667,5.917,12.417
2011-06-18,10.667,11.958,1.292,6.75,12.208
2011-06-19,13.042,15.417,2.375,10.625,22.083
2011-06-20,16.75,18.208,1.458,10.708,23.333
2011-06-21,17.875,20.417,2.542,12.609,24.217
2011-06-22,17.042,18.667,1.625,9.167,33.542
2011-06-23,8.958,10.0,1.042,5.083,29.667
2011-06-24,6.417,9.083,2.667,3.75,8.0
2011-06-25,4.75,6.917,2.167,5.042,5.75
2011-06-26,6.708,8.708,2.0,6.25,8.292
2011-06-27,14.375,18.75,4.375,8.167,13.417
2011-06-28,12.391,14.13,1.739,5.792,13.5
2011-06-29,13.417,15.042,1.625,8.583,32.292
2011-06-30,19.333,22.708,3.375,11.542,38.542
2011-07-01,10.667,13.125,2.458,8.667,32.458
2011-07-02,6.542,8.167,1.625,5.25,18.625
2011-07-03,6.667,7.5,0.833,3.875,14.292
2011-07-04,7.667,9.25,1.583,3.875,13.167
2011-07-05,9.292,10.792,1.5,6.174,12.87
2011-07-06,11.571,13.619,2.048,8.542,19.042
2011-07-07,7.875,8.792,0.917,7.583,20.542
2011-07-08,11.958,16.583,4.625,7.25,14.542
2011-07-09,12.333,15.625,3.292,8.708,22.667
2011-07-10,7.458,9.833,2.375,6.083,19.333
2011-07-11,8.583,9.917,1.333,6.125,11.625
2011-07-12,11.348,13.826,2.478,8.958,17.375
2011-07-13,12.625,16.25,3.625,9.5,32.167
2011-07-14,16.208,22.0,5.792,9.333,22.875
2011-07-15,9.25,11.375,2.125,4.792,13.167
2011-07-16,8.25,10.375,2.125,3.167,7.583
2011-07-17,11.792,16.708,4.917,6.917,17.333
2011-07-18,11.667,16.833,5.167,7.375,21.458
2011-07-19,7.083,10.125,3.042,8.417,14.292
2011-07-20,6.292,8.375,2.083,5.565,15.174
2011-07-21,5.375,8.083,2.708,5.958,20.333
2011-07-22,4.292,5.625,1.333,4.875,15.125
2011-07-23,3.792,4.625,0.833,4.583,11.792
2011-07-24,6.167,8.333,2.167,6.375,13.75
2011-07-25,11.125,14.125,3.0,8.0,19.417
2011-07-26,10.348,14.217,3.87,6.792,22.125
2011-07-27,11.792,14.667,2.875,9.292,32.333
2011-07-28,7.875,8.875,1.0,8.417,31.875
2011-07-29,15.708,20.542,4.833,9.708,33.667
2011-07-30,7.833,10.625,2.792,5.833,32.842
2011-07-31,4.333,5.458,1.125,4.0,12.875
2011-08-01,3.375,4.333,0.958,3.625,15.667
2011-08-02,3.458,4.167,0.708,3.75,12.333
2011-08-03,5.917,8.125,2.208,4.857,16.762
2011-08-04,5.292,6.333,1.042,3.708,15.625
2011-08-05,7.333,9.333,2.0,5.591,12.652
2011-08-06,10.333,14.167,3.833,9.667,24.833
2011-08-07,8.875,11.917,3.042,12.833,28.375
2011-08-08,8.0,8.625,0.625,8.875,28.708
2011-08-09,8.174,8.87,0.696,8.0,35.5
2011-08-10,10.208,12.625,2.417,7.875,28.0
2011-08-11,8.714,10.619,1.905,10.083,28.167
2011-08-12,6.739,8.609,1.87,10.875,19.333
2011-08-13,6.167,8.708,2.542,9.375,14.583
2011-08-14,7.417,8.792,1.375,6.667,38.542
2011-08-15,6.5,8.042,1.542,6.174,28.13
2011-08-16,6.083,8.417,2.333,4.875,9.75
2011-08-17,8.75,10.5,1.75,7.208,10.292
2011-08-18,8.125,10.167,2.042,5.25,10.542
2011-08-19,5.625,7.125,1.5,5.875,14.417
2011-08-20,7.417,8.458,1.042,6.0,13.208
2011-08-21,4.042,5.042,1.0,5.792,14.0
2011-08-22,5.167,6.375,1.208,5.5,11.0
2011-08-23,15.708,18.5,2.792,6.458,11.375
2011-08-24,8.292,10.167,1.875,5.333,11.125
2011-08-25,10.083,13.0,2.917,5.667,12.458
2011-08-26,13.087,19.565,6.478,6.958,16.75
2011-08-27,9.833,14.458,4.625,6.208,14.5
2011-08-28,9.583,12.333,2.75,7.75,20.667
2011-08-29,6.958,9.0,2.042,6.583,18.917
2011-08-30,6.917,7.958,1.042,5.0,15.304
2011-08-31,7.208,8.667,1.458,5.167,14.292
2011-09-01,8.375,11.458,3.083,7.958,18.625
2011-09-02,9.125,16.917,7.792,6.083,19.167
2011-09-03,10.083,13.125,3.042,4.667,40.458
2011-09-04,7.667,9.542,1.875,6.167,30.875
2011-09-05,5.917,7.458,1.542,5.333,31.083
2011-09-06,11.667,12.667,1.0,4.958,15.083
2011-09-07,5.375,5.792,0.417,3.792,17.042
2011-09-08,8.875,9.708,0.833,6.292,16.417
2011-09-09,13.913,14.652,0.739,6.375,25.292
2011-09-10,11.125,13.833,2.708,5.708,15.792
2011-09-11,5.292,6.542,1.25,5.5,11.25
2011-09-12,13.5,15.083,1.583,4.75,21.625
