date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,THC_mean
2011-01-01,190.083,,11.0,11.083,14.0,2.917,,4.542,201.083
2011-01-02,187.625,,11.0,4.917,6.167,1.25,,1.75,198.625
2011-01-03,187.208,,9.833,6.375,8.208,1.833,,1.542,197.042
2011-01-04,186.083,,13.25,9.042,11.25,2.208,,1.917,199.333
2011-01-05,187.458,,14.667,10.292,14.25,3.958,,3.042,202.125
2011-01-06,192.083,,17.708,17.125,33.75,16.625,,4.25,209.792
2011-01-07,191.292,,10.083,11.833,15.208,3.375,,5.375,201.375
2011-01-08,194.917,,15.458,18.042,28.583,10.542,,8.292,210.375
2011-01-09,192.542,,11.792,13.375,20.125,6.75,,9.333,204.333
2011-01-10,192.25,,10.958,11.696,15.652,3.957,,7.5,203.208
2011-01-11,190.125,,7.333,3.5,3.542,0.042,,2.875,197.458
2011-01-12,190.667,,9.042,9.042,11.458,2.417,,2.625,199.708
2011-01-13,191.875,,13.167,11.5,18.0,6.5,,10.167,205.042
2011-01-14,189.792,,10.875,9.458,11.583,2.125,,3.333,200.667
2011-01-15,188.917,,9.333,7.417,9.0,1.583,,3.083,198.25
2011-01-16,194.25,,14.792,12.75,23.0,10.25,,7.0,209.042
2011-01-17,194.952,,19.524,18.292,27.667,9.375,,6.542,214.476
2011-01-18,194.292,,17.292,14.5,21.458,6.958,,2.958,211.583
2011-01-19,191.917,,14.875,11.773,16.273,4.5,,5.833,206.792
2011-01-20,192.083,,10.667,6.292,8.25,1.958,,2.875,202.75
2011-01-21,191.958,,13.542,11.917,16.125,4.208,,5.667,205.5
2011-01-22,188.083,,10.542,3.5,4.5,1.0,,3.083,198.625
2011-01-23,188.208,,14.833,6.043,7.478,1.435,,6.0,203.042
2011-01-24,189.0,,14.542,6.708,8.708,2.0,,6.083,203.542
2011-01-25,190.375,,15.917,9.542,14.5,4.958,,5.625,206.292
2011-01-26,192.875,,17.5,10.208,20.875,10.667,,8.917,210.375
2011-01-27,192.625,,15.167,11.292,17.375,6.083,,5.083,207.792
2011-01-28,192.833,,14.0,10.792,15.625,4.833,,5.375,206.833
2011-01-29,193.0,,15.417,10.208,13.083,2.875,,6.25,208.417
2011-01-30,188.304,,12.826,7.792,10.167,2.375,,3.4,201.13
2011-01-31,190.833,,15.5,11.75,15.792,4.042,,3.867,206.333
2011-02-01,190.042,,13.708,10.125,14.792,4.667,,3.0,203.75
2011-02-02,188.25,,10.708,6.125,8.125,2.0,,3.875,198.958
2011-02-03,190.292,,12.958,7.917,10.25,2.333,,5.333,203.25
2011-02-04,190.333,,15.333,12.208,19.542,7.333,,7.875,205.667
2011-02-05,193.042,,15.25,8.292,11.083,2.792,,5.292,208.292
2011-02-06,194.875,,20.75,15.304,22.826,7.522,,11.917,215.625
2011-02-07,187.875,,22.5,15.0,21.917,6.917,,16.792,210.375
2011-02-08,186.208,,12.792,2.875,3.875,1.0,,8.458,199.0
2011-02-09,188.792,,11.125,6.125,7.792,1.667,,5.375,199.917
2011-02-10,189.875,,12.667,5.917,8.125,2.208,,5.875,202.542
2011-02-11,190.292,,11.792,5.583,7.417,1.833,,6.042,202.083
2011-02-12,189.792,,10.708,4.458,5.667,1.208,,1.958,200.5
2011-02-13,190.708,,12.667,9.792,12.333,2.542,,4.739,203.375
2011-02-14,182.238,,14.762,15.333,22.458,7.125,,25.542,197.0
2011-02-15,188.667,,6.875,4.042,5.375,1.333,,15.417,195.542
2011-02-16,189.167,,8.125,6.125,7.917,1.792,,6.375,197.292
2011-02-17,189.917,,11.292,11.292,14.958,3.667,,6.542,201.208
2011-02-18,188.125,,6.667,5.875,7.917,2.042,,3.583,194.792
2011-02-19,190.917,,10.25,9.458,12.833,3.375,,1.875,201.167
2011-02-20,190.958,,9.208,9.696,13.217,3.522,,9.25,200.167
2011-02-21,190.417,,7.875,3.625,4.708,1.083,,10.167,198.292
2011-02-22,192.417,,11.125,10.458,12.833,2.375,,7.083,203.542
2011-02-23,190.917,,12.292,12.917,15.958,3.042,,17.792,203.208
2011-02-24,189.125,,7.083,4.917,5.958,1.042,,4.458,196.208
2011-02-25,191.208,,9.292,9.542,11.375,1.833,,6.458,200.5
2011-02-26,189.583,,9.167,9.333,12.042,2.708,,4.875,198.75
2011-02-27,192.125,,12.792,13.375,22.542,9.167,,5.25,204.917
2011-02-28,193.042,,14.958,15.667,21.5,5.833,,5.542,208.0
2011-03-01,192.125,,15.958,16.292,23.542,7.25,,14.292,208.083
2011-03-02,193.75,,11.583,9.917,13.958,4.042,,16.792,205.333
2011-03-03,192.167,,6.667,4.75,5.833,1.083,,9.167,198.833
2011-03-04,193.042,,8.792,8.333,10.083,1.75,,9.667,201.833
