date,PM25_mean
2016-01-01,5.125
2016-01-02,7.208
2016-01-03,14.708
2016-01-04,8.208
2016-01-05,2.125
2016-01-06,3.0
2016-01-07,3.667
2016-01-08,7.75
2016-01-09,0.958
2016-01-10,5.458
2016-01-11,1.333
2016-01-12,2.25
2016-01-13,3.25
2016-01-14,1.958
2016-01-15,1.75
2016-01-16,1.458
2016-01-17,1.458
2016-01-18,1.625
2016-01-19,7.435
2016-01-20,10.125
2016-01-21,4.0
2016-01-22,3.833
2016-01-23,3.542
2016-01-24,1.708
2016-01-25,2.708
2016-01-26,3.833
2016-01-27,5.304
2016-01-28,4.542
2016-01-29,4.667
2016-01-30,4.381
2016-01-31,2.792
2016-02-01,3.417
2016-02-02,1.917
2016-02-03,4.833
2016-02-04,4.833
2016-02-05,5.333
2016-02-06,1.957
2016-02-07,1.583
2016-02-08,2.375
2016-02-09,4.25
2016-02-10,2.75
2016-02-11,2.0
2016-02-12,1.417
2016-02-13,3.667
2016-02-14,2.0
2016-02-15,4.833
2016-02-16,15.542
2016-02-17,8.5
2016-02-18,4.792
2016-02-19,6.583
2016-02-20,5.333
2016-02-21,3.043
2016-02-22,5.583
2016-02-23,6.333
2016-02-24,5.667
2016-02-25,4.667
2016-02-26,5.875
2016-02-27,5.217
2016-02-28,5.333
2016-03-01,9.5
2016-03-02,12.792
2016-03-03,7.333
2016-03-04,10.583
2016-03-05,14.333
2016-03-06,12.261
2016-03-07,7.458
2016-03-08,4.958
2016-03-09,4.708
2016-03-10,6.542
2016-03-11,3.625
2016-03-12,6.583
2016-03-13,8.0
2016-03-14,2.583
2016-03-15,3.208
2016-03-16,4.542
2016-03-17,9.292
2016-03-18,12.143
2016-03-19,7.583
2016-03-20,18.5
2016-03-21,16.696
2016-03-22,8.042
2016-03-23,11.833
2016-03-24,7.0
2016-03-25,4.833
2016-03-26,4.75
2016-03-27,3.208
2016-03-28,12.652
2016-03-29,13.375
2016-03-30,15.167
2016-03-31,8.667
2016-11-01,3.792
2016-11-02,6.958
2016-11-03,2.917
2016-11-04,5.417
2016-11-05,11.917
2016-11-06,10.0
