date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,10.792,13.25,2.458,,0.333,4.583
2011-01-02,4.364,5.364,1.0,,0.273,1.875
2011-01-03,4.292,5.042,0.75,,0.0,0.083
2011-01-04,6.25,7.375,1.125,,0.333,1.917
2011-01-05,2.042,2.667,0.625,,0.0,0.583
2011-01-06,11.565,13.957,2.391,,0.217,1.478
2011-01-07,3.625,4.417,0.792,,0.0,0.542
2011-01-08,7.417,8.75,1.333,,0.0,0.167
2011-01-09,12.682,15.227,2.545,,0.045,0.875
2011-01-10,8.0,8.875,0.875,,0.458,2.042
2011-01-11,7.792,9.042,1.25,,0.25,2.875
2011-01-12,11.458,13.875,2.417,,0.125,0.75
2011-01-13,12.696,17.913,5.217,,0.348,2.87
2011-01-14,5.0,6.542,1.542,,0.833,2.042
2011-01-15,2.833,3.25,0.417,,1.083,2.292
2011-01-16,8.909,10.591,1.682,,0.091,2.375
2011-01-17,13.958,16.542,2.583,,0.083,3.083
2011-01-18,15.958,19.792,3.833,,0.875,3.292
2011-01-19,10.913,12.652,1.739,,1.13,8.25
2011-01-20,6.375,7.083,0.708,,0.375,3.25
2011-01-21,8.75,9.75,1.0,,0.083,3.208
2011-01-22,7.042,8.625,1.583,,0.0,0.333
2011-01-23,6.409,7.455,1.045,,0.045,1.542
2011-01-24,10.417,13.125,2.708,,0.0,1.333
2011-01-25,12.125,13.875,1.75,,0.583,3.5
2011-01-26,7.875,9.25,1.375,,1.0,1.625
2011-01-27,10.174,11.522,1.348,,1.0,3.522
2011-01-28,4.417,4.875,0.458,,0.5,1.833
2011-01-29,7.875,9.208,1.333,,0.0,0.667
2011-01-30,8.0,9.25,1.25,,0.545,1.208
2011-01-31,7.444,8.333,0.889,,0.583,2.333
2011-02-01,8.667,10.833,2.167,,1.0,3.375
2011-02-02,5.292,6.5,1.208,,0.875,0.5
2011-02-03,10.458,12.208,1.75,,0.875,0.958
2011-02-04,11.0,12.792,1.792,,0.625,2.208
2011-02-05,9.958,13.083,3.125,,1.458,4.583
2011-02-06,21.238,28.857,7.619,,1.0,10.5
2011-02-07,18.208,31.333,13.125,,0.667,8.917
2011-02-08,4.208,4.75,0.542,,0.792,1.542
2011-02-09,8.412,9.059,0.647,,0.292,0.833
2011-02-10,11.083,12.333,1.25,,0.294,2.583
2011-02-11,9.833,11.292,1.458,,0.083,1.75
2011-02-12,3.208,3.458,0.25,,0.0,1.292
2011-02-13,12.818,15.591,2.773,,1.0,2.0
2011-02-14,19.625,23.792,4.167,,1.417,8.385
2011-02-15,10.292,12.458,2.167,,1.792,7.167
2011-02-16,5.75,6.25,0.5,,0.5,0.833
2011-02-17,9.5,10.667,1.167,,0.917,2.875
2011-02-18,6.083,6.75,0.667,,0.917,0.875
2011-02-19,9.5,10.667,1.167,,1.125,4.458
2011-02-20,11.318,13.136,1.818,,0.636,3.792
2011-02-21,8.292,9.375,1.083,,1.833,8.833
2011-02-22,11.75,14.167,2.417,,1.167,5.5
2011-02-23,13.087,14.87,1.783,,0.739,6.087
2011-02-24,5.409,6.045,0.636,,2.583,13.833
2011-02-25,8.292,9.125,0.833,,0.375,3.5
2011-02-26,6.792,8.417,1.625,,0.125,3.833
2011-02-27,4.826,5.522,0.696,,0.0,2.652
2011-02-28,16.542,19.375,2.833,,1.167,4.333
2011-03-01,24.5,37.333,12.833,,1.0,14.625
2011-03-02,20.792,27.583,6.792,,0.458,8.208
2011-03-03,6.458,7.5,1.042,,0.292,6.542
2011-03-04,6.708,7.75,1.042,,0.583,3.792
2011-03-05,8.917,10.25,1.333,,0.045,4.292
2011-03-06,13.083,15.75,2.667,,0.417,3.375
2011-03-07,5.818,6.318,0.5,,0.391,4.955
2011-03-08,11.25,12.0,0.75,,0.583,8.125
