date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,95.0,82.833,58.0,14.0,20.208,6.208,,17.5,6.3,-0.746,-4.2
2011-01-02,95.0,76.292,51.0,7.792,15.375,7.583,,14.125,7.9,0.642,-5.0
2011-01-03,75.0,56.75,42.0,3.333,3.458,0.125,,3.208,6.5,2.471,-1.3
2011-01-04,98.0,74.0,46.0,9.5,10.583,1.083,,8.875,5.4,0.254,-3.4
2011-01-05,99.0,69.875,53.0,1.292,1.333,0.042,,7.174,1.8,0.296,-1.3
2011-01-06,79.0,66.542,56.0,3.792,4.542,0.75,,7.0,3.9,1.717,-1.1
2011-01-07,91.0,67.5,48.0,2.25,2.583,0.333,,7.625,4.8,1.129,-1.0
2011-01-08,86.0,64.625,47.0,4.583,5.0,0.417,,7.042,4.2,0.638,-2.9
2011-01-09,89.0,69.5,41.0,16.208,21.75,5.542,,8.417,5.9,0.733,-4.3
2011-01-10,87.0,63.292,49.0,9.636,10.5,0.864,,10.958,5.0,2.242,-0.6
2011-01-11,95.0,76.167,53.0,6.875,7.625,0.75,,10.542,2.2,-0.842,-2.8
2011-01-12,79.0,60.333,47.0,8.167,9.333,1.167,,5.708,2.4,-1.521,-4.4
2011-01-13,87.0,76.917,60.0,13.167,16.542,3.375,,9.667,4.7,-0.121,-5.8
2011-01-14,88.0,68.875,51.0,4.208,4.5,0.292,,8.417,1.5,-0.483,-1.6
2011-01-15,84.0,62.083,48.0,2.125,2.25,0.125,,10.375,4.1,0.658,-3.0
2011-01-16,71.0,57.125,47.0,5.0,5.042,0.042,,10.125,3.1,1.0,-1.2
2011-01-17,74.0,59.042,44.0,10.375,15.125,4.75,,10.333,6.2,1.033,-2.4
2011-01-18,83.0,60.042,28.0,19.625,24.875,5.25,,12.708,9.2,1.862,-3.2
2011-01-19,87.0,70.458,49.0,15.913,24.609,8.696,,18.125,7.7,2.062,-3.0
2011-01-20,99.0,85.833,68.0,14.292,15.667,1.375,,13.208,2.1,1.054,0.0
2011-01-21,100.0,98.458,96.0,13.0,15.208,2.208,,10.333,2.0,0.292,-0.7
2011-01-22,100.0,99.167,94.0,22.083,33.833,11.75,,10.208,2.9,0.846,-0.4
2011-01-23,99.0,71.958,53.0,8.875,10.083,1.208,,8.417,4.3,1.192,-1.8
2011-01-24,77.0,55.708,41.0,5.333,5.708,0.375,,8.458,2.8,-0.421,-3.1
2011-01-25,86.0,71.958,57.0,11.708,13.333,1.625,,12.958,2.4,-1.617,-5.5
2011-01-26,81.0,68.667,46.0,9.0,9.833,0.833,,9.042,0.5,-2.562,-5.8
2011-01-27,94.0,86.125,66.0,16.875,21.042,4.167,,15.25,-1.0,-2.833,-4.2
2011-01-28,90.0,76.0,56.0,4.542,4.917,0.375,,10.042,-1.0,-2.646,-4.9
2011-01-29,88.0,72.292,50.0,2.208,2.458,0.25,,6.208,0.8,-2.346,-4.0
2011-01-30,91.0,68.75,41.0,9.375,11.167,1.792,,8.625,0.7,-2.475,-6.2
2011-01-31,91.0,80.5,55.0,16.458,20.375,3.917,,10.667,-0.4,-2.821,-6.2
2011-02-01,94.0,68.458,33.0,15.0,22.125,7.125,,13.375,4.0,-2.583,-9.3
2011-02-02,93.0,55.083,28.0,3.708,4.083,0.375,,7.286,1.5,-1.242,-4.8
2011-02-03,91.0,75.625,49.0,15.333,18.458,3.125,,9.875,0.5,-2.55,-5.4
2011-02-04,94.0,79.583,60.0,14.083,16.542,2.458,,8.208,4.5,-0.371,-5.6
2011-02-05,90.0,66.958,49.0,6.875,7.167,0.292,,7.458,4.2,0.683,-2.9
2011-02-06,97.0,82.583,55.0,19.292,27.75,8.458,,12.375,6.1,0.567,-6.0
2011-02-07,100.0,88.708,66.0,22.167,42.292,20.125,,10.875,7.2,4.042,2.0
2011-02-08,71.0,60.417,51.0,2.455,2.636,0.182,,10.696,3.2,-0.225,-2.2
2011-02-09,90.0,73.25,57.0,5.125,5.625,0.5,,6.208,0.4,-1.846,-3.4
2011-02-10,95.0,78.958,57.0,13.542,16.0,2.458,,6.667,1.4,-1.783,-5.8
2011-02-11,88.0,65.167,42.0,5.792,6.042,0.25,,7.0,2.7,-1.908,-6.0
2011-02-12,95.0,70.167,52.0,4.583,4.917,0.333,,7.0,0.9,-1.279,-3.9
2011-02-13,71.0,56.083,38.0,12.042,17.0,4.958,,9.542,5.4,1.233,-4.3
2011-02-14,90.0,72.083,54.0,20.083,25.375,5.292,,11.042,7.2,2.554,-0.7
2011-02-15,96.0,65.042,43.0,10.958,23.667,12.708,,14.708,6.1,1.075,-2.5
2011-02-16,76.0,53.458,29.0,5.5,5.917,0.417,,7.167,4.0,-0.108,-3.2
2011-02-17,93.0,64.917,39.0,8.167,8.625,0.458,,7.542,3.3,-1.417,-4.3
2011-02-18,75.0,59.167,37.0,5.875,6.167,0.292,,5.208,0.9,-2.188,-5.2
2011-02-19,86.0,71.292,53.0,9.583,10.333,0.75,,7.708,2.7,-2.179,-6.5
2011-02-20,87.0,69.792,42.0,18.435,22.087,3.652,,10.125,6.7,-0.021,-5.2
2011-02-21,90.0,64.708,35.0,13.667,21.458,7.792,,17.375,8.5,1.446,-4.2
2011-02-22,73.0,53.292,23.0,9.292,10.375,1.083,,14.542,10.0,2.462,-2.2
2011-02-23,100.0,84.458,53.0,22.208,31.583,9.375,,10.667,10.8,3.196,0.0
2011-02-24,76.0,57.917,44.0,5.458,5.667,0.208,,21.333,8.0,4.688,0.6
2011-02-25,100.0,91.042,70.0,9.125,10.292,1.167,,8.917,1.4,0.554,-0.7
2011-02-26,98.0,75.958,54.0,7.0,8.667,1.667,,5.958,2.7,-0.625,-5.1
2011-02-27,77.0,64.167,51.0,3.167,3.667,0.5,,5.375,1.3,-1.296,-3.8
2011-02-28,88.0,69.833,45.0,14.917,16.542,1.625,,6.5,4.4,-1.233,-5.7
2011-03-01,100.0,92.583,68.0,29.864,50.182,20.318,,18.13,8.0,1.671,-1.3
2011-03-02,100.0,97.042,75.0,30.208,48.333,18.125,,11.542,2.9,-0.238,-1.9
2011-03-03,100.0,76.583,49.0,6.833,7.458,0.625,,9.208,5.9,1.508,-1.6
2011-03-04,83.0,61.042,33.0,4.958,5.125,0.167,,10.417,7.7,1.312,-4.2
2011-03-05,100.0,97.792,84.0,24.5,42.292,17.792,,8.292,1.6,0.412,-1.1
2011-03-06,100.0,93.25,66.0,36.375,73.375,37.0,,9.667,13.5,4.717,0.9
2011-03-07,96.0,62.625,40.0,9.667,10.375,0.708,,10.833,10.4,6.604,2.4
2011-03-08,87.0,72.792,51.0,13.542,16.5,2.958,,8.042,9.8,4.625,0.9
2011-03-09,99.0,85.833,64.0,12.958,14.708,1.75,,9.0,7.4,3.629,0.4
2011-03-10,100.0,98.542,91.0,15.0,16.708,1.708,,5.667,2.9,1.158,0.0
