date,HUM_max,HUM_mean,HUM_min,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2012-02-01,100.0,79.167,47.0,,10.8,2.112,-5.4
2012-02-02,97.0,68.75,47.0,,17.6,10.271,5.1
2012-02-03,72.0,48.292,34.0,,6.6,2.954,-2.1
2012-02-04,100.0,85.833,57.0,,7.1,3.008,0.4
2012-02-05,57.0,42.0,27.0,,6.9,3.808,-0.1
2012-02-06,100.0,93.333,65.0,,0.7,0.112,-1.0
2012-02-07,100.0,77.417,42.0,,9.1,4.225,0.3
2012-02-08,68.0,48.125,32.0,,3.5,1.05,-1.3
2012-02-09,73.0,51.125,31.0,,5.2,-0.204,-5.9
2012-02-10,77.0,57.375,32.0,,8.4,1.7,-4.9
2012-02-11,86.0,54.125,35.0,,3.6,0.375,-4.7
2012-02-12,100.0,61.917,30.0,,4.2,-0.804,-8.2
2012-02-13,100.0,72.792,39.0,,7.8,3.192,-1.5
2012-02-14,89.0,72.0,39.0,,8.6,2.05,-3.7
2012-02-15,100.0,87.292,62.0,,6.1,1.271,-1.9
2012-02-16,94.0,53.125,29.0,,1.8,-0.5,-3.0
2012-02-17,70.0,48.583,27.0,,4.2,-0.071,-3.0
2012-02-18,77.0,65.25,51.0,,8.0,3.233,-2.8
2012-02-19,67.0,50.042,39.0,,5.0,1.788,-2.4
2012-02-20,71.0,47.0,34.0,,5.7,0.233,-3.0
2012-02-21,68.0,53.083,36.0,,2.0,-1.312,-4.9
2012-02-22,75.0,55.708,37.0,,4.7,0.012,-6.6
2012-02-23,84.0,58.042,33.0,,4.5,0.438,-5.4
2012-02-24,81.0,61.208,46.0,,0.9,-1.829,-5.9
2012-02-25,70.0,51.417,35.0,,3.6,-1.412,-5.7
2012-02-26,83.0,54.5,27.0,,6.2,-0.85,-8.6
2012-02-27,91.0,73.708,54.0,,6.8,1.083,-4.3
2012-02-28,100.0,65.261,20.0,,12.0,3.344,-3.6
2012-03-01,87.0,69.375,31.0,,16.4,7.092,-0.4
2012-03-02,56.0,40.75,29.0,,8.7,4.992,1.7
2012-03-03,71.0,49.5,38.0,,5.6,2.608,-1.6
2012-03-04,80.0,61.542,38.0,,6.7,1.875,-4.1
2012-03-05,89.0,59.833,33.0,,10.2,3.062,-4.4
2012-03-06,77.0,48.0,19.0,,15.2,7.462,-0.8
2012-03-07,85.0,62.583,36.0,,17.1,8.654,-2.5
2012-03-08,69.0,48.083,32.0,,18.8,13.7,8.2
2012-03-09,87.0,55.458,27.0,,15.8,8.925,2.0
2012-03-10,89.0,49.208,22.0,,19.9,7.725,1.4
2012-03-11,51.0,38.625,28.0,,6.9,2.05,-1.0
2012-03-12,83.0,62.458,45.0,,15.0,4.812,-5.2
2012-03-13,81.0,54.0,26.0,,22.8,11.8,0.2
2012-03-14,69.0,40.875,22.0,,8.0,4.238,-2.4
2012-03-15,80.0,57.5,40.0,,12.0,3.538,-6.1
2012-03-16,85.0,46.208,11.0,,17.9,8.792,-1.5
2012-03-17,75.0,48.292,18.0,,13.0,8.062,-1.5
2012-03-18,83.0,63.417,39.0,,20.7,15.704,9.9
2012-03-19,100.0,57.833,32.0,,20.1,15.338,9.2
2012-03-20,86.0,71.458,53.0,,14.0,10.112,6.7
2012-03-21,66.0,41.292,22.0,,11.7,4.938,-1.0
2012-03-22,83.0,71.708,57.0,,10.1,5.146,-2.2
2012-03-23,68.0,44.417,26.0,,11.7,8.15,3.0
2012-03-24,80.0,68.875,60.0,,5.1,3.925,1.8
2012-03-25,92.0,77.125,62.0,,7.7,5.396,3.6
2012-03-26,70.0,47.0,26.0,,10.2,4.579,-0.7
2012-03-27,100.0,78.042,57.0,,8.1,4.658,-1.8
