date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,196.5,3.583,11.25,6.958,7.708,0.75,19.0,1.667,15.708,207.75
2011-01-02,193.208,2.917,9.083,4.542,5.542,1.0,10.167,1.083,8.625,202.292
2011-01-03,192.136,2.696,9.045,5.292,5.792,0.5,6.25,1.042,3.333,201.182
2011-01-04,191.0,3.375,9.5,5.708,7.542,1.833,9.0,1.913,5.583,200.5
2011-01-05,189.792,1.917,6.875,3.435,3.913,0.478,5.208,1.0,2.5,196.667
2011-01-06,194.667,3.708,18.083,15.0,22.583,7.583,14.125,2.0,11.417,212.75
2011-01-07,193.5,2.625,9.917,6.792,8.75,1.958,6.792,1.375,5.167,203.417
2011-01-08,196.375,3.208,14.042,8.625,11.083,2.458,13.375,1.875,8.792,210.417
2011-01-09,194.0,2.833,12.583,9.0,11.167,2.167,16.583,2.333,13.667,206.583
2011-01-10,194.727,4.348,16.818,14.75,22.25,7.5,20.292,2.125,16.042,211.545
2011-01-11,193.083,3.458,13.75,10.25,17.208,6.958,13.708,1.957,10.042,206.833
2011-01-12,194.0,3.261,12.95,12.65,17.7,5.05,11.542,1.524,8.87,206.95
2011-01-13,198.542,3.708,19.542,16.333,32.292,15.958,16.208,1.739,12.0,218.083
2011-01-14,198.833,3.125,12.958,8.958,12.0,3.042,9.833,1.25,6.833,211.792
2011-01-15,199.542,4.042,14.208,9.522,11.565,2.043,20.875,1.913,14.583,213.75
2011-01-16,200.917,4.625,18.958,15.958,24.25,8.292,25.542,1.75,20.458,219.875
2011-01-17,194.364,3.304,16.091,15.087,21.696,6.609,17.5,1.87,12.5,210.455
2011-01-18,196.333,4.0,20.667,17.708,26.167,8.458,24.375,1.958,19.708,217.0
2011-01-19,193.583,3.167,16.667,11.522,16.217,4.696,20.875,2.13,16.458,210.25
2011-01-20,189.792,2.708,10.667,5.75,6.542,0.792,11.333,1.042,9.167,200.458
2011-01-21,190.292,2.542,9.792,5.478,6.087,0.609,6.083,1.0,4.458,200.083
2011-01-22,190.25,2.583,10.125,4.75,5.708,0.958,3.917,1.0,2.708,200.375
2011-01-23,196.667,4.708,20.125,11.0,27.043,16.043,12.13,1.304,10.542,216.792
2011-01-24,194.318,3.826,13.909,14.083,18.25,4.167,13.375,1.333,11.25,208.227
2011-01-25,195.792,4.542,14.0,13.043,24.391,11.348,15.042,2.0,10.708,209.792
2011-01-26,194.958,3.5,9.458,9.375,11.458,2.083,10.125,1.75,6.583,204.417
2011-01-27,200.375,4.333,16.083,15.542,28.958,13.417,15.917,1.947,11.167,216.458
2011-01-28,197.292,4.75,11.625,10.375,13.583,3.208,16.333,1.792,12.958,208.917
2011-01-29,194.958,2.708,7.333,5.826,7.261,1.435,8.917,1.391,6.708,202.292
2011-01-30,196.208,3.042,8.875,11.125,15.792,4.667,10.75,1.458,7.083,205.083
2011-01-31,194.5,3.696,13.045,14.833,22.542,7.708,14.417,1.917,9.458,207.545
2011-02-01,192.833,3.208,13.542,11.792,18.125,6.333,11.208,1.9,7.5,206.375
2011-02-02,189.5,2.458,7.792,5.375,7.417,2.042,8.333,1.0,4.0,197.292
2011-02-03,196.812,4.409,17.375,18.5,26.375,7.875,14.913,1.905,9.478,214.188
2011-02-04,195.182,3.833,14.273,,,,17.0,2.091,13.292,209.455
2011-02-05,194.917,3.417,10.167,,,,20.542,2.125,14.958,205.083
2011-02-06,196.375,4.833,17.583,,,,40.25,1.708,36.917,213.958
2011-02-07,195.708,5.696,20.458,,,,22.5,1.0,24.458,216.167
2011-02-08,190.417,3.583,10.375,,,,8.625,1.083,6.333,200.792
2011-02-09,189.292,2.125,6.833,,,,6.333,1.261,2.958,196.125
2011-02-10,192.333,3.333,13.542,,,,14.0,1.917,8.75,205.875
2011-02-11,195.923,2.867,9.846,,,,15.75,1.688,10.5,205.769
2011-02-12,196.125,3.292,7.958,,,,12.0,1.833,8.375,204.083
2011-02-13,197.167,4.0,11.875,,,,19.083,2.292,14.167,209.042
2011-02-14,197.042,4.739,14.958,,,,31.417,1.75,30.083,212.0
2011-02-15,200.0,6.208,20.542,,,,38.167,1.833,38.833,220.542
2011-02-16,196.625,3.375,12.375,,,,21.75,1.261,18.0,209.0
2011-02-17,193.0,4.75,11.35,7.667,8.833,1.167,21.435,1.417,18.167,204.35
2011-02-18,192.273,2.875,9.409,6.217,7.261,1.043,8.75,1.208,6.792,201.682
2011-02-19,196.292,3.5,13.583,9.167,10.833,1.667,16.125,1.737,11.625,209.875
2011-02-20,196.833,3.375,15.5,14.417,18.417,4.0,16.833,2.25,11.208,212.333
2011-02-21,195.458,4.174,16.208,15.708,25.042,9.333,20.5,2.25,16.583,211.667
2011-02-22,194.417,3.625,12.833,10.042,11.792,1.75,25.0,3.0,22.958,207.25
2011-02-23,191.75,4.579,14.458,15.136,18.227,3.091,20.958,1.045,24.5,206.208
2011-02-24,192.125,4.0,12.458,10.375,11.5,1.125,22.208,2.292,21.083,204.583
2011-02-25,190.682,3.292,10.727,8.435,9.174,0.739,13.083,0.958,11.458,201.409
2011-02-26,192.083,3.375,10.542,7.292,8.708,1.417,11.792,1.0,9.25,202.625
2011-02-27,191.667,2.417,7.542,7.083,8.5,1.417,9.0,0.958,6.958,199.208
2011-02-28,194.5,3.625,11.875,12.208,16.667,4.458,13.542,1.0,11.167,206.375
2011-03-01,194.458,4.292,14.833,19.583,29.042,9.458,11.292,1.0,12.417,209.292
2011-03-02,193.167,3.043,15.833,14.833,21.875,7.042,14.375,1.0,13.458,209.0
2011-03-03,192.545,3.125,10.727,7.13,7.87,0.739,14.167,1.125,10.375,203.273
2011-03-04,193.083,3.042,9.625,4.833,5.208,0.375,17.083,1.042,14.333,202.708
2011-03-05,193.042,3.667,16.25,13.333,16.083,2.75,8.167,1.0,10.125,209.292
2011-03-06,192.15,3.609,16.85,15.381,18.381,3.0,12.042,1.0,18.609,209.0
2011-03-07,193.682,3.917,13.136,10.75,12.583,1.833,16.208,1.167,18.042,206.818
2011-03-08,196.5,4.208,13.25,12.0,13.5,1.5,20.208,1.6,17.208,209.75
2011-03-09,199.125,3.087,13.917,8.917,9.917,1.0,10.583,0.579,11.333,213.042
2011-03-10,194.708,3.0,9.208,4.826,5.217,0.391,2.958,1.0,2.292,203.917
2011-03-11,197.125,3.348,10.25,5.667,6.167,0.5,7.75,1.0,7.0,207.375
2011-03-12,192.958,2.833,8.125,5.833,6.583,0.75,5.0,1.125,4.542,201.083
2011-03-13,193.375,3.0,7.917,5.583,6.208,0.625,4.333,1.125,3.125,201.292
2011-03-14,192.682,3.042,10.318,10.167,11.792,1.625,9.875,1.792,8.333,203.0
2011-03-15,193.458,3.0,10.958,11.708,16.792,5.083,15.292,1.333,10.667,204.417
2011-03-16,193.542,3.542,11.417,13.625,16.375,2.75,19.792,1.333,15.708,204.958
2011-03-17,197.167,4.5,16.792,18.957,22.739,3.783,26.083,1.0,26.792,213.958
2011-03-18,195.667,4.833,14.708,11.708,16.5,4.792,16.875,0.625,22.667,210.375
2011-03-19,188.875,2.958,8.125,5.417,6.208,0.792,8.905,0.958,9.875,197.0
2011-03-20,190.5,2.435,8.5,6.333,7.0,0.667,12.875,1.083,11.583,199.0
2011-03-21,190.091,2.333,6.455,4.833,5.333,0.5,8.667,1.083,6.042,196.545
2011-03-22,196.042,4.375,18.083,20.375,26.458,6.083,28.083,2.083,23.042,214.125
2011-03-23,196.292,4.625,20.708,18.833,24.917,6.083,33.25,1.75,36.167,217.0
2011-03-24,188.708,3.458,8.833,7.087,8.174,1.087,4.875,1.042,5.5,197.542
2011-03-25,191.875,2.208,8.958,6.042,6.625,0.583,7.417,1.958,5.625,200.833
2011-03-26,194.292,2.5,9.5,9.5,11.583,2.083,11.458,1.875,9.833,203.792
2011-03-27,195.0,3.261,11.167,14.167,15.708,1.542,15.167,1.739,12.75,206.167
2011-03-28,193.545,3.75,12.955,10.708,13.792,3.083,20.25,1.875,18.583,206.5
2011-03-29,195.125,3.833,13.667,14.792,16.917,2.125,19.0,2.083,16.25,208.792
2011-03-30,194.083,4.0,18.958,16.917,23.25,6.333,21.875,2.25,20.5,213.042
2011-03-31,185.792,2.417,9.333,4.609,4.957,0.348,10.0,1.0,18.167,195.125
2011-04-01,190.542,4.167,11.792,16.348,17.826,1.478,,1.542,18.583,202.333
2011-04-02,190.125,4.583,13.542,13.125,14.333,1.208,,1.696,25.625,203.667
2011-04-03,190.955,2.25,8.318,6.13,6.261,0.13,,1.167,14.042,199.273
