date,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,78.0,59.167,34.0,6.9,0.867,-4.1
2011-01-02,84.0,57.208,35.0,7.8,2.104,-2.9
2011-01-03,66.0,48.167,27.0,7.3,2.3,-1.0
2011-01-04,85.0,61.739,43.0,6.7,0.413,-5.6
2011-01-05,61.0,45.917,28.0,4.7,1.279,-1.4
2011-01-06,62.0,46.0,26.0,8.9,2.812,-2.4
2011-01-07,66.0,45.625,23.0,6.0,1.721,-1.3
2011-01-08,73.0,52.167,29.0,7.0,0.983,-2.6
2011-01-09,82.0,57.708,34.0,6.7,0.917,-4.5
2011-01-10,72.0,56.958,35.0,8.0,2.875,-1.4
2011-01-11,86.0,54.458,33.0,6.7,0.996,-2.9
2011-01-12,63.0,46.708,24.0,4.7,-0.783,-3.8
2011-01-13,75.0,48.625,25.0,10.3,2.1,-6.4
2011-01-14,66.0,45.292,27.0,5.9,1.525,-2.2
2011-01-15,71.0,53.208,39.0,5.9,1.754,-1.4
2011-01-16,67.0,53.792,41.0,4.0,1.108,-1.5
2011-01-17,67.0,50.083,30.0,6.3,1.621,-1.5
2011-01-18,76.0,56.125,30.0,6.4,0.283,-4.6
2011-01-19,98.0,61.292,37.0,8.0,3.025,-1.2
2011-01-20,100.0,100.0,100.0,0.3,-0.221,-0.7
2011-01-21,100.0,94.833,91.0,1.7,0.717,-0.4
2011-01-22,92.0,77.786,73.0,8.3,3.979,0.7
2011-01-23,82.0,63.0,48.0,7.7,4.025,0.4
2011-01-24,85.0,57.583,36.0,4.1,0.046,-3.1
2011-01-25,88.0,54.583,28.0,6.2,0.696,-4.6
2011-01-26,76.0,52.625,28.0,3.2,-0.921,-4.2
2011-01-27,82.0,62.667,44.0,3.6,-1.421,-7.6
2011-01-28,88.0,54.292,30.0,3.4,-1.004,-5.3
2011-01-29,62.0,47.208,26.0,2.6,-1.312,-4.0
2011-01-30,66.0,47.917,23.0,4.5,-1.158,-4.8
2011-01-31,70.0,49.5,23.0,6.3,-0.029,-4.4
2011-02-01,83.0,61.25,30.0,7.7,-0.917,-6.8
2011-02-02,70.0,43.042,23.0,0.9,-2.033,-5.3
2011-02-03,60.0,39.708,19.0,4.6,-1.071,-5.6
2011-02-04,61.0,45.542,25.0,7.9,1.267,-5.5
2011-02-05,70.0,53.292,30.0,7.9,2.013,-2.2
2011-02-06,100.0,80.0,52.0,5.1,1.242,-3.2
2011-02-07,100.0,80.688,70.0,10.3,5.617,2.1
2011-02-08,61.0,40.583,25.0,6.7,3.292,-1.3
2011-02-09,63.0,45.625,29.0,5.2,0.538,-3.2
2011-02-10,62.0,44.042,24.0,8.1,2.479,-2.4
2011-02-11,68.0,50.375,22.0,6.8,0.988,-2.3
2011-02-12,64.0,48.333,28.0,5.8,0.904,-2.3
2011-02-13,82.0,54.292,33.0,5.2,1.267,-2.3
2011-02-14,100.0,80.353,60.0,4.8,1.062,-2.2
2011-02-15,97.0,61.6,41.0,10.4,3.712,-0.3
2011-02-16,88.0,57.792,32.0,5.1,0.512,-2.7
2011-02-17,93.0,67.25,33.0,4.2,-0.283,-5.1
2011-02-18,92.0,49.333,25.0,1.5,-1.408,-3.9
2011-02-19,59.0,41.208,19.0,5.6,-0.283,-5.9
2011-02-20,63.0,42.708,22.0,8.3,1.562,-4.9
2011-02-21,64.0,50.045,31.0,11.4,4.275,-2.1
2011-02-22,72.0,58.125,40.0,9.2,4.992,0.9
2011-02-23,99.0,76.0,36.0,12.0,6.4,2.2
2011-02-24,72.0,46.083,33.0,11.2,7.708,4.9
2011-02-25,100.0,83.25,69.0,6.5,3.692,0.3
2011-02-26,76.0,54.042,36.0,6.6,2.146,-0.5
2011-02-27,60.0,39.333,23.0,4.5,0.333,-3.2
2011-02-28,61.0,48.167,30.0,5.3,0.05,-4.6
2011-03-01,98.0,73.0,51.0,11.5,5.425,0.1
2011-03-02,100.0,97.429,92.0,4.8,3.158,1.9
2011-03-03,100.0,62.095,41.0,9.4,4.912,1.4
2011-03-04,99.0,70.542,55.0,5.0,2.6,0.0
2011-03-05,100.0,97.688,93.0,6.1,2.554,-0.5
2011-03-06,99.0,82.625,64.0,17.5,9.958,3.8
2011-03-07,99.0,65.409,37.0,13.3,9.525,6.7
2011-03-08,87.0,73.0,64.0,9.2,7.517,5.7
2011-03-09,100.0,96.0,81.0,6.8,4.392,1.6
2011-03-10,100.0,91.909,86.0,4.7,3.3,1.7
2011-03-11,100.0,84.0,73.0,5.6,3.371,1.0
2011-03-12,71.0,54.208,34.0,7.0,2.308,-1.3
2011-03-13,74.0,51.083,30.0,6.3,1.996,-1.9
2011-03-14,79.0,54.333,30.0,9.3,3.008,-2.3
2011-03-15,89.0,52.333,23.0,9.1,2.95,-2.5
2011-03-16,67.0,48.792,28.0,9.2,3.621,-2.3
2011-03-17,100.0,75.095,67.0,10.2,5.238,1.2
2011-03-18,100.0,86.867,70.0,12.7,8.062,5.5
2011-03-19,84.0,43.208,18.0,8.9,4.821,-0.4
2011-03-20,66.0,44.667,21.0,10.9,4.15,-1.9
