date,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,6.4,-1.508,-5.5
2011-01-02,3.8,-0.971,-4.6
2011-01-03,2.3,0.062,-3.6
2011-01-04,2.2,-2.162,-6.9
2011-01-05,0.3,-1.767,-3.1
2011-01-06,5.1,-0.208,-7.1
2011-01-07,0.8,-1.192,-2.3
2011-01-08,0.5,-1.471,-4.7
2011-01-09,6.0,-1.825,-8.2
2011-01-10,5.5,0.375,-2.7
2011-01-11,2.5,-2.079,-4.6
2011-01-12,0.0,-3.088,-7.7
2011-01-13,5.5,-2.492,-10.2
2011-01-14,0.5,-2.267,-4.7
2011-01-15,4.0,-0.6,-4.3
2011-01-16,1.6,-0.208,-2.4
2011-01-17,2.1,-0.662,-4.1
2011-01-18,6.4,-2.292,-8.6
2011-01-19,7.6,0.204,-6.1
2011-01-20,0.6,-0.021,-0.5
2011-01-21,1.0,0.183,-0.5
2011-01-22,5.5,2.479,0.2
2011-01-23,4.0,1.575,-2.2
2011-01-24,0.5,-2.029,-3.8
2011-01-25,2.1,-2.704,-7.2
2011-01-26,-3.0,-5.092,-9.7
2011-01-27,-1.3,-4.85,-10.2
2011-01-28,-3.0,-4.4,-6.6
2011-01-29,-2.8,-3.988,-4.9
2011-01-30,-1.0,-4.033,-7.9
2011-01-31,2.3,-4.6,-9.2
2011-02-01,0.6,-5.108,-11.9
2011-02-02,-2.0,-4.029,-5.6
2011-02-03,0.4,-4.292,-9.6
2011-02-04,3.6,-3.467,-11.9
2011-02-05,5.7,0.333,-3.2
2011-02-06,3.9,-0.325,-5.1
2011-02-07,7.9,4.362,0.9
2011-02-08,2.4,-0.829,-4.8
2011-02-09,0.5,-2.725,-5.9
2011-02-10,3.3,-1.683,-7.2
2011-02-11,-0.2,-2.608,-6.4
2011-02-12,-1.6,-3.896,-8.3
2011-02-13,5.3,0.229,-5.1
2011-02-14,4.3,0.654,-3.5
2011-02-15,5.9,0.925,-2.0
2011-02-16,3.6,-0.779,-2.7
2011-02-17,1.6,-2.438,-6.2
2011-02-18,-2.9,-5.108,-10.1
2011-02-19,1.5,-4.567,-11.3
2011-02-20,5.8,-1.708,-9.5
2011-02-21,5.8,1.117,-6.5
2011-02-22,9.0,3.804,-2.3
2011-02-23,11.5,4.217,0.4
2011-02-24,6.4,3.638,0.4
2011-02-25,4.8,1.938,0.1
2011-02-26,1.1,-0.5,-2.2
2011-02-27,-0.7,-2.6,-4.0
2011-02-28,4.9,-0.8,-4.5
2011-03-01,10.4,2.921,-0.5
2011-03-02,3.3,1.25,-1.2
2011-03-03,5.0,2.888,-1.2
2011-03-04,7.0,1.6,-3.3
2011-03-05,2.3,1.062,0.0
2011-03-06,14.1,6.375,1.9
2011-03-07,8.8,5.862,2.5
2011-03-08,10.9,5.933,2.5
2011-03-09,5.5,2.971,0.1
2011-03-10,5.3,1.85,0.1
2011-03-11,6.1,1.929,-1.4
2011-03-12,1.7,-1.875,-5.4
2011-03-13,1.8,-1.371,-4.0
2011-03-14,6.7,0.096,-6.1
2011-03-15,2.5,0.117,-2.6
2011-03-16,9.7,2.088,-3.9
2011-03-17,5.2,2.638,0.4
2011-03-18,11.9,5.696,1.6
2011-03-19,5.0,0.621,-1.1
2011-03-20,7.3,2.267,-2.6
2011-03-21,4.0,0.571,-2.9
2011-03-22,13.0,4.725,-4.8
2011-03-23,8.7,5.117,2.7
2011-03-24,9.3,4.946,0.0
2011-03-25,6.9,1.458,-2.6
2011-03-26,3.2,-0.317,-4.1
2011-03-27,11.0,4.204,-1.3
2011-03-28,9.5,3.229,-2.3
2011-03-29,16.4,7.888,1.3
2011-03-30,19.9,9.846,2.1
2011-03-31,9.4,5.004,0.2
2011-04-01,15.1,5.062,-3.1
2011-04-02,11.0,4.938,-0.9
2011-04-03,5.9,2.629,0.2
2011-04-04,5.6,2.6,-1.4
2011-04-05,13.7,6.571,0.3
2011-04-06,18.4,7.917,-2.6
2011-04-07,18.2,8.491,1.6
2011-04-08,18.9,10.471,3.2
2011-04-09,11.8,8.875,6.5
2011-04-10,16.4,9.996,3.2
2011-04-11,17.4,7.008,1.0
2011-04-12,8.3,4.317,-1.3
2011-04-13,17.3,7.588,-3.3
2011-04-14,22.4,11.396,0.0
2011-04-15,23.8,13.825,3.7
2011-04-16,19.9,8.788,4.5
2011-04-17,17.8,10.004,3.8
2011-04-18,14.8,10.221,5.6
2011-04-19,8.5,5.817,2.4
2011-04-20,8.7,4.921,1.0
2011-04-21,16.7,9.383,2.6
2011-04-22,18.4,11.654,8.2
2011-04-23,15.3,11.212,7.1
2011-04-24,16.0,9.629,3.1
2011-04-25,11.9,6.238,1.6
2011-04-26,13.6,6.446,-0.2
2011-04-27,25.2,15.192,4.5
2011-04-28,17.7,11.2,6.0
2011-04-29,14.0,9.104,2.9
2011-04-30,16.0,9.733,2.9
2011-05-01,19.4,13.567,9.6
2011-05-02,15.9,13.012,8.2
2011-05-03,17.3,10.712,3.8
2011-05-04,18.1,12.333,5.3
2011-05-05,17.9,11.812,5.3
2011-05-06,16.4,12.554,9.5
2011-05-07,17.3,13.329,10.0
2011-05-08,22.7,16.367,11.5
2011-05-09,24.4,16.838,7.5
2011-05-10,20.0,16.029,12.8
