date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,5.167,18.609,33.13,14.522,20.417
2011-01-02,3.25,12.167,14.875,2.708,14.583
2011-01-03,2.208,6.458,7.375,0.917,4.625
2011-01-04,3.333,13.625,18.458,4.833,8.833
2011-01-05,2.417,10.792,13.792,3.0,5.917
2011-01-06,5.333,33.0,82.708,49.708,15.958
2011-01-07,2.083,9.875,12.125,2.25,4.5
2011-01-08,2.5,8.87,9.565,0.696,5.375
2011-01-09,5.0,29.042,47.833,18.792,21.0
2011-01-10,5.708,41.042,98.125,57.083,20.957
2011-01-11,3.667,21.75,33.625,11.875,18.708
2011-01-12,5.292,17.708,45.042,27.333,8.958
2011-01-13,6.708,40.125,91.083,50.958,19.292
2011-01-14,4.042,19.25,32.5,13.25,10.625
2011-01-15,6.083,28.13,48.826,20.696,18.25
2011-01-16,4.292,31.583,56.667,25.083,23.833
2011-01-17,4.958,35.917,81.125,45.208,21.625
2011-01-18,7.583,44.25,107.792,63.542,32.792
2011-01-19,4.75,31.625,55.167,23.542,28.417
2011-01-20,2.625,17.542,20.083,2.542,15.667
2011-01-21,2.417,15.75,17.75,2.0,11.042
2011-01-22,3.958,15.391,30.739,15.348,8.042
2011-01-23,8.375,36.458,148.542,112.083,21.333
2011-01-24,4.958,28.917,81.208,52.292,12.167
2011-01-25,5.458,34.5,82.667,48.167,18.25
2011-01-26,4.583,26.042,58.875,32.833,13.5
2011-01-27,6.708,31.833,80.125,48.292,18.167
2011-01-28,4.13,20.458,47.958,27.5,16.583
2011-01-29,2.167,6.913,7.739,0.826,6.167
2011-01-30,7.875,35.25,127.792,92.542,14.458
2011-01-31,4.208,30.167,53.167,23.0,14.458
2011-02-01,4.958,24.792,72.583,47.792,15.542
2011-02-02,2.167,7.833,9.542,1.708,7.333
2011-02-03,7.75,37.708,112.583,74.875,18.417
2011-02-04,7.917,36.417,89.458,53.042,21.417
2011-02-05,4.375,23.478,30.565,7.087,19.833
2011-02-06,5.5,32.667,52.708,20.042,44.958
2011-02-07,5.833,30.958,65.417,34.458,41.0
2011-02-08,2.625,11.917,14.917,3.0,6.042
2011-02-09,2.333,18.25,26.292,8.042,6.478
2011-02-10,5.333,39.333,98.833,59.5,19.625
2011-02-11,2.625,16.292,22.708,6.417,12.333
2011-02-12,2.167,8.478,9.957,1.478,10.25
2011-02-13,4.292,37.0,70.667,33.667,24.208
2011-02-14,3.667,29.833,38.042,8.208,35.417
2011-02-15,4.417,24.667,45.167,20.5,32.667
2011-02-16,3.0,24.833,43.125,18.292,18.208
2011-02-17,3.292,26.667,41.917,15.25,28.13
2011-02-18,2.333,8.542,10.292,1.75,8.667
2011-02-19,5.333,28.783,58.478,29.696,13.833
2011-02-20,5.375,39.833,77.583,37.75,18.667
2011-02-21,5.417,42.792,77.042,34.25,22.042
2011-02-22,3.875,40.0,67.042,27.042,26.75
2011-02-23,4.0,26.292,41.542,15.25,29.583
2011-02-24,3.417,23.083,30.833,7.75,26.0
2011-02-25,2.958,22.125,29.375,7.25,14.333
2011-02-26,2.625,17.522,25.174,7.652,8.083
2011-02-27,1.696,6.292,6.833,0.542,7.708
2011-02-28,2.667,35.833,60.833,25.0,10.444
2011-03-01,4.375,31.125,70.167,39.042,19.875
2011-03-02,3.958,27.75,58.0,30.25,22.458
2011-03-03,2.75,24.833,33.708,8.875,12.875
2011-03-04,2.5,18.652,22.609,3.957,16.75
2011-03-05,2.917,22.778,39.5,16.722,9.375
2011-03-06,4.417,36.375,94.583,58.208,25.083
2011-03-07,4.0,29.083,47.083,18.0,33.0
2011-03-08,3.25,32.958,49.417,16.458,20.208
2011-03-09,3.0,21.5,28.583,7.083,16.625
2011-03-10,2.583,13.5,15.667,2.167,4.458
2011-03-11,3.5,21.609,32.652,11.043,10.75
2011-03-12,2.5,14.333,24.542,10.208,7.304
2011-03-13,2.208,9.5,10.667,1.167,7.125
2011-03-14,3.583,34.25,55.208,20.958,14.292
2011-03-15,3.208,17.292,29.875,12.583,15.25
2011-03-16,3.542,39.625,62.25,22.625,21.833
2011-03-17,3.875,32.042,42.292,10.25,35.333
2011-03-18,5.292,28.0,56.348,28.348,34.0
2011-03-19,1.667,10.25,14.167,3.917,8.667
2011-03-20,2.833,23.667,32.667,9.0,16.125
2011-03-21,1.25,6.958,7.333,0.375,9.583
2011-03-22,5.417,51.5,104.333,52.833,35.25
2011-03-23,4.375,40.417,70.0,29.583,40.542
2011-03-24,3.583,30.792,52.0,21.208,12.125
2011-03-25,3.292,16.0,32.783,16.783,7.708
2011-03-26,2.667,23.042,35.958,12.917,10.958
2011-03-27,3.375,29.167,41.375,12.208,16.458
2011-03-28,4.217,25.667,43.0,17.333,25.083
2011-03-29,3.083,24.417,33.167,8.75,15.25
2011-03-30,4.708,35.958,91.958,56.0,27.917
2011-03-31,2.167,7.458,9.292,1.833,17.167
2011-04-01,3.5,,,,22.792
2011-04-02,4.417,,,,35.583
2011-04-03,3.174,,,,16.083
2011-04-04,2.625,,,,13.375
2011-04-05,4.167,,,,19.083
2011-04-06,5.208,,,,27.875
2011-04-07,3.75,,,,26.375
2011-04-08,2.333,,,,16.25
2011-04-09,2.708,,,,21.917
2011-04-10,3.833,,,,18.25
2011-04-11,4.708,26.125,33.5,7.375,31.609
2011-04-12,2.875,12.625,17.667,5.042,15.5
2011-04-13,5.0,43.083,63.292,20.208,
2011-04-14,5.25,50.583,74.458,23.875,
2011-04-15,4.125,32.083,50.125,18.042,27.0
2011-04-16,2.958,15.5,20.417,4.917,19.5
2011-04-17,3.333,16.696,20.087,3.391,17.417
2011-04-18,3.708,38.417,56.083,17.667,19.958
2011-04-19,2.958,21.792,27.917,6.125,14.583
2011-04-20,3.958,31.792,76.458,44.667,14.875
2011-04-21,3.292,36.583,61.0,24.417,18.125
2011-04-22,4.167,33.708,48.0,14.292,29.5
2011-04-23,3.125,21.167,30.417,9.25,17.25
2011-04-24,2.875,12.696,13.783,1.087,10.708
2011-04-25,3.792,27.208,38.25,11.042,17.875
2011-04-26,3.833,34.375,51.875,17.5,20.875
2011-04-27,3.292,18.625,25.542,6.917,39.625
2011-04-28,3.292,19.625,26.625,7.0,15.208
2011-04-29,3.833,24.625,28.958,4.333,15.583
2011-04-30,4.417,27.167,39.042,11.875,33.5
2011-05-01,3.333,16.304,18.348,2.043,25.75
2011-05-02,3.625,15.833,33.208,17.375,86.083
2011-05-03,3.391,19.083,20.5,1.417,55.208
2011-05-04,3.208,19.083,22.167,3.083,33.542
2011-05-05,2.5,14.0,14.583,0.583,27.333
2011-05-06,3.208,34.208,51.042,16.833,27.375
2011-05-07,3.375,27.875,48.0,20.125,36.292
2011-05-08,4.208,18.565,23.609,5.043,36.708
2011-05-09,4.583,40.208,59.375,19.167,27.783
2011-05-10,4.583,40.833,60.333,19.5,39.917
2011-05-11,4.0,47.75,77.375,29.625,20.333
2011-05-12,2.958,22.5,28.25,5.75,21.458
2011-05-13,4.5,34.708,73.417,38.708,28.375
2011-05-14,4.167,36.958,57.375,20.417,46.375
2011-05-15,2.625,15.478,20.696,5.217,18.625
2011-05-16,3.375,31.375,51.542,20.167,31.083
2011-05-17,3.792,35.125,43.958,8.833,47.458
2011-05-18,4.667,42.917,59.583,16.667,54.25
2011-05-19,4.75,48.0,66.292,18.292,51.75
2011-05-20,5.167,51.833,81.125,29.292,47.458
2011-05-21,4.0,35.333,48.167,12.833,43.0
2011-05-22,2.5,14.261,17.522,3.261,18.583
2011-05-23,2.667,31.458,45.167,13.708,15.417
2011-05-24,3.042,29.125,47.0,17.875,13.667
2011-05-25,5.167,46.458,98.417,51.958,24.333
2011-05-26,3.542,41.792,71.958,30.167,27.042
2011-05-27,3.75,40.708,79.75,39.042,25.375
