date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,16.75,24.042,7.292,17.125,1.042,22.5
2011-01-02,12.083,19.792,7.708,9.542,0.708,15.667
2011-01-03,7.417,9.875,2.458,2.833,0.0,10.5
2011-01-04,16.542,31.583,15.042,8.0,1.083,12.458
2011-01-05,17.87,32.435,14.565,5.167,0.364,11.043
2011-01-06,25.417,52.0,26.583,10.833,0.913,13.875
2011-01-07,15.957,32.043,16.087,4.042,0.083,9.75
2011-01-08,12.125,18.333,6.208,5.292,0.125,
2011-01-09,26.458,64.042,37.583,22.458,1.542,
2011-01-10,36.458,112.375,75.917,19.0,1.792,26.417
2011-01-11,25.167,73.208,48.042,11.542,1.042,18.708
2011-01-12,24.583,54.0,29.417,6.458,0.391,11.208
2011-01-13,25.792,50.167,24.375,9.708,1.478,17.958
2011-01-14,17.565,31.739,14.174,8.667,1.083,13.917
2011-01-15,18.208,32.5,14.292,14.5,1.333,18.25
2011-01-16,31.042,86.208,55.167,23.167,1.292,26.75
2011-01-17,36.833,102.583,65.75,18.625,1.958,22.042
2011-01-18,38.958,103.292,64.333,26.458,2.833,32.25
2011-01-19,30.792,85.292,54.5,18.958,2.174,26.583
2011-01-20,29.636,74.818,45.182,16.208,0.55,21.826
2011-01-21,25.174,61.261,36.087,10.625,0.208,18.708
2011-01-22,19.583,38.292,18.708,8.625,0.0,18.542
2011-01-23,27.333,114.083,86.75,14.125,0.625,19.583
2011-01-24,21.042,47.167,26.125,8.292,0.167,13.333
2011-01-25,24.167,51.542,27.375,21.0,0.708,24.0
2011-01-26,30.708,88.75,58.042,,1.043,15.444
2011-01-27,33.042,90.833,57.792,22.429,2.217,20.083
2011-01-28,24.478,68.087,43.609,13.708,1.792,19.042
2011-01-29,13.5,23.625,10.125,7.25,0.792,13.0
2011-01-30,23.375,54.333,30.958,9.875,1.417,13.5
2011-01-31,29.409,89.227,59.818,10.75,1.773,16.5
2011-02-01,24.708,70.208,45.5,10.375,2.333,16.458
2011-02-02,18.542,46.792,28.25,7.75,1.478,11.958
2011-02-03,26.13,48.304,22.174,11.625,1.952,18.391
2011-02-04,20.609,39.043,18.435,11.833,1.5,17.75
2011-02-05,17.333,29.958,12.625,17.0,1.583,12.667
2011-02-06,35.917,92.542,56.625,39.708,2.125,55.833
2011-02-07,31.958,87.667,55.708,27.0,0.75,41.833
2011-02-08,18.591,39.227,20.636,3.917,0.375,10.25
2011-02-09,26.167,81.917,55.75,6.125,0.783,13.167
2011-02-10,28.167,63.583,35.417,12.542,1.0,18.917
2011-02-11,16.783,34.435,17.652,8.542,0.667,13.083
2011-02-12,9.5,15.375,5.875,7.458,0.292,13.542
2011-02-13,33.348,82.565,49.217,22.864,1.261,24.478
2011-02-14,37.208,102.667,65.458,29.083,1.375,37.75
2011-02-15,26.458,72.625,46.167,19.75,1.125,26.625
2011-02-16,30.458,70.875,40.417,14.583,0.261,22.292
2011-02-17,26.583,68.875,42.292,14.208,0.696,23.0
2011-02-18,13.304,26.652,13.348,7.292,0.208,12.792
2011-02-19,14.333,25.333,11.0,12.208,0.625,15.625
2011-02-20,35.5,101.042,65.542,14.333,2.0,18.625
2011-02-21,29.792,82.833,53.042,15.75,1.625,22.792
2011-02-22,33.522,83.739,50.217,22.458,2.87,29.087
2011-02-23,32.917,82.75,49.833,22.583,0.87,36.792
2011-02-24,21.833,35.875,14.042,24.167,2.478,30.333
2011-02-25,21.087,43.783,22.696,12.583,0.0,19.083
2011-02-26,12.833,20.208,7.375,8.625,0.0,15.5
2011-02-27,15.292,30.333,15.042,8.708,0.0,14.583
2011-02-28,31.375,81.417,50.042,13.375,0.542,17.875
2011-03-01,38.0,101.0,63.0,16.75,0.522,29.583
2011-03-02,31.833,100.042,68.208,14.75,0.522,25.333
2011-03-03,22.696,50.826,28.13,12.083,0.333,17.292
2011-03-04,14.917,24.417,9.5,15.458,0.0,19.625
2011-03-05,35.0,90.455,55.455,12.042,0.045,19.636
2011-03-06,30.667,94.375,63.708,13.375,0.875,30.125
2011-03-07,23.625,55.042,31.417,18.583,0.708,36.417
2011-03-08,30.0,67.167,37.167,20.0,0.609,26.042
2011-03-09,29.333,74.833,45.5,13.333,0.174,22.083
2011-03-10,18.261,39.87,21.609,3.667,0.0,11.417
2011-03-11,14.542,22.625,8.083,7.875,0.125,14.375
2011-03-12,18.667,39.458,20.792,5.292,0.083,10.167
2011-03-13,23.042,41.208,18.167,7.125,0.042,12.375
2011-03-14,30.625,72.75,42.125,12.0,0.625,17.625
2011-03-15,22.0,51.542,29.542,13.875,0.652,21.125
2011-03-16,27.478,55.913,28.435,19.273,1.273,22.609
2011-03-17,37.261,84.391,47.13,32.25,1.458,43.25
2011-03-18,21.875,39.125,17.25,21.0,0.583,38.75
2011-03-19,16.333,30.667,14.333,4.917,0.083,14.208
2011-03-20,17.625,29.208,11.583,11.583,0.75,19.417
2011-03-21,17.458,35.833,18.375,8.708,0.292,15.625
2011-03-22,33.333,72.0,38.667,22.083,1.826,30.708
2011-03-23,38.13,88.652,50.522,31.708,1.227,45.455
2011-03-24,21.0,41.217,20.217,5.625,0.042,15.833
2011-03-25,15.417,23.125,7.708,7.0,0.208,12.417
2011-03-26,23.5,49.958,26.458,10.167,0.333,17.333
2011-03-27,23.333,39.875,16.542,12.958,0.875,21.375
2011-03-28,25.167,51.083,25.917,19.375,1.208,27.542
2011-03-29,26.417,52.75,26.333,14.875,0.87,20.708
2011-03-30,30.083,64.75,34.667,20.667,1.478,32.375
2011-03-31,6.348,8.174,1.826,7.292,0.0,21.5
2011-04-01,31.458,61.542,30.083,16.0,0.958,24.542
2011-04-02,25.667,49.375,23.708,23.417,0.958,33.5
2011-04-03,12.333,17.667,5.333,8.917,0.042,17.0
