date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,24.583,29.208,4.625,23.583
2011-01-02,16.458,22.667,6.208,18.875
2011-01-03,10.75,11.5,0.75,3.042
2011-01-04,23.333,34.917,11.583,10.292
2011-01-05,19.0,25.583,6.583,5.667
2011-01-06,37.875,63.542,25.667,14.333
2011-01-07,21.917,33.0,11.083,9.833
2011-01-08,16.542,18.25,1.708,7.667
2011-01-09,29.167,38.917,9.75,24.167
2011-01-10,36.875,63.125,26.25,23.458
2011-01-11,27.167,48.542,21.375,17.25
2011-01-12,33.591,66.364,32.773,10.125
2011-01-13,45.292,112.208,66.917,20.917
2011-01-14,28.208,45.083,16.875,10.0
2011-01-15,29.667,45.083,15.417,18.042
2011-01-16,33.042,57.125,24.083,23.826
2011-01-17,23.583,37.833,14.25,11.5
2011-01-18,44.375,95.958,51.583,31.0
2011-01-19,27.292,57.458,30.167,28.083
2011-01-20,25.542,46.542,21.0,21.125
2011-01-21,17.792,21.042,3.25,10.875
2011-01-22,17.125,23.083,5.958,9.583
2011-01-23,36.875,119.417,82.542,18.417
2011-01-24,32.458,52.792,20.333,9.833
2011-01-25,37.739,88.652,50.913,24.167
2011-01-26,31.958,51.333,19.375,12.458
2011-01-27,36.25,83.25,47.0,16.125
2011-01-28,26.333,41.083,14.75,15.958
2011-01-29,7.5,8.167,0.667,5.375
2011-01-30,35.875,76.458,40.583,10.667
2011-01-31,36.667,74.875,38.208,14.708
2011-02-01,29.708,50.333,20.625,15.708
2011-02-02,20.083,30.458,10.375,6.792
2011-02-03,39.708,90.25,50.542,15.792
2011-02-04,38.333,93.792,55.458,21.458
2011-02-05,19.0,21.792,2.792,18.792
2011-02-06,44.917,92.708,47.792,48.5
2011-02-07,38.917,82.0,43.083,43.333
2011-02-08,28.435,50.435,22.0,9.13
2011-02-09,27.583,44.333,16.75,7.125
2011-02-10,35.833,69.833,34.0,14.958
2011-02-11,20.042,28.5,8.458,13.542
2011-02-12,15.917,17.583,1.667,10.708
2011-02-13,28.542,38.0,9.458,18.333
2011-02-14,41.625,81.333,39.708,43.583
2011-02-15,36.167,70.208,34.042,52.714
2011-02-16,23.042,28.875,5.833,20.167
2011-02-17,26.625,46.5,19.875,27.917
2011-02-18,14.667,17.917,3.25,9.833
2011-02-19,23.792,28.875,5.083,12.125
2011-02-20,38.958,65.75,26.792,18.542
2011-02-21,46.625,84.083,37.458,25.792
2011-02-22,22.13,25.826,3.696,23.917
2011-02-23,41.5,80.417,38.917,45.5
2011-02-24,26.125,32.208,6.083,25.667
2011-02-25,19.292,22.5,3.208,19.125
2011-02-26,9.542,10.542,1.0,7.875
2011-02-27,20.208,31.0,10.792,8.458
2011-02-28,14.875,20.0,5.125,8.167
2011-03-01,33.708,55.125,21.417,22.375
2011-03-02,27.292,38.167,10.875,20.375
2011-03-03,12.833,14.625,1.792,16.583
2011-03-04,8.75,9.583,0.833,18.333
2011-03-05,37.875,74.292,36.417,18.333
2011-03-06,34.542,80.042,45.5,30.0
2011-03-07,20.043,24.826,4.783,31.727
2011-03-08,16.25,21.333,5.083,18.333
2011-03-09,25.583,39.917,14.333,20.042
2011-03-10,13.75,15.417,1.667,4.833
2011-03-11,15.667,17.583,1.917,12.167
2011-03-12,19.875,25.833,5.958,6.75
2011-03-13,20.318,25.864,5.545,5.818
2011-03-14,25.875,30.292,4.417,10.75
2011-03-15,31.042,58.917,27.875,20.625
2011-03-16,28.625,38.083,9.458,18.542
2011-03-17,40.5,57.583,17.083,34.333
2011-03-18,26.583,44.292,17.708,42.708
2011-03-19,25.583,41.125,15.542,11.708
2011-03-20,22.042,24.0,1.958,15.542
2011-03-21,21.875,28.292,6.417,10.875
2011-03-22,59.318,108.227,48.909,35.833
2011-03-23,46.417,76.25,29.833,45.875
2011-03-24,27.875,40.375,12.5,17.083
2011-03-25,21.167,38.458,17.292,9.083
2011-03-26,28.375,40.667,12.292,12.0
2011-03-27,32.125,42.083,9.958,14.375
2011-03-28,34.333,48.917,14.583,29.875
2011-03-29,18.25,20.875,2.625,12.792
2011-03-30,18.083,19.833,1.75,16.083
2011-03-31,10.958,11.833,0.875,18.792
2011-04-01,26.25,32.75,6.5,19.625
2011-04-02,31.833,38.75,6.917,33.708
2011-04-03,10.042,10.375,0.333,14.458
2011-04-04,16.333,18.083,1.75,13.042
2011-04-05,23.083,25.75,2.667,16.208
2011-04-06,34.565,51.696,17.13,28.783
2011-04-07,28.25,38.917,10.667,28.0
2011-04-08,14.75,15.833,1.083,20.375
2011-04-09,16.75,18.333,1.583,25.333
2011-04-10,9.25,9.708,0.458,25.5
2011-04-11,26.417,36.5,10.083,33.792
2011-04-12,14.625,15.875,1.25,13.208
2011-04-13,30.583,37.75,7.167,25.708
2011-04-14,34.417,41.667,7.25,36.875
2011-04-15,23.333,26.75,3.417,42.833
2011-04-16,15.125,17.125,2.0,25.042
2011-04-17,9.5,9.875,0.375,16.208
2011-04-18,13.458,14.917,1.458,16.167
2011-04-19,17.292,21.042,3.75,16.125
2011-04-20,14.957,17.261,2.304,6.75
2011-04-21,16.25,18.625,2.375,14.917
2011-04-22,25.583,30.292,4.708,30.5
2011-04-23,15.708,17.375,1.667,18.667
2011-04-24,8.958,9.458,0.5,11.458
2011-04-25,24.583,27.75,3.167,18.292
2011-04-26,28.792,36.875,8.083,22.333
2011-04-27,14.208,15.792,1.583,50.042
2011-04-28,17.458,19.5,2.042,23.25
2011-04-29,11.542,12.167,0.625,14.708
2011-04-30,17.833,20.375,2.542,27.375
2011-05-01,8.792,9.042,0.25,24.292
2011-05-02,28.958,33.542,4.583,62.833
2011-05-03,10.417,10.833,0.417,39.25
2011-05-04,9.792,10.333,0.542,26.458
2011-05-05,6.542,6.917,0.375,22.042
2011-05-06,13.304,14.478,1.174,21.348
2011-05-07,22.833,28.792,5.958,24.167
2011-05-08,22.083,25.833,3.75,37.0
2011-05-09,29.917,43.75,13.833,27.333
2011-05-10,28.333,36.458,8.125,42.417
2011-05-11,18.333,19.917,1.583,18.833
2011-05-12,17.292,19.333,2.042,15.25
2011-05-13,22.75,29.958,7.208,27.958
2011-05-14,21.958,25.667,3.708,53.167
2011-05-15,16.458,18.917,2.458,19.167
2011-05-16,20.125,22.458,2.333,32.417
2011-05-17,28.333,31.042,2.708,34.417
2011-05-18,30.217,40.261,10.043,48.333
2011-05-19,32.042,39.25,7.208,41.5
2011-05-20,26.042,30.0,3.958,41.375
2011-05-21,16.708,19.333,2.625,28.458
2011-05-22,8.333,10.208,1.875,18.417
2011-05-23,10.75,11.958,1.208,14.083
2011-05-24,18.958,20.625,1.667,12.208
2011-05-25,30.348,45.348,15.0,21.208
2011-05-26,15.5,17.083,1.583,24.25
2011-05-27,22.417,25.042,2.625,20.833
2011-05-28,12.625,14.083,1.458,10.167
2011-05-29,7.292,8.375,1.083,11.5
2011-05-30,8.292,9.667,1.375,8.083
2011-05-31,5.667,7.208,1.542,16.217
2011-06-01,12.708,15.25,2.542,30.292
2011-06-02,26.333,41.083,14.75,38.0
2011-06-03,28.292,34.417,6.125,33.083
2011-06-04,19.833,23.583,3.75,37.792
2011-06-05,17.75,20.0,2.25,37.417
2011-06-06,20.792,22.583,1.792,37.667
2011-06-07,22.792,25.292,2.5,41.625
2011-06-08,14.409,15.636,1.227,15.708
2011-06-09,21.625,24.417,2.792,23.625
2011-06-10,20.5,24.125,3.625,18.083
2011-06-11,18.708,20.917,2.208,31.125
2011-06-12,14.292,15.375,1.083,34.0
2011-06-13,22.708,25.167,2.458,23.625
2011-06-14,23.042,25.958,2.917,24.625
2011-06-15,18.75,20.958,2.208,19.0
2011-06-16,23.958,27.792,3.833,17.542
2011-06-17,10.708,11.917,1.208,10.042
2011-06-18,21.792,25.042,3.25,17.917
2011-06-19,10.917,11.833,0.917,26.875
2011-06-20,22.458,27.333,4.875,15.958
2011-06-21,23.542,35.042,11.5,15.5
2011-06-22,33.522,52.957,19.435,43.792
2011-06-23,21.5,34.583,13.083,31.042
2011-06-24,12.75,21.833,9.083,23.667
2011-06-25,10.417,14.958,4.542,27.833
2011-06-26,6.208,7.083,0.875,21.417
2011-06-27,19.125,29.25,10.125,38.875
2011-06-28,26.792,47.667,20.875,45.833
2011-06-29,20.833,23.917,3.083,28.217
2011-06-30,37.125,50.625,13.5,31.208
2011-07-01,34.208,46.667,12.458,44.792
2011-07-02,12.208,15.667,3.458,39.083
2011-07-03,9.792,11.667,1.875,30.458
2011-07-04,12.833,17.875,5.042,48.958
2011-07-05,17.417,21.875,4.458,28.958
2011-07-06,17.917,20.25,2.333,25.292
2011-07-07,15.826,22.87,7.043,18.333
2011-07-08,17.75,34.708,16.958,23.5
2011-07-09,13.833,30.5,16.667,22.208
2011-07-10,10.042,18.542,8.5,15.625
2011-07-11,12.625,27.875,15.25,16.625
2011-07-12,10.542,23.167,12.625,16.583
2011-07-13,10.625,21.125,10.5,13.75
2011-07-14,12.292,23.167,10.875,13.208
2011-07-15,15.667,25.125,9.458,14.917
2011-07-16,11.667,17.625,5.958,21.375
2011-07-17,8.042,13.292,5.25,17.333
2011-07-18,8.25,15.667,7.417,33.0
2011-07-19,10.909,26.955,16.045,23.636
2011-07-20,9.625,14.792,5.167,26.458
2011-07-21,5.714,7.381,1.667,13.542
2011-07-22,8.167,10.875,2.708,11.417
2011-07-23,9.667,11.708,2.042,8.792
2011-07-24,13.042,15.708,2.667,19.125
2011-07-25,18.542,23.75,5.208,30.875
2011-07-26,23.167,30.792,7.625,21.0
2011-07-27,25.75,42.583,16.833,18.304
2011-07-28,30.917,39.667,8.75,46.958
2011-07-29,36.208,46.583,10.375,44.667
2011-07-30,18.167,20.667,2.5,26.333
2011-07-31,5.5,6.958,1.458,22.708
2011-08-01,10.875,12.792,1.917,28.25
2011-08-02,12.583,15.125,2.542,25.833
2011-08-03,14.136,19.227,5.091,23.913
2011-08-04,8.625,13.75,5.125,23.375
2011-08-05,11.958,18.333,6.375,16.458
2011-08-06,15.208,25.583,10.375,24.667
2011-08-07,14.167,16.917,2.75,33.125
2011-08-08,21.333,25.75,4.417,39.042
2011-08-09,23.667,32.0,8.333,42.542
2011-08-10,20.333,25.333,5.0,53.167
2011-08-11,25.125,32.917,7.792,66.0
2011-08-12,19.083,20.833,1.75,52.208
2011-08-13,9.792,10.958,1.167,66.917
2011-08-14,8.833,10.333,1.5,79.708
2011-08-15,10.625,13.417,2.792,44.417
2011-08-16,15.833,17.833,2.0,58.083
2011-08-17,17.304,19.739,2.435,65.083
2011-08-18,16.292,21.583,5.292,63.083
2011-08-19,13.75,16.958,3.208,29.042
2011-08-20,13.5,16.0,2.5,15.917
2011-08-21,7.458,8.542,1.083,11.958
2011-08-22,16.667,21.583,4.917,12.667
2011-08-23,16.0,21.833,5.833,42.458
2011-08-24,9.917,21.833,11.917,23.25
2011-08-25,12.083,26.625,14.542,25.542
2011-08-26,14.0,24.391,10.391,20.043
2011-08-27,6.864,8.773,1.909,12.87
2011-08-28,5.833,6.917,1.083,17.542
2011-08-29,7.958,10.042,2.083,16.333
2011-08-30,8.625,11.0,2.375,13.958
2011-08-31,12.087,17.217,5.13,15.522
2011-09-01,8.042,15.208,7.167,21.625
2011-09-02,9.833,20.083,10.25,28.833
2011-09-03,8.625,15.625,7.0,27.292
2011-09-04,7.917,11.208,3.292,20.958
2011-09-05,17.042,21.5,4.458,21.083
2011-09-06,20.5,25.208,4.708,10.875
2011-09-07,21.217,23.522,2.304,19.333
2011-09-08,27.083,34.125,7.042,33.333
2011-09-09,23.083,31.75,8.667,28.625
2011-09-10,14.042,24.042,10.0,23.333
2011-09-11,9.958,14.292,4.333,21.167
2011-09-12,13.083,23.583,10.5,15.958
2011-09-13,15.5,24.458,8.958,20.417
2011-09-14,19.042,27.75,8.708,21.083
2011-09-15,11.25,19.5,8.25,14.0
2011-09-16,10.708,18.375,7.667,14.708
2011-09-17,7.458,14.917,7.458,14.542
2011-09-18,6.625,10.083,3.458,13.667
2011-09-19,9.0,12.708,3.708,24.625
2011-09-20,11.792,15.0,3.208,11.833
2011-09-21,12.25,20.083,7.833,25.25
2011-09-22,14.913,19.174,4.261,11.667
2011-09-23,15.958,19.125,3.167,14.0
2011-09-24,15.833,18.5,2.667,11.333
2011-09-25,11.417,13.375,1.958,21.25
2011-09-26,26.458,33.292,6.833,23.458
2011-09-27,18.125,25.292,7.167,19.083
2011-09-28,17.667,23.25,5.583,17.739
2011-09-29,21.792,26.25,4.458,21.542
2011-09-30,31.625,39.417,7.792,43.667
2011-10-01,12.5,14.292,1.792,16.833
2011-10-02,7.708,8.917,1.208,19.042
2011-10-03,16.25,18.875,2.625,11.75
2011-10-04,21.75,26.75,5.0,14.25
2011-10-05,28.773,40.909,12.136,18.455
2011-10-06,21.167,24.583,3.417,11.083
2011-10-07,20.417,23.625,3.208,17.0
2011-10-08,24.708,28.417,3.708,24.833
2011-10-09,13.667,15.0,1.333,38.458
2011-10-10,22.833,26.417,3.583,45.833
2011-10-11,27.792,37.667,9.875,50.083
2011-10-12,21.75,25.708,3.958,38.583
2011-10-13,36.417,45.25,8.833,55.417
2011-10-14,32.792,41.167,8.375,65.5
2011-10-15,11.792,14.0,2.208,25.083
2011-10-16,11.458,13.458,2.0,19.667
2011-10-17,31.708,38.75,7.042,33.0
2011-10-18,17.167,19.708,2.542,22.083
2011-10-19,17.182,20.5,3.318,16.125
2011-10-20,15.375,19.583,4.208,15.5
2011-10-21,17.458,23.083,5.625,19.292
2011-10-22,21.25,30.0,8.75,17.042
2011-10-23,17.0,19.167,2.167,15.917
2011-10-24,14.542,17.333,2.792,22.958
