date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,202.333,5.625,19.792,21.917,28.5,6.583,4.625,22.0,222.125
2011-01-02,196.333,3.583,14.333,15.167,19.708,4.542,4.042,13.667,210.667
2011-01-03,189.478,2.913,7.348,8.5,10.292,1.792,3.375,1.958,196.826
2011-01-04,195.458,4.292,14.667,16.208,23.333,7.125,4.348,4.609,210.125
2011-01-05,191.25,2.75,9.583,11.458,13.542,2.083,4.375,1.542,200.833
2011-01-06,194.417,5.75,16.208,25.0,38.261,13.261,5.458,11.625,210.625
2011-01-07,198.0,5.0,19.208,18.583,29.125,10.542,4.5,6.792,217.208
2011-01-08,194.792,4.208,14.167,13.75,17.542,3.792,3.958,2.417,208.958
2011-01-09,200.833,6.833,22.5,26.792,39.917,13.125,6.0,17.75,223.333
2011-01-10,199.957,6.0,19.565,22.167,42.708,20.542,3.833,14.333,219.522
2011-01-11,195.792,5.208,22.583,19.458,35.833,16.375,4.542,12.708,218.375
2011-01-12,194.417,4.417,13.917,17.958,24.208,6.25,4.0,3.958,208.333
2011-01-13,201.042,6.833,28.875,30.217,61.609,31.391,6.417,16.25,229.917
2011-01-14,195.708,4.917,16.667,19.75,29.083,9.333,25.458,10.583,212.375
2011-01-15,201.5,6.25,17.958,20.25,29.417,9.167,5.125,17.208,219.458
2011-01-16,183.652,3.826,10.435,19.25,25.208,5.958,3.957,11.174,194.087
2011-01-17,190.217,3.87,5.783,15.292,21.375,6.083,3.458,5.458,196.0
2011-01-18,198.542,7.458,20.542,30.875,61.333,30.458,14.958,21.083,219.083
2011-01-19,194.833,5.667,18.833,23.125,46.083,22.958,5.375,24.875,213.667
2011-01-20,190.833,5.167,8.375,14.522,16.783,2.261,4.083,12.958,199.208
2011-01-21,192.167,2.958,10.125,13.542,15.958,2.417,3.042,6.542,202.292
2011-01-22,184.792,3.708,11.708,13.917,18.375,4.458,2.583,5.917,196.5
2011-01-23,196.565,6.042,16.783,20.5,40.958,20.458,3.208,11.167,213.348
2011-01-24,193.478,5.0,13.043,16.833,21.833,5.0,3.833,5.917,206.522
2011-01-25,197.833,6.292,22.458,25.292,49.75,24.458,4.958,11.458,220.292
2011-01-26,194.625,5.083,16.333,22.042,31.25,9.208,4.833,9.792,210.958
2011-01-27,198.417,5.917,17.625,22.826,42.0,19.174,4.583,11.208,216.042
