date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,204.542,87.0,66.667,51.0,13.875,18.167,22.708,4.542,26.75,6.167,23.208,98.0,54.5,13.0,218.417
2011-01-02,195.917,87.0,56.917,34.0,12.417,16.792,21.042,4.25,19.208,6.417,19.583,103.0,65.667,38.0,208.333
2011-01-03,192.826,62.0,35.25,21.0,5.0,9.25,10.375,1.125,6.583,4.708,7.167,104.0,65.708,23.0,197.826
2011-01-04,194.5,74.0,50.042,32.0,8.083,10.208,12.292,2.083,13.417,4.542,14.0,115.0,51.292,-16.0,202.583
2011-01-05,195.208,57.0,31.958,19.0,5.458,12.0,13.458,1.458,7.542,6.125,8.917,103.0,56.125,-2.0,200.667
2011-01-06,197.833,76.0,50.708,32.0,10.0,18.208,22.708,4.5,12.708,4.435,12.458,89.0,38.583,1.0,207.833
2011-01-07,198.75,56.0,37.333,23.0,5.875,17.208,20.75,3.542,10.375,9.083,10.5,93.0,59.667,17.0,204.625
2011-01-08,198.375,61.0,39.208,24.0,7.125,12.417,15.042,2.625,9.042,6.708,9.125,95.0,49.917,1.0,205.5
2011-01-09,203.875,84.0,62.792,41.0,16.625,24.0,32.0,8.0,26.792,7.333,25.083,95.0,42.667,-5.0,220.5
2011-01-10,200.043,88.0,70.125,40.0,19.435,23.042,34.5,11.458,29.5,5.125,26.833,103.0,48.333,-3.0,219.478
2011-01-11,195.875,88.0,65.25,34.0,23.125,21.75,34.25,12.5,20.833,7.083,16.875,102.0,51.625,8.0,219.0
2011-01-12,194.625,59.0,39.458,27.0,10.167,14.625,17.458,2.833,12.0,5.25,,60.0,28.833,5.0,204.792
2011-01-13,195.75,77.0,60.625,39.0,17.917,20.5,31.542,11.042,21.087,4.043,16.923,101.0,41.208,-19.0,213.667
2011-01-14,197.25,69.0,47.833,29.0,11.333,16.75,20.375,3.625,16.375,5.583,13.833,80.0,37.458,-10.0,208.583
2011-01-15,198.25,71.0,49.042,31.0,11.125,13.625,15.792,2.167,21.417,4.708,16.375,66.0,32.625,-14.0,209.375
2011-01-16,198.5,52.0,45.042,39.0,9.417,20.625,23.917,3.292,18.083,8.333,17.625,51.0,40.458,19.0,207.917
2011-01-17,195.391,78.0,51.667,33.0,7.565,17.042,19.917,2.875,14.333,9.125,15.958,73.0,38.542,-14.0,202.957
2011-01-18,201.292,84.0,68.875,43.0,20.167,27.083,42.375,15.292,31.0,7.208,31.042,83.0,26.792,-28.0,221.458
2011-01-19,199.292,84.0,62.0,49.0,16.458,23.042,36.333,13.292,31.042,7.458,26.875,102.0,60.25,15.0,215.75
2011-01-20,193.875,89.0,83.25,65.0,5.917,20.5,24.042,3.542,19.458,6.261,18.792,60.0,38.625,31.0,199.792
2011-01-21,194.958,91.0,83.667,74.0,9.292,21.208,24.375,3.167,11.583,4.708,13.0,42.0,38.375,34.0,204.25
2011-01-22,196.75,93.0,89.542,78.0,8.875,17.333,20.208,2.875,10.708,3.583,11.625,74.0,49.75,21.0,205.625
2011-01-23,195.875,94.0,83.125,61.0,14.417,18.583,27.667,9.083,14.375,4.583,14.625,90.0,46.708,11.0,210.292
2011-01-24,196.652,89.0,62.375,34.0,9.391,14.333,17.208,2.875,12.958,5.917,10.875,49.0,23.375,-1.0,206.043
2011-01-25,197.375,90.0,69.708,34.0,15.125,16.75,26.833,10.083,19.458,3.375,13.958,84.0,30.417,-9.0,212.5
2011-01-26,198.333,89.0,54.333,26.0,11.958,18.125,23.042,4.917,15.917,7.333,12.875,62.0,19.292,-23.0,210.292
2011-01-27,200.042,81.0,60.958,37.0,12.958,16.917,25.625,8.708,15.333,6.522,15.292,80.0,19.375,-41.0,213.0
2011-01-28,199.792,83.0,49.25,29.0,8.792,14.5,17.833,3.333,16.792,7.833,14.417,56.0,20.542,-22.0,208.583
2011-01-29,197.792,40.0,31.75,22.0,7.333,10.0,10.875,0.875,9.833,5.917,8.625,61.0,32.292,17.0,205.125
2011-01-30,195.458,53.0,34.333,24.0,11.042,13.167,15.917,2.75,8.556,5.917,9.583,68.0,30.333,-5.0,206.5
2011-01-31,197.739,76.0,50.25,30.0,12.435,16.167,22.833,6.667,,5.708,12.667,87.0,26.042,-41.0,210.174
2011-02-01,192.417,71.0,45.792,33.0,8.0,5.917,6.208,0.292,19.0,3.958,22.583,113.0,61.0,-30.0,200.417
2011-02-02,193.875,60.0,30.792,18.0,8.042,11.917,13.625,1.708,7.583,4.75,10.292,59.0,26.667,-10.0,201.917
2011-02-03,196.333,77.0,45.417,16.0,9.458,10.875,13.625,2.75,11.5,4.087,12.208,60.0,16.375,-25.0,205.792
2011-02-04,195.75,82.0,55.958,32.0,10.042,11.833,15.292,3.458,12.583,4.167,15.25,108.0,39.958,-36.0,205.792
2011-02-05,200.167,78.0,52.542,32.0,10.5,12.75,14.75,2.0,16.667,4.917,18.708,95.0,43.5,-6.0,210.667
2011-02-06,204.083,93.0,86.333,77.0,18.125,31.042,43.333,12.292,30.25,5.208,34.708,51.0,40.167,9.0,222.208
2011-02-07,200.87,96.0,91.917,87.0,18.609,24.917,41.375,16.458,29.292,3.458,47.125,164.0,105.333,49.0,219.478
2011-02-08,195.625,93.0,59.25,37.0,18.792,17.5,20.375,2.875,9.043,6.542,12.875,87.0,61.917,30.0,214.417
2011-02-09,195.083,58.0,41.667,26.0,10.458,10.292,12.167,1.875,4.625,3.875,8.833,84.0,48.125,9.0,205.542
2011-02-10,196.542,77.0,57.5,32.0,12.875,15.292,19.5,4.208,7.75,4.913,12.0,89.0,38.5,-3.0,209.417
2011-02-11,198.583,88.0,56.542,29.0,12.125,13.833,16.75,2.917,12.333,5.958,14.958,82.0,45.375,4.0,210.708
2011-02-12,201.542,76.0,42.167,25.0,10.917,16.125,19.5,3.375,9.583,9.375,13.292,90.0,50.417,-4.0,212.458
2011-02-13,203.208,85.0,54.542,34.0,16.583,25.833,34.458,8.625,19.875,9.25,26.292,87.0,50.5,3.0,219.792
2011-02-14,201.13,91.0,85.125,63.0,20.739,33.583,44.958,11.375,37.583,8.958,34.25,61.0,50.792,44.0,221.87
2011-02-15,200.542,93.0,68.875,40.0,16.875,33.667,46.583,12.917,30.167,10.25,31.875,110.0,73.917,49.0,217.417
2011-02-16,193.292,89.0,69.5,40.0,7.292,17.542,19.542,2.0,14.833,8.75,16.25,54.0,26.75,11.0,200.583
2011-02-17,191.458,92.0,69.625,31.0,10.292,20.667,26.75,6.083,18.167,13.478,20.125,78.0,38.625,10.0,201.75
2011-02-18,190.458,87.0,42.875,18.0,5.625,13.792,15.208,1.417,8.583,11.792,15.375,68.0,30.375,7.0,196.083
2011-02-19,192.25,73.0,47.958,24.0,6.0,9.792,11.583,1.792,8.25,10.417,14.833,72.0,15.417,-31.0,198.25
2011-02-20,194.75,81.0,56.667,20.0,8.625,16.875,22.833,5.958,12.375,10.375,17.708,98.0,35.958,-26.0,203.375
2011-02-21,195.739,87.0,56.25,23.0,12.87,19.083,25.167,6.083,12.667,8.417,19.917,124.0,54.667,-20.0,208.609
2011-02-22,195.875,70.0,59.375,52.0,10.0,14.5,15.167,0.667,22.75,9.625,26.542,100.0,75.75,57.0,205.875
2011-02-23,203.125,93.0,86.833,52.0,20.292,34.625,50.833,16.208,28.125,9.917,28.208,102.0,67.833,49.0,223.417
2011-02-24,194.81,75.0,48.542,24.0,9.333,13.708,14.625,0.917,23.708,8.0,27.833,141.0,104.667,81.0,204.143
2011-02-25,197.958,92.0,85.917,72.0,10.542,19.583,22.375,2.792,15.75,6.042,18.458,99.0,62.125,44.0,208.5
2011-02-26,195.5,69.0,51.792,35.0,6.167,10.5,11.333,0.833,8.833,5.167,10.625,79.0,57.542,41.0,201.667
2011-02-27,197.542,42.0,30.708,24.0,5.083,14.5,16.542,2.042,8.458,8.542,13.292,82.0,47.458,22.0,202.625
