date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-01-01,6.5,16.917,20.792,3.875,,41.542
2011-01-02,5.292,14.333,18.958,4.625,,37.0
2011-01-03,4.042,8.958,9.75,0.792,,17.083
2011-01-04,5.792,13.5,18.0,4.5,,25.583
2011-01-05,4.087,13.609,17.304,3.696,,19.875
2011-01-06,4.0,17.958,24.792,6.833,,28.292
2011-01-07,4.167,17.625,24.0,6.375,,20.5
2011-01-08,4.25,11.333,13.75,2.417,,22.083
2011-01-09,6.125,23.042,32.5,9.458,,39.833
2011-01-10,4.958,14.5,26.25,11.75,,32.958
2011-01-11,4.75,16.833,30.25,13.417,,31.833
2011-01-12,4.13,18.87,25.261,6.391,,22.25
2011-01-13,5.625,21.167,35.833,14.667,,30.75
2011-01-14,5.542,18.875,26.708,7.833,,27.042
2011-01-15,5.708,14.625,18.5,3.875,,34.0
2011-01-16,6.083,22.542,31.542,9.0,,29.778
2011-01-17,4.167,14.792,18.083,3.292,,
2011-01-18,5.25,19.167,29.375,10.208,,39.2
2011-01-19,5.087,15.609,31.0,15.391,,39.458
2011-01-20,4.0,21.042,27.083,6.042,,36.75
2011-01-21,3.708,17.333,21.833,4.5,,29.375
2011-01-22,4.25,16.5,21.083,4.583,,31.958
2011-01-23,5.292,18.042,31.667,13.625,,34.125
2011-01-24,4.125,15.292,21.417,6.125,,26.125
2011-01-25,6.375,18.458,30.917,12.458,,32.708
2011-01-26,4.652,21.739,31.217,9.478,,29.25
2011-01-27,4.625,17.625,27.917,10.292,,28.583
2011-01-28,4.833,18.042,24.917,6.875,,26.875
2011-01-29,3.792,10.875,12.375,1.5,,18.875
2011-01-30,4.125,15.5,19.5,4.0,,20.583
2011-01-31,5.292,20.875,33.292,12.417,,26.5
2011-02-01,4.917,10.5,11.958,1.458,,78.708
2011-02-02,4.043,12.391,17.304,4.913,,20.083
2011-02-03,5.0,19.583,28.208,8.625,,26.667
2011-02-04,3.833,11.875,16.125,4.25,,24.667
2011-02-05,5.458,13.583,16.583,3.0,,35.458
2011-02-06,6.5,26.375,49.625,23.25,,69.208
2011-02-07,5.667,21.667,42.917,21.25,,68.333
2011-02-08,4.667,20.0,27.333,7.333,,27.375
2011-02-09,4.522,20.0,27.304,7.304,,21.792
2011-02-10,5.292,22.333,32.0,9.667,,27.583
2011-02-11,4.333,16.167,21.458,5.292,,27.667
2011-02-12,4.167,14.167,15.917,1.75,,25.333
2011-02-13,5.625,25.708,37.0,11.292,,38.667
2011-02-14,5.818,30.364,51.364,21.0,,64.913
2011-02-15,6.083,28.625,48.25,19.625,,64.167
2011-02-16,4.609,19.087,26.174,7.087,,32.875
2011-02-17,5.458,22.083,33.042,10.958,,39.0
2011-02-18,4.042,13.208,16.792,3.583,,21.958
2011-02-19,5.0,12.292,15.167,2.875,,23.167
2011-02-20,4.792,17.667,28.167,10.5,,28.292
