date,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,6.3,4.158,1.4
2011-01-02,7.9,4.675,2.8
2011-01-03,7.4,4.479,3.0
2011-01-04,6.3,3.408,1.2
2011-01-05,5.8,3.475,1.7
2011-01-06,6.8,4.4,2.1
2011-01-07,5.9,3.275,1.8
2011-01-08,6.4,3.492,1.2
2011-01-09,7.1,4.029,1.2
2011-01-10,7.2,4.925,1.5
2011-01-11,7.4,3.388,-0.4
2011-01-12,4.3,1.375,-1.6
2011-01-13,7.8,4.158,0.6
2011-01-14,4.7,2.946,0.9
2011-01-15,4.0,2.412,0.3
2011-01-16,3.0,1.862,0.5
2011-01-17,4.9,2.367,0.3
2011-01-18,6.4,3.596,0.6
2011-01-19,7.1,4.646,2.7
2011-01-20,1.4,0.212,-0.4
2011-01-21,1.2,0.842,0.3
2011-01-22,7.6,3.829,1.3
2011-01-23,7.0,4.279,-1.0
2011-01-24,2.1,0.671,-1.4
2011-01-25,5.9,2.629,-0.5
2011-01-26,3.2,0.75,-1.6
2011-01-27,4.4,1.617,-0.2
2011-01-28,2.5,-0.004,-1.9
2011-01-29,3.2,0.462,-1.0
2011-01-30,3.4,1.342,-0.4
2011-01-31,5.4,2.021,-0.9
2011-02-01,8.9,4.258,0.6
2011-02-02,1.9,-0.267,-1.7
2011-02-03,3.0,0.854,-2.5
2011-02-04,8.2,4.058,0.3
2011-02-05,6.0,3.958,1.7
2011-02-06,3.9,2.75,2.0
2011-02-07,11.0,7.579,3.3
2011-02-08,8.0,4.104,1.6
2011-02-09,5.3,2.492,0.1
2011-02-10,6.2,3.288,0.6
2011-02-11,5.8,2.996,0.3
2011-02-12,5.8,2.746,0.6
2011-02-13,7.5,3.542,-0.3
2011-02-14,3.9,2.742,1.6
2011-02-15,9.1,5.246,2.7
2011-02-16,2.3,0.529,-0.8
2011-02-17,5.4,1.246,-1.1
2011-02-18,2.7,-0.338,-2.3
2011-02-19,4.2,0.992,-2.8
2011-02-20,7.2,3.979,-0.2
2011-02-21,9.8,6.208,1.9
2011-02-22,6.3,5.229,3.6
2011-02-23,9.6,5.821,2.7
2011-02-24,13.1,9.021,6.5
2011-02-25,7.2,3.388,1.2
2011-02-26,6.0,3.4,1.5
2011-02-27,4.8,1.679,-0.9
2011-02-28,3.9,0.929,-2.2
2011-03-01,9.8,6.512,2.0
2011-03-02,7.8,4.929,1.6
2011-03-03,8.6,4.392,1.2
2011-03-04,3.6,2.825,1.2
2011-03-05,10.0,4.142,0.4
2011-03-06,13.5,10.229,7.2
2011-03-07,12.0,9.983,8.5
2011-03-08,8.1,6.846,5.4
2011-03-09,7.0,4.804,2.9
2011-03-10,4.6,2.625,-0.1
2011-03-11,8.6,4.729,2.1
2011-03-12,8.0,4.421,2.0
2011-03-13,6.9,3.838,0.9
2011-03-14,7.2,4.45,0.9
2011-03-15,8.5,5.421,2.7
2011-03-16,7.9,4.775,1.0
2011-03-17,9.3,6.529,3.0
2011-03-18,11.4,8.962,7.5
2011-03-19,8.6,6.429,3.8
2011-03-20,8.5,5.362,1.5
2011-03-21,8.7,5.104,2.4
2011-03-22,13.2,8.358,3.0
2011-03-23,9.6,7.8,5.6
2011-03-24,10.3,6.388,4.8
2011-03-25,9.7,7.067,4.0
2011-03-26,7.4,5.446,2.9
2011-03-27,10.1,6.829,3.1
2011-03-28,14.3,8.6,5.4
2011-03-29,12.4,8.804,5.1
2011-03-30,15.7,12.838,10.1
2011-03-31,15.4,11.704,6.1
2011-04-01,12.9,8.771,4.7
2011-04-02,15.6,11.733,7.5
2011-04-03,6.7,5.383,4.3
2011-04-04,10.4,6.175,3.6
2011-04-05,12.9,7.679,2.4
2011-04-06,16.5,12.138,7.3
2011-04-07,16.8,13.529,10.2
2011-04-08,16.2,14.942,13.7
2011-04-09,15.5,14.079,10.2
2011-04-10,14.6,11.279,8.1
2011-04-11,16.1,11.817,6.4
2011-04-12,13.2,8.7,5.4
2011-04-13,18.0,12.575,6.3
2011-04-14,19.5,14.979,11.1
2011-04-15,18.3,15.892,13.2
2011-04-16,22.0,16.108,10.6
2011-04-17,13.9,10.875,7.5
2011-04-18,13.8,12.412,10.8
2011-04-19,15.0,8.617,5.3
2011-04-20,13.8,8.542,5.0
2011-04-21,12.8,9.825,6.8
2011-04-22,15.7,13.175,9.3
2011-04-23,15.9,14.592,13.3
2011-04-24,17.1,13.992,9.6
2011-04-25,16.2,12.646,9.0
2011-04-26,17.9,14.488,11.0
2011-04-27,20.3,17.858,15.3
2011-04-28,21.2,17.158,12.0
2011-04-29,14.7,12.558,9.8
2011-04-30,19.2,15.221,10.6
2011-05-01,17.9,16.496,13.7
2011-05-02,21.4,18.112,15.5
2011-05-03,15.7,13.633,11.6
2011-05-04,18.5,14.875,11.4
2011-05-05,15.0,12.796,11.1
2011-05-06,17.2,13.879,10.4
2011-05-07,15.9,15.079,14.4
2011-05-08,23.8,19.192,14.9
2011-05-09,20.1,17.796,15.7
2011-05-10,25.2,21.171,16.1
2011-05-11,14.8,12.925,12.1
2011-05-12,14.9,13.7,12.0
2011-05-13,22.0,18.058,15.3
2011-05-14,22.0,18.65,15.9
2011-05-15,21.8,18.808,16.8
2011-05-16,20.4,18.092,16.0
2011-05-17,18.4,16.133,13.5
2011-05-18,20.7,17.329,13.8
2011-05-19,22.6,19.046,15.5
2011-05-20,23.7,19.933,17.2
2011-05-21,24.2,20.558,17.7
2011-05-22,24.9,18.2,13.0
2011-05-23,15.6,13.35,10.6
2011-05-24,15.7,12.333,10.0
2011-05-25,20.7,16.729,13.3
2011-05-26,19.1,16.962,14.4
2011-05-27,18.0,16.583,15.6
2011-05-28,17.8,16.792,15.9
2011-05-29,17.3,16.421,14.7
2011-05-30,18.6,15.246,13.8
2011-05-31,14.6,12.575,9.8
2011-06-01,15.2,12.883,9.8
2011-06-02,15.3,14.154,12.6
2011-06-03,21.6,17.883,13.8
2011-06-04,22.5,19.779,17.1
2011-06-05,23.1,20.746,17.5
2011-06-06,25.8,20.9,16.1
2011-06-07,21.3,19.492,18.1
2011-06-08,20.8,17.671,15.9
2011-06-09,22.4,19.546,16.8
2011-06-10,22.2,20.7,18.3
