date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,58.0,46.708,39.0,24.375,37.708,13.333,16.417,19.125,86.0,53.875,23.0
2011-01-02,69.0,48.375,28.0,18.792,27.667,8.875,10.875,13.958,110.0,56.208,23.0
2011-01-03,43.0,32.75,18.0,13.667,18.375,4.708,2.542,4.542,104.0,60.167,24.0
2011-01-04,61.0,45.417,32.0,21.217,32.609,11.391,7.042,9.083,94.0,46.875,7.0
2011-01-05,58.0,37.208,17.0,25.478,47.391,21.913,5.0,6.174,95.0,42.0,-1.0
2011-01-06,62.0,43.208,24.0,43.083,88.792,45.708,11.5,12.792,99.0,50.75,6.0
2011-01-07,52.0,36.333,19.0,27.417,54.708,27.292,4.292,5.292,90.0,52.958,26.0
2011-01-08,44.0,33.125,22.0,14.708,20.0,5.292,4.292,5.0,96.0,53.417,15.0
2011-01-09,61.0,46.542,35.0,34.708,65.333,30.625,18.542,19.042,99.0,53.792,18.0
2011-01-10,64.0,49.167,31.0,47.261,123.043,75.783,19.917,22.0,100.0,61.292,16.0
2011-01-11,63.0,45.167,25.0,27.708,55.667,27.958,14.875,17.542,107.0,52.292,11.0
2011-01-12,45.0,31.958,21.0,32.875,70.333,37.458,6.583,8.083,72.0,33.542,0.0
2011-01-13,56.0,41.083,24.0,45.522,119.13,73.609,13.565,17.348,108.0,49.5,-10.0
2011-01-14,52.0,38.125,27.0,29.125,64.208,35.083,9.875,11.208,77.0,45.625,20.0
2011-01-15,55.0,44.333,34.0,28.5,50.458,21.958,12.333,13.917,62.0,38.875,14.0
2011-01-16,45.0,37.542,32.0,38.609,90.739,52.13,15.958,18.458,53.0,44.125,30.0
2011-01-17,62.0,42.833,28.0,47.0,122.708,75.708,16.0,19.833,78.0,46.958,25.0
2011-01-18,57.0,48.25,35.0,51.917,115.333,63.417,25.375,27.708,89.0,45.125,-1.0
2011-01-19,83.0,56.458,43.0,35.667,69.042,33.375,21.792,24.833,102.0,57.75,9.0
2011-01-20,96.0,92.708,81.0,22.565,31.13,8.565,15.957,16.652,30.0,18.75,10.0
2011-01-21,96.0,91.083,83.0,18.958,24.542,5.583,9.417,9.792,35.0,28.625,24.0
2011-01-22,96.0,86.542,70.0,23.87,48.696,24.826,7.333,9.25,90.0,53.792,35.0
2011-01-23,97.0,89.0,69.0,41.417,154.833,113.417,13.583,17.125,75.0,45.458,6.0
2011-01-24,95.0,63.75,37.0,37.375,88.917,51.542,8.458,10.417,51.0,23.125,3.0
2011-01-25,88.0,60.792,25.0,42.375,101.042,58.667,16.667,17.708,90.0,34.917,-9.0
2011-01-26,83.0,47.875,28.0,36.565,83.391,46.826,10.739,13.565,60.0,26.625,0.0
2011-01-27,70.0,51.792,27.0,38.333,94.625,56.292,14.708,16.708,71.0,24.333,-21.0
2011-01-28,69.0,45.625,28.0,28.304,56.478,28.174,12.417,15.292,56.0,20.083,-8.0
2011-01-29,48.0,32.458,19.0,11.958,17.583,5.625,5.417,7.125,64.0,25.375,0.0
