date,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,9.3,5.821,3.1
2011-01-02,11.2,6.192,3.3
2011-01-03,10.6,6.404,2.8
2011-01-04,10.1,5.292,1.8
2011-01-05,9.4,5.05,0.7
2011-01-06,9.4,5.196,1.0
2011-01-07,9.0,5.696,3.2
2011-01-08,9.4,5.758,2.4
2011-01-09,9.6,5.654,2.2
2011-01-10,10.3,6.575,2.5
2011-01-11,10.3,5.621,2.4
2011-01-12,6.7,3.429,0.6
2011-01-13,10.6,5.212,-0.5
2011-01-14,7.3,4.846,2.5
2011-01-15,6.3,4.188,1.1
2011-01-16,5.4,4.638,3.5
2011-01-17,7.7,4.792,3.0
2011-01-18,8.8,4.888,0.3
2011-01-19,9.8,6.208,2.3
2011-01-20,4.6,2.396,1.3
2011-01-21,3.6,3.179,2.8
2011-01-22,8.6,5.462,3.7
2011-01-23,8.8,5.062,0.8
2011-01-24,4.2,2.567,1.0
2011-01-25,9.4,3.704,-0.8
2011-01-26,6.1,2.879,0.8
2011-01-27,7.4,2.871,-1.5
2011-01-28,5.2,2.383,-0.1
2011-01-29,6.5,3.088,0.9
2011-01-30,6.0,3.358,0.5
2011-01-31,8.7,3.829,-0.3
2011-02-01,12.3,6.671,0.5
2011-02-02,5.0,2.417,0.4
2011-02-03,6.2,2.283,-2.0
2011-02-04,11.7,5.275,-1.2
2011-02-05,8.5,5.671,2.8
2011-02-06,5.0,4.321,3.9
2011-02-07,16.5,8.958,4.8
2011-02-08,9.2,6.533,3.7
2011-02-09,8.3,4.583,0.1
2011-02-10,9.2,5.442,1.1
2011-02-11,8.2,5.125,1.0
2011-02-12,8.9,4.8,1.1
2011-02-13,9.7,5.954,2.3
2011-02-14,6.6,5.0,3.6
2011-02-15,12.0,7.429,4.9
2011-02-16,4.5,3.221,1.9
2011-02-17,7.7,3.962,1.8
2011-02-18,5.7,2.683,0.6
2011-02-19,7.1,3.233,-0.3
2011-02-20,10.1,5.433,-0.3
2011-02-21,12.6,7.508,1.7
2011-02-22,9.4,7.996,5.9
2011-02-23,11.1,7.371,4.8
2011-02-24,15.2,11.554,8.4
2011-02-25,9.2,5.967,3.6
2011-02-26,8.0,5.804,3.8
2011-02-27,8.4,4.65,2.0
2011-02-28,6.3,3.621,0.6
2011-03-01,11.8,7.725,2.8
2011-03-02,8.2,6.704,4.3
2011-03-03,11.4,7.225,4.0
2011-03-04,6.6,5.638,3.7
2011-03-05,9.7,5.596,2.5
2011-03-06,15.7,11.546,8.3
2011-03-07,15.1,12.533,11.0
2011-03-08,10.8,9.496,7.8
2011-03-09,9.3,7.3,5.5
