date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,204.125,28.833,23.708,29.875,6.167,,3.167,30.458,232.958
2011-01-02,200.125,18.708,14.708,19.208,4.5,,1.75,18.333,218.833
2011-01-03,192.792,9.125,8.583,9.125,0.542,,1.667,11.958,201.917
2011-01-04,196.917,14.25,13.25,14.792,1.542,,1.833,13.042,211.167
2011-01-05,195.542,13.25,13.583,15.167,1.583,,1.583,14.333,208.792
2011-01-06,199.364,22.5,25.364,35.773,10.409,,2.15,15.273,221.864
2011-01-07,194.5,10.5,11.5,12.583,1.083,,1.375,7.958,205.0
2011-01-08,195.708,14.167,11.292,11.958,0.667,,1.333,11.583,209.875
2011-01-09,204.333,41.25,29.667,48.167,18.5,,3.542,29.042,245.583
2011-01-10,200.333,36.458,30.083,41.167,11.083,,3.542,23.458,236.792
2011-01-11,198.625,34.583,25.542,38.083,12.542,,2.75,25.5,233.208
2011-01-12,199.333,29.81,22.591,39.091,16.5,,2.095,15.75,229.143
2011-01-13,200.958,47.0,30.583,60.458,29.875,,2.083,21.75,247.958
2011-01-14,201.208,29.208,20.583,33.792,13.208,,2.333,20.958,230.417
2011-01-15,201.833,24.333,21.208,28.917,7.708,,3.917,18.25,226.167
2011-01-16,196.875,28.5,19.208,22.542,3.333,,2.833,19.167,225.375
2011-01-17,194.708,27.083,18.167,20.667,2.5,,3.333,17.417,221.792
2011-01-18,205.875,56.292,43.417,79.667,36.25,,5.583,34.708,262.167
2011-01-19,197.476,34.524,26.136,37.5,11.364,,3.227,31.458,232.0
2011-01-20,193.583,12.792,16.958,19.875,2.917,,1.167,23.083,206.375
2011-01-21,191.875,10.917,12.875,14.0,1.125,,0.833,15.5,202.792
2011-01-22,197.167,18.75,14.833,21.167,6.333,,0.792,10.125,215.917
2011-01-23,203.292,46.375,25.292,52.958,27.667,,3.042,21.167,249.667
2011-01-24,196.042,18.083,19.583,23.833,4.25,,2.875,14.667,214.125
2011-01-25,198.833,34.583,23.917,36.333,12.417,,1.833,19.958,233.417
2011-01-26,198.227,31.045,22.957,27.435,4.478,,2.273,18.565,229.273
2011-01-27,201.542,30.625,27.25,44.0,16.75,,2.25,15.833,232.167
2011-01-28,197.625,19.875,20.208,25.542,5.333,,2.417,20.5,217.5
2011-01-29,194.292,7.292,6.833,7.292,0.458,,1.125,11.833,201.583
2011-01-30,195.833,18.833,19.208,22.917,3.708,,2.208,14.917,214.667
2011-01-31,198.542,24.708,25.417,39.958,14.542,,2.542,17.625,223.25
2011-02-01,195.167,12.375,12.042,14.875,2.833,,1.875,16.667,207.542
2011-02-02,196.958,15.333,17.667,20.292,2.625,,0.833,9.917,212.292
2011-02-03,200.818,29.455,24.87,41.783,16.913,,1.636,18.875,230.273
2011-02-04,199.917,27.708,21.75,34.542,12.792,,1.292,19.708,227.625
2011-02-05,204.542,30.042,27.292,37.333,10.042,,3.208,26.75,234.583
2011-02-06,205.375,35.708,37.583,54.75,17.167,,1.958,43.167,241.083
2011-02-07,204.25,43.0,25.25,42.917,17.667,,2.083,45.958,247.25
2011-02-08,194.958,25.792,18.125,20.792,2.667,,3.542,16.0,220.75
2011-02-09,194.476,17.238,18.45,23.25,4.8,,1.524,12.364,211.714
2011-02-10,201.208,34.292,29.0,50.625,21.625,,3.625,20.167,235.5
2011-02-11,198.167,26.5,21.792,26.75,4.958,,3.625,19.958,224.667
2011-02-12,195.708,13.375,14.25,16.708,2.458,,2.958,18.5,209.083
2011-02-13,197.125,32.875,29.375,37.083,7.708,,7.917,26.958,230.0
2011-02-14,197.542,25.375,31.792,39.042,7.25,,3.5,41.875,222.917
2011-02-15,200.75,32.167,30.125,46.5,16.375,,4.958,45.875,232.917
2011-02-16,194.55,16.35,17.474,19.053,1.579,,4.368,19.083,210.9
2011-02-17,199.75,29.958,27.667,35.167,7.5,,3.5,33.0,229.708
2011-02-18,196.417,11.708,10.833,11.917,1.083,,2.542,19.417,208.125
2011-02-19,200.125,17.833,18.0,22.5,4.5,,2.875,21.208,217.958
2011-02-20,202.75,27.292,32.292,43.25,10.958,,4.333,24.625,230.042
2011-02-21,204.625,43.667,39.917,61.208,21.292,,4.833,30.708,248.292
2011-02-22,198.182,32.409,21.364,22.818,1.455,,7.0,35.833,230.591
2011-02-23,198.792,35.0,33.708,54.667,20.958,,3.417,40.542,233.792
2011-02-24,195.833,19.875,23.5,25.667,2.167,,5.417,35.875,215.708
2011-02-25,196.708,27.875,21.292,23.75,2.458,,3.708,29.958,224.583
2011-02-26,193.417,12.375,11.25,12.333,1.083,,3.917,13.583,205.792
2011-02-27,193.875,13.583,10.417,11.792,1.375,,2.667,15.0,207.458
2011-02-28,195.25,23.292,16.625,19.417,2.792,,4.083,16.833,218.542
2011-03-01,201.167,49.167,31.875,55.958,24.083,,3.542,30.667,250.333
2011-03-02,200.875,39.5,34.125,56.625,22.5,,4.292,29.25,240.375
2011-03-03,194.125,9.542,12.667,13.75,1.083,,3.917,23.542,203.667
2011-03-04,194.143,11.81,14.476,14.905,0.429,,5.048,25.857,205.952
2011-03-05,201.273,22.818,26.409,32.0,5.591,,1.955,15.833,224.091
2011-03-06,203.958,55.125,34.833,64.208,29.375,,3.917,37.75,259.083
