date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,6.125,19.25,26.708,7.458,18.667
2011-01-02,4.167,13.5,18.417,4.917,10.958
2011-01-03,5.458,15.833,23.625,7.792,7.375
2011-01-04,6.375,17.583,31.083,13.5,11.542
2011-01-05,6.5,24.542,48.125,23.583,9.25
2011-01-06,8.333,36.375,99.542,63.167,12.875
2011-01-07,6.208,25.042,42.125,17.083,9.25
2011-01-08,5.875,19.875,32.667,12.792,10.167
2011-01-09,7.042,28.833,54.708,25.875,20.208
2011-01-10,8.125,34.75,74.708,39.958,20.75
2011-01-11,6.208,26.083,54.333,28.25,21.875
2011-01-12,7.0,30.667,62.292,31.625,11.292
2011-01-13,10.957,40.609,126.174,85.565,21.435
2011-01-14,7.708,29.5,57.667,28.167,15.417
2011-01-15,8.042,25.25,40.5,15.25,19.292
2011-01-16,5.5,29.0,44.917,15.917,18.917
2011-01-17,7.25,32.042,64.958,32.917,21.25
2011-01-18,10.25,41.958,114.708,72.75,30.875
2011-01-19,5.826,29.522,51.826,22.304,23.826
2011-01-20,4.0,11.875,18.292,6.417,12.875
2011-01-21,3.542,12.833,19.542,6.708,7.417
2011-01-22,5.0,13.792,21.667,7.875,11.208
2011-01-23,8.333,29.667,86.042,56.375,18.875
2011-01-24,7.292,30.667,64.667,34.0,14.292
2011-01-25,8.833,30.75,96.083,65.333,16.625
2011-01-26,6.652,29.652,57.913,28.261,13.522
2011-01-27,9.375,31.75,88.167,56.417,16.083
2011-01-28,5.708,23.125,41.208,18.083,14.417
2011-01-29,5.167,15.292,21.417,6.125,12.542
2011-01-30,6.292,30.292,57.708,27.417,14.458
2011-01-31,7.333,31.792,81.5,49.708,12.792
2011-02-01,7.042,21.667,45.375,23.708,17.75
2011-02-02,7.875,28.542,64.167,35.625,10.125
2011-02-03,9.304,34.739,87.043,52.304,13.304
2011-02-04,8.583,30.958,78.833,47.875,13.708
2011-02-05,8.542,30.792,51.917,21.125,22.083
2011-02-06,8.125,37.125,70.667,33.542,46.542
2011-02-07,7.667,32.542,64.458,31.917,58.583
2011-02-08,5.75,25.167,41.125,15.958,11.875
2011-02-09,7.25,28.667,75.583,46.917,11.542
2011-02-10,7.565,32.913,77.13,44.217,14.13
2011-02-11,6.875,27.667,46.833,19.167,15.708
2011-02-12,6.917,19.917,34.125,14.208,12.417
2011-02-13,8.417,39.875,83.458,43.583,24.083
2011-02-14,7.25,34.042,52.583,18.542,38.292
2011-02-15,7.75,32.5,74.083,41.583,33.667
2011-02-16,5.583,26.208,41.5,15.292,19.083
2011-02-17,6.826,31.565,58.913,27.348,28.13
2011-02-18,5.333,17.667,30.458,12.792,11.375
2011-02-19,6.083,20.833,31.708,10.875,15.042
2011-02-20,7.208,30.5,57.958,27.458,15.542
2011-02-21,8.417,40.292,85.792,45.5,21.917
2011-02-22,6.583,27.708,40.375,12.667,31.333
2011-02-23,8.13,32.783,60.565,27.783,38.348
2011-02-24,7.333,29.167,51.375,22.208,25.167
2011-02-25,6.458,22.292,29.875,7.583,20.792
2011-02-26,6.292,17.0,24.458,7.458,13.833
2011-02-27,4.167,17.375,27.625,10.25,11.5
2011-02-28,4.792,24.167,36.542,12.375,12.792
2011-03-01,7.957,33.217,72.304,39.087,17.696
2011-03-02,7.625,34.792,79.708,44.917,25.708
2011-03-03,5.417,20.208,28.25,8.042,15.542
2011-03-04,5.125,14.958,18.583,3.625,23.125
2011-03-05,7.25,29.542,55.583,26.042,15.708
2011-03-06,9.833,40.292,96.0,55.708,41.417
2011-03-07,7.167,27.292,40.042,12.75,33.417
2011-03-08,5.75,26.625,36.333,9.708,26.0
2011-03-09,5.565,23.0,34.783,11.783,21.087
2011-03-10,4.5,12.167,17.208,5.042,6.75
2011-03-11,6.667,17.833,26.292,8.458,18.792
2011-03-12,6.125,23.375,43.583,20.208,9.333
2011-03-13,5.667,21.792,37.5,15.708,10.667
2011-03-14,6.333,27.833,44.875,17.042,16.083
2011-03-15,5.917,29.125,56.792,27.667,17.5
2011-03-16,5.609,25.957,47.913,21.957,17.826
2011-03-17,8.333,38.208,64.958,26.75,56.125
2011-03-18,9.5,30.417,49.792,19.375,67.708
2011-03-19,5.833,26.75,41.5,14.75,14.458
2011-03-20,5.333,22.875,34.708,11.833,15.0
2011-03-21,5.167,23.833,40.333,16.5,11.792
2011-03-22,7.125,40.583,80.833,40.25,23.417
2011-03-23,8.174,44.522,83.522,39.0,30.304
2011-03-24,7.917,30.75,49.125,18.375,27.208
2011-03-25,6.792,19.375,34.125,14.75,10.917
2011-03-26,7.208,32.208,58.917,26.708,15.542
2011-03-27,6.917,33.0,59.5,26.5,16.167
2011-03-28,6.292,31.458,57.625,26.167,25.833
2011-03-29,5.75,25.542,45.625,20.083,16.042
2011-03-30,4.391,12.087,22.043,9.957,17.913
2011-03-31,3.792,7.167,11.333,4.167,24.208
2011-04-01,6.292,24.25,38.833,14.583,19.125
2011-04-02,6.292,27.917,41.792,13.875,31.375
2011-04-03,4.75,13.458,16.875,3.417,17.25
2011-04-04,4.208,14.5,20.5,6.0,11.917
2011-04-05,5.75,29.542,45.792,16.25,16.458
2011-04-06,6.542,32.083,61.125,29.042,20.583
2011-04-07,5.043,20.609,40.261,19.652,19.174
2011-04-08,3.542,6.0,11.958,5.958,16.625
2011-04-09,4.625,8.833,14.458,5.625,28.083
2011-04-10,5.167,9.625,14.375,4.75,16.542
2011-04-11,6.042,18.667,31.083,12.417,26.5
2011-04-12,5.0,15.083,22.917,7.833,18.458
2011-04-13,5.333,22.458,34.917,12.458,22.75
2011-04-14,6.348,29.304,41.826,12.522,28.739
2011-04-15,4.833,15.208,25.375,10.167,26.833
2011-04-16,4.417,8.417,14.542,6.125,23.417
2011-04-17,4.125,8.417,13.417,5.0,17.333
2011-04-18,4.833,23.292,37.125,13.833,19.792
2011-04-19,4.458,15.375,22.75,7.375,13.417
2011-04-20,6.375,24.25,39.542,15.292,15.208
2011-04-21,6.125,21.667,36.542,14.875,20.125
2011-04-22,5.174,20.261,37.391,17.13,27.13
2011-04-23,3.625,8.417,16.417,8.0,28.667
2011-04-24,4.917,8.917,13.625,4.708,15.5
2011-04-25,5.75,20.958,34.292,13.333,16.25
2011-04-26,5.292,23.5,40.75,17.25,18.75
2011-04-27,4.417,5.833,11.583,5.75,44.708
2011-04-28,4.043,11.435,19.565,8.13,19.609
2011-04-29,4.833,17.417,26.25,8.833,13.375
2011-04-30,5.292,14.5,24.75,10.25,22.292
2011-05-01,3.917,5.833,11.25,5.417,19.083
2011-05-02,6.458,19.75,37.167,17.417,54.083
2011-05-03,5.208,13.333,17.417,4.083,62.25
2011-05-04,5.333,11.625,19.0,7.375,27.833
2011-05-05,4.833,12.5,16.375,3.875,22.875
2011-05-06,6.208,21.292,32.792,11.5,31.174
2011-05-07,6.875,28.333,45.917,17.583,35.333
2011-05-08,6.958,15.375,24.542,9.167,32.125
2011-05-09,6.292,23.042,39.875,16.833,30.458
2011-05-10,5.708,20.042,37.083,17.042,27.167
2011-05-11,7.042,27.667,38.833,11.167,19.042
2011-05-12,6.087,24.696,37.435,12.739,25.13
2011-05-13,6.208,24.083,43.917,19.833,39.583
2011-05-14,6.0,22.125,35.833,13.708,41.583
2011-05-15,4.75,12.625,18.208,5.583,23.75
2011-05-16,4.375,13.25,23.333,10.083,28.208
2011-05-17,5.083,20.042,32.708,12.667,29.208
2011-05-18,6.667,28.0,47.0,19.0,36.667
2011-05-19,5.739,28.13,44.565,16.435,32.609
2011-05-20,4.667,17.375,32.875,15.5,38.792
2011-05-21,4.542,11.292,21.5,10.208,31.167
2011-05-22,3.542,5.75,9.375,3.625,18.292
2011-05-23,4.917,20.125,28.167,8.042,15.167
2011-05-24,5.25,22.833,32.417,9.583,15.042
2011-05-25,6.083,22.083,44.167,22.083,18.792
2011-05-26,4.87,24.391,39.217,14.826,23.217
2011-05-27,5.417,25.958,43.125,17.167,19.875
2011-05-28,4.875,20.333,26.125,5.792,19.583
2011-05-29,4.333,12.458,15.708,3.25,10.625
2011-05-30,2.875,8.708,12.375,3.667,19.25
2011-05-31,3.667,13.125,18.917,5.792,15.417
2011-06-01,5.583,21.125,42.042,20.917,29.458
2011-06-02,7.696,30.227,59.5,29.273,42.9
2011-06-03,6.708,21.435,44.13,22.696,23.6
2011-06-04,5.958,18.333,31.417,13.083,35.083
2011-06-05,5.417,11.042,16.125,5.083,38.708
2011-06-06,6.375,18.708,29.542,10.833,34.917
2011-06-07,6.25,21.333,34.292,12.958,32.25
2011-06-08,5.625,22.292,28.167,5.875,24.0
2011-06-09,6.625,22.292,35.333,13.042,27.708
2011-06-10,5.565,17.435,34.565,17.13,24.913
2011-06-11,6.833,21.5,33.542,12.042,36.292
2011-06-12,7.25,16.833,23.25,6.417,46.375
2011-06-13,5.833,22.0,32.708,10.708,25.833
2011-06-14,6.333,22.542,32.292,9.75,33.833
2011-06-15,5.292,20.375,30.667,10.292,16.833
2011-06-16,6.174,25.0,46.609,21.609,18.0
2011-06-17,4.333,17.708,23.917,6.208,10.917
2011-06-18,7.708,23.833,43.583,19.75,25.125
2011-06-19,6.25,14.792,21.958,7.167,25.583
2011-06-20,4.708,15.333,31.083,15.75,17.958
2011-06-21,4.708,12.083,26.875,14.792,12.708
2011-06-22,6.083,21.958,45.083,23.125,31.583
2011-06-23,3.696,10.304,23.913,13.609,29.609
2011-06-24,3.792,7.75,20.125,12.375,24.5
2011-06-25,5.5,16.75,27.125,10.375,27.875
2011-06-26,6.292,12.125,18.583,6.458,42.208
2011-06-27,5.375,18.875,37.375,18.5,41.417
2011-06-28,5.0,13.625,32.125,18.5,28.792
2011-06-29,6.417,21.583,39.167,17.583,40.542
2011-06-30,5.609,21.478,37.435,15.957,41.562
2011-07-01,5.875,17.783,39.783,22.0,25.182
2011-07-02,5.5,15.458,21.5,6.042,40.792
2011-07-03,5.25,12.792,22.125,9.333,32.5
2011-07-04,3.292,5.25,12.583,7.333,42.125
2011-07-05,4.292,13.083,22.333,9.25,27.833
2011-07-06,5.739,19.957,27.087,7.13,30.87
2011-07-07,3.583,7.125,19.5,12.375,18.875
2011-07-08,4.708,10.208,29.917,19.708,21.917
2011-07-09,4.708,10.125,28.708,18.583,22.125
2011-07-10,4.0,7.667,19.25,11.583,20.25
2011-07-11,3.667,7.708,25.833,18.125,18.292
2011-07-12,3.435,6.6,23.35,16.75,18.826
2011-07-13,3.333,7.333,23.792,16.458,17.833
2011-07-14,4.125,8.708,23.583,14.875,17.75
2011-07-15,4.5,13.875,32.875,19.0,22.875
2011-07-16,4.042,11.0,25.292,14.292,28.417
2011-07-17,3.542,5.625,15.625,10.0,27.042
2011-07-18,3.375,5.208,17.208,12.0,40.458
2011-07-19,3.125,6.667,20.625,13.958,61.458
2011-07-20,3.522,8.478,19.739,11.261,46.043
