date,SO2_mean,SPM_mean
2011-01-01,0.083,4.542
2011-01-02,0.0,4.917
2011-01-03,0.174,3.375
2011-01-04,0.826,2.348
2011-01-05,0.087,3.125
2011-01-06,0.167,5.0
2011-01-07,0.708,5.958
2011-01-08,0.542,2.333
2011-01-09,0.913,6.542
2011-01-10,0.609,2.875
2011-01-11,0.696,5.688
2011-01-12,0.348,3.583
2011-01-13,0.125,0.583
2011-01-14,0.958,7.333
2011-01-15,0.5,4.167
2011-01-16,0.391,7.042
2011-01-17,0.087,4.458
2011-01-18,0.783,2.083
2011-01-19,0.478,6.208
2011-01-20,0.375,1.417
2011-01-21,0.125,4.542
2011-01-22,0.083,1.208
2011-01-23,0.0,4.35
2011-01-24,0.043,3.0
2011-01-25,0.625,4.875
2011-01-26,1.304,6.25
2011-01-27,1.75,5.375
2011-01-28,1.083,2.917
2011-01-29,0.917,9.25
2011-01-30,1.043,3.708
2011-01-31,0.565,5.083
2011-02-01,1.13,6.167
2011-02-02,1.348,6.917
2011-02-03,0.708,2.083
2011-02-04,1.0,2.958
2011-02-05,0.667,6.833
2011-02-06,0.739,16.348
2011-02-07,0.522,5.5
2011-02-08,0.696,4.333
2011-02-09,0.304,2.75
2011-02-10,0.542,6.833
2011-02-11,0.875,4.417
2011-02-12,0.583,7.375
2011-02-13,0.739,9.25
2011-02-14,1.043,6.333
2011-02-15,0.696,11.917
2011-02-16,0.652,7.875
2011-02-17,0.667,4.375
2011-02-18,1.0,5.75
2011-02-19,0.417,2.667
2011-02-20,0.826,3.375
2011-02-21,1.391,12.25
2011-02-22,1.609,16.208
2011-02-23,0.609,12.042
2011-02-24,1.333,18.292
2011-02-25,0.583,9.792
2011-02-26,0.083,5.75
2011-02-27,0.609,7.542
2011-02-28,0.739,4.458
2011-03-01,0.522,9.125
2011-03-02,0.458,11.0
2011-03-03,0.583,5.833
2011-03-04,0.417,6.292
2011-03-05,0.261,7.792
2011-03-06,0.391,4.458
2011-03-07,1.348,17.417
2011-03-08,0.739,21.458
2011-03-09,0.542,10.708
2011-03-10,0.083,5.833
2011-03-11,0.583,4.708
