date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,89.0,72.25,48.0,13.833,35.167,21.333,12.542,2.833,10.333,5.5,-1.538,-6.9
2011-01-02,96.0,82.583,71.0,9.417,23.083,13.667,5.958,3.958,6.25,3.3,-0.912,-5.3
2011-01-03,90.0,70.833,39.0,11.208,27.75,16.542,3.458,2.583,3.958,3.0,-2.712,-8.4
2011-01-04,99.0,79.476,57.0,8.708,19.792,11.083,8.625,9.083,9.083,1.5,-2.138,-6.3
2011-01-05,97.0,75.167,38.0,22.0,64.958,42.958,5.708,3.417,5.0,0.9,-5.229,-9.6
2011-01-06,98.0,72.458,37.0,20.455,67.409,46.955,4.957,3.478,7.565,5.0,-3.183,-11.0
2011-01-07,97.0,66.5,36.0,15.083,24.042,8.958,2.5,2.417,3.5,1.9,-2.204,-6.6
2011-01-08,86.0,71.375,48.0,18.0,29.5,11.5,3.75,2.667,5.958,1.9,-4.183,-9.7
2011-01-09,90.0,66.542,35.0,21.542,39.958,18.417,9.125,4.25,9.833,6.3,-1.05,-6.7
2011-01-10,88.0,69.042,35.0,29.333,67.667,38.333,9.375,8.042,8.542,6.7,-0.858,-7.2
2011-01-11,91.0,77.125,61.0,19.583,44.5,24.917,7.708,3.625,8.5,4.1,-0.988,-5.4
2011-01-12,85.0,67.333,45.0,20.458,42.375,21.917,5.833,2.875,6.208,0.3,-5.038,-9.3
2011-01-13,99.0,69.087,41.0,20.792,67.25,46.458,6.542,5.917,3.0,5.1,-1.821,-9.0
2011-01-14,94.0,65.125,34.0,4.167,7.792,3.625,4.167,7.583,5.833,3.2,-0.983,-4.0
2011-01-15,90.0,73.542,37.0,6.958,11.917,4.958,5.25,2.333,7.417,4.2,-1.254,-5.5
2011-01-16,85.0,73.083,63.0,8.25,12.625,4.375,7.583,2.042,7.417,-0.7,-2.133,-3.8
2011-01-17,80.0,68.375,50.0,10.042,16.083,6.042,5.375,2.042,6.875,2.4,-1.804,-5.3
2011-01-18,90.0,66.125,26.0,28.583,62.375,33.792,10.083,3.458,10.0,6.5,-2.338,-8.8
2011-01-19,89.0,68.158,43.0,25.792,72.042,46.25,9.792,5.5,12.167,5.7,-0.388,-6.6
2011-01-20,100.0,95.571,89.0,21.292,30.875,9.583,7.625,4.583,5.708,1.1,0.108,-0.5
2011-01-21,98.0,95.25,93.0,19.0,25.833,6.833,5.333,2.417,3.292,1.7,0.458,-0.2
2011-01-22,100.0,93.706,86.0,12.875,18.042,5.167,6.75,2.208,6.583,4.3,1.496,0.2
2011-01-23,97.0,87.792,76.0,7.667,11.75,4.083,2.75,2.167,4.958,2.5,0.121,-3.3
2011-01-24,84.0,69.583,48.0,9.583,15.708,6.125,1.875,5.375,2.958,0.1,-3.367,-7.3
2011-01-25,77.0,77.0,77.0,18.417,29.292,10.875,3.75,2.917,5.833,-3.9,-3.9,-3.9
2011-01-26,74.0,58.571,44.0,10.417,15.333,4.917,3.125,6.25,6.625,-0.8,-3.321,-7.6
2011-01-27,86.0,71.125,46.0,22.667,38.833,16.167,7.333,8.875,8.458,1.7,-4.204,-10.2
2011-01-28,92.0,77.875,61.0,7.583,10.875,3.292,6.875,3.542,9.458,-1.0,-4.004,-7.8
2011-01-29,85.0,70.708,43.0,16.917,24.208,7.292,6.083,7.417,4.208,-0.2,-6.454,-11.4
2011-01-30,84.0,62.875,34.0,20.364,35.955,15.591,5.542,9.542,7.0,1.1,-5.267,-11.7
2011-01-31,87.0,67.958,38.0,,,,4.333,5.25,6.25,2.1,-4.279,-9.5
2011-02-01,99.0,77.417,39.0,,,,5.167,4.042,7.958,0.6,-4.408,-9.0
2011-02-02,78.0,53.833,36.0,,,,5.458,9.833,5.167,-3.3,-6.292,-11.5
2011-02-03,82.0,60.167,30.0,,,,4.875,4.583,7.708,1.0,-6.896,-14.2
2011-02-04,82.0,63.792,43.0,,,,7.583,3.542,7.458,1.7,-3.058,-9.2
2011-02-05,87.0,66.583,43.0,,,,11.333,4.208,12.625,3.6,-1.362,-8.8
2011-02-06,98.0,88.417,81.0,38.8,82.8,44.0,25.043,7.292,20.792,2.0,-0.804,-5.6
2011-02-07,100.0,85.5,71.0,25.5,55.375,29.875,7.583,3.875,13.708,4.4,3.017,1.6
2011-02-08,84.0,53.5,34.0,3.042,5.042,2.0,1.458,6.467,8.176,2.4,-0.458,-4.1
2011-02-09,66.0,53.833,44.0,2.591,4.227,1.636,1.417,2.333,10.5,0.0,-2.862,-4.7
2011-02-10,80.0,58.417,35.0,7.333,10.333,3.0,1.958,3.25,2.857,4.0,-1.446,-6.5
2011-02-11,85.0,64.583,52.0,9.208,13.417,4.208,4.792,4.625,5.417,2.0,-1.821,-5.7
2011-02-12,81.0,56.208,32.0,2.792,4.042,1.25,3.833,2.125,4.5,3.7,-1.262,-5.0
2011-02-13,99.0,71.176,28.0,14.208,19.458,5.25,7.583,4.591,9.792,5.1,-1.508,-5.7
2011-02-14,99.0,95.667,92.0,26.708,47.417,20.708,15.833,5.833,12.5,3.0,0.771,-0.6
2011-02-15,100.0,88.0,81.0,11.417,16.292,4.875,8.333,2.625,7.417,3.0,0.312,-3.9
2011-02-16,83.0,71.542,53.0,8.75,12.25,3.5,5.292,2.0,6.75,2.5,-1.933,-4.5
2011-02-17,96.0,78.917,57.0,11.125,15.208,4.083,3.875,5.792,6.167,-0.1,-2.862,-6.2
2011-02-18,94.0,67.833,44.0,7.125,10.167,3.042,4.542,7.417,3.833,-1.6,-5.221,-9.2
2011-02-19,82.0,59.333,30.0,12.208,15.667,3.458,4.625,2.667,5.583,2.0,-4.908,-11.8
2011-02-20,81.0,58.75,24.0,18.208,26.875,8.667,4.75,4.583,6.125,6.4,-1.642,-9.0
2011-02-21,88.0,65.708,26.0,17.417,34.917,17.5,8.708,8.167,9.25,9.9,0.679,-6.5
2011-02-22,92.0,73.125,41.0,7.083,9.458,2.375,17.833,5.917,16.417,9.5,3.012,-1.7
2011-02-23,99.0,82.143,53.0,12.542,17.25,4.708,5.083,2.833,5.875,8.4,5.033,2.8
2011-02-24,89.0,71.333,46.0,9.083,11.375,2.292,25.375,5.917,26.458,8.7,3.517,0.0
2011-02-25,99.0,91.133,84.0,14.0,17.708,3.708,11.667,8.708,15.042,3.6,1.733,-0.8
2011-02-26,93.0,82.708,73.0,3.417,4.917,1.5,5.045,1.913,6.304,1.2,-1.496,-4.4
2011-02-27,85.0,65.333,39.0,4.542,6.708,2.167,8.958,7.214,7.857,1.7,-3.279,-6.5
2011-02-28,86.0,64.625,42.0,10.208,13.208,3.0,7.75,,,4.0,-2.117,-8.4
2011-03-01,100.0,80.913,48.0,24.292,45.75,21.458,10.417,4.0,,9.9,4.108,0.6
2011-03-02,99.0,95.667,94.0,27.458,57.875,30.417,10.333,4.833,,4.0,2.312,-0.1
2011-03-03,99.0,79.25,62.0,3.125,4.708,1.583,6.875,2.917,,6.6,2.325,0.0
2011-03-04,94.0,81.583,55.0,3.167,4.625,1.458,10.958,3.0,,9.6,2.65,-1.8
2011-03-05,99.0,93.231,88.0,12.043,14.87,2.826,0.0,3.0,,6.3,4.192,1.6
2011-03-06,90.0,69.923,56.0,16.208,29.167,12.958,3.583,3.875,,16.5,10.038,5.1
2011-03-07,87.0,71.458,60.0,4.917,6.0,1.083,15.167,5.25,,11.9,6.742,2.6
2011-03-08,92.0,77.545,54.0,10.857,13.762,2.905,23.136,5.952,,11.6,5.186,0.7
2011-03-09,99.0,90.583,80.0,17.083,22.875,5.792,15.875,3.167,,3.7,1.604,0.2
2011-03-10,100.0,92.2,84.0,4.917,6.208,1.292,-0.125,1.25,,2.9,0.921,-0.2
2011-03-11,92.0,69.917,29.0,2.0,2.542,0.542,6.0,2.583,,7.5,1.838,-1.5
2011-03-12,56.0,52.111,46.0,4.75,6.292,1.542,2.75,6.583,,2.6,-0.975,-3.6
2011-03-13,84.0,49.357,30.0,7.304,9.348,2.043,4.87,4.565,,4.7,-1.196,-5.8
2011-03-14,85.0,55.042,24.0,11.583,15.25,3.667,7.083,5.042,,6.9,0.271,-6.2
2011-03-15,76.0,58.583,33.0,12.208,16.125,3.917,11.625,3.458,,5.8,1.121,-2.6
2011-03-16,82.0,62.652,32.0,9.417,12.0,2.583,10.583,6.542,,9.5,1.9,-5.4
2011-03-17,100.0,90.615,77.0,13.625,16.333,2.708,9.083,6.417,,7.3,5.321,2.8
2011-03-18,97.0,94.067,90.0,12.875,16.333,3.458,5.833,2.292,,8.8,6.388,3.9
2011-03-19,97.0,67.708,53.0,3.583,4.833,1.25,1.458,2.167,,5.1,1.417,-3.3
2011-03-20,84.0,58.75,25.0,4.083,5.458,1.375,4.958,5.417,,8.8,1.375,-4.6
2011-03-21,79.0,49.292,29.0,6.083,7.667,1.583,3.875,4.652,10.0,6.4,1.146,-2.5
2011-03-22,79.0,52.708,19.0,14.083,19.083,5.0,6.417,2.917,10.958,11.2,4.396,-3.2
2011-03-23,99.0,88.9,81.0,11.417,13.875,2.458,8.25,2.958,11.625,5.4,3.421,1.6
2011-03-24,99.0,63.45,38.0,4.458,5.417,0.958,-0.087,2.783,4.652,9.7,6.071,2.3
2011-03-25,94.0,62.958,36.0,1.5,2.292,0.792,3.375,2.125,6.625,5.5,1.596,-1.0
2011-03-26,75.0,51.083,31.0,2.25,3.25,1.0,4.875,4.292,6.125,4.4,1.017,-2.2
2011-03-27,80.0,48.333,23.0,5.917,7.833,1.917,6.167,4.958,9.208,11.3,3.658,-3.8
2011-03-28,91.0,73.833,51.0,14.625,19.417,4.792,15.375,8.833,19.042,9.0,2.742,-1.3
2011-03-29,92.0,54.083,16.0,14.792,19.042,4.25,11.042,3.792,12.625,16.3,6.225,-2.6
2011-03-30,79.0,56.333,25.0,12.167,18.958,6.792,12.375,11.542,16.167,16.4,8.854,0.8
2011-03-31,95.0,76.542,51.0,2.125,2.792,0.667,0.875,3.542,5.792,11.5,6.979,0.2
2011-04-01,83.0,55.958,17.0,16.583,24.708,8.125,,8.75,11.458,16.4,5.812,-4.0
2011-04-02,79.0,59.25,20.0,13.625,21.042,7.417,,5.75,19.625,16.5,6.067,0.1
2011-04-03,82.0,59.167,38.0,2.042,3.083,1.042,,3.0,6.75,8.3,1.979,-1.2
2011-04-04,81.0,50.667,27.0,4.208,5.917,1.708,,3.208,5.333,8.5,2.121,-2.5
2011-04-05,66.0,38.75,20.0,10.833,14.625,3.792,,5.208,11.708,14.5,5.254,-4.0
2011-04-06,70.0,43.542,14.0,17.625,25.0,7.375,,5.458,12.25,18.9,8.312,-2.2
2011-04-07,76.0,53.292,23.0,18.417,28.708,10.292,,5.417,11.667,17.6,9.838,2.4
2011-04-08,93.0,67.167,38.0,7.565,9.522,1.957,,3.478,10.652,16.3,11.121,6.7
2011-04-09,99.0,93.611,81.0,5.667,6.667,1.0,,3.333,6.583,16.4,10.142,6.5
2011-04-10,95.0,69.583,41.0,3.958,4.583,0.625,,3.0,15.833,16.2,9.658,4.5
2011-04-11,91.0,70.083,27.0,9.417,12.333,2.917,,4.375,23.208,15.8,6.942,1.6
2011-04-12,77.0,43.542,22.0,7.0,8.75,1.75,,2.583,19.042,11.3,4.812,-1.1
2011-04-13,74.0,38.625,16.0,15.792,22.708,6.917,,5.5,15.167,18.5,8.796,-1.2
2011-04-14,68.0,42.542,15.0,15.75,21.25,5.5,,5.0,20.292,21.5,11.562,1.2
2011-04-15,89.0,57.333,23.0,14.5,19.833,5.333,,7.042,21.292,20.8,12.075,5.6
2011-04-16,97.0,65.917,29.0,6.875,9.875,3.0,,4.917,23.292,18.7,11.088,3.7
2011-04-17,77.0,49.917,20.0,1.875,2.625,0.75,,2.667,6.917,18.5,9.346,1.8
2011-04-18,96.0,66.667,36.0,7.75,11.833,4.083,,3.208,16.083,18.2,11.604,7.2
2011-04-19,99.0,87.792,72.0,3.917,5.667,1.75,,7.167,3.958,10.6,6.896,3.0
2011-04-20,94.0,75.0,52.0,7.958,10.708,2.75,,2.75,5.5,13.0,6.712,1.5
2011-04-21,92.0,72.875,37.0,13.5,21.542,8.042,,6.75,12.167,18.8,10.004,2.7
2011-04-22,97.0,79.167,37.0,10.583,13.25,2.667,,3.375,19.25,15.2,10.292,6.9
2011-04-23,100.0,95.85,90.0,2.833,4.25,1.417,,1.333,7.792,12.7,10.758,7.4
