date,SO2_mean,SPM_mean
2011-01-01,2.792,14.917
2011-01-02,2.125,6.048
2011-01-03,1.792,8.304
2011-01-04,3.0,16.304
2011-01-05,1.542,6.4
2011-01-06,2.333,10.304
2011-01-07,2.167,4.35
2011-01-08,2.542,7.955
2011-01-09,2.792,9.417
2011-01-10,2.417,14.174
2011-01-11,3.292,13.542
2011-01-12,2.5,8.0
2011-01-13,2.5,11.625
2011-01-14,2.542,10.957
2011-01-15,1.833,8.524
2011-01-16,3.125,11.435
2011-01-17,2.375,11.217
2011-01-18,3.652,15.826
2011-01-19,4.0,15.429
2011-01-20,2.292,12.182
2011-01-21,2.667,11.043
2011-01-22,2.375,8.545
2011-01-23,1.955,8.176
2011-01-24,1.792,6.13
2011-01-25,2.167,9.739
2011-01-26,1.792,6.143
2011-01-27,2.375,12.25
2011-01-28,2.917,14.625
2011-01-29,2.083,6.417
2011-01-30,1.75,6.227
2011-01-31,1.783,8.565
2011-02-01,2.391,10.619
2011-02-02,1.917,16.0
2011-02-03,4.333,19.417
2011-02-04,4.667,22.75
2011-02-05,3.833,22.583
2011-02-06,2.958,26.13
2011-02-07,2.583,12.55
2011-02-08,1.75,6.85
2011-02-09,1.792,10.174
2011-02-10,2.458,9.545
2011-02-11,1.958,10.125
2011-02-12,2.25,12.652
2011-02-13,3.417,15.13
2011-02-14,2.208,7.87
2011-02-15,3.217,19.261
2011-02-16,1.917,10.083
2011-02-17,2.217,8.958
2011-02-18,2.333,10.913
2011-02-19,2.458,9.958
2011-02-20,2.208,12.478
2011-02-21,3.583,13.167
2011-02-22,5.083,27.292
2011-02-23,3.167,21.348
2011-02-24,5.292,35.208
2011-02-25,3.417,22.542
2011-02-26,2.417,11.25
2011-02-27,2.542,13.609
2011-02-28,3.542,12.625
2011-03-01,3.708,26.0
2011-03-02,3.5,25.25
2011-03-03,2.708,33.316
2011-03-04,3.792,46.727
2011-03-05,2.042,28.9
2011-03-06,3.25,26.417
2011-03-07,4.174,43.667
2011-03-08,3.45,30.474
2011-03-09,1.562,14.083
2011-03-10,0.958,20.792
2011-03-11,1.261,17.958
2011-03-12,1.25,15.667
2011-03-13,1.375,18.292
2011-03-14,1.913,30.333
2011-03-15,2.045,26.167
2011-03-16,3.261,35.0
2011-03-17,1.417,30.292
2011-03-18,1.167,23.588
2011-03-19,1.625,24.652
2011-03-20,1.25,20.792
2011-03-21,1.783,27.25
2011-03-22,2.333,29.87
2011-03-23,1.333,24.708
2011-03-24,1.208,18.333
2011-03-25,0.75,19.792
2011-03-26,1.167,18.13
2011-03-27,1.708,26.667
2011-03-28,2.583,35.4
2011-03-29,2.542,35.045
2011-03-30,2.913,41.583
2011-03-31,1.25,30.542
2011-04-01,1.083,19.348
2011-04-02,1.0,25.174
2011-04-03,0.917,10.333
2011-04-04,1.125,10.409
2011-04-05,1.0,16.3
2011-04-06,1.125,24.25
2011-04-07,1.375,19.65
2011-04-08,1.083,24.529
2011-04-09,1.042,19.636
2011-04-10,1.167,32.958
2011-04-11,1.167,30.15
2011-04-12,1.042,32.333
2011-04-13,1.261,29.208
2011-04-14,1.417,32.167
2011-04-15,1.458,31.375
2011-04-16,1.292,26.208
2011-04-17,1.125,19.417
2011-04-18,1.167,21.739
2011-04-19,1.0,10.522
2011-04-20,0.958,5.958
2011-04-21,1.167,15.25
2011-04-22,1.208,27.75
2011-04-23,1.0,15.75
2011-04-24,0.958,15.375
2011-04-25,0.917,20.087
2011-04-26,1.083,22.636
2011-04-27,1.261,32.417
2011-04-28,1.125,14.292
2011-04-29,1.0,13.667
2011-04-30,1.0,22.8
2011-05-01,1.083,23.833
2011-05-02,1.167,127.087
2011-05-03,1.5,101.375
2011-05-04,1.208,53.292
2011-05-05,1.292,24.833
2011-05-06,1.542,34.667
2011-05-07,1.875,25.042
2011-05-08,2.208,31.083
2011-05-09,2.583,44.182
2011-05-10,2.458,33.0
2011-05-11,2.261,8.833
2011-05-12,2.125,10.0
2011-05-13,2.667,70.435
2011-05-14,2.917,51.917
2011-05-15,4.042,35.083
2011-05-16,4.375,39.217
2011-05-17,3.458,36.625
2011-05-18,3.167,25.75
2011-05-19,3.75,31.583
2011-05-20,4.458,49.333
2011-05-21,4.792,37.667
2011-05-22,4.167,16.87
2011-05-23,2.917,12.261
2011-05-24,3.083,8.391
2011-05-25,3.913,20.75
2011-05-26,3.708,24.417
2011-05-27,2.708,19.208
2011-05-28,3.5,14.125
2011-05-29,3.833,11.652
2011-05-30,2.917,11.13
2011-05-31,2.478,9.792
2011-06-01,2.75,30.083
2011-06-02,2.458,8.957
2011-06-03,4.417,25.625
2011-06-04,4.417,44.917
2011-06-05,4.125,55.304
2011-06-06,4.042,29.913
2011-06-07,3.833,32.042
2011-06-08,4.043,24.667
2011-06-09,3.958,23.792
2011-06-10,4.739,41.292
2011-06-11,2.708,21.174
2011-06-12,2.75,25.0
2011-06-13,2.458,20.565
2011-06-14,3.125,17.917
2011-06-15,4.273,19.833
2011-06-16,4.25,24.625
2011-06-17,2.458,11.174
2011-06-18,3.25,13.696
2011-06-19,4.625,18.292
