date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,12.083,15.125,3.042,8.417
2011-01-02,7.375,8.458,1.083,5.0
2011-01-03,11.042,12.958,1.917,2.125
2011-01-04,12.409,14.364,1.955,9.625
2011-01-05,23.0,42.792,19.792,4.167
2011-01-06,26.083,71.792,45.708,9.25
2011-01-07,20.625,54.417,33.792,8.25
2011-01-08,15.458,24.583,9.125,6.125
2011-01-09,19.708,31.625,11.917,10.125
2011-01-10,21.208,51.875,30.667,18.0
2011-01-11,21.304,58.478,37.174,15.25
2011-01-12,23.25,54.75,31.5,9.167
2011-01-13,23.417,63.792,40.375,7.708
2011-01-14,16.167,19.792,3.625,9.417
2011-01-15,18.333,31.875,13.542,11.375
2011-01-16,25.375,41.417,16.042,10.0
2011-01-17,25.333,49.125,23.792,12.13
2011-01-18,24.478,72.826,48.348,21.833
2011-01-19,22.583,59.833,37.25,16.667
2011-01-20,20.042,25.083,5.042,6.417
2011-01-21,26.167,45.292,19.125,10.833
2011-01-22,16.875,27.958,11.083,8.875
2011-01-23,18.333,47.167,28.833,12.208
2011-01-24,19.292,29.708,10.417,1.875
2011-01-25,20.0,48.087,28.087,4.875
2011-01-26,24.625,57.708,33.083,7.583
2011-01-27,21.958,60.875,38.917,8.875
2011-01-28,21.875,45.417,23.542,16.5
2011-01-29,18.542,24.708,6.167,11.542
2011-01-30,24.833,48.917,24.083,9.25
2011-01-31,25.833,74.125,48.292,7.792
2011-02-01,19.261,31.696,12.435,10.667
2011-02-02,21.083,31.25,10.167,6.125
2011-02-03,24.458,54.875,30.417,4.667
2011-02-04,21.625,55.167,33.542,8.583
2011-02-05,20.208,31.625,11.417,13.583
2011-02-06,33.083,70.625,37.542,22.125
2011-02-07,13.75,20.458,6.708,18.667
2011-02-08,12.727,18.5,5.773,9.522
2011-02-09,22.542,37.125,14.583,5.167
2011-02-10,24.542,59.458,34.917,8.083
2011-02-11,18.667,34.333,15.667,8.792
2011-02-12,17.667,25.708,8.042,9.833
2011-02-13,21.875,36.917,15.042,14.583
2011-02-14,33.708,67.708,34.0,17.0
2011-02-15,26.391,52.348,25.957,14.333
2011-02-16,21.958,27.875,5.917,13.333
2011-02-17,20.625,52.208,31.583,10.458
2011-02-18,18.25,31.125,12.875,5.208
